"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-30 16:09:52";149;139.02
"2025-06-30 16:10:22";137.22;113.41
"2025-06-30 16:10:52";132.30;103.70
"2025-06-30 16:11:22";121;83.48
"2025-06-30 16:11:52";112.01;69.34
"2025-06-30 16:12:22";104.91;59.36
"2025-06-30 16:12:52";99.30;52.13
"2025-06-30 16:13:22";94.62;46.52
"2025-06-30 16:13:52";90.83;42.29
"2025-06-30 16:14:22";87.51;38.77
"2025-06-30 16:14:52";84.87;36.11
"2025-06-30 16:15:22";82.81;34.11
"2025-06-30 16:15:53";81.01;32.40
"2025-06-30 16:16:23";79.44;30.97
"2025-06-30 16:16:53";78.22;29.89
"2025-06-30 16:17:23";76.94;28.78
"2025-06-30 16:17:53";75.86;27.86
"2025-06-30 16:18:23";74.81;27
"2025-06-30 16:18:53";73.97;26.29
"2025-06-30 16:19:23";73.16;25.64
"2025-06-30 16:19:53";72.72;25.29
"2025-06-30 16:20:23";72.02;24.73
"2025-06-30 16:20:53";71.83;24.59
"2025-06-30 16:21:23";71.11;24.02
"2025-06-30 16:21:53";71;23.94
"2025-06-30 16:22:23";70.91;23.87
"2025-06-30 16:22:53";70.94;23.89
"2025-06-30 16:23:23";70.95;23.90
"2025-06-30 16:23:53";70.93;23.88
"2025-06-30 16:24:23";70.90;23.86
"2025-06-30 16:24:53";70.13;23.29
"2025-06-30 16:25:23";70;23.18
"2025-06-30 16:25:53";70.01;23.18
"2025-06-30 16:26:23";70;23.18
"2025-06-30 16:26:53";70;23.18
"2025-06-30 16:27:23";69.98;23.17
"2025-06-30 16:27:53";69.90;23.10
"2025-06-30 16:28:23";69.45;22.77
"2025-06-30 16:28:53";69.11;22.51
"2025-06-30 16:29:23";68.33;21.94
"2025-06-30 16:29:53";67.97;21.67
"2025-06-30 16:30:23";67.41;21.27
"2025-06-30 16:30:53";66.22;20.42
"2025-06-30 16:31:23";66.02;20.29
"2025-06-30 16:31:53";66;20.27
"2025-06-30 16:32:23";66;20.27
"2025-06-30 16:32:53";66;20.27
"2025-06-30 16:33:23";66;20.27
"2025-06-30 16:33:53";65.98;20.26
"2025-06-30 16:34:23";65.97;20.23
"2025-06-30 16:34:53";65.80;20.12
"2025-06-30 16:35:23";65.62;20.01
"2025-06-30 16:35:54";65.47;19.89
"2025-06-30 16:36:24";65.18;19.70
"2025-06-30 16:36:54";65.05;19.62
"2025-06-30 16:37:24";65.01;19.59
"2025-06-30 16:37:54";65;19.57
"2025-06-30 16:38:24";65;19.57
"2025-06-30 16:38:54";65;19.57
"2025-06-30 16:39:24";65;19.57
"2025-06-30 16:39:54";65;19.57
"2025-06-30 16:40:24";64.98;19.56
"2025-06-30 16:40:54";65;19.57
"2025-06-30 16:41:24";64.98;19.56
"2025-06-30 16:41:54";65;19.57
"2025-06-30 16:42:24";64.98;19.56
"2025-06-30 16:42:54";64.98;19.55
"2025-06-30 16:43:24";64.98;19.56
"2025-06-30 16:43:54";64.97;19.54
"2025-06-30 16:44:24";64.91;19.51
"2025-06-30 16:44:54";64.98;19.56
"2025-06-30 16:45:24";64.87;19.48
"2025-06-30 16:45:54";64.80;19.44
"2025-06-30 16:46:24";64.76;19.42
"2025-06-30 16:46:54";64.63;19.32
"2025-06-30 16:47:24";64.58;19.29
"2025-06-30 16:47:54";64.41;19.18
"2025-06-30 16:48:24";64.37;19.15
"2025-06-30 16:48:54";64.30;19.10
"2025-06-30 16:49:24";64.58;19.29
"2025-06-30 16:49:54";64.79;19.43
"2025-06-30 16:50:24";64.62;19.31
"2025-06-30 16:50:54";64.48;19.21
"2025-06-30 16:51:24";64.30;19.10
"2025-06-30 16:51:54";64.23;19.05
"2025-06-30 16:52:24";64.19;19.03
"2025-06-30 16:52:54";64.04;18.93
"2025-06-30 16:53:24";64.05;18.94
"2025-06-30 16:53:54";64.02;18.92
"2025-06-30 16:54:24";64.01;18.89
"2025-06-30 16:54:54";64;18.89
"2025-06-30 16:55:24";64;18.89
"2025-06-30 16:55:55";64;18.89
"2025-06-30 16:56:25";64;18.89
"2025-06-30 16:56:55";64;18.89
"2025-06-30 16:57:25";64;18.89
"2025-06-30 16:57:55";64;18.89
"2025-06-30 16:58:25";64;18.89
"2025-06-30 16:58:55";64;18.89
"2025-06-30 16:59:25";64;18.89
"2025-06-30 16:59:55";64;18.89
"2025-06-30 17:00:25";64;18.89
"2025-06-30 17:00:55";64;18.89
"2025-06-30 17:01:25";64;18.89
"2025-06-30 17:01:55";64;18.89
"2025-06-30 17:02:25";64;18.89
"2025-06-30 17:02:55";64;18.89
"2025-06-30 17:03:25";64;18.89
"2025-06-30 17:03:55";64;18.89
"2025-06-30 17:04:25";64;18.89
"2025-06-30 17:04:55";63.70;18.70
"2025-06-30 17:05:25";63.63;18.65
"2025-06-30 17:05:55";63.04;18.26
"2025-06-30 17:06:25";63.02;18.25
"2025-06-30 17:06:55";63.02;18.25
"2025-06-30 17:07:25";63.02;18.25
"2025-06-30 17:07:55";63.02;18.26
"2025-06-30 17:08:25";63.02;18.25
"2025-06-30 17:08:55";63;18.23
"2025-06-30 17:09:25";63;18.23
"2025-06-30 17:09:55";63;18.23
"2025-06-30 17:10:25";63;18.23
"2025-06-30 17:10:55";63;18.23
"2025-06-30 17:11:25";63;18.23
"2025-06-30 17:11:55";63;18.23
"2025-06-30 17:12:25";63;18.23
"2025-06-30 17:12:55";63;18.23
"2025-06-30 17:13:25";63;18.23
"2025-06-30 17:13:55";63;18.23
"2025-06-30 17:14:25";63;18.23
"2025-06-30 17:14:55";63;18.23
"2025-06-30 17:15:25";63.09;18.29
"2025-06-30 17:15:56";63;18.23
"2025-06-30 17:16:26";63;18.23
"2025-06-30 17:16:56";63;18.23
"2025-06-30 17:17:26";63;18.23
