"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-30 16:12:26";88.83;4.78
"2025-06-30 16:12:56";84.41;0
"2025-06-30 16:13:26";77.94;0
"2025-06-30 16:13:56";73.38;0
"2025-06-30 16:14:26";70.19;0
"2025-06-30 16:14:56";67.83;0
"2025-06-30 16:15:26";66.06;0
"2025-06-30 16:15:56";64.61;0
"2025-06-30 16:16:26";63.50;0
"2025-06-30 16:16:56";62.65;0
"2025-06-30 16:17:26";61.91;0
"2025-06-30 16:17:57";61.20;0
"2025-06-30 16:18:27";60.93;0
"2025-06-30 16:18:57";60.29;0
"2025-06-30 16:19:27";60;0
"2025-06-30 16:19:57";59.77;0
"2025-06-30 16:20:27";59.34;0
"2025-06-30 16:20:57";59;0
"2025-06-30 16:21:27";58.95;0
"2025-06-30 16:21:57";58.79;0
"2025-06-30 16:22:27";58.65;0
"2025-06-30 16:22:57";58.18;0
"2025-06-30 16:23:27";58.09;0
"2025-06-30 16:23:57";58.02;0
"2025-06-30 16:24:27";57.97;0
"2025-06-30 16:24:57";57.90;0
"2025-06-30 16:25:27";57.75;0
"2025-06-30 16:25:58";57.72;0
"2025-06-30 16:26:28";57.49;0
"2025-06-30 16:26:58";57.41;0
"2025-06-30 16:27:28";57.20;0
"2025-06-30 16:27:58";57.13;0
"2025-06-30 16:28:28";57.06;0
"2025-06-30 16:28:58";57.02;0
"2025-06-30 16:29:28";57;0
"2025-06-30 16:29:58";56.99;0
"2025-06-30 16:30:28";56.97;0
"2025-06-30 16:30:58";56.95;0
"2025-06-30 16:31:28";56.90;0
"2025-06-30 16:31:58";56.84;0
"2025-06-30 16:32:28";56.88;0
"2025-06-30 16:32:58";56.83;0
"2025-06-30 16:33:28";56.81;0
"2025-06-30 16:33:58";56.68;0
"2025-06-30 16:34:29";56.70;0
"2025-06-30 16:34:59";56.66;0
"2025-06-30 16:35:29";56.61;0
"2025-06-30 16:35:59";56.59;0
"2025-06-30 16:36:29";56.54;0
"2025-06-30 16:36:59";56.43;0
"2025-06-30 16:37:29";56.49;0
"2025-06-30 16:37:59";56.40;0
"2025-06-30 16:38:29";56.31;0
"2025-06-30 16:38:59";56.31;0
"2025-06-30 16:39:29";56.31;0
"2025-06-30 16:39:59";56.27;0
"2025-06-30 16:40:29";56.27;0
"2025-06-30 16:40:59";56.22;0
"2025-06-30 16:41:29";56.22;0
"2025-06-30 16:41:59";56.13;0
"2025-06-30 16:42:29";56.15;0
"2025-06-30 16:43:00";56.27;0
"2025-06-30 16:43:30";56.18;0
"2025-06-30 16:44:00";56.11;0
"2025-06-30 16:44:30";56.18;0
"2025-06-30 16:45:00";56.13;0
"2025-06-30 16:45:30";56.15;0
"2025-06-30 16:46:00";56.11;0
"2025-06-30 16:46:30";56.08;0
"2025-06-30 16:47:00";56.09;0
"2025-06-30 16:47:30";56.06;0
"2025-06-30 16:48:00";56.13;0
"2025-06-30 16:48:30";56.11;0
"2025-06-30 16:49:00";56.06;0
"2025-06-30 16:49:30";56.08;0
"2025-06-30 16:50:00";56.06;0
"2025-06-30 16:50:30";56.04;0
"2025-06-30 16:51:00";56.06;0
"2025-06-30 16:51:31";56.06;0
"2025-06-30 16:52:01";56.02;0
"2025-06-30 16:52:31";56.04;0
"2025-06-30 16:53:01";56.02;0
"2025-06-30 16:53:31";56.04;0
"2025-06-30 16:54:01";56.02;0
"2025-06-30 16:54:31";56.02;0
"2025-06-30 16:55:01";56.04;0
"2025-06-30 16:55:31";56.04;0
"2025-06-30 16:56:01";56;0
"2025-06-30 16:56:31";56;0
"2025-06-30 16:57:01";56.02;0
"2025-06-30 16:57:31";56;0
"2025-06-30 16:58:01";56.02;0
"2025-06-30 16:58:31";56.02;0
"2025-06-30 16:59:01";56.02;0
"2025-06-30 16:59:31";56.04;0
"2025-06-30 17:00:01";56.06;0
"2025-06-30 17:00:32";56.06;0
"2025-06-30 17:01:02";56.02;0
"2025-06-30 17:01:32";56.04;0
"2025-06-30 17:02:02";56.02;0
"2025-06-30 17:02:32";56.02;0
"2025-06-30 17:03:02";56.02;0
"2025-06-30 17:03:32";56.02;0
"2025-06-30 17:04:02";56;0
"2025-06-30 17:04:32";56.04;0
"2025-06-30 17:05:02";56.04;0
"2025-06-30 17:05:32";56.02;0
"2025-06-30 17:06:02";56.02;0
"2025-06-30 17:06:32";56.02;0
"2025-06-30 17:07:02";56.04;0
"2025-06-30 17:07:32";56.02;0
"2025-06-30 17:08:02";56.02;0
"2025-06-30 17:08:32";56;0
"2025-06-30 17:09:03";56.02;0
"2025-06-30 17:09:33";56.02;0
"2025-06-30 17:10:03";56;0
"2025-06-30 17:10:33";56.02;0
"2025-06-30 17:11:03";56.02;0
"2025-06-30 17:11:33";56.02;0
"2025-06-30 17:12:03";56.02;0
"2025-06-30 17:12:33";56.02;0
"2025-06-30 17:13:03";56.02;0
"2025-06-30 17:13:33";56.02;0
"2025-06-30 17:14:03";56.02;0
"2025-06-30 17:14:33";56;0
"2025-06-30 17:15:03";56.02;0
"2025-06-30 17:15:33";56.02;0
"2025-06-30 17:16:03";56;0
"2025-06-30 17:16:33";56.02;0
"2025-06-30 17:17:03";56.02;0
"2025-06-30 17:17:34";56.02;0
"2025-06-30 17:18:04";56.02;0
"2025-06-30 17:18:34";56.02;0
"2025-06-30 17:19:04";56;0
"2025-06-30 17:19:34";56;0
"2025-06-30 17:20:04";56;0
"2025-06-30 17:20:34";56.02;0
"2025-06-30 17:21:04";56;0
"2025-06-30 17:21:34";56;0
"2025-06-30 17:22:04";56;0
"2025-06-30 17:22:34";56;0
"2025-06-30 17:23:04";56;0
"2025-06-30 17:23:34";56;0
"2025-06-30 17:24:04";56;0
"2025-06-30 17:24:34";56;0
"2025-06-30 17:25:04";56.02;0
"2025-06-30 17:25:34";56;0
"2025-06-30 17:26:04";56;0
"2025-06-30 17:26:35";56;0
"2025-06-30 17:27:05";56;0
"2025-06-30 17:27:35";56;0
"2025-06-30 17:28:05";55.99;0
"2025-06-30 17:28:35";56;0
"2025-06-30 17:29:05";56;0
"2025-06-30 17:29:35";56;0
"2025-06-30 17:30:05";56;0
"2025-06-30 17:30:35";56.02;0
"2025-06-30 17:31:05";56.02;0
"2025-06-30 17:31:35";56;0
"2025-06-30 17:32:05";56.02;0
"2025-06-30 17:32:35";56;0
"2025-06-30 17:33:05";56;0
"2025-06-30 17:33:35";55.99;0
"2025-06-30 17:34:05";55.99;0
"2025-06-30 17:34:35";56;0
"2025-06-30 17:35:06";56;0
"2025-06-30 17:35:36";55.99;0
"2025-06-30 17:36:06";56;0
"2025-06-30 17:36:36";56;0
"2025-06-30 17:37:06";56;0
"2025-06-30 17:37:36";56;0
"2025-06-30 17:38:06";56;0
"2025-06-30 17:38:36";56;0
"2025-06-30 17:39:06";56;0
"2025-06-30 17:39:36";55.99;0
"2025-06-30 17:40:06";56;0
"2025-06-30 17:40:36";55.99;0
"2025-06-30 17:41:06";55.99;0
"2025-06-30 17:41:36";56;0
"2025-06-30 17:42:06";56;0
"2025-06-30 17:42:36";56;0
"2025-06-30 17:43:06";56;0
"2025-06-30 17:43:36";55.99;0
"2025-06-30 17:44:07";56;0
"2025-06-30 17:44:37";56;0
"2025-06-30 17:45:07";56;0
"2025-06-30 17:45:37";56;0
"2025-06-30 17:46:07";56;0
"2025-06-30 17:46:37";55.99;0
"2025-06-30 17:47:07";56;0
"2025-06-30 17:47:37";56;0
"2025-06-30 17:48:07";56;0
"2025-06-30 17:48:37";56;0
"2025-06-30 17:49:07";56;0
"2025-06-30 17:49:37";56.02;0
"2025-06-30 17:50:07";56;0
"2025-06-30 17:50:37";56;0
"2025-06-30 17:51:07";56;0
"2025-06-30 17:51:37";56;0
"2025-06-30 17:52:07";56;0
"2025-06-30 17:52:38";56;0
"2025-06-30 17:53:08";56;0
"2025-06-30 17:53:38";56;0
"2025-06-30 17:54:08";56;0
"2025-06-30 17:54:38";56;0
"2025-06-30 17:55:08";56;0
