"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-07-02 18:19:30";301.32;124.50
"2025-07-02 18:20:00";295.98;117.98
"2025-07-02 18:20:30";283.89;104.23
"2025-07-02 18:21:00";275.66;95.62
"2025-07-02 18:21:30";262.02;82.61
"2025-07-02 18:22:00";255.46;76.83
"2025-07-02 18:22:30";250.36;72.59
"2025-07-02 18:23:00";241.58;65.69
"2025-07-02 18:23:30";233.47;59.75
"2025-07-02 18:24:00";232.86;59.31
"2025-07-02 18:24:30";228.21;56.11
"2025-07-02 18:25:00";226.36;54.88
"2025-07-02 18:25:30";223.83;53.22
"2025-07-02 18:26:00";219.02;50.18
"2025-07-02 18:26:31";214.13;47.20
"2025-07-02 18:27:01";208.32;43.84
"2025-07-02 18:27:31";206.22;42.68
"2025-07-02 18:28:01";201.02;39.88
"2025-07-02 18:28:31";198.67;38.66
"2025-07-02 18:29:01";197.39;38.02
"2025-07-02 18:29:31";196.22;37.41
"2025-07-02 18:30:01";193.07;35.86
"2025-07-02 18:30:31";191.19;34.95
"2025-07-02 18:31:01";193.24;35.95
"2025-07-02 18:31:31";193.07;35.86
"2025-07-02 18:32:01";193.86;36.25
"2025-07-02 18:32:31";192.17;35.43
"2025-07-02 18:33:01";188.08;33.49
"2025-07-02 18:33:31";184.57;31.88
"2025-07-02 18:34:01";183.05;31.21
"2025-07-02 18:34:31";182.36;30.90
"2025-07-02 18:35:01";180.25;29.98
"2025-07-02 18:35:31";181.21;30.40
"2025-07-02 18:36:01";179.63;29.72
"2025-07-02 18:36:31";178.39;29.20
"2025-07-02 18:37:01";175.28;27.90
"2025-07-02 18:37:31";172.86;26.93
"2025-07-02 18:38:01";171.74;26.48
"2025-07-02 18:38:31";170.88;26.14
"2025-07-02 18:39:01";170.75;26.10
"2025-07-02 18:39:31";171.91;26.55
"2025-07-02 18:40:01";176.14;28.27
"2025-07-02 18:40:31";185.69;32.40
"2025-07-02 18:41:01";192.47;35.58
"2025-07-02 18:41:31";198.33;38.49
"2025-07-02 18:42:01";202.75;40.81
"2025-07-02 18:42:31";206.21;42.68
"2025-07-02 18:43:02";207.88;43.61
"2025-07-02 18:43:32";208.50;43.95
"2025-07-02 18:44:02";211.61;45.74
"2025-07-02 18:44:32";213.47;46.83
"2025-07-02 18:45:02";212.91;46.50
"2025-07-02 18:45:32";211.66;45.75
"2025-07-02 18:46:02";210.58;45.15
"2025-07-02 18:46:32";208.69;44.06
"2025-07-02 18:47:02";206.64;42.91
"2025-07-02 18:47:32";205.07;42.04
"2025-07-02 18:48:02";203.42;41.16
"2025-07-02 18:48:32";201.74;40.27
"2025-07-02 18:49:02";200.19;39.45
"2025-07-02 18:49:32";198.49;38.56
"2025-07-02 18:50:02";196.77;37.70
"2025-07-02 18:50:32";194.67;36.65
"2025-07-02 18:51:02";192.21;35.45
"2025-07-02 18:51:32";189.86;34.33
"2025-07-02 18:52:02";188.02;33.47
"2025-07-02 18:52:32";186.13;32.59
"2025-07-02 18:53:02";184.33;31.78
"2025-07-02 18:53:32";182.46;30.95
"2025-07-02 18:54:02";180.80;30.22
"2025-07-02 18:54:32";179.41;29.62
"2025-07-02 18:55:02";178.16;29.10
"2025-07-02 18:55:32";176.75;28.52
"2025-07-02 18:56:02";175.55;28.02
"2025-07-02 18:56:32";174.44;27.56
"2025-07-02 18:57:02";173.42;27.15
"2025-07-02 18:57:32";172.36;26.73
"2025-07-02 18:58:02";171.16;26.26
"2025-07-02 18:58:32";170.13;25.86
"2025-07-02 18:59:02";169.05;25.44
"2025-07-02 18:59:33";168.27;25.14
"2025-07-02 19:00:03";167.52;24.86
"2025-07-02 19:00:33";166.96;24.64
"2025-07-02 19:01:03";166.03;24.30
"2025-07-02 19:01:33";165.63;24.14
"2025-07-02 19:02:03";165;23.92
"2025-07-02 19:02:33";164.72;23.81
"2025-07-02 19:03:03";164;23.55
"2025-07-02 19:03:33";163.92;23.53
"2025-07-02 19:04:03";163.07;23.21
"2025-07-02 19:04:33";163;23.19
"2025-07-02 19:05:03";162.82;23.12
"2025-07-02 19:05:33";162;22.84
"2025-07-02 19:06:03";161.94;22.80
"2025-07-02 19:06:33";161.69;22.72
"2025-07-02 19:07:03";161.38;22.61
"2025-07-02 19:07:33";161;22.47
"2025-07-02 19:08:03";161;22.47
"2025-07-02 19:08:33";160.49;22.29
"2025-07-02 19:09:03";160;22.12
"2025-07-02 19:09:33";160;22.12
"2025-07-02 19:10:03";160;22.12
"2025-07-02 19:10:33";160;22.12
"2025-07-02 19:11:03";159.91;22.10
"2025-07-02 19:11:33";159.11;21.81
"2025-07-02 19:12:03";159;21.78
"2025-07-02 19:12:33";158.58;21.63
"2025-07-02 19:13:03";158;21.44
"2025-07-02 19:13:33";158;21.44
"2025-07-02 19:14:03";157.88;21.39
"2025-07-02 19:14:33";157;21.10
"2025-07-02 19:15:03";157;21.10
"2025-07-02 19:15:34";156.74;21.01
"2025-07-02 19:16:04";156;20.76
"2025-07-02 19:16:34";156;20.76
"2025-07-02 19:17:04";155.52;20.60
"2025-07-02 19:17:34";155;20.43
"2025-07-02 19:18:04";155;20.43
"2025-07-02 19:18:34";155;20.43
"2025-07-02 19:19:04";154.33;20.20
"2025-07-02 19:19:34";154;20.10
"2025-07-02 19:20:04";154;20.10
"2025-07-02 19:20:34";153.83;20.04
"2025-07-02 19:21:04";153.02;19.79
"2025-07-02 19:21:34";153;19.78
"2025-07-02 19:22:04";153;19.78
"2025-07-02 19:22:34";152.33;19.55
"2025-07-02 19:23:04";152;19.45
"2025-07-02 19:23:34";152;19.45
"2025-07-02 19:24:04";151.89;19.42
"2025-07-02 19:24:34";151.11;19.17
"2025-07-02 19:25:04";151;19.13
"2025-07-02 19:25:34";150.97;19.12
"2025-07-02 19:26:04";150.21;18.88
"2025-07-02 19:26:34";150;18.81
"2025-07-02 19:27:04";149.94;18.79
"2025-07-02 19:27:34";149.02;18.52
"2025-07-02 19:28:04";148.22;18.27
"2025-07-02 19:28:34";148;18.20
"2025-07-02 19:29:04";147.88;18.17
"2025-07-02 19:29:34";147.08;17.92
"2025-07-02 19:30:04";146.97;17.88
"2025-07-02 19:30:34";146.94;17.87
"2025-07-02 19:31:04";146.16;17.63
"2025-07-02 19:31:34";146;17.60
"2025-07-02 19:32:05";146;17.60
"2025-07-02 19:32:35";145.77;17.53
"2025-07-02 19:33:05";145.72;17.52
"2025-07-02 19:33:35";145.22;17.37
"2025-07-02 19:34:05";145.99;17.60
"2025-07-02 19:34:35";145.30;17.38
"2025-07-02 19:35:05";145.83;17.54
"2025-07-02 19:35:35";147.58;18.07
"2025-07-02 19:36:05";148;18.20
"2025-07-02 19:36:35";148;18.20
"2025-07-02 19:37:05";148;18.20
"2025-07-02 19:37:35";148;18.20
"2025-07-02 19:38:05";148;18.20
"2025-07-02 19:38:35";147.92;18.18
"2025-07-02 19:39:05";147.46;18.04
"2025-07-02 19:39:35";147.05;17.90
"2025-07-02 19:40:05";147;17.89
"2025-07-02 19:40:35";147;17.89
"2025-07-02 19:41:05";147;17.89
"2025-07-02 19:41:35";146.96;17.88
"2025-07-02 19:42:05";146.53;17.76
"2025-07-02 19:42:35";146.05;17.61
"2025-07-02 19:43:05";146;17.60
"2025-07-02 19:43:35";146;17.60
"2025-07-02 19:44:05";146;17.60
"2025-07-02 19:44:35";146;17.60
"2025-07-02 19:45:05";145.72;17.51
"2025-07-02 19:45:35";145.08;17.32
"2025-07-02 19:46:05";145;17.29
"2025-07-02 19:46:35";145;17.29
"2025-07-02 19:47:05";145;17.29
"2025-07-02 19:47:35";145;17.29
"2025-07-02 19:48:05";145;17.29
"2025-07-02 19:48:36";144.91;17.27
"2025-07-02 19:49:06";144.52;17.15
"2025-07-02 19:49:36";144.13;17.04
"2025-07-02 19:50:06";144;17.01
"2025-07-02 19:50:36";144;17.01
"2025-07-02 19:51:06";144;17.01
"2025-07-02 19:51:36";144;17.01
"2025-07-02 19:52:06";144;17.01
"2025-07-02 19:52:36";144;17.01
"2025-07-02 19:53:06";144;17.01
"2025-07-02 19:53:36";143.94;16.98
"2025-07-02 19:54:06";143.88;16.96
"2025-07-02 19:54:36";143.58;16.87
"2025-07-02 19:55:06";143.24;16.79
"2025-07-02 19:55:36";143.02;16.71
"2025-07-02 19:56:06";143;16.71
"2025-07-02 19:56:36";143;16.71
"2025-07-02 19:57:06";143;16.71
"2025-07-02 19:57:36";143;16.71
"2025-07-02 19:58:06";143;16.71
"2025-07-02 19:58:36";142.89;16.69
"2025-07-02 19:59:06";142.66;16.62
"2025-07-02 19:59:36";142.16;16.47
"2025-07-02 20:00:06";142.03;16.44
"2025-07-02 20:00:36";142;16.43
"2025-07-02 20:01:06";142;16.43
