"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-07-02 18:18:16";112;69.33
"2025-07-02 18:18:46";107.81;63.33
"2025-07-02 18:19:16";100.63;53.79
"2025-07-02 18:19:46";95.87;47.99
"2025-07-02 18:20:16";92.52;44.15
"2025-07-02 18:20:46";89.94;41.33
"2025-07-02 18:21:16";87.98;39.25
"2025-07-02 18:21:46";86.44;37.68
"2025-07-02 18:22:16";85.13;36.38
"2025-07-02 18:22:46";84.01;35.25
"2025-07-02 18:23:16";83.12;34.40
"2025-07-02 18:23:46";82.58;33.90
"2025-07-02 18:24:16";82;33.34
"2025-07-02 18:24:46";81.48;32.84
"2025-07-02 18:25:16";81;32.40
"2025-07-02 18:25:46";80.87;32.29
"2025-07-02 18:26:16";80.02;31.52
"2025-07-02 18:26:46";79.97;31.46
"2025-07-02 18:27:16";79.23;30.80
"2025-07-02 18:27:46";79;30.59
"2025-07-02 18:28:16";79;30.59
"2025-07-02 18:28:47";78.98;30.56
"2025-07-02 18:29:17";78.87;30.46
"2025-07-02 18:29:47";78.41;30.07
"2025-07-02 18:30:17";78.06;29.76
"2025-07-02 18:30:47";78;29.70
"2025-07-02 18:31:17";78;29.70
"2025-07-02 18:31:47";78;29.70
"2025-07-02 18:32:17";78;29.70
"2025-07-02 18:32:47";77.97;29.68
"2025-07-02 18:33:17";77.87;29.60
"2025-07-02 18:33:47";77.38;29.17
"2025-07-02 18:34:17";77.16;28.96
"2025-07-02 18:34:47";77.05;28.87
"2025-07-02 18:35:17";77.01;28.85
"2025-07-02 18:35:47";77;28.84
"2025-07-02 18:36:17";77;28.84
"2025-07-02 18:36:47";76.94;28.79
"2025-07-02 18:37:17";76.98;28.81
"2025-07-02 18:37:47";76.97;28.80
"2025-07-02 18:38:17";76.86;28.71
"2025-07-02 18:38:47";76.38;28.31
"2025-07-02 18:39:17";78.16;29.85
"2025-07-02 18:39:47";82.91;34.20
"2025-07-02 18:40:17";89.87;41.24
"2025-07-02 18:40:47";97.13;49.49
"2025-07-02 18:41:17";102.98;56.81
"2025-07-02 18:41:47";107.50;62.88
"2025-07-02 18:42:17";110.48;67.13
"2025-07-02 18:42:47";112.54;70.13
"2025-07-02 18:43:17";113.86;72.12
"2025-07-02 18:43:47";114.08;72.47
"2025-07-02 18:44:17";114.36;72.88
"2025-07-02 18:44:47";114.06;72.44
"2025-07-02 18:45:17";114;72.33
"2025-07-02 18:45:47";113.48;71.56
"2025-07-02 18:46:17";112.51;70.12
"2025-07-02 18:46:47";111.44;68.51
"2025-07-02 18:47:17";110.55;67.23
"2025-07-02 18:47:47";109.58;65.83
"2025-07-02 18:48:17";108.62;64.47
"2025-07-02 18:48:48";107.56;62.99
"2025-07-02 18:49:18";106.52;61.54
"2025-07-02 18:49:48";105.51;60.15
"2025-07-02 18:50:18";104.55;58.86
"2025-07-02 18:50:48";103.55;57.54
"2025-07-02 18:51:18";102.56;56.25
"2025-07-02 18:51:48";101.76;55.20
"2025-07-02 18:52:18";100.98;54.22
"2025-07-02 18:52:48";100.05;53.06
"2025-07-02 18:53:18";99.48;52.34
"2025-07-02 18:53:48";98.94;51.68
"2025-07-02 18:54:18";98.09;50.65
"2025-07-02 18:54:48";97.79;50.27
"2025-07-02 18:55:18";97.02;49.36
"2025-07-02 18:55:48";96.93;49.24
"2025-07-02 18:56:18";96.37;48.58
"2025-07-02 18:56:48";96.01;48.15
"2025-07-02 18:57:18";96.05;48.20
"2025-07-02 18:57:48";96.72;48.97
"2025-07-02 18:58:18";97.62;50.08
"2025-07-02 18:58:48";98.73;51.40
"2025-07-02 18:59:18";98.65;51.31
"2025-07-02 18:59:48";97.87;50.36
"2025-07-02 19:00:18";96.73;49.02
"2025-07-02 19:00:48";95.04;47
"2025-07-02 19:01:18";93.93;45.74
"2025-07-02 19:01:48";92.05;43.63
"2025-07-02 19:02:18";91.68;43.22
"2025-07-02 19:02:48";91.87;43.43
"2025-07-02 19:03:18";92.29;43.88
"2025-07-02 19:03:48";93.83;45.63
"2025-07-02 19:04:18";91.98;43.54
"2025-07-02 19:04:48";92;43.56
"2025-07-02 19:05:18";91.83;43.38
"2025-07-02 19:05:48";91.41;42.91
"2025-07-02 19:06:18";92.41;44.02
"2025-07-02 19:06:48";90.31;41.72
"2025-07-02 19:07:18";90.93;42.38
"2025-07-02 19:07:48";91.33;42.83
"2025-07-02 19:08:18";91;42.47
"2025-07-02 19:08:49";90.69;42.13
"2025-07-02 19:09:19";89.16;40.50
"2025-07-02 19:09:49";88.51;39.81
"2025-07-02 19:10:19";88;39.27
"2025-07-02 19:10:49";87.62;38.88
"2025-07-02 19:11:19";87.02;38.27
"2025-07-02 19:11:49";87;38.25
"2025-07-02 19:12:19";87;38.25
"2025-07-02 19:12:49";87;38.25
"2025-07-02 19:13:19";87;38.25
"2025-07-02 19:13:49";86.98;38.22
"2025-07-02 19:14:19";86.91;38.15
"2025-07-02 19:14:49";86.66;37.90
"2025-07-02 19:15:19";86.33;37.56
"2025-07-02 19:15:49";86.09;37.33
"2025-07-02 19:16:19";86.01;37.24
"2025-07-02 19:16:49";86;37.22
"2025-07-02 19:17:19";85.86;37.09
"2025-07-02 19:17:49";83.94;35.18
"2025-07-02 19:18:19";84.23;35.47
"2025-07-02 19:18:49";85.87;37.11
"2025-07-02 19:19:19";85.70;36.93
"2025-07-02 19:19:49";85.30;36.54
"2025-07-02 19:20:19";85.08;36.31
"2025-07-02 19:20:49";84.86;36.09
"2025-07-02 19:21:19";87.38;38.65
"2025-07-02 19:21:49";87.11;38.36
"2025-07-02 19:22:19";86.95;38.20
"2025-07-02 19:22:49";86.29;37.52
"2025-07-02 19:23:19";86;37.22
"2025-07-02 19:23:49";85.98;37.22
"2025-07-02 19:24:19";84.25;35.50
"2025-07-02 19:24:49";84.08;35.33
"2025-07-02 19:25:19";83.80;35.06
"2025-07-02 19:25:49";83.12;34.40
"2025-07-02 19:26:19";83;34.29
"2025-07-02 19:26:49";82.98;34.27
"2025-07-02 19:27:19";82.98;34.27
"2025-07-02 19:27:49";82.98;34.27
"2025-07-02 19:28:19";83;34.29
"2025-07-02 19:28:49";83.33;34.59
"2025-07-02 19:29:20";83.83;35.09
"2025-07-02 19:29:50";83.41;34.68
"2025-07-02 19:30:20";83;34.29
"2025-07-02 19:30:50";82.48;33.79
"2025-07-02 19:31:20";83.11;34.38
"2025-07-02 19:31:50";83.91;35.16
"2025-07-02 19:32:20";83.97;35.22
"2025-07-02 19:32:50";83.30;34.59
"2025-07-02 19:33:20";83.37;34.65
"2025-07-02 19:33:50";82.95;34.25
"2025-07-02 19:34:20";82.04;33.38
"2025-07-02 19:34:50";82;33.34
"2025-07-02 19:35:20";82;33.34
"2025-07-02 19:35:50";81.84;33.20
"2025-07-02 19:36:20";82.16;33.50
"2025-07-02 19:36:50";84.88;36.13
"2025-07-02 19:37:20";83.72;34.97
"2025-07-02 19:37:50";83;34.29
"2025-07-02 19:38:20";82.87;34.18
"2025-07-02 19:38:50";82.12;33.45
"2025-07-02 19:39:20";81.91;33.25
"2025-07-02 19:39:50";81.94;33.27
"2025-07-02 19:40:20";81.98;33.31
"2025-07-02 19:40:50";81.43;32.81
"2025-07-02 19:41:20";81.83;33.18
"2025-07-02 19:41:50";82.38;33.70
"2025-07-02 19:42:20";82.77;34.08
"2025-07-02 19:42:50";81.80;33.15
"2025-07-02 19:43:20";81.69;33.06
"2025-07-02 19:43:50";82;33.34
"2025-07-02 19:44:20";81.15;32.54
"2025-07-02 19:44:50";80.68;32.11
"2025-07-02 19:45:20";80.61;32.04
"2025-07-02 19:45:50";80.61;32.04
"2025-07-02 19:46:20";80.63;32.06
"2025-07-02 19:46:50";81;32.40
"2025-07-02 19:47:20";80.75;32.18
"2025-07-02 19:47:50";79.81;31.32
"2025-07-02 19:48:20";79.34;30.89
"2025-07-02 19:48:50";79.23;30.79
"2025-07-02 19:49:21";79.11;30.68
"2025-07-02 19:49:51";79;30.59
"2025-07-02 19:50:21";79;30.59
"2025-07-02 19:50:51";79;30.59
"2025-07-02 19:51:21";78.97;30.55
