"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-07-02 18:21:19";72.33;0
"2025-07-02 18:21:49";71.12;0
"2025-07-02 18:22:19";69.52;0
"2025-07-02 18:22:49";68.04;0
"2025-07-02 18:23:19";67.41;0
"2025-07-02 18:23:49";66.76;0
"2025-07-02 18:24:19";66.19;0
"2025-07-02 18:24:49";65.26;0
"2025-07-02 18:25:19";64.76;0
"2025-07-02 18:25:49";64.48;0
"2025-07-02 18:26:19";64.23;0
"2025-07-02 18:26:49";64.01;0
"2025-07-02 18:27:19";63.70;0
"2025-07-02 18:27:49";63.34;0
"2025-07-02 18:28:19";63.27;0
"2025-07-02 18:28:49";62.88;0
"2025-07-02 18:29:20";62.79;0
"2025-07-02 18:29:50";62.61;0
"2025-07-02 18:30:20";62.59;0
"2025-07-02 18:30:50";62.38;0
"2025-07-02 18:31:20";62.22;0
"2025-07-02 18:31:50";61.99;0
"2025-07-02 18:32:20";61.77;0
"2025-07-02 18:32:50";61.58;0
"2025-07-02 18:33:20";61.22;0
"2025-07-02 18:33:50";60.88;0
"2025-07-02 18:34:20";60.59;0
"2025-07-02 18:34:50";60.40;0
"2025-07-02 18:35:20";60.25;0
"2025-07-02 18:35:50";60.22;0
"2025-07-02 18:36:20";59.97;0
"2025-07-02 18:36:50";60.20;0
"2025-07-02 18:37:20";60.04;0
"2025-07-02 18:37:51";60.18;0
"2025-07-02 18:38:21";60.13;0
"2025-07-02 18:38:51";60.15;0
"2025-07-02 18:39:21";60.22;0
"2025-07-02 18:39:51";60.15;0
"2025-07-02 18:40:21";60.09;0
"2025-07-02 18:40:51";60;0
"2025-07-02 18:41:21";60.27;0
"2025-07-02 18:41:51";61.90;0
"2025-07-02 18:42:21";64.70;0
"2025-07-02 18:42:51";68.48;0
"2025-07-02 18:43:21";71.54;0
"2025-07-02 18:43:51";74.20;0
"2025-07-02 18:44:21";76.52;0
"2025-07-02 18:44:51";78.58;0
"2025-07-02 18:45:21";79.33;0
"2025-07-02 18:45:51";79.26;0
"2025-07-02 18:46:22";79.41;0
"2025-07-02 18:46:52";79.48;0
"2025-07-02 18:47:22";79.12;0
"2025-07-02 18:47:52";78.83;0
"2025-07-02 18:48:22";78.26;0
"2025-07-02 18:48:52";77.01;0
"2025-07-02 18:49:22";76.48;0
"2025-07-02 18:49:52";75.48;0
"2025-07-02 18:50:22";74.66;0
"2025-07-02 18:50:52";73.61;0
"2025-07-02 18:51:22";72.98;0
"2025-07-02 18:51:52";72;0
"2025-07-02 18:52:22";71.50;0
"2025-07-02 18:52:52";71.44;0
"2025-07-02 18:53:22";70.69;0
"2025-07-02 18:53:52";69.69;0
"2025-07-02 18:54:22";69.13;0
"2025-07-02 18:54:53";68.16;0
"2025-07-02 18:55:23";67.63;0
"2025-07-02 18:55:53";67.08;0
"2025-07-02 18:56:23";66.66;0
"2025-07-02 18:56:53";65.94;0
"2025-07-02 18:57:23";65.45;0
"2025-07-02 18:57:53";65.15;0
"2025-07-02 18:58:23";64.84;0
"2025-07-02 18:58:53";64.47;0
"2025-07-02 18:59:23";64.16;0
"2025-07-02 18:59:53";63.93;0
"2025-07-02 19:00:23";63.47;0
"2025-07-02 19:00:53";63.08;0
"2025-07-02 19:01:23";62.77;0
"2025-07-02 19:01:53";62.56;0
"2025-07-02 19:02:23";62.47;0
"2025-07-02 19:02:53";62.31;0
"2025-07-02 19:03:24";62.09;0
"2025-07-02 19:03:54";62.20;0
"2025-07-02 19:04:24";62.09;0
"2025-07-02 19:04:54";61.88;0
"2025-07-02 19:05:24";61.86;0
"2025-07-02 19:05:54";61.79;0
"2025-07-02 19:06:24";61.56;0
"2025-07-02 19:06:54";61.61;0
"2025-07-02 19:07:24";61.59;0
"2025-07-02 19:07:54";61.43;0
"2025-07-02 19:08:24";61.36;0
"2025-07-02 19:08:54";61.43;0
"2025-07-02 19:09:24";61.25;0
"2025-07-02 19:09:54";61.31;0
"2025-07-02 19:10:24";61.15;0
"2025-07-02 19:10:54";61.06;0
"2025-07-02 19:11:24";61.06;0
"2025-07-02 19:11:54";60.97;0
"2025-07-02 19:12:25";61;0
"2025-07-02 19:12:55";60.97;0
"2025-07-02 19:13:25";61.02;0
"2025-07-02 19:13:55";60.83;0
"2025-07-02 19:14:25";60.86;0
"2025-07-02 19:14:55";60.75;0
"2025-07-02 19:15:25";60.86;0
"2025-07-02 19:15:55";60.77;0
"2025-07-02 19:16:25";60.79;0
"2025-07-02 19:16:55";60.66;0
"2025-07-02 19:17:25";60.66;0
"2025-07-02 19:17:55";60.52;0
"2025-07-02 19:18:25";60.50;0
"2025-07-02 19:18:55";60.50;0
"2025-07-02 19:19:25";60.36;0
"2025-07-02 19:19:55";60.27;0
"2025-07-02 19:20:25";60.36;0
"2025-07-02 19:20:56";60.24;0
"2025-07-02 19:21:26";60.34;0
"2025-07-02 19:21:56";60.27;0
"2025-07-02 19:22:26";60.40;0
"2025-07-02 19:22:56";60.18;0
"2025-07-02 19:23:26";60.29;0
"2025-07-02 19:23:56";60.29;0
"2025-07-02 19:24:26";60.13;0
"2025-07-02 19:24:56";60.06;0
"2025-07-02 19:25:26";60.06;0
"2025-07-02 19:25:56";60.02;0
"2025-07-02 19:26:26";59.93;0
"2025-07-02 19:26:56";59.95;0
"2025-07-02 19:27:26";59.95;0
"2025-07-02 19:27:56";59.88;0
"2025-07-02 19:28:26";59.93;0
"2025-07-02 19:28:56";60.06;0
"2025-07-02 19:29:26";59.75;0
"2025-07-02 19:29:57";59.84;0
"2025-07-02 19:30:27";59.77;0
"2025-07-02 19:30:57";59.72;0
"2025-07-02 19:31:27";59.66;0
"2025-07-02 19:31:57";59.68;0
"2025-07-02 19:32:27";59.54;0
"2025-07-02 19:32:57";59.63;0
"2025-07-02 19:33:27";59.58;0
"2025-07-02 19:33:57";59.41;0
"2025-07-02 19:34:27";59.50;0
"2025-07-02 19:34:57";59.54;0
"2025-07-02 19:35:27";59.47;0
"2025-07-02 19:35:57";59.45;0
"2025-07-02 19:36:27";59.41;0
"2025-07-02 19:36:57";59.36;0
"2025-07-02 19:37:27";59.31;0
"2025-07-02 19:37:57";59.38;0
"2025-07-02 19:38:28";59.31;0
"2025-07-02 19:38:58";59.36;0
"2025-07-02 19:39:28";59.15;0
"2025-07-02 19:39:58";59.38;0
"2025-07-02 19:40:28";59.18;0
"2025-07-02 19:40:58";59.18;0
"2025-07-02 19:41:28";59.22;0
"2025-07-02 19:41:58";59.22;0
"2025-07-02 19:42:28";59.22;0
"2025-07-02 19:42:58";59.20;0
"2025-07-02 19:43:28";59.22;0
"2025-07-02 19:43:58";59.02;0
"2025-07-02 19:44:28";59.15;0
"2025-07-02 19:44:58";59.06;0
"2025-07-02 19:45:28";59.09;0
"2025-07-02 19:45:58";59.04;0
"2025-07-02 19:46:28";59.11;0
"2025-07-02 19:46:58";59.11;0
"2025-07-02 19:47:29";59;0
"2025-07-02 19:47:59";59.11;0
"2025-07-02 19:48:29";59.16;0
"2025-07-02 19:48:59";59.06;0
"2025-07-02 19:49:29";59.02;0
"2025-07-02 19:49:59";58.99;0
"2025-07-02 19:50:29";59.04;0
"2025-07-02 19:50:59";59.02;0
"2025-07-02 19:51:29";58.91;0
"2025-07-02 19:51:59";58.93;0
"2025-07-02 19:52:29";58.97;0
"2025-07-02 19:52:59";58.93;0
"2025-07-02 19:53:29";58.95;0
"2025-07-02 19:53:59";58.90;0
"2025-07-02 19:54:29";58.97;0
"2025-07-02 19:54:59";58.90;0
"2025-07-02 19:55:29";58.88;0
"2025-07-02 19:56:00";58.77;0
"2025-07-02 19:56:30";58.91;0
"2025-07-02 19:57:00";58.86;0
"2025-07-02 19:57:30";58.93;0
"2025-07-02 19:58:00";58.81;0
"2025-07-02 19:58:30";58.97;0
"2025-07-02 19:59:00";58.93;0
"2025-07-02 19:59:30";58.88;0
"2025-07-02 20:00:00";58.88;0
"2025-07-02 20:00:30";58.84;0
"2025-07-02 20:01:00";58.83;0
"2025-07-02 20:01:30";58.84;0
"2025-07-02 20:02:00";58.93;0
"2025-07-02 20:02:30";58.72;0
"2025-07-02 20:03:00";58.93;0
"2025-07-02 20:03:30";58.86;0
"2025-07-02 20:04:00";58.79;0
"2025-07-02 20:04:30";58.88;0
"2025-07-02 20:05:01";58.86;0
"2025-07-02 20:05:31";58.77;0
"2025-07-02 20:06:01";58.83;0
"2025-07-02 20:06:31";58.86;0
"2025-07-02 20:07:01";58.79;0
"2025-07-02 20:07:31";58.81;0
