"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-07-02 18:18:24";60;0
"2025-07-02 18:18:54";60;0
"2025-07-02 18:19:25";60;0
"2025-07-02 18:19:55";60;0
"2025-07-02 18:20:25";59.99;0
"2025-07-02 18:20:55";60;0
"2025-07-02 18:21:25";59.99;0
"2025-07-02 18:21:55";59.72;0
"2025-07-02 18:22:25";59.13;0
"2025-07-02 18:22:55";59;0
"2025-07-02 18:23:25";59;0
"2025-07-02 18:23:55";59;0
"2025-07-02 18:24:25";59;0
"2025-07-02 18:24:55";59;0
"2025-07-02 18:25:25";59;0
"2025-07-02 18:25:55";59;0
"2025-07-02 18:26:25";59;0
"2025-07-02 18:26:55";59;0
"2025-07-02 18:27:25";59;0
"2025-07-02 18:27:55";59;0
"2025-07-02 18:28:25";59;0
"2025-07-02 18:28:55";59;0
"2025-07-02 18:29:25";58.99;0
"2025-07-02 18:29:55";58.99;0
"2025-07-02 18:30:25";58.99;0
"2025-07-02 18:30:55";58.97;0
"2025-07-02 18:31:25";59;0
"2025-07-02 18:31:55";58.99;0
"2025-07-02 18:32:25";58.97;0
"2025-07-02 18:32:55";58.95;0
"2025-07-02 18:33:25";58.97;0
"2025-07-02 18:33:55";58.97;0
"2025-07-02 18:34:25";58.88;0
"2025-07-02 18:34:55";58.81;0
"2025-07-02 18:35:25";58.88;0
"2025-07-02 18:35:56";58.81;0
"2025-07-02 18:36:26";58.86;0
"2025-07-02 18:36:56";58.75;0
"2025-07-02 18:37:26";58.77;0
"2025-07-02 18:37:56";58.70;0
"2025-07-02 18:38:26";58.97;0
"2025-07-02 18:38:56";59.43;0
"2025-07-02 18:39:26";62.45;0
"2025-07-02 18:39:56";67.51;0
"2025-07-02 18:40:26";74.04;0
"2025-07-02 18:40:56";79.65;0
"2025-07-02 18:41:26";84.08;0
"2025-07-02 18:41:56";87.43;0
"2025-07-02 18:42:26";89.65;0
"2025-07-02 18:42:56";90.98;0
"2025-07-02 18:43:26";91.02;0
"2025-07-02 18:43:56";91.16;0
"2025-07-02 18:44:26";90.98;0
"2025-07-02 18:44:56";90.06;0
"2025-07-02 18:45:26";89.38;0
"2025-07-02 18:45:56";88.62;0
"2025-07-02 18:46:26";87.31;0
"2025-07-02 18:46:56";86.26;0
"2025-07-02 18:47:26";85.01;0
"2025-07-02 18:47:56";83.83;0
"2025-07-02 18:48:26";82.55;0
"2025-07-02 18:48:56";81.29;0
"2025-07-02 18:49:26";79.97;0
"2025-07-02 18:49:56";78.76;0
"2025-07-02 18:50:26";77.59;0
"2025-07-02 18:50:56";76.44;0
"2025-07-02 18:51:26";75.33;0
"2025-07-02 18:51:56";74.26;0
"2025-07-02 18:52:27";73.19;0
"2025-07-02 18:52:57";72.16;0
"2025-07-02 18:53:27";71.38;0
"2025-07-02 18:53:57";70.44;0
"2025-07-02 18:54:27";69.58;0
"2025-07-02 18:54:57";68.95;0
"2025-07-02 18:55:27";68.04;0
"2025-07-02 18:55:57";67.66;0
"2025-07-02 18:56:27";66.98;0
"2025-07-02 18:56:57";66.27;0
"2025-07-02 18:57:27";66;0
"2025-07-02 18:57:57";65.56;0
"2025-07-02 18:58:27";65;0
"2025-07-02 18:58:57";65;0
"2025-07-02 18:59:27";64.26;0
"2025-07-02 18:59:57";64;0
