"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-07-02 18:19:57";80;0
"2025-07-02 18:20:27";70.06;0
"2025-07-02 18:20:57";59.18;0
"2025-07-02 18:21:27";52.97;0
"2025-07-02 18:21:57";48.88;0
"2025-07-02 18:22:27";45.97;0
"2025-07-02 18:22:57";43.31;0
"2025-07-02 18:23:27";41.61;0
"2025-07-02 18:23:57";39.68;0
"2025-07-02 18:24:27";38.65;0
"2025-07-02 18:24:57";37.34;0
"2025-07-02 18:25:27";36.45;0
"2025-07-02 18:25:58";35.56;0
"2025-07-02 18:26:28";34.68;0
"2025-07-02 18:26:58";34.06;0
"2025-07-02 18:27:28";33.75;0
"2025-07-02 18:27:58";32.88;0
"2025-07-02 18:28:28";32.15;0
"2025-07-02 18:28:58";32.20;0
"2025-07-02 18:29:28";31.97;0
"2025-07-02 18:29:58";31.48;0
"2025-07-02 18:30:28";31.17;0
"2025-07-02 18:30:58";31.14;0
"2025-07-02 18:31:28";30.06;0
"2025-07-02 18:31:58";29.97;0
"2025-07-02 18:32:28";29.62;0
"2025-07-02 18:32:58";29.88;0
"2025-07-02 18:33:28";29.34;0
"2025-07-02 18:33:58";29.04;0
"2025-07-02 18:34:28";29.01;0
"2025-07-02 18:34:58";28.94;0
"2025-07-02 18:35:28";28.77;0
"2025-07-02 18:35:58";28.48;0
"2025-07-02 18:36:28";28.38;0
"2025-07-02 18:36:58";28.06;0
"2025-07-02 18:37:28";28.06;0
"2025-07-02 18:37:58";27.92;0
"2025-07-02 18:38:28";28.04;0
"2025-07-02 18:38:58";30.62;0
"2025-07-02 18:39:28";36.88;0
"2025-07-02 18:39:58";46.68;0
"2025-07-02 18:40:28";58.77;0
"2025-07-02 18:40:58";69.09;0
"2025-07-02 18:41:28";76.54;0
"2025-07-02 18:41:58";81.55;0
"2025-07-02 18:42:29";86.90;0
"2025-07-02 18:42:59";88.19;0
"2025-07-02 18:43:29";89.77;0
"2025-07-02 18:43:59";88.97;0
"2025-07-02 18:44:29";89.76;0
