"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2023-12-13 20:56:21";8.96;0
"2023-12-13 20:56:41";11.64;0
"2023-12-13 20:57:01";12.30;0
"2023-12-13 20:57:21";12.22;0
"2023-12-13 20:57:42";12.09;0
"2023-12-13 20:58:02";11.77;0
"2023-12-13 20:58:22";12.13;0
"2023-12-13 20:58:42";12.30;0
"2023-12-13 20:59:02";11.90;0
"2023-12-13 20:59:22";11.96;0
"2023-12-13 20:59:42";12.17;0
"2023-12-13 21:00:02";12.09;0
"2023-12-13 21:00:22";12.03;0
"2023-12-13 21:00:42";12.47;0
"2023-12-13 21:01:02";12.26;0
"2023-12-13 21:01:22";12.39;0
"2023-12-13 21:01:42";12.52;0
"2023-12-13 21:02:02";12.35;0
"2023-12-13 21:02:22";26.61;15
"2023-12-13 21:02:42";38.29;100
"2023-12-13 21:03:02";37.47;89
"2023-12-13 21:03:22";36.95;83
"2023-12-13 21:03:42";36.43;77
"2023-12-13 21:04:02";36.47;78
"2023-12-13 21:04:22";36.43;77
"2023-12-13 21:04:42";36.52;78
"2023-12-13 21:05:02";36.13;74
"2023-12-13 21:05:22";36.16;75
"2023-12-13 21:05:42";35.86;71
"2023-12-13 21:06:02";35.86;71
"2023-12-13 21:06:22";35.95;72
"2023-12-13 21:06:42";35.74;70
"2023-12-13 21:07:02";35.47;68
"2023-12-13 21:07:22";35.56;68
"2023-12-13 21:07:42";35;63
"2023-12-13 21:08:02";35;63
"2023-12-13 21:08:22";35.13;64
"2023-12-13 21:08:43";35.13;64
"2023-12-13 21:09:03";34.86;62
"2023-12-13 21:09:23";34.70;60
"2023-12-13 21:09:43";34.61;60
"2023-12-13 21:10:03";34.61;60
"2023-12-13 21:10:23";34.65;60
"2023-12-13 21:10:43";34.74;61
"2023-12-13 21:11:03";34.61;60
"2023-12-13 21:11:23";34.65;60
"2023-12-13 21:11:43";34.38;58
"2023-12-13 21:12:03";34.47;58
"2023-12-13 21:12:23";34.34;57
"2023-12-13 21:12:43";34.25;57
"2023-12-13 21:13:03";34.09;55
"2023-12-13 21:13:23";34.16;56
"2023-12-13 21:13:43";34.04;55
"2023-12-13 21:14:03";34.13;55
"2023-12-13 21:14:23";33.83;53
"2023-12-13 21:14:43";34;54
"2023-12-13 21:15:03";33.83;53
"2023-12-13 21:15:23";33.70;52
"2023-12-13 21:15:43";33.86;53
"2023-12-13 21:16:03";33.77;53
"2023-12-13 21:16:23";33.90;54
"2023-12-13 21:16:43";33.65;52
"2023-12-13 21:17:03";33.56;51
"2023-12-13 21:17:23";33.38;50
"2023-12-13 21:17:43";33.29;49
"2023-12-13 21:18:03";33.47;50
"2023-12-13 21:18:23";33.56;51
"2023-12-13 21:18:43";33.47;50
"2023-12-13 21:19:03";33.22;48
"2023-12-13 21:19:23";33.34;49
"2023-12-13 21:19:43";33.29;49
"2023-12-13 21:20:04";33.09;47
"2023-12-13 21:20:24";33.25;49
"2023-12-13 21:20:44";32.86;46
"2023-12-13 21:21:04";33.09;47
"2023-12-13 21:21:24";33.13;48
"2023-12-13 21:21:44";32.83;45
"2023-12-13 21:22:04";32.90;46
"2023-12-13 21:22:24";32.86;46
"2023-12-13 21:22:44";32.86;46
"2023-12-13 21:23:04";32.61;44
"2023-12-13 21:23:24";33.04;47
"2023-12-13 21:23:44";32.74;45
"2023-12-13 21:24:04";32.70;45
"2023-12-13 21:24:24";32.65;44
"2023-12-13 21:24:44";32.47;43
"2023-12-13 21:25:04";32.70;45
"2023-12-13 21:25:24";32.29;42
"2023-12-13 21:25:44";32.25;42
"2023-12-13 21:26:04";32.29;42
"2023-12-13 21:26:24";32.25;42
"2023-12-13 21:26:44";32.04;40
"2023-12-13 21:27:04";32.09;40
"2023-12-13 21:27:24";31.61;37
"2023-12-13 21:27:44";32.13;41
"2023-12-13 21:28:04";32.04;40
"2023-12-13 21:28:24";31.87;39
"2023-12-13 21:28:44";31.95;40
"2023-12-13 21:29:04";31.87;39
"2023-12-13 21:29:24";31.70;38
"2023-12-13 21:29:44";31.43;36
"2023-12-13 21:30:04";31.52;37
"2023-12-13 21:30:24";31.70;38
"2023-12-13 21:30:44";31.64;38
"2023-12-13 21:31:05";31.70;38
"2023-12-13 21:31:25";31.87;39
"2023-12-13 21:31:45";31.61;37
"2023-12-13 21:32:05";31.43;36
"2023-12-13 21:32:25";19.35;0
