"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2023-12-13 20:56:11";6.96;0
"2023-12-13 20:56:31";11.22;0
"2023-12-13 20:56:51";12.52;0
"2023-12-13 20:57:11";12.26;0
"2023-12-13 20:57:31";11.90;0
"2023-12-13 20:57:51";12.22;0
"2023-12-13 20:58:11";12.03;0
"2023-12-13 20:58:31";12.09;0
"2023-12-13 20:58:51";12.26;0
"2023-12-13 20:59:12";12.30;0
"2023-12-13 20:59:32";12.30;0
"2023-12-13 20:59:52";12.43;0
"2023-12-13 21:00:12";12.56;0
"2023-12-13 21:00:32";12.47;0
"2023-12-13 21:00:52";12.35;0
"2023-12-13 21:01:12";12.47;0
"2023-12-13 21:01:32";12.43;0
"2023-12-13 21:01:52";12.47;0
"2023-12-13 21:02:12";44.86;767
"2023-12-13 21:02:32";93.73;36460
"2023-12-13 21:02:52";87.48;25145
"2023-12-13 21:03:12";87.61;25347
"2023-12-13 21:03:32";88.04;26028
"2023-12-13 21:03:52";88.34;26514
"2023-12-13 21:04:12";87.65;25414
"2023-12-13 21:04:32";86.83;24157
"2023-12-13 21:04:52";87.26;24812
"2023-12-13 21:05:12";86.51;23708
"2023-12-13 21:05:32";86.26;23328
"2023-12-13 21:05:52";85.16;21798
"2023-12-13 21:06:12";85.04;21620
"2023-12-13 21:06:32";84.30;20636
"2023-12-13 21:06:52";84.69;21152
"2023-12-13 21:07:12";84.48;20864
"2023-12-13 21:07:32";84.16;20466
"2023-12-13 21:07:52";84.22;20522
"2023-12-13 21:08:12";84.04;20297
"2023-12-13 21:08:32";84.26;20579
"2023-12-13 21:08:52";84.34;20692
"2023-12-13 21:09:12";84.61;21036
"2023-12-13 21:09:32";84;20241
"2023-12-13 21:09:52";83.77;19963
"2023-12-13 21:10:12";82.08;17901
"2023-12-13 21:10:33";82.65;18568
"2023-12-13 21:10:53";82.16;18002
"2023-12-13 21:11:13";83.38;19471
"2023-12-13 21:11:33";82.69;18620
"2023-12-13 21:11:53";82.95;18935
"2023-12-13 21:12:13";83;18988
"2023-12-13 21:12:33";82.48;18361
"2023-12-13 21:12:53";83.16;19201
"2023-12-13 21:13:13";83.34;19416
"2023-12-13 21:13:33";82.87;18830
"2023-12-13 21:13:53";82.83;18777
"2023-12-13 21:14:13";83.65;19798
"2023-12-13 21:14:33";84.16;20466
"2023-12-13 21:14:53";84.26;20579
"2023-12-13 21:15:13";83.65;19798
"2023-12-13 21:15:33";84.08;20353
"2023-12-13 21:15:53";82.34;18206
"2023-12-13 21:16:13";81.91;17700
"2023-12-13 21:16:33";81.48;17206
"2023-12-13 21:16:53";80.65;16298
"2023-12-13 21:17:13";81.48;17206
"2023-12-13 21:17:33";80.16;15790
"2023-12-13 21:17:53";80.83;16485
"2023-12-13 21:18:13";79.43;15032
"2023-12-13 21:18:33";79.95;15564
"2023-12-13 21:18:53";81.12;16818
"2023-12-13 21:19:13";80.83;16485
"2023-12-13 21:19:33";80.48;16112
"2023-12-13 21:19:53";80.48;16112
"2023-12-13 21:20:13";80.43;16065
"2023-12-13 21:20:33";80.26;15881
"2023-12-13 21:20:53";80.16;15790
"2023-12-13 21:21:13";80.34;15973
"2023-12-13 21:21:33";79.77;15385
"2023-12-13 21:21:54";80.87;16533
"2023-12-13 21:22:14";80.48;16112
"2023-12-13 21:22:34";80.73;16391
"2023-12-13 21:22:54";81.48;17206
"2023-12-13 21:23:14";81.56;17304
"2023-12-13 21:23:34";81.04;16723
"2023-12-13 21:23:54";81.65;17402
"2023-12-13 21:24:14";80.91;16580
"2023-12-13 21:24:34";80;15609
"2023-12-13 21:24:54";77.87;13525
"2023-12-13 21:25:14";77.12;12858
"2023-12-13 21:25:34";79.48;15076
"2023-12-13 21:25:54";80.48;16112
"2023-12-13 21:26:14";78.43;14054
"2023-12-13 21:26:34";80.16;15790
"2023-12-13 21:26:54";80.65;16298
"2023-12-13 21:27:14";80.56;16204
"2023-12-13 21:27:34";77.22;12935
"2023-12-13 21:27:54";77.83;13485
"2023-12-13 21:28:14";78.95;14557
"2023-12-13 21:28:34";77.87;13525
"2023-12-13 21:28:54";77.30;13013
"2023-12-13 21:29:14";78.61;14220
"2023-12-13 21:29:34";79.65;15252
"2023-12-13 21:29:54";79.12;14729
"2023-12-13 21:30:14";77.38;13091
"2023-12-13 21:30:34";76.30;12146
"2023-12-13 21:30:54";75.65;11606
"2023-12-13 21:31:14";73.43;9918
"2023-12-13 21:31:34";72.34;9168
"2023-12-13 21:31:54";74.43;10652
"2023-12-13 21:32:14";53.83;1958
