"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2024-04-28 11:19:21";189;16.54
"2024-04-28 11:19:41";188.44;16.42
"2024-04-28 11:20:01";184.86;15.61
"2024-04-28 11:20:21";182.80;15.18
"2024-04-28 11:20:41";180.75;14.73
"2024-04-28 11:21:01";179.58;14.50
"2024-04-28 11:21:21";178.50;14.27
"2024-04-28 11:21:41";177.69;14.10
"2024-04-28 11:22:01";176.30;13.81
"2024-04-28 11:22:21";175.88;13.73
"2024-04-28 11:22:41";175;13.56
"2024-04-28 11:23:01";174.64;13.48
"2024-04-28 11:23:21";175.22;13.60
"2024-04-28 11:23:41";181.91;14.98
"2024-04-28 11:24:01";186.66;16.02
"2024-04-28 11:24:21";179.82;14.53
"2024-04-28 11:24:41";179.10;14.39
"2024-04-28 11:25:01";179.03;14.38
"2024-04-28 11:25:21";179.41;14.46
"2024-04-28 11:25:41";177.94;14.14
"2024-04-28 11:26:01";176.11;13.77
"2024-04-28 11:26:21";175.44;13.64
"2024-04-28 11:26:41";174.21;13.39
"2024-04-28 11:27:01";172.97;13.15
"2024-04-28 11:27:21";172.91;13.14
"2024-04-28 11:27:41";172.33;13.03
"2024-04-28 11:28:01";171.58;12.89
"2024-04-28 11:28:21";171.05;12.79
"2024-04-28 11:28:41";170.99;12.77
"2024-04-28 11:29:01";170.24;12.64
"2024-04-28 11:29:21";170;12.59
"2024-04-28 11:29:41";169.83;12.56
"2024-04-28 11:30:01";169.16;12.43
"2024-04-28 11:30:21";168.97;12.39
"2024-04-28 11:30:41";168.39;12.28
"2024-04-28 11:31:01";168.08;12.22
"2024-04-28 11:31:21";168;12.22
"2024-04-28 11:31:41";167.99;12.22
"2024-04-28 11:32:01";167.13;12.06
"2024-04-28 11:32:21";166.99;12.02
"2024-04-28 11:32:41";166.55;11.94
"2024-04-28 11:33:01";166.02;11.85
"2024-04-28 11:33:21";166;11.85
"2024-04-28 11:33:41";165.97;11.85
"2024-04-28 11:34:01";165.46;11.75
"2024-04-28 11:34:21";164.30;11.53
"2024-04-28 11:34:41";165;11.67
"2024-04-28 11:35:01";165;11.67
"2024-04-28 11:35:21";165;11.67
"2024-04-28 11:35:41";164.57;11.59
"2024-04-28 11:36:01";164.08;11.50
"2024-04-28 11:36:21";164;11.48
"2024-04-28 11:36:41";164;11.48
"2024-04-28 11:37:01";164;11.48
"2024-04-28 11:37:21";164.35;11.55
"2024-04-28 11:37:41";164.25;11.53
"2024-04-28 11:38:01";164;11.48
"2024-04-28 11:38:21";163.83;11.46
"2024-04-28 11:38:41";163.89;11.47
"2024-04-28 11:39:02";163.69;11.43
"2024-04-28 11:39:22";163.52;11.40
"2024-04-28 11:39:42";163.30;11.36
"2024-04-28 11:40:02";163;11.31
"2024-04-28 11:40:22";163;11.31
"2024-04-28 11:40:42";162.85;11.28
"2024-04-28 11:41:02";162.19;11.17
"2024-04-28 11:41:22";162;11.14
"2024-04-28 11:41:42";162.02;11.14
"2024-04-28 11:42:02";162;11.14
"2024-04-28 11:42:22";162;11.14
"2024-04-28 11:42:42";162;11.14
"2024-04-28 11:43:02";161.99;11.14
"2024-04-28 11:43:22";161.66;11.07
"2024-04-28 11:43:42";161.14;10.98
"2024-04-28 11:44:02";161.03;10.97
"2024-04-28 11:44:22";161;10.97
"2024-04-28 11:44:42";160.99;10.97
"2024-04-28 11:45:02";160.72;10.92
"2024-04-28 11:45:22";160.24;10.84
"2024-04-28 11:45:42";160;10.80
