"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-04-28 11:19:51";217.16;1781.55
"2024-04-28 11:20:06";216.77;1773.19
"2024-04-28 11:20:21";216.42;1765.59
"2024-04-28 11:20:36";216.38;1764.38
"2024-04-28 11:20:51";216.13;1759.25
"2024-04-28 11:21:06";216.11;1758.52
"2024-04-28 11:21:21";215.92;1754.61
"2024-04-28 11:21:37";215.92;1754.61
"2024-04-28 11:21:52";215.69;1749.51
"2024-04-28 11:22:07";215.60;1747.32
"2024-04-28 11:22:22";215.47;1744.42
"2024-04-28 11:22:37";215.52;1745.63
"2024-04-28 11:22:52";215.41;1743.44
"2024-04-28 11:23:07";215.27;1740.06
"2024-04-28 11:23:22";215.10;1736.43
"2024-04-28 11:23:37";215.16;1737.64
"2024-04-28 11:23:52";214.99;1734.01
"2024-04-28 11:24:07";215.02;1734.97
"2024-04-28 11:24:22";228.89;2056.06
"2024-04-28 11:24:37";221.53;1880.77
"2024-04-28 11:24:52";220.66;1860.34
"2024-04-28 11:25:07";220.52;1857.56
"2024-04-28 11:25:22";220.27;1851.46
"2024-04-28 11:25:37";220.03;1846.41
"2024-04-28 11:25:52";219.77;1840.10
"2024-04-28 11:26:07";219.71;1838.83
"2024-04-28 11:26:22";219.53;1835.06
"2024-04-28 11:26:37";219.41;1832.30
"2024-04-28 11:26:52";219.16;1826.53
"2024-04-28 11:27:07";219.10;1825.03
"2024-04-28 11:27:23";218.86;1819.52
"2024-04-28 11:27:38";218.89;1820.52
"2024-04-28 11:27:53";218.63;1814.77
"2024-04-28 11:28:08";218.71;1816.27
"2024-04-28 11:28:23";218.50;1811.53
"2024-04-28 11:28:38";218.58;1813.52
"2024-04-28 11:28:53";218.38;1809.04
"2024-04-28 11:29:08";218.44;1810.28
"2024-04-28 11:29:23";218.25;1806.05
"2024-04-28 11:29:38";218.27;1806.55
"2024-04-28 11:29:53";218.03;1801.32
"2024-04-28 11:30:08";218.05;1801.57
"2024-04-28 11:30:23";217.83;1796.61
"2024-04-28 11:30:38";217.66;1792.66
"2024-04-28 11:30:53";217.52;1789.68
"2024-04-28 11:31:08";217.58;1790.93
"2024-04-28 11:31:23";217.39;1786.97
"2024-04-28 11:31:38";217.44;1787.95
"2024-04-28 11:31:53";217.27;1784.27
"2024-04-28 11:32:08";217.32;1785.25
"2024-04-28 11:32:23";217.16;1781.80
"2024-04-28 11:32:38";217.17;1782.05
"2024-04-28 11:32:53";217.02;1778.84
"2024-04-28 11:33:08";217.02;1778.84
"2024-04-28 11:33:24";216.83;1774.67
"2024-04-28 11:33:39";216.97;1777.36
"2024-04-28 11:33:54";216.78;1773.43
"2024-04-28 11:34:09";216.83;1774.43
"2024-04-28 11:34:24";216.74;1772.45
"2024-04-28 11:34:39";216.74;1772.45
"2024-04-28 11:34:54";216.66;1770.75
"2024-04-28 11:35:09";216.72;1771.96
"2024-04-28 11:35:24";216.53;1768.05
"2024-04-28 11:35:39";216.66;1770.75
"2024-04-28 11:35:54";216.52;1767.81
"2024-04-28 11:36:09";216.67;1770.98
"2024-04-28 11:36:24";216.47;1766.57
"2024-04-28 11:36:39";216.61;1769.52
"2024-04-28 11:36:54";216.50;1767.31
"2024-04-28 11:37:09";216.63;1770.01
"2024-04-28 11:37:24";216.52;1767.56
"2024-04-28 11:37:39";216.63;1770.01
"2024-04-28 11:37:54";216.50;1767.06
"2024-04-28 11:38:09";216.60;1769.28
"2024-04-28 11:38:24";216.44;1765.84
"2024-04-28 11:38:39";216.58;1768.79
"2024-04-28 11:38:54";216.42;1765.59
"2024-04-28 11:39:10";216.53;1768.05
"2024-04-28 11:39:25";216.33;1763.40
"2024-04-28 11:39:40";216.38;1764.63
"2024-04-28 11:39:55";216.21;1760.71
"2024-04-28 11:40:10";216.33;1763.40
"2024-04-28 11:40:25";216.19;1760.22
"2024-04-28 11:40:40";216.19;1760.46
"2024-04-28 11:40:55";216.08;1758.03
