"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2024-08-31 12:22:48";193;15.72
"2024-08-31 12:23:18";163.88;10.31
"2024-08-31 12:23:48";124.98;5.28
"2024-08-31 12:24:18";109.58;0
"2024-08-31 12:24:48";101.66;0
"2024-08-31 12:25:18";98.47;0
"2024-08-31 12:25:48";92.72;0
"2024-08-31 12:26:18";89.22;0
"2024-08-31 12:26:48";86.75;0
"2024-08-31 12:27:18";84.70;0
"2024-08-31 12:27:48";83.23;0
"2024-08-31 12:28:18";82.29;0
"2024-08-31 12:28:48";80.80;0
"2024-08-31 12:29:18";79.69;0
"2024-08-31 12:29:48";78.72;0
"2024-08-31 12:30:18";77.91;0
"2024-08-31 12:30:49";77.05;0
"2024-08-31 12:31:19";76.51;0
"2024-08-31 12:31:49";75.98;0
"2024-08-31 12:32:19";75.37;0
"2024-08-31 12:32:49";74.95;0
"2024-08-31 12:33:19";74.30;0
"2024-08-31 12:33:49";74;0
"2024-08-31 12:34:19";73.88;0
"2024-08-31 12:34:49";73.30;0
"2024-08-31 12:35:19";73.01;0
"2024-08-31 12:35:49";72.86;0
"2024-08-31 12:36:19";72.23;0
"2024-08-31 12:36:49";72.01;0
"2024-08-31 12:37:19";71.91;0
"2024-08-31 12:37:49";71.65;0
"2024-08-31 12:38:19";71.05;0
"2024-08-31 12:38:49";71;0
"2024-08-31 12:39:19";70.91;0
"2024-08-31 12:39:49";70.50;0
"2024-08-31 12:40:19";70.22;0
"2024-08-31 12:40:49";70.02;0
"2024-08-31 12:41:19";69.98;0
"2024-08-31 12:41:49";69.94;0
"2024-08-31 12:42:19";69.72;0
"2024-08-31 12:42:49";69.47;0
"2024-08-31 12:43:19";69.20;0
"2024-08-31 12:43:49";69.19;0
"2024-08-31 12:44:19";68.98;0
"2024-08-31 12:44:49";68.98;0
"2024-08-31 12:45:19";68.88;0
"2024-08-31 12:45:49";68.63;0
"2024-08-31 12:46:19";69.26;0
"2024-08-31 12:46:49";69.61;0
"2024-08-31 12:47:19";68.47;0
"2024-08-31 12:47:49";68.04;0
"2024-08-31 12:48:19";68;0
"2024-08-31 12:48:50";67.97;0
"2024-08-31 12:49:20";67.94;0
"2024-08-31 12:49:50";67.76;0
"2024-08-31 12:50:20";67.58;0
"2024-08-31 12:50:50";67.37;0
"2024-08-31 12:51:20";67.26;0
"2024-08-31 12:51:50";67.15;0
"2024-08-31 12:52:20";67.06;0
"2024-08-31 12:52:50";67.01;0
"2024-08-31 12:53:20";67.12;0
"2024-08-31 12:53:50";67.88;0
"2024-08-31 12:54:20";67.12;0
"2024-08-31 12:54:50";66.98;0
"2024-08-31 12:55:20";66.95;0
"2024-08-31 12:55:50";66.79;0
"2024-08-31 12:56:20";66.56;0
"2024-08-31 12:56:50";66.45;0
"2024-08-31 12:57:20";66.31;0
"2024-08-31 12:57:50";66.08;0
"2024-08-31 12:58:20";66.05;0
"2024-08-31 12:58:50";66.01;0
"2024-08-31 12:59:20";66.02;0
"2024-08-31 12:59:50";66;0
"2024-08-31 13:00:20";66.98;0
"2024-08-31 13:00:50";67.37;0
"2024-08-31 13:01:20";66.97;0
"2024-08-31 13:01:50";66.31;0
"2024-08-31 13:02:20";66.09;0
"2024-08-31 13:02:50";66.01;0
"2024-08-31 13:03:20";66;0
"2024-08-31 13:03:50";65.98;0
"2024-08-31 13:04:20";65.95;0
"2024-08-31 13:04:50";65.76;0
"2024-08-31 13:05:20";65.54;0
"2024-08-31 13:05:50";65.44;0
"2024-08-31 13:06:21";65.31;0
"2024-08-31 13:06:51";65.25;0
"2024-08-31 13:07:21";65.23;0
"2024-08-31 13:07:51";65.19;0
"2024-08-31 13:08:21";65.05;0
"2024-08-31 13:08:51";65.02;0
"2024-08-31 13:09:21";65.01;0
"2024-08-31 13:09:51";65.02;0
"2024-08-31 13:10:21";65;0
"2024-08-31 13:10:51";64.98;0
"2024-08-31 13:11:21";64.98;0
"2024-08-31 13:11:51";64.98;0
"2024-08-31 13:12:21";64.98;0
"2024-08-31 13:12:51";64.95;0
"2024-08-31 13:13:21";64.94;0
"2024-08-31 13:13:51";64.90;0
"2024-08-31 13:14:21";64.87;0
"2024-08-31 13:14:51";64.93;0
"2024-08-31 13:15:21";64.87;0
"2024-08-31 13:15:51";64.79;0
"2024-08-31 13:16:21";64.69;0
"2024-08-31 13:16:51";64.69;0
"2024-08-31 13:17:21";64.61;0
"2024-08-31 13:17:51";64.51;0
"2024-08-31 13:18:21";64.48;0
"2024-08-31 13:18:51";64.43;0
"2024-08-31 13:19:21";64.38;0
"2024-08-31 13:19:51";64.29;0
"2024-08-31 13:20:21";64.31;0
"2024-08-31 13:20:51";64.26;0
"2024-08-31 13:21:21";64.23;0
"2024-08-31 13:21:51";64.15;0
"2024-08-31 13:22:21";64.12;0
"2024-08-31 13:22:51";64.05;0
"2024-08-31 13:23:21";64.08;0
"2024-08-31 13:23:51";64.08;0
"2024-08-31 13:24:22";64.04;0
"2024-08-31 13:24:52";64.01;0
"2024-08-31 13:25:22";64.05;0
"2024-08-31 13:25:52";64.01;0
"2024-08-31 13:26:22";64.01;0
"2024-08-31 13:26:52";64.01;0
"2024-08-31 13:27:22";64;0
"2024-08-31 13:27:52";64.01;0
"2024-08-31 13:28:22";64.01;0
"2024-08-31 13:28:52";64;0
"2024-08-31 13:29:22";64;0
"2024-08-31 13:29:52";64.01;0
"2024-08-31 13:30:22";64;0
"2024-08-31 13:30:52";64;0
"2024-08-31 13:31:22";64;0
"2024-08-31 13:31:52";64;0
"2024-08-31 13:32:22";64.01;0
"2024-08-31 13:32:52";64;0
"2024-08-31 13:33:22";64;0
"2024-08-31 13:33:52";64;0
"2024-08-31 13:34:22";64;0
"2024-08-31 13:34:52";64;0
"2024-08-31 13:35:22";64;0
"2024-08-31 13:35:52";64;0
"2024-08-31 13:36:22";64;0
"2024-08-31 13:36:52";64;0
"2024-08-31 13:37:22";64;0
"2024-08-31 13:37:52";64;0
"2024-08-31 13:38:22";64;0
"2024-08-31 13:38:52";64;0
"2024-08-31 13:39:22";64;0
"2024-08-31 13:39:52";64;0
"2024-08-31 13:40:22";64;0
"2024-08-31 13:40:52";64;0
"2024-08-31 13:41:22";64;0
"2024-08-31 13:41:52";64;0
"2024-08-31 13:42:23";64;0
"2024-08-31 13:42:53";64;0
"2024-08-31 13:43:23";64;0
"2024-08-31 13:43:53";64;0
"2024-08-31 13:44:23";64;0
"2024-08-31 13:44:53";63.97;0
"2024-08-31 13:45:23";63.97;0
"2024-08-31 13:45:53";63.95;0
"2024-08-31 13:46:23";63.97;0
"2024-08-31 13:46:53";63.97;0
"2024-08-31 13:47:23";63.99;0
"2024-08-31 13:47:53";63.93;0
"2024-08-31 13:48:23";63.99;0
"2024-08-31 13:48:53";63.97;0
"2024-08-31 13:49:23";63.95;0
"2024-08-31 13:49:53";63.90;0
"2024-08-31 13:50:23";63.91;0
"2024-08-31 13:50:53";63.93;0
"2024-08-31 13:51:23";63.93;0
"2024-08-31 13:51:53";63.91;0
"2024-08-31 13:52:23";63.84;0
"2024-08-31 13:52:53";63.79;0
"2024-08-31 13:53:23";63.81;0
"2024-08-31 13:53:53";63.77;0
"2024-08-31 13:54:23";63.74;0
"2024-08-31 13:54:53";63.72;0
"2024-08-31 13:55:23";63.72;0
"2024-08-31 13:55:53";63.68;0
"2024-08-31 13:56:23";63.68;0
"2024-08-31 13:56:53";63.61;0
"2024-08-31 13:57:23";63.49;0
"2024-08-31 13:57:53";63.49;0
"2024-08-31 13:58:23";63.54;0
"2024-08-31 13:58:53";63.52;0
"2024-08-31 13:59:23";63.52;0
"2024-08-31 13:59:53";63.38;0
"2024-08-31 14:00:24";63.38;0
"2024-08-31 14:00:54";63.27;0
"2024-08-31 14:01:24";63.31;0
"2024-08-31 14:01:54";63.36;0
"2024-08-31 14:02:24";63.36;0
"2024-08-31 14:02:54";63.31;0
"2024-08-31 14:03:24";63.31;0
"2024-08-31 14:03:54";63.31;0
"2024-08-31 14:04:24";63.31;0
"2024-08-31 14:04:54";63.29;0
"2024-08-31 14:05:24";63.25;0
"2024-08-31 14:05:54";63.25;0
"2024-08-31 14:06:24";63.25;0
"2024-08-31 14:06:54";63.25;0
"2024-08-31 14:07:24";63.20;0
"2024-08-31 14:07:54";63.27;0
"2024-08-31 14:08:24";63.13;0
"2024-08-31 14:08:54";63.13;0
"2024-08-31 14:09:24";63.13;0
"2024-08-31 14:09:54";63.09;0
"2024-08-31 14:10:24";63.20;0
"2024-08-31 14:10:54";63.27;0
"2024-08-31 14:11:24";63.31;0
"2024-08-31 14:11:54";63.25;0
"2024-08-31 14:12:24";63.13;0
"2024-08-31 14:12:54";63.09;0
"2024-08-31 14:13:24";63.04;0
"2024-08-31 14:13:54";63.04;0
"2024-08-31 14:14:24";63.02;0
"2024-08-31 14:14:54";63.04;0
"2024-08-31 14:15:24";63.06;0
"2024-08-31 14:15:54";63.04;0
"2024-08-31 14:16:24";63.02;0
"2024-08-31 14:16:54";63.04;0
"2024-08-31 14:17:24";62.99;0
"2024-08-31 14:17:54";63;0
"2024-08-31 14:18:25";63.09;0
"2024-08-31 14:18:55";63.08;0
"2024-08-31 14:19:25";63.04;0
"2024-08-31 14:19:55";63.02;0
"2024-08-31 14:20:25";63.18;0
"2024-08-31 14:20:55";63;0
"2024-08-31 14:21:25";63;0
"2024-08-31 14:21:55";62.93;0
"2024-08-31 14:22:25";62.97;0
"2024-08-31 14:22:55";63.04;0
"2024-08-31 14:23:25";62.93;0
"2024-08-31 14:23:55";62.93;0
"2024-08-31 14:24:25";62.91;0
"2024-08-31 14:24:55";62.95;0
"2024-08-31 14:25:25";62.86;0
"2024-08-31 14:25:55";62.88;0
