"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-11 13:47:48";72;49.61
"2024-05-11 13:48:18";51.18;22.92
"2024-05-11 13:48:48";35.13;9.94
"2024-05-11 13:49:18";30.20;7.13
"2024-05-11 13:49:48";27.96;6.03
"2024-05-11 13:50:18";26.70;5.44
"2024-05-11 13:50:48";25.98;5.13
"2024,05-11 13:51:18";25.28;4.82
"2024-05-11 13:51:49";25;4.71
"2024-05-11 13:52:19";24.97;4.71
"2024-05-11 13:52:49";24.57;4.55
"2024-05-11 13:53:19";24.17;4.38
"2024-05-11 13:53:49";24.01;4.32
"2024-05-11 13:54:19";24;0
"2024-05-11 13:54:49";24;0
"2024-05-11 13:55:19";24;0
"2024-05-11 13:55:49";24;0
"2024-05-11 13:56:19";24;0
"2024-05-11 13:56:49";24;0
"2024-05-11 13:57:19";24;0
"2024-05-11 13:57:50";24;0
"2024-05-11 13:58:20";23.97;0
"2024-05-11 13:58:50";23.98;0
"2024-05-11 13:59:20";23.98;0
"2024-05-11 13:59:50";23.97;0
"2024-05-11 14:00:20";23.95;0
"2024-05-11 14:00:50";23.95;0
"2024-05-11 14:01:20";23.93;0
"2024-05-11 14:01:50";23.96;0
"2024-05-11 14:02:20";23.19;0
"2024-05-11 14:02:50";23.21;0
"2024-05-11 14:03:21";23.11;0
"2024-05-11 14:03:51";23.15;0
"2024-05-11 14:04:21";23.06;0
"2024-05-11 14:04:51";23.05;0
"2024-05-11 14:05:21";23.82;0
"2024-05-11 14:05:51";23.96;0
"2024-05-11 14:06:21";24.02;4.32
"2024-05-11 14:06:51";24.02;4.32
"2024-05-11 14:07:21";24.01;4.32
"2024-05-11 14:07:51";24.03;4.32
"2024-05-11 14:08:21";24.04;4.32
"2024-05-11 14:08:51";24.05;4.34
"2024-05-11 14:09:22";24.30;4.44
"2024-05-11 14:09:52";24.87;4.67
