"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-11 14:27:15";16;0
"2024-05-11 14:27:45";16;0
"2024-05-11 14:28:16";16;0
"2024-05-11 14:28:46";16;0
"2024-05-11 14:29:16";16;0
"2024-05-11 14:29:46";16;0
"2024-05-11 14:30:16";16;0
"2024-05-11 14:30:46";16;0
"2024-05-11 14:31:16";16;0
"2024-05-11 14:31:46";16;0
"2024-05-11 14:32:16";16;0
"2024-05-11 14:32:46";16;0
"2024-05-11 14:33:16";16;0
"2024-05-11 14:33:47";16;0
"2024-05-11 14:34:17";16;0
"2024-05-11 14:34:47";16;0
"2024-05-11 14:35:17";16;0
"2024-05-11 14:35:47";16;0
"2024-05-11 14:36:17";16;0
"2024-05-11 14:36:47";16;0
"2024-05-11 14:37:17";16;0
"2024-05-11 14:37:47";16;0
"2024-05-11 14:38:17";16;0
"2024-05-11 14:38:47";16;0
"2024-05-11 14:39:17";16;0
"2024-05-11 14:39:48";16;0
"2024-05-11 14:40:18";16;0
"2024-05-11 14:40:48";16;0
"2024-05-11 14:41:18";16;0
"2024-05-11 14:41:48";16;0
"2024-05-11 14:42:18";16;0
"2024-05-11 14:42:48";16;0
"2024-05-11 14:43:18";16;0
"2024-05-11 14:43:48";16;0
"2024-05-11 14:44:18";16;0
"2024-05-11 14:44:48";16;0
"2024-05-11 14:45:19";16;0
"2024-05-11 14:45:49";16;0
"2024-05-11 14:46:19";16;0
"2024-05-11 14:46:49";16;0
"2024-05-11 14:47:19";16;0
"2024-05-11 14:47:49";16;0
"2024-05-11 14:48:19";16;0
"2024-05-11 14:48:49";16;0
"2024-05-11 14:49:19";16;0
"2024-05-11 14:49:49";16;0
"2024-05-11 14:50:19";16;0
"2024-05-11 14:50:50";16;0
"2024-05-11 14:51:20";16;0
"2024-05-11 14:51:50";16;0
"2024-05-11 14:52:20";16;0
"2024-05-11 14:52:50";16;0
"2024-05-11 14:53:20";16;0
"2024-05-11 14:53:50";16;0
"2024-05-11 14:54:20";15.98;0
"2024-05-11 14:54:50";16;0
"2024-05-11 14:55:20";16;0
"2024-05-11 14:55:50";16;0
"2024-05-11 14:56:20";16;0
"2024-05-11 14:56:51";16;0
"2024-05-11 14:57:21";16;0
"2024-05-11 14:57:51";16;0
"2024-05-11 14:58:21";15.98;0
"2024-05-11 14:58:51";16;0
"2024-05-11 14:59:21";16;0
"2024-05-11 14:59:51";15.98;0
"2024-05-11 15:00:21";16;0
"2024-05-11 15:00:51";15.98;0
"2024-05-11 15:01:21";16;0
"2024-05-11 15:01:51";15.98;0
"2024-05-11 15:02:22";16;0
"2024-05-11 15:02:52";15.98;0
"2024-05-11 15:03:22";15.97;0
"2024-05-11 15:03:52";15.97;0
"2024-05-11 15:04:22";15.98;0
"2024-05-11 15:04:52";15.98;0
"2024-05-11 15:05:22";16;0
"2024-05-11 15:05:52";15.97;0
"2024-05-11 15:06:22";16;0
"2024-05-11 15:06:52";16;0
"2024-05-11 15:07:22";16;0
"2024-05-11 15:07:52";16;0
"2024-05-11 15:08:23";15.98;0
"2024-05-11 15:08:53";15.98;0
"2024-05-11 15:09:23";15.97;0
"2024-05-11 15:09:53";15.98;0
"2024-05-11 15:10:23";16;0
"2024-05-11 15:10:53";16;0
"2024-05-11 15:11:23";16;0
"2024-05-11 15:11:53";16;0
"2024-05-11 15:12:23";16;0
"2024-05-11 15:12:53";15.98;0
"2024-05-11 15:13:23";15.98;0
"2024-05-11 15:13:53";16;0
"2024-05-11 15:14:24";16;0
"2024-05-11 15:14:54";15.98;0
"2024-05-11 15:15:24";15.98;0
"2024-05-11 15:15:54";15.97;0
"2024-05-11 15:16:24";15.97;0
"2024-05-11 15:16:54";15.93;0
"2024-05-11 15:17:24";15.92;0
"2024-05-11 15:17:54";15.97;0
"2024-05-11 15:18:24";15.94;0
"2024-05-11 15:18:54";15.97;0
"2024-05-11 15:19:24";15.97;0
"2024-05-11 15:19:55";15.96;0
"2024-05-11 15:20:25";15.96;0
"2024-05-11 15:20:55";15.97;0
"2024-05-11 15:21:25";15.98;0
"2024-05-11 15:21:55";15.97;0
"2024-05-11 15:22:25";15.98;0
"2024-05-11 15:22:55";15.98;0
"2024-05-11 15:23:25";15.94;0
"2024-05-11 15:23:55";15.96;0
"2024-05-11 15:24:25";15.97;0
"2024-05-11 15:24:55";15.97;0
"2024-05-11 15:25:26";15.98;0
"2024-05-11 15:25:56";15.96;0
"2024-05-11 15:26:26";16;0
"2024-05-11 15:26:56";15.98;0
"2024-05-11 15:27:26";15.97;0
"2024-05-11 15:27:56";16;0
"2024-05-11 15:28:26";16;0
"2024-05-11 15:28:56";16;0
"2024-05-11 15:29:26";16;0
"2024-05-11 15:29:56";16;0
"2024-05-11 15:30:26";15.98;0
"2024-05-11 15:30:56";15.97;0
"2024-05-11 15:31:27";15.98;0
"2024-05-11 15:31:57";15.98;0
"2024-05-11 15:32:27";15.98;0
"2024-05-11 15:32:57";15.97;0
"2024-05-11 15:33:27";16;0
"2024-05-11 15:33:57";16;0
"2024-05-11 15:34:27";16;0
"2024-05-11 15:34:57";15.97;0
"2024-05-11 15:35:27";16;0
"2024-05-11 15:35:57";15.98;0
"2024-05-11 15:36:27";15.98;0
"2024-05-11 15:36:58";15.98;0
"2024-05-11 15:37:28";15.97;0
"2024-05-11 15:37:58";15.97;0
"2024-05-11 15:38:28";15.98;0
"2024-05-11 15:38:58";15.98;0
"2024-05-11 15:39:28";15.97;0
"2024-05-11 15:39:58";15.98;0
"2024-05-11 15:40:28";15.96;0
"2024-05-11 15:40:58";15.97;0
"2024-05-11 15:41:28";15.97;0
"2024-05-11 15:41:58";15.98;0
"2024-05-11 15:42:28";16;0
"2024-05-11 15:42:59";16;0
"2024-05-11 15:43:29";16;0
"2024-05-11 15:43:59";15.98;0
"2024-05-11 15:44:29";15.97;0
"2024-05-11 15:44:59";16;0
"2024-05-11 15:45:29";16;0
"2024-05-11 15:45:59";16;0
"2024-05-11 15:46:29";16;0
"2024-05-11 15:46:59";16;0
"2024-05-11 15:47:29";15.98;0
"2024-05-11 15:47:59";15.98;0
"2024-05-11 15:48:30";15.98;0
"2024-05-11 15:49:00";15.94;0
"2024-05-11 15:49830";15.98;0
"2024-05-11 15:50:00";16;0
