"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-11 14:15:58";17.67;0
"2024-05-11 14:16:28";17.96;0
"2024-05-11 14:16:58";17.87;0
"2024-05-11 14:17:28";17.93;0
"2024-05-11 14:17:58";17.94;0
"2024-05-11 14:18:28";17.88;0
"2024-05-11 14:18:58";17.94;0
"2024-05-11 14:19:28";17.88;0
"2024-05-11 14:19:58";17.89;0
"2024-05-11 14:20:28";17.84;0
"2024-05-11 14:20:58";17.87;0
"2024-05-11 14:21:28";17.93;0
"2024-05-11 14:21:58";17.90;0
"2024-05-11 14:22:28";17.95;0
"2024-05-11 14:22:58";17.98;0
"2024-05-11 14:23:28";18.03;4.32
"2024-05-11 14:23:58";17.94;0
"2024-05-11 14:24:28";17.92;0
"2024-05-11 14:24:58";17.97;0
"2024-05-11 14:25:29";17.96;0
"2024-05-11 14:25:59";17.96;0
"2024-05-11 14:26:29";18.01;4.32
