"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2025-02-17 21:57:43";7.38;0
"2025-02-17 21:58:13";10.13;0
"2025-02-17 21:58:43";10.38;0
"2025-02-17 21:59:13";9.50;0
"2025-02-17 21:59:43";9.50;0
"2025-02-17 22:00:13";9.13;0
"2025-02-17 22:00:43";8.75;0
"2025-02-17 22:01:13";8.88;0
"2025-02-17 22:01:43";8.38;0
"2025-02-17 22:02:13";8.50;0
"2025-02-17 22:02:43";8.50;0
"2025-02-17 22:03:13";8.63;0
"2025-02-17 22:03:43";8.25;0
"2025-02-17 22:04:13";8.13;0
"2025-02-17 22:04:43";8.63;0
"2025-02-17 22:05:13";8.75;0
"2025-02-17 22:05:43";8.13;0
"2025-02-17 22:06:13";8.50;0
"2025-02-17 22:06:43";8.25;0
"2025-02-17 22:07:13";8.25;0
"2025-02-17 22:07:43";8.38;0
"2025-02-17 22:08:13";8.38;0
"2025-02-17 22:08:43";8.38;0
"2025-02-17 22:09:13";8.25;0
"2025-02-17 22:09:43";8.25;0
"2025-02-17 22:10:13";8.38;0
"2025-02-17 22:10:43";8.50;0
"2025-02-17 22:11:13";8.75;0
"2025-02-17 22:11:43";8.25;0
"2025-02-17 22:12:13";8.38;0
"2025-02-17 22:12:43";8.50;0
"2025-02-17 22:13:13";8.63;0
"2025-02-17 22:13:43";8.50;0
"2025-02-17 22:14:13";8.38;0
"2025-02-17 22:14:43";8;0
"2025-02-17 22:15:13";8.13;0
"2025-02-17 22:15:43";8.13;0
"2025-02-17 22:16:13";8.50;0
"2025-02-17 22:16:43";8.25;0
"2025-02-17 22:17:13";8.50;0
"2025-02-17 22:17:43";8.25;0
"2025-02-17 22:18:13";8.38;0
"2025-02-17 22:18:43";8.38;0
"2025-02-17 22:19:13";8.25;0
"2025-02-17 22:19:43";8;0
"2025-02-17 22:20:13";8.13;0
"2025-02-17 22:20:43";8.38;0
"2025-02-17 22:21:13";8.25;0
"2025-02-17 22:21:43";8.13;0
"2025-02-17 22:22:13";8.63;0
"2025-02-17 22:22:43";8.50;0
"2025-02-17 22:23:13";8.38;0
"2025-02-17 22:23:43";8.25;0
"2025-02-17 22:24:13";8.50;0
"2025-02-17 22:24:43";8.25;0
"2025-02-17 22:25:13";8.25;0
"2025-02-17 22:25:43";8.38;0
"2025-02-17 22:26:13";8;0
"2025-02-17 22:26:43";8.25;0
"2025-02-17 22:27:13";8.25;0
"2025-02-17 22:27:43";8.13;0
"2025-02-17 22:28:13";8.13;0
"2025-02-17 22:28:43";8.25;0
"2025-02-17 22:29:13";8;0
"2025-02-17 22:29:43";8.38;0
"2025-02-17 22:30:13";8.13;0
"2025-02-17 22:30:43";8.25;0
"2025-02-17 22:31:13";8.38;0
"2025-02-17 22:31:43";8.25;0
"2025-02-17 22:32:13";8.13;0
"2025-02-17 22:32:43";8.38;0
"2025-02-17 22:33:13";8.13;0
"2025-02-17 22:33:43";8.25;0
"2025-02-17 22:34:13";8.25;0
"2025-02-17 22:34:43";8.25;0
"2025-02-17 22:35:13";8.13;0
"2025-02-17 22:35:43";8.38;0
"2025-02-17 22:36:13";8.38;0
"2025-02-17 22:36:43";8.38;0
"2025-02-17 22:37:13";8.38;0
"2025-02-17 22:37:43";8.13;0
"2025-02-17 22:38:13";8.50;0
"2025-02-17 22:38:43";8;0
"2025-02-17 22:39:13";8.50;0
"2025-02-17 22:39:43";8.13;0
"2025-02-17 22:40:13";8.25;0
"2025-02-17 22:40:43";8.25;0
"2025-02-17 22:41:13";8.13;0
"2025-02-17 22:41:43";8.13;0
"2025-02-17 22:42:13";8.38;0
"2025-02-17 22:42:43";8.38;0
"2025-02-17 22:43:13";8.38;0
"2025-02-17 22:43:43";8.25;0
"2025-02-17 22:44:13";8.13;0
"2025-02-17 22:44:43";8.25;0
"2025-02-17 22:45:13";8.38;0
"2025-02-17 22:45:43";8.38;0
"2025-02-17 22:46:13";8.25;0
"2025-02-17 22:46:43";8.25;0
"2025-02-17 22:47:13";8;0
"2025-02-17 22:47:44";8.50;0
"2025-02-17 22:48:14";8.25;0
"2025-02-17 22:48:44";8.25;0
"2025-02-17 22:49:14";8.13;0
"2025-02-17 22:49:44";8.50;0
"2025-02-17 22:50:14";8.38;0
"2025-02-17 22:50:44";8.25;0
"2025-02-17 22:51:14";8.25;0
"2025-02-17 22:51:44";8.25;0
"2025-02-17 22:52:14";8.13;0
"2025-02-17 22:52:44";8.25;0
"2025-02-17 22:53:14";7.88;0
"2025-02-17 22:53:44";8;0
