"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2023-12-03 10:46:54";450.35;0
"2023-12-03 10:46:54";450.35;0
"2023-12-03 10:46:55";452.82;0
"2023-12-03 10:46:56";455.29;0
"2023-12-03 10:46:57";457.77;0
"2023-12-03 10:46:58";460.29;0
"2023-12-03 10:46:59";462.82;0
"2023-12-03 10:47:00";465.29;0
"2023-12-03 10:47:01";467.82;0
"2023-12-03 10:47:02";470.29;0
"2023-12-03 10:47:03";472.77;0
"2023-12-03 10:47:04";475.29;0
"2023-12-03 10:47:05";477.82;0
"2023-12-03 10:47:06";480.39;0
"2023-12-03 10:47:07";482.91;0
"2023-12-03 10:47:08";485.42;0
"2023-12-03 10:47:09";487.95;0
"2023-12-03 10:47:10";490.48;0
"2023-12-03 10:47:11";493;0
"2023-12-03 10:47:12";495.51;0
"2023-12-03 10:47:13";498.08;0
"2023-12-03 10:47:14";500.64;0
"2023-12-03 10:47:15";503.22;0
"2023-12-03 10:47:16";505.77;0
"2023-12-03 10:47:17";508.35;0
"2023-12-03 10:47:18";508.64;0
"2023-12-03 10:47:19";508.86;0
"2023-12-03 10:47:20";509.17;0
"2023-12-03 10:47:21";509.48;0
"2023-12-03 10:47:22";509.73;0
"2023-12-03 10:47:23";510;0
"2023-12-03 10:47:24";510.26;0
"2023-12-03 10:47:25";510.48;0
"2023-12-03 10:47:26";510.70;0
"2023-12-03 10:47:27";510.86;0
"2023-12-03 10:47:28";511.04;0
"2023-12-03 10:47:29";511.17;0
"2023-12-03 10:47:30";511.29;0
"2023-12-03 10:47:31";511.42;0
"2023-12-03 10:47:32";511.51;0
"2023-12-03 10:47:33";511.60;0
"2023-12-03 10:47:34";511.70;0
"2023-12-03 10:47:35";511.77;0
"2023-12-03 10:47:36";511.82;0
"2023-12-03 10:47:37";511.86;0
"2023-12-03 10:47:38";511.91;0
"2023-12-03 10:47:39";511.91;0
"2023-12-03 10:47:40";511.95;0
"2023-12-03 10:47:41";512;0
"2023-12-03 10:47:42";512;0
"2023-12-03 10:47:43";512;0
"2023-12-03 10:47:44";512;0
"2023-12-03 10:47:45";512;0
"2023-12-03 10:47:46";512;0
"2023-12-03 10:47:47";512;0
"2023-12-03 10:47:48";512;0
"2023-12-03 10:47:49";512;0
"2023-12-03 10:47:50";511.95;0
"2023-12-03 10:47:51";511.91;0
"2023-12-03 10:47:52";511.86;0
"2023-12-03 10:47:53";511.82;0
"2023-12-03 10:47:54";511.82;0
"2023-12-03 10:47:55";511.82;0
"2023-12-03 10:47:56";511.77;0
"2023-12-03 10:47:57";511.73;0
"2023-12-03 10:47:58";511.70;0
"2023-12-03 10:47:59";511.64;0
"2023-12-03 10:48:00";511.60;0
"2023-12-03 10:48:01";511.57;0
"2023-12-03 10:48:02";511.51;0
"2023-12-03 10:48:03";511.48;0
"2023-12-03 10:48:04";511.39;0
"2023-12-03 10:48:05";511.29;0
"2023-12-03 10:48:06";511.22;0
"2023-12-03 10:48:07";511.13;0
"2023-12-03 10:48:08";511.04;0
"2023-12-03 10:48:09";510.95;0
"2023-12-03 10:48:10";510.86;0
"2023-12-03 10:48:11";510.77;0
"2023-12-03 10:48:12";510.70;0
"2023-12-03 10:48:13";510.60;0
"2023-12-03 10:48:14";510.57;0
"2023-12-03 10:48:15";510.51;0
"2023-12-03 10:48:16";510.48;0
"2023-12-03 10:48:17";510.42;0
"2023-12-03 10:48:18";510.39;0
"2023-12-03 10:48:19";510.29;0
"2023-12-03 10:48:20";510.29;0
"2023-12-03 10:48:21";510.29;0
"2023-12-03 10:48:22";510.29;0
"2023-12-03 10:48:23";510.29;0
"2023-12-03 10:48:24";510.29;0
"2023-12-03 10:48:25";510.29;0
"2023-12-03 10:48:26";510.29;0
"2023-12-03 10:48:27";510.29;0
"2023-12-03 10:48:28";510.35;0
"2023-12-03 10:48:29";510.39;0
"2023-12-03 10:48:30";510.42;0
"2023-12-03 10:48:31";510.48;0
"2023-12-03 10:48:32";510.51;0
"2023-12-03 10:48:33";510.57;0
"2023-12-03 10:48:34";510.60;0
"2023-12-03 10:48:35";510.64;0
"2023-12-03 10:48:36";510.70;0
"2023-12-03 10:48:37";510.73;0
"2023-12-03 10:48:38";510.77;0
"2023-12-03 10:48:39";510.86;0
"2023-12-03 10:48:40";510.95;0
"2023-12-03 10:48:41";511.04;0
"2023-12-03 10:48:42";511.13;0
"2023-12-03 10:48:43";511.22;0
"2023-12-03 10:48:44";511.26;0
"2023-12-03 10:48:45";511.29;0
"2023-12-03 10:48:46";511.35;0
"2023-12-03 10:48:47";511.39;0
"2023-12-03 10:48:48";511.42;0
"2023-12-03 10:48:49";511.48;0
"2023-12-03 10:48:50";511.51;0
"2023-12-03 10:48:51";511.57;0
"2023-12-03 10:48:52";511.60;0
"2023-12-03 10:48:53";511.64;0
"2023-12-03 10:48:54";511.70;0
"2023-12-03 10:48:55";511.73;0
"2023-12-03 10:48:56";511.77;0
"2023-12-03 10:48:57";511.82;0
"2023-12-03 10:48:58";511.86;0
"2023-12-03 10:48:59";511.91;0
"2023-12-03 10:49:00";511.95;0
"2023-12-03 10:49:01";512;0
"2023-12-03 10:49:02";512;0
"2023-12-03 10:49:03";512;0
"2023-12-03 10:49:04";512;0
"2023-12-03 10:49:05";512;0
"2023-12-03 10:49:06";512;0
"2023-12-03 10:49:07";512;0
"2023-12-03 10:49:08";512;0
"2023-12-03 10:49:09";512;0
"2023-12-03 10:49:10";512;0
"2023-12-03 10:49:11";512;0
"2023-12-03 10:49:12";512.03;0
"2023-12-03 10:49:13";512.09;0
"2023-12-03 10:49:14";512.13;0
"2023-12-03 10:49:15";512.16;0
"2023-12-03 10:49:16";512.21;0
"2023-12-03 10:49:17";512.26;0
"2023-12-03 10:49:18";512.29;0
"2023-12-03 10:49:19";512.34;0
"2023-12-03 10:49:20";512.39;0
"2023-12-03 10:49:21";512.42;0
"2023-12-03 10:49:22";512.47;0
"2023-12-03 10:49:23";512.52;0
"2023-12-03 10:49:24";512.57;0
"2023-12-03 10:49:25";512.60;0
"2023-12-03 10:49:26";512.65;0
"2023-12-03 10:49:27";512.70;0
"2023-12-03 10:49:28";512.78;0
"2023-12-03 10:49:29";512.86;0
"2023-12-03 10:49:30";512.96;0
"2023-12-03 10:49:31";513.03;0
"2023-12-03 10:49:32";513.13;0
"2023-12-03 10:49:33";513.21;0
"2023-12-03 10:49:34";513.29;0
"2023-12-03 10:49:35";513.34;0
"2023-12-03 10:49:36";513.39;0
"2023-12-03 10:49:37";513.42;0
"2023-12-03 10:49:38";513.47;0
