"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
1	"2023-08-16 18:09:09"	117	38.4
2	"2023-08-16 18:09:18"	457	-23073.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003276800
3	"2023-08-16 18:09:28"	202	902.2
4	"2023-08-16 18:09:38"	120	44
5	"2023-08-16 18:09:48"	91	9.6
6	"2023-08-16 18:09:58"	72	0
7	"2023-08-16 18:10:08"	61	0
8	"2023-08-16 18:10:18"	52	0
9	"2023-08-16 18:10:28"	46	0
10	"2023-08-16 18:10:38"	43	0
11	"2023-08-16 18:10:48"	37	0
12	"2023-08-16 18:10:58"	34	0
13	"2023-08-16 18:11:08"	33	0
14	"2023-08-16 18:11:18"	37	0
15	"2023-08-16 18:11:28"	38	0
16	"2023-08-16 18:11:38"	37	0
17	"2023-08-16 18:11:48"	37	0
18	"2023-08-16 18:11:58"	36	0
19	"2023-08-16 18:12:08"	36	0
20	"2023-08-16 18:12:18"	33	0
21	"2023-08-16 18:12:28"	29	0
22	"2023-08-16 18:12:38"	29	0
23	"2023-08-16 18:12:48"	28	0
24	"2023-08-16 18:12:58"	27	0
25	"2023-08-16 18:13:08"	27	0
26	"2023-08-16 18:13:18"	26	0
27	"2023-08-16 18:13:28"	25	0
28	"2023-08-16 18:13:38"	25	0
29	"2023-08-16 18:13:48"	25	0
30	"2023-08-16 18:13:58"	24	0
31	"2023-08-16 18:14:08"	24	0
32	"2023-08-16 18:14:18"	23	0
33	"2023-08-16 18:14:28"	23	0
34	"2023-08-16 18:14:38"	23	0
35	"2023-08-16 18:14:48"	23	0
36	"2023-08-16 18:14:58"	23	0
37	"2023-08-16 18:15:08"	22	0
38	"2023-08-16 18:15:18"	22	0
39	"2023-08-16 18:15:28"	22	0
40	"2023-08-16 18:15:38"	22	0
41	"2023-08-16 18:15:48"	22	0
42	"2023-08-16 18:15:58"	22	0
43	"2023-08-16 18:16:08"	22	0
44	"2023-08-16 18:16:18"	21	0
45	"2023-08-16 18:16:28"	21	0
46	"2023-08-16 18:16:38"	21	0
47	"2023-08-16 18:16:48"	21	0
48	"2023-08-16 18:16:58"	21	0
49	"2023-08-16 18:17:08"	20	0
50	"2023-08-16 18:17:18"	20	0
51	"2023-08-16 18:17:28"	20	0
52	"2023-08-16 18:17:38"	20	0
53	"2023-08-16 18:17:48"	20	0
54	"2023-08-16 18:17:58"	20	0
55	"2023-08-16 18:18:08"	20	0
56	"2023-08-16 18:18:18"	20	0
57	"2023-08-16 18:18:28"	20	0
58	"2023-08-16 18:18:38"	20	0
59	"2023-08-16 18:18:48"	20	0
60	"2023-08-16 18:18:58"	20	0
61	"2023-08-16 18:19:08"	20	0
62	"2023-08-16 18:19:18"	20	0
63	"2023-08-16 18:19:28"	19	0
64	"2023-08-16 18:19:38"	19	0
65	"2023-08-16 18:19:48"	19	0
66	"2023-08-16 18:19:58"	19	0
67	"2023-08-16 18:20:08"	19	0
68	"2023-08-16 18:20:18"	19	0
69	"2023-08-16 18:20:28"	19	0
70	"2023-08-16 18:20:38"	19	0
71	"2023-08-16 18:20:48"	19	0
72	"2023-08-16 18:20:58"	19	0
73	"2023-08-16 18:21:08"	19	0
74	"2023-08-16 18:21:18"	19	0
75	"2023-08-16 18:21:28"	19	0
76	"2023-08-16 18:21:38"	19	0
77	"2023-08-16 18:21:48"	19	0
78	"2023-08-16 18:21:58"	19	0
79	"2023-08-16 18:22:08"	19	0
80	"2023-08-16 18:22:18"	19	0
81	"2023-08-16 18:22:28"	19	0
82	"2023-08-16 18:22:38"	19	0
83	"2023-08-16 18:22:48"	19	0
84	"2023-08-16 18:22:58"	18	0
85	"2023-08-16 18:23:08"	18	0
86	"2023-08-16 18:23:18"	18	0
87	"2023-08-16 18:23:28"	18	0
88	"2023-08-16 18:23:38"	19	0
89	"2023-08-16 18:23:48"	18	0
90	"2023-08-16 18:23:58"	18	0
91	"2023-08-16 18:24:08"	18	0
92	"2023-08-16 18:24:18"	18	0
93	"2023-08-16 18:24:28"	19	0
94	"2023-08-16 18:24:38"	18	0
95	"2023-08-16 18:24:48"	18	0
96	"2023-08-16 18:24:58"	18	0
97	"2023-08-16 18:25:08"	18	0
98	"2023-08-16 18:25:18"	18	0
99	"2023-08-16 18:25:28"	18	0
100	"2023-08-16 18:25:38"	18	0
101	"2023-08-16 18:25:48"	18	0
102	"2023-08-16 18:25:58"	18	0
103	"2023-08-16 18:26:08"	18	0
104	"2023-08-16 18:26:18"	18	0
105	"2023-08-16 18:26:28"	18	0
106	"2023-08-16 18:26:38"	18	0
107	"2023-08-16 18:26:48"	18	0
108	"2023-08-16 18:26:58"	18	0
109	"2023-08-16 18:27:08"	18	0
110	"2023-08-16 18:27:18"	18	0
111	"2023-08-16 18:27:28"	18	0
112	"2023-08-16 18:27:38"	18	0
113	"2023-08-16 18:27:48"	18	0
114	"2023-08-16 18:27:58"	18	0
115	"2023-08-16 18:28:08"	18	0
116	"2023-08-16 18:28:18"	18	0
117	"2023-08-16 18:28:28"	18	0
118	"2023-08-16 18:28:38"	18	0
119	"2023-08-16 18:28:48"	18	0
120	"2023-08-16 18:28:58"	18	0
121	"2023-08-16 18:29:08"	18	0
122	"2023-08-16 18:29:18"	18	0
123	"2023-08-16 18:29:28"	18	0
124	"2023-08-16 18:29:38"	18	0
125	"2023-08-16 18:29:48"	18	0
126	"2023-08-16 18:29:58"	18	0
127	"2023-08-16 18:30:08"	18	0
128	"2023-08-16 18:30:18"	18	0
129	"2023-08-16 18:30:28"	18	0
130	"2023-08-16 18:30:38"	18	0
131	"2023-08-16 18:30:48"	18	0
132	"2023-08-16 18:30:58"	18	0
133	"2023-08-16 18:31:08"	18	0
134	"2023-08-16 18:31:18"	17	0
135	"2023-08-16 18:31:28"	17	0
136	"2023-08-16 18:31:38"	17	0
137	"2023-08-16 18:31:48"	17	0
138	"2023-08-16 18:31:58"	17	0
139	"2023-08-16 18:32:08"	18	0
140	"2023-08-16 18:32:18"	17	0
141	"2023-08-16 18:32:28"	17	0
142	"2023-08-16 18:32:38"	17	0
143	"2023-08-16 18:32:48"	18	0
144	"2023-08-16 18:32:58"	17	0
145	"2023-08-16 18:33:08"	17	0
146	"2023-08-16 18:33:18"	17	0
147	"2023-08-16 18:33:28"	17	0
148	"2023-08-16 18:33:38"	17	0
149	"2023-08-16 18:33:48"	17	0
150	"2023-08-16 18:33:58"	17	0
151	"2023-08-16 18:34:08"	17	0
152	"2023-08-16 18:34:18"	17	0
153	"2023-08-16 18:34:28"	17	0
154	"2023-08-16 18:34:38"	17	0
155	"2023-08-16 18:34:48"	17	0
156	"2023-08-16 18:34:58"	17	0
157	"2023-08-16 18:35:08"	17	0
158	"2023-08-16 18:35:18"	17	0
159	"2023-08-16 18:35:28"	17	0
160	"2023-08-16 18:35:38"	18	0
161	"2023-08-16 18:35:48"	18	0
162	"2023-08-16 18:35:58"	17	0
163	"2023-08-16 18:36:08"	17	0
164	"2023-08-16 18:36:18"	17	0
165	"2023-08-16 18:36:28"	17	0
166	"2023-08-16 18:36:38"	17	0
167	"2023-08-16 18:36:48"	17	0
168	"2023-08-16 18:36:58"	17	0
169	"2023-08-16 18:37:08"	17	0
170	"2023-08-16 18:37:18"	17	0
171	"2023-08-16 18:37:28"	17	0
172	"2023-08-16 18:37:38"	17	0
173	"2023-08-16 18:37:48"	17	0
174	"2023-08-16 18:37:58"	17	0
175	"2023-08-16 18:38:08"	17	0
176	"2023-08-16 18:38:18"	18	0
177	"2023-08-16 18:38:28"	18	0
178	"2023-08-16 18:38:38"	17	0
179	"2023-08-16 18:38:48"	17	0
180	"2023-08-16 18:38:58"	17	0
181	"2023-08-16 18:39:08"	17	0
182	"2023-08-16 18:39:18"	17	0
183	"2023-08-16 18:39:28"	17	0
184	"2023-08-16 18:39:38"	17	0
185	"2023-08-16 18:39:48"	17	0
186	"2023-08-16 18:39:58"	17	0
187	"2023-08-16 18:40:08"	17	0
188	"2023-08-16 18:40:18"	17	0
189	"2023-08-16 18:40:28"	17	0
190	"2023-08-16 18:40:38"	17	0
191	"2023-08-16 18:40:48"	17	0
192	"2023-08-16 18:40:58"	17	0
193	"2023-08-16 18:41:08"	17	0
194	"2023-08-16 18:41:18"	17	0
195	"2023-08-16 18:41:28"	17	0
196	"2023-08-16 18:41:38"	17	0
197	"2023-08-16 18:41:48"	17	0
198	"2023-08-16 18:41:58"	17	0
199	"2023-08-16 18:42:08"	17	0
200	"2023-08-16 18:42:18"	17	0
201	"2023-08-16 18:42:28"	17	0
202	"2023-08-16 18:42:38"	17	0
203	"2023-08-16 18:42:48"	17	0
204	"2023-08-16 18:42:58"	17	0
