"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
1	"2023-08-16 17:58:55"	433	21184.5
2	"2023-08-16 17:59:05"	754	31325.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150077440
3	"2023-08-16 17:59:15"	570	-30445.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003276805
4	"2023-08-16 17:59:25"	489	-2878.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000655363
5	"2023-08-16 17:59:35"	445	26785.5
6	"2023-08-16 17:59:45"	409	13178.2
7	"2023-08-16 17:59:55"	379	7182.5
8	"2023-08-16 18:00:05"	353	4176.8
9	"2023-08-16 18:00:15"	345	3522.3
10	"2023-08-16 18:00:25"	335	2838.5
11	"2023-08-16 18:00:35"	322	2133.3
12	"2023-08-16 18:00:45"	309	1593.1
13	"2023-08-16 18:00:55"	300	1296.4
14	"2023-08-16 18:01:05"	289	1002.5
15	"2023-08-16 18:01:15"	280	808.9
16	"2023-08-16 18:01:25"	275	716.5
17	"2023-08-16 18:01:35"	269	618.5
18	"2023-08-16 18:01:45"	262	519.5
19	"2023-08-16 18:01:55"	257	457.7
20	"2023-08-16 18:02:05"	250	382.3
21	"2023-08-16 18:02:15"	247	353.7
22	"2023-08-16 18:02:25"	246	344.5
23	"2023-08-16 18:02:35"	238	278.7
24	"2023-08-16 18:02:45"	225	195.3
25	"2023-08-16 18:02:55"	215	147
26	"2023-08-16 18:03:05"	208	119.9
27	"2023-08-16 18:03:15"	202	100.1
28	"2023-08-16 18:03:25"	205	109.5
29	"2023-08-16 18:03:35"	199	91.4
30	"2023-08-16 18:03:45"	195	80.8
31	"2023-08-16 18:03:55"	197	86
32	"2023-08-16 18:04:05"	195	80.8
33	"2023-08-16 18:04:15"	193	76
34	"2023-08-16 18:04:25"	192	73.5
35	"2023-08-16 18:04:35"	194	78.4
36	"2023-08-16 18:04:45"	192	73.5
37	"2023-08-16 18:04:55"	189	67
38	"2023-08-16 18:05:05"	187	62.7
39	"2023-08-16 18:05:15"	185	58.9
40	"2023-08-16 18:05:25"	183	55.2
41	"2023-08-16 18:05:35"	181	51.7
42	"2023-08-16 18:05:45"	178	46.7
43	"2023-08-16 18:05:55"	176	43.7
44	"2023-08-16 18:06:05"	174	40.9
45	"2023-08-16 18:06:15"	171	36.9
46	"2023-08-16 18:06:25"	169	34.5
47	"2023-08-16 18:06:35"	168	33.2
48	"2023-08-16 18:06:45"	166	31
49	"2023-08-16 18:06:55"	164	28.8
50	"2023-08-16 18:07:05"	162	26.8
51	"2023-08-16 18:07:15"	160	25
52	"2023-08-16 18:07:25"	158	23.2
53	"2023-08-16 18:07:35"	157	22.3
54	"2023-08-16 18:07:45"	155	20.7
55	"2023-08-16 18:07:55"	154	20.1
56	"2023-08-16 18:08:05"	152	18.6
57	"2023-08-16 18:08:15"	151	17.8
58	"2023-08-16 18:08:25"	150	17.2
59	"2023-08-16 18:08:35"	149	16.6
60	"2023-08-16 18:08:45"	147	15.3
61	"2023-08-16 18:08:55"	146	14.8
62	"2023-08-16 18:09:05"	145	14.1
63	"2023-08-16 18:09:15"	144	13.6
64	"2023-08-16 18:09:25"	143	13.1
65	"2023-08-16 18:09:35"	142	12.6
66	"2023-08-16 18:09:45"	141	12.1
67	"2023-08-16 18:09:55"	140	11.6
68	"2023-08-16 18:10:05"	139	11.1
69	"2023-08-16 18:10:15"	138	10.6
70	"2023-08-16 18:10:25"	138	10.6
71	"2023-08-16 18:10:35"	137	10.3
72	"2023-08-16 18:10:45"	136	9.8
73	"2023-08-16 18:10:55"	135	9.5
74	"2023-08-16 18:11:05"	134	9.1
75	"2023-08-16 18:11:15"	134	9.1
76	"2023-08-16 18:11:25"	133	8.6
77	"2023-08-16 18:11:35"	132	8.3
78	"2023-08-16 18:11:45"	132	8.3
79	"2023-08-16 18:11:55"	131	8
80	"2023-08-16 18:12:05"	130	0
81	"2023-08-16 18:12:15"	129	0
82	"2023-08-16 18:12:25"	129	0
83	"2023-08-16 18:12:35"	128	0
84	"2023-08-16 18:12:45"	128	0
85	"2023-08-16 18:12:55"	127	0
86	"2023-08-16 18:13:05"	127	0
87	"2023-08-16 18:13:15"	126	0
88	"2023-08-16 18:13:25"	125	0
89	"2023-08-16 18:13:35"	125	0
90	"2023-08-16 18:13:45"	124	0
91	"2023-08-16 18:13:55"	124	0
92	"2023-08-16 18:14:05"	123	0
93	"2023-08-16 18:14:15"	123	0
94	"2023-08-16 18:14:25"	122	0
95	"2023-08-16 18:14:35"	122	0
96	"2023-08-16 18:14:45"	121	0
97	"2023-08-16 18:14:55"	122	0
98	"2023-08-16 18:15:05"	121	0
99	"2023-08-16 18:15:15"	121	0
100	"2023-08-16 18:15:25"	120	0
101	"2023-08-16 18:15:35"	120	0
102	"2023-08-16 18:15:45"	119	0
103	"2023-08-16 18:15:55"	118	0
104	"2023-08-16 18:16:05"	118	0
105	"2023-08-16 18:16:15"	117	0
106	"2023-08-16 18:16:25"	117	0
107	"2023-08-16 18:16:35"	117	0
108	"2023-08-16 18:16:45"	116	0
109	"2023-08-16 18:16:55"	116	0
110	"2023-08-16 18:17:05"	116	0
111	"2023-08-16 18:17:15"	115	0
112	"2023-08-16 18:17:25"	115	0
113	"2023-08-16 18:17:35"	115	0
114	"2023-08-16 18:17:45"	114	0
115	"2023-08-16 18:17:55"	114	0
116	"2023-08-16 18:18:05"	114	0
117	"2023-08-16 18:18:15"	113	0
118	"2023-08-16 18:18:25"	113	0
119	"2023-08-16 18:18:35"	113	0
120	"2023-08-16 18:18:45"	112	0
121	"2023-08-16 18:18:55"	112	0
122	"2023-08-16 18:19:05"	112	0
123	"2023-08-16 18:19:15"	111	0
124	"2023-08-16 18:19:25"	111	0
125	"2023-08-16 18:19:35"	111	0
126	"2023-08-16 18:19:45"	111	0
127	"2023-08-16 18:19:55"	110	0
128	"2023-08-16 18:20:05"	110	0
129	"2023-08-16 18:20:15"	110	0
130	"2023-08-16 18:20:25"	110	0
131	"2023-08-16 18:20:35"	109	0
132	"2023-08-16 18:20:45"	109	0
133	"2023-08-16 18:20:55"	109	0
134	"2023-08-16 18:21:05"	108	0
135	"2023-08-16 18:21:15"	108	0
136	"2023-08-16 18:21:25"	108	0
137	"2023-08-16 18:21:35"	108	0
138	"2023-08-16 18:21:45"	107	0
139	"2023-08-16 18:21:55"	107	0
140	"2023-08-16 18:22:05"	107	0
141	"2023-08-16 18:22:15"	107	0
142	"2023-08-16 18:22:25"	107	0
143	"2023-08-16 18:22:35"	106	0
144	"2023-08-16 18:22:45"	106	0
145	"2023-08-16 18:22:55"	106	0
146	"2023-08-16 18:23:05"	106	0
147	"2023-08-16 18:23:15"	105	0
148	"2023-08-16 18:23:25"	105	0
149	"2023-08-16 18:23:35"	105	0
150	"2023-08-16 18:23:45"	105	0
151	"2023-08-16 18:23:55"	105	0
152	"2023-08-16 18:24:05"	104	0
153	"2023-08-16 18:24:15"	104	0
154	"2023-08-16 18:24:25"	104	0
155	"2023-08-16 18:24:35"	104	0
156	"2023-08-16 18:24:45"	104	0
157	"2023-08-16 18:24:55"	103	0
158	"2023-08-16 18:25:05"	103	0
159	"2023-08-16 18:25:15"	103	0
160	"2023-08-16 18:25:25"	103	0
161	"2023-08-16 18:25:35"	103	0
162	"2023-08-16 18:25:45"	103	0
163	"2023-08-16 18:25:55"	102	0
164	"2023-08-16 18:26:05"	102	0
165	"2023-08-16 18:26:15"	102	0
166	"2023-08-16 18:26:25"	102	0
167	"2023-08-16 18:26:35"	102	0
168	"2023-08-16 18:26:45"	102	0
169	"2023-08-16 18:26:55"	101	0
170	"2023-08-16 18:27:05"	101	0
171	"2023-08-16 18:27:15"	101	0
172	"2023-08-16 18:27:25"	101	0
173	"2023-08-16 18:27:35"	101	0
174	"2023-08-16 18:27:45"	101	0
175	"2023-08-16 18:27:55"	100	0
176	"2023-08-16 18:28:05"	100	0
177	"2023-08-16 18:28:15"	100	0
178	"2023-08-16 18:28:25"	100	0
179	"2023-08-16 18:28:35"	100	0
180	"2023-08-16 18:28:45"	100	0
181	"2023-08-16 18:28:55"	99	0
182	"2023-08-16 18:29:05"	99	0
183	"2023-08-16 18:29:15"	99	0
184	"2023-08-16 18:29:25"	99	0
185	"2023-08-16 18:29:35"	99	0
186	"2023-08-16 18:29:45"	99	0
187	"2023-08-16 18:29:55"	99	0
188	"2023-08-16 18:30:05"	99	0
189	"2023-08-16 18:30:15"	98	0
190	"2023-08-16 18:30:25"	98	0
191	"2023-08-16 18:30:35"	98	0
192	"2023-08-16 18:30:45"	98	0
193	"2023-08-16 18:30:55"	98	0
194	"2023-08-16 18:31:05"	98	0
195	"2023-08-16 18:31:15"	97	0
196	"2023-08-16 18:31:25"	97	0
197	"2023-08-16 18:31:35"	97	0
198	"2023-08-16 18:31:45"	97	0
199	"2023-08-16 18:31:55"	97	0
200	"2023-08-16 18:32:05"	97	0
201	"2023-08-16 18:32:15"	97	0
202	"2023-08-16 18:32:25"	97	0
203	"2023-08-16 18:32:35"	97	0
204	"2023-08-16 18:32:45"	97	0
205	"2023-08-16 18:32:55"	97	0
206	"2023-08-16 18:33:05"	97	0
207	"2023-08-16 18:33:15"	96	0
208	"2023-08-16 18:33:25"	96	0
209	"2023-08-16 18:33:35"	95	0
210	"2023-08-16 18:33:45"	95	0
211	"2023-08-16 18:33:55"	95	0
212	"2023-08-16 18:34:05"	95	0
213	"2023-08-16 18:34:15"	95	0
214	"2023-08-16 18:34:25"	95	0
215	"2023-08-16 18:34:35"	95	0
216	"2023-08-16 18:34:45"	95	0
217	"2023-08-16 18:34:55"	95	0
218	"2023-08-16 18:35:04"	95	0
219	"2023-08-16 18:35:14"	94	0
220	"2023-08-16 18:35:24"	94	0
221	"2023-08-16 18:35:34"	94	0
222	"2023-08-16 18:35:44"	94	0
223	"2023-08-16 18:35:54"	94	0
224	"2023-08-16 18:36:04"	94	0
225	"2023-08-16 18:36:14"	94	0
226	"2023-08-16 18:36:24"	94	0
227	"2023-08-16 18:36:34"	94	0
228	"2023-08-16 18:36:44"	94	0
229	"2023-08-16 18:36:54"	93	0
230	"2023-08-16 18:37:04"	93	0
231	"2023-08-16 18:37:14"	93	0
232	"2023-08-16 18:37:24"	93	0
233	"2023-08-16 18:37:34"	93	0
234	"2023-08-16 18:37:44"	93	0
235	"2023-08-16 18:37:54"	93	0
236	"2023-08-16 18:38:04"	93	0
237	"2023-08-16 18:38:14"	93	0
238	"2023-08-16 18:38:24"	93	0
239	"2023-08-16 18:38:34"	92	0
240	"2023-08-16 18:38:44"	92	0
241	"2023-08-16 18:38:54"	92	0
242	"2023-08-16 18:39:04"	92	0
243	"2023-08-16 18:39:14"	92	0
244	"2023-08-16 18:39:24"	92	0
245	"2023-08-16 18:39:34"	92	0
246	"2023-08-16 18:39:44"	92	0
247	"2023-08-16 18:39:54"	92	0
248	"2023-08-16 18:40:04"	92	0
249	"2023-08-16 18:40:14"	92	0
250	"2023-08-16 18:40:24"	92	0
251	"2023-08-16 18:40:34"	92	0
252	"2023-08-16 18:40:44"	92	0
253	"2023-08-16 18:40:54"	91	0
254	"2023-08-16 18:41:04"	91	0
255	"2023-08-16 18:41:14"	91	0
256	"2023-08-16 18:41:24"	91	0
257	"2023-08-16 18:41:34"	91	0
258	"2023-08-16 18:41:44"	91	0
259	"2023-08-16 18:41:54"	91	0
260	"2023-08-16 18:42:04"	91	0
261	"2023-08-16 18:42:14"	91	0
262	"2023-08-16 18:42:24"	91	0
263	"2023-08-16 18:42:34"	91	0
264	"2023-08-16 18:42:44"	91	0
265	"2023-08-16 18:42:54"	90	0
266	"2023-08-16 18:43:04"	90	0
267	"2023-08-16 18:43:14"	90	0
268	"2023-08-16 18:43:24"	90	0
269	"2023-08-16 18:43:34"	90	0
270	"2023-08-16 18:43:44"	90	0
271	"2023-08-16 18:43:54"	90	0
272	"2023-08-16 18:44:04"	90	0
273	"2023-08-16 18:44:14"	90	0
274	"2023-08-16 18:44:24"	90	0
275	"2023-08-16 18:44:34"	90	0
276	"2023-08-16 18:44:44"	90	0
277	"2023-08-16 18:44:54"	89	0
278	"2023-08-16 18:45:04"	89	0
279	"2023-08-16 18:45:14"	89	0
280	"2023-08-16 18:45:24"	89	0
281	"2023-08-16 18:45:34"	89	0
282	"2023-08-16 18:45:44"	89	0
283	"2023-08-16 18:45:54"	89	0
284	"2023-08-16 18:46:04"	89	0
285	"2023-08-16 18:46:14"	89	0
286	"2023-08-16 18:46:24"	89	0
287	"2023-08-16 18:46:34"	89	0
288	"2023-08-16 18:46:44"	89	0
289	"2023-08-16 18:46:54"	89	0
290	"2023-08-16 18:47:04"	89	0
291	"2023-08-16 18:47:14"	89	0
292	"2023-08-16 18:47:24"	89	0
293	"2023-08-16 18:47:34"	88	0
294	"2023-08-16 18:47:44"	88	0
295	"2023-08-16 18:47:54"	88	0
296	"2023-08-16 18:48:04"	88	0
297	"2023-08-16 18:48:14"	88	0
298	"2023-08-16 18:48:24"	88	0
299	"2023-08-16 18:48:34"	88	0
