"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
1	"2023-08-16 17:54:08"	117	10026.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000281804800
2	"2023-08-16 17:54:38"	7	16.3
3	"2023-08-16 17:55:08"	7	16.3
4	"2023-08-16 17:55:38"	4	0
5	"2023-08-16 17:56:08"	4	0
6	"2023-08-16 17:56:38"	4	0
7	"2023-08-16 17:57:09"	4	0
8	"2023-08-16 17:57:39"	5	0
9	"2023-08-16 17:58:09"	4	0
10	"2023-08-16 17:58:39"	4	0
11	"2023-08-16 17:59:09"	4	0
12	"2023-08-16 17:59:39"	4	0
13	"2023-08-16 18:00:09"	5	0
14	"2023-08-16 18:00:39"	4	0
15	"2023-08-16 18:01:09"	3	0
16	"2023-08-16 18:01:40"	4	0
17	"2023-08-16 18:02:10"	5	0
18	"2023-08-16 18:02:40"	4	0
19	"2023-08-16 18:03:10"	3	0
	"2023-08-16 18:04:10"	4	0
22	"2023-08-16 18:04:40"	4	0
23	"2023-08-16 18:05:10"	4	0
24	"2023-08-16 18:05:40"	4	0
25	"2023-08-16 18:06:11"	4	0
26	"2023-08-16 18:06:41"	5	0
27	"2023-08-16 18:07:11"	3	0
28	"2023-08-16 18:07:41"	4	0
29	"2023-08-16 18:08:11"	4	0
30	"2023-08-16 18:08:41"	4	0
31	"2023-08-16 18:09:11"	4	0
32	"2023-08-16 18:09:41"	4	0
33	"2023-08-16 18:10:11"	4	0
34	"2023-08-16 18:10:42"	4	0
35	"2023-08-16 18:11:12"	4	0
36	"2023-08-16 18:11:42"	4	0
37	"2023-08-16 18:12:12"	4	0
38	"2023-08-16 18:12:42"	4	0
39	"2023-08-16 18:13:12"	4	0
40	"2023-08-16 18:13:42"	4	0
41	"2023-08-16 18:14:12"	4	0
42	"2023-08-16 18:14:42"	4	0
43	"2023-08-16 18:15:13"	4	0
44	"2023-08-16 18:15:43"	4	0
45	"2023-08-16 18:16:13"	4	0
46	"2023-08-16 18:16:43"	4	0
47	"2023-08-16 18:17:13"	4	0
48	"2023-08-16 18:17:43"	4	0
49	"2023-08-16 18:18:13"	4	0
50	"2023-08-16 18:18:43"	3	0
51	"2023-08-16 18:19:13"	4	0
52	"2023-08-16 18:19:43"	4	0
53	"2023-08-16 18:20:14"	3	0
54	"2023-08-16 18:20:44"	4	0
55	"2023-08-16 18:21:14"	5	0
56	"2023-08-16 18:21:44"	4	0
57	"2023-08-16 18:22:14"	4	0
58	"2023-08-16 18:22:44"	4	0
59	"2023-08-16 18:23:14"	4	0
60	"2023-08-16 18:23:44"	4	0
61	"2023-08-16 18:24:14"	4	0
62	"2023-08-16 18:24:45"	4	0
63	"2023-08-16 18:25:15"	4	0
64	"2023-08-16 18:25:45"	3	0
65	"2023-08-16 18:26:15"	4	0
66	"2023-08-16 18:26:45"	4	0
67	"2023-08-16 18:27:15"	4	0
68	"2023-08-16 18:27:45"	4	0
69	"2023-08-16 18:28:15"	4	0
70	"2023-08-16 18:28:45"	4	0
71	"2023-08-16 18:29:15"	4	0
72	"2023-08-16 18:29:46"	4	0
73	"2023-08-16 18:30:16"	4	0
74	"2023-08-16 18:30:46"	5	0
75	"2023-08-16 18:31:16"	4	0
76	"2023-08-16 18:31:46"	4	0
77	"2023-08-16 18:32:16"	4	0
78	"2023-08-16 18:32:46"	4	0
79	"2023-08-16 18:33:16"	3	0
80	"2023-08-16 18:33:46"	4	0
81	"2023-08-16 18:34:16"	4	0
82	"2023-08-16 18:34:47"	4	0
83	"2023-08-16 18:35:17"	4	0
84	"2023-08-16 18:35:47"	4	0
85	"2023-08-16 18:36:17"	3	0
86	"2023-08-16 18:36:47"	4	0
87	"2023-08-16 18:37:17"	4	0
88	"2023-08-16 18:37:47"	4	0
89	"2023-08-16 18:38:17"	4	0
90	"2023-08-16 18:38:47"	4	0
91	"2023-08-16 18:39:18"	5	0
92	"2023-08-16 18:39:48"	4	0
93	"2023-08-16 18:40:18"	5	0
94	"2023-08-16 18:40:48"	5	0
95	"2023-08-16 18:41:18"	4	0
96	"2023-08-16 18:41:48"	3	0
97	"2023-08-16 18:42:18"	4	0
98	"2023-08-16 18:42:48"	4	0
99	"2023-08-16 18:43:18"	4	0
100	"2023-08-16 18:43:48"	4	0
101	"2023-08-16 18:44:19"	4	0
102	"2023-08-16 18:44:49"	5	0
103	"2023-08-16 18:45:19"	5	0
104	"2023-08-16 18:45:49"	4	0
105	"2023-08-16 18:46:19"	4	0
106	"2023-08-16 18:46:49"	4	0
107	"2023-08-16 18:47:19"	5	0
108	"2023-08-16 18:47:49"	4	0
109	"2023-08-16 18:48:19"	5	0
110	"2023-08-16 18:48:50"	5	0
111	"2023-08-16 18:49:20"	4	0
112	"2023-08-16 18:49:50"	4	0
113	"2023-08-16 18:50:20"	3	0
114	"2023-08-16 18:50:50"	5	0
115	"2023-08-16 18:51:20"	4	0
116	"2023-08-16 18:51:50"	5	0
117	"2023-08-16 18:52:20"	4	0
118	"2023-08-16 18:52:50"	4	0
119	"2023-08-16 18:53:20"	4	0
120	"2023-08-16 18:53:51"	4	0
121	"2023-08-16 18:54:21"	5	0
122	"2023-08-16 18:54:51"	4	0
123	"2023-08-16 18:55:21"	4	0
124	"2023-08-16 18:55:51"	4	0
125	"2023-08-16 18:56:21"	4	0
126	"2023-08-16 18:56:51"	4	0
127	"2023-08-16 18:57:21"	4	0
128	"2023-08-16 18:57:51"	5	0
129	"2023-08-16 18:58:21"	3	0
130	"2023-08-16 18:58:52"	4	0
131	"2023-08-16 18:59:22"	5	0
132	"2023-08-16 18:59:52"	5	0
133	"2023-08-16 19:00:22"	4	0
134	"2023-08-16 19:00:52"	4	0
135	"2023-08-16 19:01:22"	4	0
136	"2023-08-16 19:01:52"	4	0
137	"2023-08-16 19:02:22"	4	0
138	"2023-08-16 19:02:52"	4	0
139	"2023-08-16 19:03:23"	3	0
140	"2023-08-16 19:03:53"	3	0
141	"2023-08-16 19:04:23"	4	0
142	"2023-08-16 19:04:53"	4	0
143	"2023-08-16 19:05:23"	4	0
144	"2023-08-16 19:05:53"	4	0
145	"2023-08-16 19:06:23"	5	0
146	"2023-08-16 19:06:53"	4	0
147	"2023-08-16 19:07:23"	4	0
148	"2023-08-16 19:07:53"	5	0
149	"2023-08-16 19:08:24"	3	0
150	"2023-08-16 19:08:54"	4	0
151	"2023-08-16 19:09:24"	4	0
152	"2023-08-16 19:09:54"	5	0
153	"2023-08-16 19:10:24"	4	0
154	"2023-08-16 19:10:54"	4	0
155	"2023-08-16 19:11:24"	3	0
156	"2023-08-16 19:11:54"	4	0
157	"2023-08-16 19:12:24"	5	0
158	"2023-08-16 19:12:54"	5	0
159	"2023-08-16 19:13:25"	5	0
160	"2023-08-16 19:13:55"	4	0
161	"2023-08-16 19:14:25"	3	0
162	"2023-08-16 19:14:55"	4	0
163	"2023-08-16 19:15:25"	4	0
164	"2023-08-16 19:15:55"	4	0
165	"2023-08-16 19:16:25"	3	0
166	"2023-08-16 19:16:55"	4	0
167	"2023-08-16 19:17:25"	4	0
168	"2023-08-16 19:17:56"	4	0
169	"2023-08-16 19:18:26"	4	0
170	"2023-08-16 19:18:56"	4	0
171	"2023-08-16 19:19:26"	4	0
172	"2023-08-16 19:19:56"	4	0
173	"2023-08-16 19:20:26"	4	0
174	"2023-08-16 19:20:56"	4	0
175	"2023-08-16 19:21:26"	4	0
176	"2023-08-16 19:21:56"	4	0
177	"2023-08-16 19:22:26"	4	0
178	"2023-08-16 19:22:57"	4	0
179	"2023-08-16 19:23:27"	4	0
180	"2023-08-16 19:23:57"	4	0
181	"2023-08-16 19:24:27"	4	0
182	"2023-08-16 19:24:57"	4	0
183	"2023-08-16 19:25:27"	4	0
184	"2023-08-16 19:25:57"	4	0
185	"2023-08-16 19:26:27"	4	0
186	"2023-08-16 19:26:57"	4	0
187	"2023-08-16 19:27:27"	5	0
188	"2023-08-16 19:27:58"	4	0
189	"2023-08-16 19:28:28"	4	0
190	"2023-08-16 19:28:58"	4	0
191	"2023-08-16 19:29:28"	4	0
192	"2023-08-16 19:29:58"	4	0
193	"2023-08-16 19:30:28"	4	0
194	"2023-08-16 19:30:58"	4	0
195	"2023-08-16 19:31:28"	5	0
196	"2023-08-16 19:31:58"	4	0
197	"2023-08-16 19:32:28"	4	0
198	"2023-08-16 19:32:59"	4	0
199	"2023-08-16 19:33:29"	4	0
200	"2023-08-16 19:33:59"	4	0
201	"2023-08-16 19:34:29"	4	0
202	"2023-08-16 19:34:59"	4	0
203	"2023-08-16 19:35:29"	4	0
204	"2023-08-16 19:35:59"	4	0
205	"2023-08-16 19:36:29"	4	0
206	"2023-08-16 19:36:59"	4	0
207	"2023-08-16 19:37:30"	4	0
208	"2023-08-16 19:38:00"	4	0
209	"2023-08-16 19:38:30"	4	0
210	"2023-08-16 19:39:00"	4	0
211	"2023-08-16 19:39:30"	3	0
212	"2023-08-16 19:40:00"	4	0
213	"2023-08-16 19:40:30"	3	0
214	"2023-08-16 19:41:00"	5	0
215	"2023-08-16 19:41:30"	4	0
216	"2023-08-16 19:42:00"	4	0
217	"2023-08-16 19:42:31"	4	0
218	"2023-08-16 19:43:01"	4	0
219	"2023-08-16 19:43:31"	4	0
220	"2023-08-16 19:44:01"	4	0
221	"2023-08-16 19:44:31"	4	0
222	"2023-08-16 19:45:01"	4	0
223	"2023-08-16 19:45:31"	4	0
224	"2023-08-16 19:46:01"	4	0
225	"2023-08-16 19:46:31"	5	0
226	"2023-08-16 19:47:01"	5	0
227	"2023-08-16 19:47:32"	4	0
228	"2023-08-16 19:48:02"	5	0
229	"2023-08-16 19:48:32"	4	0
230	"2023-08-16 19:49:02"	4	0
231	"2023-08-16 19:49:32"	4	0
232	"2023-08-16 19:50:02"	4	0
233	"2023-08-16 19:50:32"	4	0
234	"2023-08-16 19:51:02"	4	0
235	"2023-08-16 19:51:32"	4	0
236	"2023-08-16 19:52:03"	4	0
237	"2023-08-16 19:52:33"	4	0
238	"2023-08-16 19:53:03"	4	0
239	"2023-08-16 19:53:33"	4	0
240	"2023-08-16 19:54:03"	4	0
241	"2023-08-16 19:54:33"	4	0
242	"2023-08-16 19:55:03"	4	0
243	"2023-08-16 19:55:33"	4	0
244	"2023-08-16 19:56:03"	4	0
245	"2023-08-16 19:56:33"	4	0
246	"2023-08-16 19:57:04"	4	0
247	"2023-08-16 19:57:34"	5	0
248	"2023-08-16 19:58:04"	4	0
249	"2023-08-16 19:58:34"	4	0
250	"2023-08-16 19:59:04"	5	0
251	"2023-08-16 19:59:34"	4	0
252	"2023-08-16 20:00:04"	4	0
253	"2023-08-16 20:00:34"	4	0
254	"2023-08-16 20:01:04"	4	0
255	"2023-08-16 20:01:34"	4	0
256	"2023-08-16 20:02:05"	4	0
257	"2023-08-16 20:02:35"	4	0
258	"2023-08-16 20:03:05"	4	0
259	"2023-08-16 20:03:35"	4	0
260	"2023-08-16 20:04:05"	4	0
261	"2023-08-16 20:04:35"	4	0
262	"2023-08-16 20:05:05"	5	0
263	"2023-08-16 20:05:35"	4	0
264	"2023-08-16 20:06:05"	4	0
265	"2023-08-16 20:06:35"	4	0
266	"2023-08-16 20:07:06"	4	0
267	"2023-08-16 20:07:36"	4	0
268	"2023-08-16 20:08:06"	4	0
269	"2023-08-16 20:08:36"	4	0
270	"2023-08-16 20:09:06"	4	0
271	"2023-08-16 20:09:36"	4	0
272	"2023-08-16 20:10:06"	5	0
273	"2023-08-16 20:10:36"	4	0
274	"2023-08-16 20:11:06"	4	0
275	"2023-08-16 20:11:37"	4	0
276	"2023-08-16 20:12:07"	4	0
277	"2023-08-16 20:12:37"	4	0
278	"2023-08-16 20:13:07"	4	0
279	"2023-08-16 20:13:37"	4	0
280	"2023-08-16 20:14:07"	4	0
281	"2023-08-16 20:14:37"	4	0
282	"2023-08-16 20:15:07"	4	0
283	"2023-08-16 20:15:37"	3	0
284	"2023-08-16 20:16:07"	4	0
285	"2023-08-16 20:16:38"	4	0
286	"2023-08-16 20:17:08"	5	0
287	"2023-08-16 20:17:38"	4	0
288	"2023-08-16 20:18:08"	5	0
289	"2023-08-16 20:18:38"	5	0
290	"2023-08-16 20:19:08"	4	0
291	"2023-08-16 20:19:38"	4	0
292	"2023-08-16 20:20:08"	4	0
293	"2023-08-16 20:20:38"	4	0
294	"2023-08-16 20:21:08"	5	0
295	"2023-08-16 20:21:39"	4	0
296	"2023-08-16 20:22:09"	4	0
297	"2023-08-16 20:22:39"	4	0
298	"2023-08-16 20:23:09"	4	0
299	"2023-08-16 20:23:39"	5	0
300	"2023-08-16 20:24:09"	4	0
301	"2023-08-16 20:24:39"	4	0
302	"2023-08-16 20:25:09"	4	0
303	"2023-08-16 20:25:39"	5	0
304	"2023-08-16 20:26:10"	5	0
305	"2023-08-16 20:26:40"	4	0
306	"2023-08-16 20:27:10"	4	0
307	"2023-08-16 20:27:40"	5	0
308	"2023-08-16 20:28:10"	4	0
309	"2023-08-16 20:28:40"	4	0
310	"2023-08-16 20:29:10"	6	0
311	"2023-08-16 20:29:40"	4	0
312	"2023-08-16 20:30:10"	3	0
313	"2023-08-16 20:30:40"	4	0
314	"2023-08-16 20:31:11"	4	0
315	"2023-08-16 20:31:41"	5	0
316	"2023-08-16 20:32:11"	5	0
317	"2023-08-16 20:32:41"	4	0
318	"2023-08-16 20:33:11"	4	0
319	"2023-08-16 20:33:41"	4	0
320	"2023-08-16 20:34:11"	4	0
321	"2023-08-16 20:34:41"	3	0
322	"2023-08-16 20:35:11"	4	0
323	"2023-08-16 20:35:41"	5	0
324	"2023-08-16 20:36:12"	4	0
325	"2023-08-16 20:36:42"	4	0
326	"2023-08-16 20:37:12"	4	0
327	"2023-08-16 20:37:42"	3	0
328	"2023-08-16 20:38:12"	4	0
329	"2023-08-16 20:38:42"	4	0
330	"2023-08-16 20:39:12"	4	0
331	"2023-08-16 20:39:42"	3	0
332	"2023-08-16 20:40:12"	4	0
333	"2023-08-16 20:40:42"	5	0
334	"2023-08-16 20:41:13"	4	0
