"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
39	"2023-08-20 12:12:58"	21	29.7
40	"2023-08-20 12:13:28"	21	29.7
41	"2023-08-20 12:13:58"	21	29.7
42	"2023-08-20 12:14:28"	21	29.7
43	"2023-08-20 12:14:58"	21	29.7
44	"2023-08-20 12:15:28"	21	29.7
45	"2023-08-20 12:15:58"	21	29.7
46	"2023-08-20 12:16:28"	21	29.7
47	"2023-08-20 12:16:58"	21	29.7
48	"2023-08-20 12:17:28"	21	29.7
49	"2023-08-20 12:17:58"	21	29.7
50	"2023-08-20 12:18:28"	21	29.7
51	"2023-08-20 12:18:58"	21	29.7
52	"2023-08-20 12:19:28"	21	29.7
53	"2023-08-20 12:19:58"	21	29.7
54	"2023-08-20 12:20:28"	21	29.7
55	"2023-08-20 12:20:58"	21	29.7
56	"2023-08-20 12:21:28"	21	29.7
57	"2023-08-20 12:21:58"	21	29.7
58	"2023-08-20 12:22:28"	21	29.7
59	"2023-08-20 12:22:58"	21	29.7
60	"2023-08-20 12:23:28"	21	29.7
61	"2023-08-20 12:23:58"	21	29.7
62	"2023-08-20 12:24:28"	21	29.7
63	"2023-08-20 12:24:58"	21	29.7
64	"2023-08-20 12:25:28"	21	29.7
65	"2023-08-20 12:25:58"	21	29.7
66	"2023-08-20 12:26:28"	21	29.7
67	"2023-08-20 12:26:58"	21	29.7
68	"2023-08-20 12:27:28"	21	29.7
69	"2023-08-20 12:27:58"	21	29.7
70	"2023-08-20 12:28:28"	21	29.7
71	"2023-08-20 12:28:58"	21	29.7
72	"2023-08-20 12:29:28"	21	29.7
73	"2023-08-20 12:29:58"	21	29.7
74	"2023-08-20 12:30:28"	21	29.7
75	"2023-08-20 12:30:58"	21	29.7
76	"2023-08-20 12:31:28"	21	29.7
77	"2023-08-20 12:31:58"	21	29.7
78	"2023-08-20 12:32:28"	21	29.7
79	"2023-08-20 12:32:58"	21	29.7
80	"2023-08-20 12:33:28"	21	29.7
81	"2023-08-20 12:33:58"	21	29.7
82	"2023-08-20 12:34:28"	21	29.7
83	"2023-08-20 12:34:58"	21	29.7
84	"2023-08-20 12:35:28"	21	29.7
85	"2023-08-20 12:35:58"	21	29.7
86	"2023-08-20 12:36:28"	21	29.7
87	"2023-08-20 12:36:58"	21	29.7
88	"2023-08-20 12:37:28"	21	29.7
89	"2023-08-20 12:37:58"	21	29.7
90	"2023-08-20 12:38:28"	21	29.7
91	"2023-08-20 12:38:58"	21	29.7
92	"2023-08-20 12:39:28"	21	29.7
93	"2023-08-20 12:39:58"	21	29.7
94	"2023-08-20 12:40:28"	21	29.7
95	"2023-08-20 12:40:57"	21	29.7
96	"2023-08-20 12:41:27"	21	29.7
97	"2023-08-20 12:41:57"	21	29.7
98	"2023-08-20 12:42:27"	21	29.7
99	"2023-08-20 12:42:57"	21	29.7
100	"2023-08-20 12:43:27"	21	29.7
101	"2023-08-20 12:43:57"	21	29.7
102	"2023-08-20 12:44:27"	21	29.7
103	"2023-08-20 12:44:57"	21	29.7
104	"2023-08-20 12:45:27"	21	29.7
105	"2023-08-20 12:45:57"	21	29.7
106	"2023-08-20 12:46:27"	21	29.7
107	"2023-08-20 12:46:57"	21	29.7
108	"2023-08-20 12:47:27"	21	29.7
109	"2023-08-20 12:47:57"	21	29.7
110	"2023-08-20 12:48:27"	21	29.7
111	"2023-08-20 12:48:57"	21	29.7
112	"2023-08-20 12:49:27"	21	29.7
113	"2023-08-20 12:49:57"	21	29.7
114	"2023-08-20 12:50:27"	21	29.7
115	"2023-08-20 12:50:57"	21	29.7
116	"2023-08-20 12:51:27"	21	29.7
117	"2023-08-20 12:51:57"	21	29.7
118	"2023-08-20 12:52:27"	21	29.7
119	"2023-08-20 12:52:57"	21	29.7
