"count"	"date Y-m-d m:s"	"gas adc"	"LPG PPM" 
43	"2023-08-18 18:28:40"	92	9
44	"2023-08-18 18:29:10"	92	9
45	"2023-08-18 18:29:40"	92	9
46	"2023-08-18 18:30:10"	92	9
47	"2023-08-18 18:30:40"	93	9
48	"2023-08-18 18:31:10"	93	9
	"2023-08-18 18:39:10"	95	10
65	"2023-08-18 18:39:40"	95	10
66	"2023-08-18 18:40:10"	95	10
67	"2023-08-18 18:40:40"	95	10
68	"2023-08-18 18:41:10"	95	10
69	"2023-08-18 18:41:40"	95	10
70	"2023-08-18 18:42:10"	95	10
71	"2023-08-18 18:42:40"	95	10
72	"2023-08-18 18:43:10"	96	11
73	"2023-08-18 18:43:40"	95	10
74	"2023-08-18 18:44:10"	95	10
75	"2023-08-18 18:44:40"	96	11
76	"2023-08-18 18:45:10"	95	10
77	"2023-08-18 18:45:40"	96	11
78	"2023-08-18 18:46:10"	96	11
79	"2023-08-18 18:46:40"	96	11
80	"2023-08-18 18:47:10"	96	11
81	"2023-08-18 18:47:40"	96	11
82	"2023-08-18 18:48:10"	97	11
83	"2023-08-18 18:48:40"	97	11
84	"2023-08-18 18:49:10"	97	11
85	"2023-08-18 18:49:40"	97	11
86	"2023-08-18 18:50:10"	97	11
87	"2023-08-18 18:50:40"	97	11
88	"2023-08-18 18:51:10"	97	11
89	"2023-08-18 18:51:40"	97	11
90	"2023-08-18 18:52:10"	97	11
91	"2023-08-18 18:52:40"	98	12
92	"2023-08-18 18:53:10"	97	11
93	"2023-08-18 18:53:40"	98	12
94	"2023-08-18 18:54:10"	98	12
95	"2023-08-18 18:54:40"	98	12
96	"2023-08-18 18:55:10"	98	12
97	"2023-08-18 18:55:40"	99	13
98	"2023-08-18 18:56:10"	98	12
99	"2023-08-18 18:56:40"	99	13
	"2023-08-19 06:04:02"	100	14
1435	"2023-08-19 06:04:32"	100	14
1436	"2023-08-19 06:05:02"	100	14
1437	"2023-08-19 06:05:32"	100	14
1438	"2023-08-19 06:06:02"	100	14
1439	"2023-08-19 06:06:32"	100	14
1440	"2023-08-19 06:07:02"	100	14
1441	"2023-08-19 06:07:32"	100	14
1442	"2023-08-19 06:08:02"	100	14
1443	"2023-08-19 06:08:32"	100	14
1444	"2023-08-19 06:09:02"	100	14
1445	"2023-08-19 06:09:32"	100	14
1446	"2023-08-19 06:10:02"	100	14
1447	"2023-08-19 06:10:32"	100	14
1448	"2023-08-19 06:11:02"	100	14
1449	"2023-08-19 06:11:32"	100	14
1450	"2023-08-19 06:12:02"	100	14
1451	"2023-08-19 06:12:32"	100	14
1452	"2023-08-19 06:13:02"	100	14
1453	"2023-08-19 06:13:32"	100	14
1454	"2023-08-19 06:14:02"	100	14
1455	"2023-08-19 06:14:32"	100	14
1456	"2023-08-19 06:15:02"	100	14
1457	"2023-08-19 06:15:32"	100	14
1458	"2023-08-19 06:16:02"	100	14
1459	"2023-08-19 06:16:32"	100	14
1460	"2023-08-19 06:17:02"	100	14
1461	"2023-08-19 06:17:32"	100	14
1462	"2023-08-19 06:18:02"	100	14
1463	"2023-08-19 06:18:32"	100	14
1464	"2023-08-19 06:19:02"	100	14
1465	"2023-08-19 06:19:32"	100	14
1466	"2023-08-19 06:20:02"	100	14
1467	"2023-08-19 06:20:32"	100	14
1468	"2023-08-19 06:21:02"	100	14
1469	"2023-08-19 06:21:32"	100	14
1470	"2023-08-19 06:22:02"	100	14
