Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,8/30/2022,09:55:05,1180,20.2,68.0
2,8/30/2022,09:55:10,1180,20.2,68.0
3,8/30/2022,09:55:15,1180,20.2,68.0
4,8/30/2022,09:55:20,1180,20.2,68.0
5,8/30/2022,09:55:25,1180,20.2,68.0
6,8/30/2022,09:55:30,1180,20.2,68.0
7,8/30/2022,09:55:35,1175,20.2,68.0
8,8/30/2022,09:55:40,1175,20.2,68.0
9,8/30/2022,09:55:45,1175,20.2,68.0
10,8/30/2022,09:55:50,1175,20.2,68.0
11,8/30/2022,09:55:55,1175,20.2,68.0
12,8/30/2022,09:56:00,1175,20.2,68.0
13,8/30/2022,09:56:05,1175,20.2,68.0
14,8/30/2022,09:56:10,1175,20.2,68.0
15,8/30/2022,09:56:15,1175,20.2,68.0
16,8/30/2022,09:56:20,1175,20.2,68.0
17,8/30/2022,09:56:25,1175,20.2,68.0
18,8/30/2022,09:56:30,1175,20.2,68.0
19,8/30/2022,09:56:35,1175,20.2,68.0
20,8/30/2022,09:56:40,1175,20.2,68.0
21,8/30/2022,09:56:45,1175,20.2,68.0
22,8/30/2022,09:56:50,1175,20.2,68.0
23,8/30/2022,09:56:55,1175,20.2,68.0
24,8/30/2022,09:57:00,1175,20.2,68.0
25,8/30/2022,09:57:05,1175,20.2,68.0
26,8/30/2022,09:57:10,1180,20.2,68.0
27,8/30/2022,09:57:15,1180,20.2,68.0
28,8/30/2022,09:57:20,1180,20.2,68.0
29,8/30/2022,09:57:25,1180,20.2,68.0
30,8/30/2022,09:57:30,1180,20.2,68.0
31,8/30/2022,09:57:35,1180,20.2,68.0
32,8/30/2022,09:57:40,1180,20.2,68.0
33,8/30/2022,09:57:45,1180,20.2,68.0
34,8/30/2022,09:57:50,1185,20.2,68.0
35,8/30/2022,09:57:55,1185,20.2,68.0
36,8/30/2022,09:58:00,1185,20.2,68.0
37,8/30/2022,09:58:05,1185,20.2,68.0
38,8/30/2022,09:58:10,1190,20.2,68.0
39,8/30/2022,09:58:15,1190,20.2,68.0
40,8/30/2022,09:58:20,1190,20.2,68.0
41,8/30/2022,09:58:25,1195,20.2,68.0
42,8/30/2022,09:58:30,1195,20.2,68.0
43,8/30/2022,09:58:35,1195,20.2,68.0
44,8/30/2022,09:58:40,1200,20.2,68.0
45,8/30/2022,09:58:45,1195,20.2,68.0
46,8/30/2022,09:58:50,1195,20.2,68.0
47,8/30/2022,09:58:55,1195,20.2,68.0
48,8/30/2022,09:59:00,1195,20.2,68.0
49,8/30/2022,09:59:05,1195,20.2,68.0
50,8/30/2022,09:59:10,1190,20.2,68.0
51,8/30/2022,09:59:15,1190,20.2,68.1
52,8/30/2022,09:59:20,1185,20.2,68.0
53,8/30/2022,09:59:25,1185,20.2,68.1
54,8/30/2022,09:59:30,1180,20.2,68.1
55,8/30/2022,09:59:35,1180,20.2,68.1
56,8/30/2022,09:59:40,1180,20.2,68.1
57,8/30/2022,09:59:45,1180,20.2,68.1
58,8/30/2022,09:59:50,1185,20.2,68.1
59,8/30/2022,09:59:55,1185,20.2,68.1
60,8/30/2022,10:00:00,1185,20.2,68.1
61,8/30/2022,10:00:05,1185,20.2,68.1
62,8/30/2022,10:00:10,1185,20.2,68.1
63,8/30/2022,10:00:15,1185,20.2,68.1
64,8/30/2022,10:00:20,1190,20.2,68.1
65,8/30/2022,10:00:25,1190,20.2,68.1
66,8/30/2022,10:00:30,1190,20.2,68.1
67,8/30/2022,10:00:35,1190,20.2,68.1
68,8/30/2022,10:00:40,1190,20.2,68.1
