Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,2/6/2026,21:30:05,732,16.0,57.7
2,2/6/2026,21:30:10,732,16.0,57.9
3,2/6/2026,21:30:15,732,16.0,57.7
4,2/6/2026,21:30:20,732,16.1,57.4
5,2/6/2026,21:30:25,731,16.2,57.2
6,2/6/2026,21:30:30,731,16.3,57.0
7,2/6/2026,21:30:35,730,16.4,56.8
8,2/6/2026,21:30:40,730,16.4,56.7
9,2/6/2026,21:30:45,731,16.5,56.6
10,2/6/2026,21:30:50,734,16.7,56.5
11,2/6/2026,21:30:55,732,16.7,56.5
12,2/6/2026,21:31:00,733,16.8,56.4
13,2/6/2026,21:31:05,735,16.9,56.5
14,2/6/2026,21:31:10,735,17.0,56.5
15,2/6/2026,21:31:15,736,17.1,56.5
16,3/10/2022,21:31:20,732,17.2,56.4
17,3/10/2022,21:31:25,730,17.3,56.4
18,3/10/2022,15:31:30,729,17.4,56.4
19,3/10/2022,15:31:35,728,17.4,56.2
20,3/10/2022,15:08:40,706,17.5,56.1
21,3/10/2022,15:08:45,705,17.6,55.8
22,3/10/2022,15:08:50,705,17.7,55.2
23,3/10/2022,15:08:55,705,17.7,54.4
24,3/10/2022,15:09:00,709,17.8,53.4
