Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,7/7/2022,15:18:05,649,21.6,49.5
2,7/7/2022,15:18:10,648,21.6,49.5
3,7/7/2022,15:18:15,648,21.6,49.5
4,7/7/2022,15:18:20,648,21.6,49.5
5,7/7/2022,15:18:25,647,21.6,49.5
6,7/7/2022,15:18:30,647,21.6,49.5
7,7/7/2022,15:18:35,647,21.6,49.5
8,7/7/2022,15:18:40,646,21.6,49.5
9,7/7/2022,15:18:45,645,21.6,49.5
10,7/7/2022,15:18:50,645,21.6,49.5
11,7/7/2022,15:18:55,644,21.6,49.5
12,7/7/2022,15:19:00,644,21.6,49.5
13,7/7/2022,15:19:05,643,21.6,49.5
14,7/7/2022,15:19:10,643,21.6,49.5
15,7/7/2022,15:19:15,643,21.6,49.6
16,7/7/2022,15:19:20,643,21.6,49.6
17,7/7/2022,15:19:25,643,21.6,49.6
18,7/7/2022,15:19:30,643,21.6,49.6
19,7/7/2022,15:19:35,643,21.5,49.6
20,7/7/2022,15:19:40,643,21.5,49.6
21,7/7/2022,15:19:45,646,21.5,49.6
22,7/7/2022,15:19:50,647,21.5,49.6
23,7/7/2022,15:19:55,649,21.5,49.6
24,7/7/2022,15:20:00,651,21.5,49.6
25,7/7/2022,15:20:05,652,21.5,49.6
26,7/7/2022,15:20:10,654,21.5,49.6
27,7/7/2022,15:20:15,655,21.5,49.6
28,7/7/2022,15:20:20,656,21.5,49.6
29,7/7/2022,15:20:25,656,21.5,49.6
30,7/7/2022,15:20:30,657,21.5,49.6
31,7/7/2022,15:20:35,658,21.5,49.6
32,7/7/2022,15:20:40,658,21.5,49.6
33,7/7/2022,15:20:45,658,21.5,49.6
34,7/7/2022,15:20:50,658,21.5,49.7
35,7/7/2022,15:20:55,658,21.5,49.7
36,7/7/2022,15:21:00,658,21.5,49.7
37,7/7/2022,15:21:05,659,21.5,49.7
38,7/7/2022,15:21:10,659,21.5,49.7
39,7/7/2022,15:21:15,659,21.5,49.7
40,7/7/2022,15:21:20,660,21.5,49.7
41,7/7/2022,15:21:25,658,21.5,49.7
42,7/7/2022,15:21:30,657,21.5,49.7
43,7/7/2022,15:21:35,655,21.5,49.7
44,7/7/2022,15:21:40,653,21.4,49.7
45,7/7/2022,15:21:45,652,21.5,49.7
46,7/7/2022,15:21:50,650,21.4,49.7
47,7/7/2022,15:21:55,649,21.4,49.7
48,7/7/2022,15:22:00,648,21.4,49.7
49,7/7/2022,15:22:05,647,21.4,49.7
50,7/7/2022,15:22:10,646,21.4,49.7
51,7/7/2022,15:22:15,645,21.4,49.7
52,7/7/2022,15:22:20,645,21.4,49.7
53,7/7/2022,15:22:25,647,21.4,49.8
54,7/7/2022,15:22:30,650,21.4,49.8
55,7/7/2022,15:22:35,651,21.4,49.8
56,7/7/2022,15:22:40,653,21.4,49.8
57,7/7/2022,15:22:45,654,21.4,49.8
58,7/7/2022,15:22:50,657,21.4,49.8
59,7/7/2022,15:22:55,658,21.4,49.8
60,7/7/2022,15:23:00,659,21.4,49.8
61,7/7/2022,15:23:05,660,21.4,49.8
62,7/7/2022,15:23:10,660,21.4,49.8
63,7/7/2022,15:23:15,661,21.4,49.8
64,7/7/2022,15:23:20,661,21.4,49.8
65,7/7/2022,15:23:25,660,21.4,49.8
66,7/7/2022,15:23:30,659,21.4,49.8
67,7/7/2022,15:23:35,658,21.4,49.8
68,7/7/2022,15:23:40,657,21.4,49.8
69,7/7/2022,15:23:45,657,21.4,49.8
70,7/7/2022,15:23:50,657,21.4,49.8
71,7/7/2022,15:23:55,656,21.4,49.8
72,7/7/2022,15:24:00,656,21.4,49.9
73,7/7/2022,15:24:05,656,21.4,49.9
74,7/7/2022,15:24:10,657,21.3,49.9
75,7/7/2022,15:24:15,657,21.4,49.9
76,7/7/2022,15:24:20,658,21.3,49.9
77,7/7/2022,15:24:25,656,21.3,49.9
78,7/7/2022,15:24:30,657,21.3,49.9
79,7/7/2022,15:24:35,655,21.3,49.9
80,7/7/2022,15:24:40,656,21.3,49.9
81,7/7/2022,15:24:45,657,21.3,49.9
82,7/7/2022,15:24:50,658,21.3,49.9
83,7/7/2022,15:24:55,658,21.3,49.9
84,7/7/2022,15:25:00,659,21.3,49.9
85,7/7/2022,15:25:05,660,21.3,49.9
86,7/7/2022,15:25:10,660,21.3,49.9
87,7/7/2022,15:25:15,661,21.3,49.9
88,7/7/2022,15:25:20,659,21.3,49.9
89,7/7/2022,15:25:25,658,21.3,49.9
90,7/7/2022,15:25:30,656,21.3,49.9
