Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,6/14/2022,17:49:00,754,21.3,41.1
2,6/14/2022,17:49:05,755,21.3,41.1
3,6/14/2022,17:49:10,755,21.2,41.1
4,6/14/2022,17:49:15,756,21.2,41.1
5,6/14/2022,17:49:20,756,21.3,41.1
6,6/14/2022,17:49:25,757,21.2,41.1
7,6/14/2022,17:49:30,756,21.3,41.1
8,6/14/2022,17:49:35,754,21.2,41.1
9,6/14/2022,17:49:40,753,21.3,41.1
10,6/14/2022,17:49:45,755,21.2,41.1
11,6/14/2022,17:49:50,756,21.2,41.1
12,6/14/2022,17:49:55,754,21.2,41.1
13,6/14/2022,17:50:00,756,21.2,41.1
14,6/14/2022,17:50:05,757,21.3,41.1
15,6/14/2022,17:50:10,759,21.2,41.1
16,6/14/2022,17:50:15,759,21.2,41.1
17,6/14/2022,17:50:20,759,21.2,41.1
18,6/14/2022,17:50:25,759,21.2,41.1
19,6/14/2022,17:50:30,758,21.3,41.1
20,6/14/2022,17:50:35,758,21.2,41.1
21,6/14/2022,17:50:40,754,21.2,41.1
22,6/14/2022,17:50:45,754,21.2,41.1
23,6/14/2022,17:50:50,754,21.2,41.1
24,6/14/2022,17:50:55,754,21.2,41.1
25,6/14/2022,17:51:00,754,21.2,41.2
26,6/14/2022,17:51:05,754,21.2,41.1
27,6/14/2022,17:51:10,754,21.2,41.2
28,6/14/2022,17:51:15,753,21.2,41.2
29,6/14/2022,17:51:20,752,21.2,41.2
30,6/14/2022,17:51:25,752,21.2,41.2
31,6/14/2022,17:51:30,751,21.2,41.2
32,6/14/2022,17:51:35,750,21.2,41.2
33,6/14/2022,17:51:40,749,21.2,41.2
34,6/14/2022,17:51:45,749,21.2,41.2
35,6/14/2022,17:51:50,748,21.2,41.2
36,6/14/2022,17:51:55,748,21.2,41.2
37,6/14/2022,17:52:00,748,21.2,41.2
38,6/14/2022,17:52:05,748,21.2,41.2
39,6/14/2022,17:52:10,747,21.2,41.2
40,6/14/2022,17:52:15,747,21.2,41.2
41,6/14/2022,17:52:20,748,21.2,41.2
42,6/14/2022,17:52:25,748,21.2,41.2
43,6/14/2022,17:52:30,749,21.2,41.2
44,6/14/2022,17:52:35,749,21.2,41.2
45,6/14/2022,17:52:40,756,21.2,41.2
46,6/14/2022,17:52:45,758,21.2,41.2
47,6/14/2022,17:52:50,756,21.2,41.2
48,6/14/2022,17:52:55,756,21.2,41.2
49,6/14/2022,17:53:00,754,21.2,41.2
50,6/14/2022,17:53:05,752,21.2,41.2
51,6/14/2022,17:53:10,751,21.2,41.2
