Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,3/24/2022,02:57:00,408,22.6,32.0
2,3/24/2022,02:57:05,407,22.7,32.0
3,3/24/2022,02:57:10,406,22.7,32.0
4,3/24/2022,02:57:15,405,22.7,32.0
5,3/24/2022,02:57:20,405,22.7,32.0
6,3/24/2022,02:57:25,404,22.6,31.9
7,3/24/2022,02:57:30,404,22.7,31.9
8,3/24/2022,02:57:35,403,22.7,31.9
9,3/24/2022,02:57:40,403,22.7,31.9
10,3/24/2022,02:57:45,403,22.7,31.9
11,3/24/2022,02:57:50,403,22.7,31.9
12,3/24/2022,02:57:55,402,22.7,31.9
13,3/24/2022,02:58:00,401,22.7,31.9
14,3/24/2022,02:58:05,399,22.7,31.9
15,3/24/2022,02:58:10,397,22.7,31.9
16,3/24/2022,02:58:15,379,22.7,31.8
17,3/24/2022,02:58:20,378,22.7,31.8
18,3/24/2022,02:58:25,379,22.6,31.8
19,3/24/2022,02:58:30,381,22.6,31.8
20,3/24/2022,02:58:35,384,22.6,31.8
21,3/24/2022,02:58:40,386,22.6,31.8
22,3/24/2022,02:58:45,398,22.6,31.8
23,3/24/2022,02:58:50,398,22.6,31.8
24,3/24/2022,02:58:55,397,22.6,31.8
25,3/24/2022,02:59:00,397,22.6,31.8
26,3/24/2022,02:59:05,397,22.6,31.8
27,3/24/2022,02:59:10,398,22.6,31.8
28,3/24/2022,02:59:15,398,22.6,31.8
29,3/24/2022,02:59:20,399,22.6,31.8
30,3/24/2022,02:59:25,399,22.6,31.8
31,3/24/2022,02:59:30,399,22.6,31.8
32,3/24/2022,02:59:35,398,22.6,31.8
33,3/24/2022,02:59:40,397,22.6,31.8
34,3/24/2022,02:59:45,396,22.5,31.8
35,3/24/2022,02:59:50,395,22.5,31.8
36,3/24/2022,02:59:55,394,22.5,31.8
37,3/24/2022,03:00:00,393,22.5,31.8
38,3/24/2022,03:00:05,395,22.5,31.8
39,3/24/2022,03:00:10,396,22.5,31.8
40,3/24/2022,03:00:15,400,22.5,31.8
41,3/24/2022,03:00:20,401,22.5,31.8
42,3/24/2022,03:00:25,403,22.5,31.9
43,3/24/2022,03:00:30,402,22.5,31.9
44,3/24/2022,03:00:35,400,22.5,31.9
45,3/24/2022,03:00:40,399,22.4,31.9
46,3/24/2022,03:00:45,398,22.4,31.9
47,3/24/2022,03:00:50,397,22.4,31.9
48,3/24/2022,03:00:55,396,22.4,31.9
49,3/24/2022,03:01:00,395,22.4,31.9
50,3/24/2022,03:01:05,393,22.4,31.9
51,3/24/2022,03:01:10,392,22.4,31.9
52,3/24/2022,03:01:15,393,22.3,32.0
53,3/24/2022,03:01:20,392,22.3,32.0
54,3/24/2022,03:01:25,393,22.3,32.0
55,3/24/2022,03:01:30,394,22.3,32.0
56,3/24/2022,03:01:35,395,22.3,32.0
57,3/24/2022,03:01:40,396,22.3,32.0
58,3/24/2022,03:01:45,396,22.3,32.0
59,3/24/2022,03:01:50,397,22.2,32.0
60,3/24/2022,03:01:55,399,22.2,32.0
61,3/24/2022,03:02:00,401,22.2,32.0
62,3/24/2022,03:02:05,401,22.2,32.1
63,3/24/2022,03:02:10,401,22.2,32.1
64,3/24/2022,03:02:15,401,22.2,32.1
65,3/24/2022,03:02:20,400,22.2,32.1
66,3/24/2022,03:02:25,400,22.2,32.1
67,3/24/2022,03:02:30,382,22.1,32.1
68,3/24/2022,03:02:35,382,22.1,32.1
69,3/24/2022,03:02:40,384,22.1,32.2
