Position,M_D_YYYY,TIME[HH:mm:ss],CO2[ppm],Temp[C],RH[%]
1,9/15/2022,01:45:15,960,23.2,70.3
2,9/15/2022,01:45:20,960,23.2,70.3
3,9/15/2022,01:45:25,959,23.2,70.3
4,9/15/2022,01:45:30,959,23.2,70.3
5,9/15/2022,01:45:35,958,23.2,70.3
6,9/15/2022,01:45:40,958,23.2,70.2
7,9/15/2022,01:45:45,958,23.2,70.2
8,9/15/2022,01:45:50,957,23.2,70.3
9,9/15/2022,01:45:55,956,23.2,70.3
10,9/15/2022,01:46:00,956,23.2,70.3
11,9/15/2022,01:46:05,958,23.2,70.3
12,9/15/2022,01:46:10,959,23.2,70.3
13,9/15/2022,01:46:15,960,23.2,70.3
14,9/15/2022,01:46:20,960,23.2,70.3
15,9/15/2022,01:46:25,960,23.2,70.2
16,9/15/2022,01:46:30,962,23.2,70.2
17,9/15/2022,01:46:35,962,23.2,70.2
18,9/15/2022,01:46:40,960,23.2,70.2
19,9/15/2022,01:46:45,959,23.2,70.2
20,9/15/2022,01:46:50,958,23.2,70.2
21,9/15/2022,01:46:55,958,23.2,70.2
22,9/15/2022,01:47:00,959,23.2,70.2
23,9/15/2022,01:47:05,960,23.2,70.2
24,9/15/2022,01:47:10,960,23.2,70.2
25,9/15/2022,01:47:15,961,23.2,70.2
26,9/15/2022,01:47:20,961,23.2,70.2
27,9/15/2022,01:47:25,962,23.2,70.2
28,9/15/2022,01:47:30,963,23.2,70.2
29,9/15/2022,01:47:35,963,23.2,70.2
30,9/15/2022,01:47:40,963,23.2,70.2
31,9/15/2022,01:47:45,964,23.2,70.2
32,9/15/2022,01:47:50,966,23.2,70.2
33,9/15/2022,01:47:55,968,23.2,70.2
34,9/15/2022,01:48:00,969,23.2,70.2
35,9/15/2022,01:48:05,971,23.2,70.2
36,9/15/2022,01:48:10,973,23.2,70.2
37,9/15/2022,01:48:15,974,23.2,70.2
38,9/15/2022,01:48:20,975,23.2,70.2
39,9/15/2022,01:48:25,975,23.2,70.2
40,9/15/2022,01:48:30,975,23.2,70.2
41,9/15/2022,01:48:35,976,23.2,70.2
42,9/15/2022,01:48:40,976,23.2,70.2
43,9/15/2022,01:48:45,975,23.2,70.2
44,9/15/2022,01:48:50,976,23.2,70.2
45,9/15/2022,01:48:55,975,23.2,70.2
46,9/15/2022,01:49:00,972,23.2,70.2
47,9/15/2022,01:49:05,970,23.2,70.2
48,9/15/2022,01:49:10,967,23.2,70.2
49,9/15/2022,01:49:15,964,23.2,70.2
50,9/15/2022,01:49:20,962,23.2,70.2
51,9/15/2022,01:49:25,959,23.2,70.2
52,9/15/2022,01:49:30,958,23.2,70.2
53,9/15/2022,01:49:35,958,23.2,70.2
54,9/15/2022,01:49:40,956,23.2,70.2
55,9/15/2022,01:49:45,955,23.2,70.2
56,9/15/2022,01:49:50,956,23.2,70.2
57,9/15/2022,01:49:55,956,23.2,70.2
58,9/15/2022,01:50:00,956,23.2,70.2
59,9/15/2022,01:50:05,956,23.2,70.2
60,9/15/2022,01:50:10,956,23.2,70.2
61,9/15/2022,01:50:15,956,23.2,70.2
62,9/15/2022,01:50:20,956,23.2,70.2
63,9/15/2022,01:50:25,956,23.2,70.2
64,9/15/2022,01:50:30,955,23.2,70.2
65,9/15/2022,01:50:35,955,23.2,70.2
66,9/15/2022,01:50:40,955,23.2,70.2
67,9/15/2022,01:50:45,955,23.2,70.2
68,9/15/2022,01:50:50,955,23.2,70.2
69,9/15/2022,01:50:55,955,23.2,70.2
70,9/15/2022,01:51:00,954,23.2,70.2
71,9/15/2022,01:51:05,954,23.2,70.2
72,9/15/2022,01:51:10,954,23.2,70.2
73,9/15/2022,01:51:15,954,23.2,70.2
74,9/15/2022,01:51:20,954,23.2,70.2
75,9/15/2022,01:51:25,954,23.2,70.2
76,9/15/2022,01:51:30,954,23.2,70.2
77,9/15/2022,01:51:35,954,23.2,70.2
78,9/15/2022,01:51:40,955,23.2,70.2
79,9/15/2022,01:51:45,955,23.2,70.2
80,9/15/2022,01:51:50,956,23.2,70.2
81,9/15/2022,01:51:55,956,23.2,70.2
82,9/15/2022,01:52:00,956,23.2,70.2
83,9/15/2022,01:52:05,956,23.2,70.2
84,9/15/2022,01:52:10,957,23.2,70.2
85,9/15/2022,01:52:15,956,23.2,70.2
86,9/15/2022,01:52:20,956,23.2,70.2
87,9/15/2022,01:52:25,957,23.2,70.2
88,9/15/2022,01:52:30,957,23.2,70.2
89,9/15/2022,01:52:35,956,23.2,70.2
90,9/15/2022,01:52:40,958,23.2,70.2
91,9/15/2022,01:52:45,960,23.2,70.2
92,9/15/2022,01:52:50,961,23.2,70.2
93,9/15/2022,01:52:55,963,23.2,70.2
94,9/15/2022,01:53:00,964,23.2,70.2
95,9/15/2022,01:53:05,964,23.2,70.2
96,9/15/2022,01:53:10,965,23.2,70.2
97,9/15/2022,01:53:15,966,23.2,70.2
98,9/15/2022,01:53:20,965,23.2,70.2
99,9/15/2022,01:53:25,966,23.2,70.2
100,9/15/2022,01:53:30,967,23.2,70.2
101,9/15/2022,01:53:35,968,23.2,70.2
102,9/15/2022,01:53:40,969,23.2,70.2
103,9/15/2022,01:53:45,970,23.2,70.2
104,9/15/2022,01:53:50,972,23.2,70.2
105,9/15/2022,01:53:55,975,23.2,70.2
106,9/15/2022,01:54:00,974,23.2,70.2
107,9/15/2022,01:54:05,974,23.2,70.2
108,9/15/2022,01:54:10,974,23.2,70.2
109,9/15/2022,01:54:15,975,23.2,70.2
110,9/15/2022,01:54:20,976,23.2,70.2
111,9/15/2022,01:54:25,976,23.2,70.2
112,9/15/2022,01:54:30,976,23.2,70.2
