"Date Y-m-d m:s";"gas adc";"LPG PPM"
"2023-11-23 13:10:37";76.38;0
"2023-11-23 13:11:22";88.73;8
"2023-11-23 13:12:07";89.95;8
"2023-11-23 13:12:52";75.83;0
"2023-11-23 13:13:37";91.56;9
"2023-11-23 13:14:22";97.38;13
"2023-11-23 13:15:07";101.43;16
"2023-11-23 13:15:52";105.95;20
"2023-11-23 13:16:37";103.12;18
"2023-11-23 13:17:22";104.38;19
"2023-11-23 13:18:07";103;17
"2023-11-23 13:18:52";106.34;21
"2023-11-23 13:19:36";106.65;21
"2023-11-23 13:20:21";105;19
"2023-11-23 13:21:06";109.87;25
"2023-11-23313:21:51";104.77;19
"2023-11-23 13:22:36";102.12;17
"2023-11-23 13:23:21";106.56;21
"2023-11-23 13:24:06";118.51;38
"2023-11-23 13:24:51";99.77;15
"2023-11-23 13:25:36";96.61;12
"2023-11-23 13:26:21";102.83;17
"2023-11-23 13:27:06";100.95;16
"2023-11-23 13:27:51";102.12;17
"2023-11-23 13:28:36";103.12;18
"2023-11-23 13:29:21";108.08;23
"2023-11-23 13:30:06";107.34;22
"2023-11-23 13:30:51";99.95;15
"2023-11-23 13:31:36";97.87;13
"2023-11-23 13:32:21";95.77;12
"2023-11-23 13:33:06";98.56;14
"2023-11-23 13:33:51";101.34;16
"2023-11-23 13:34:36";95.48;11
"2023-11-23 13:35:21";93.48;10
"2023-11-23 13:36:06";93;10
"2023-11-23 13:36:51";94.38;11
"2023-11-23 13:37:36";92.08;9
"2023-11-23 13:38:21";90.12;8
"2023-11-23 13:39:06";90.95;9
"2023-11-23 13:39:51";92.30;9
"2023-11-23 13:40:36";90.69;9
"2023-11-23 13:41:21";90;8
"2023-11-23 13:42:06";90.16;8
"2023-11-23 13:42:51";90;8
"2023-11-23 13:43:36";90;8
"2023-11-23 13:44:21";90;8
"2023-11-23 13:45:06";90;8
"2023-11-23 13:45:51";90;8
"2023-11-23 13:46:36";90.04;8
"2023-11-23 13:47:21";90;8
"2023-11-23 13:48:06";90;8
"2023-11-23 13:48:51";90.08;8
"2023-11-23 13:49:36";90.43;8
"2023-11-23 13:50:21";90.22;8
"2023-11-23 13:51:06";91;9
"2023-11-23 13:51:51";90.87;9
"2023-11-23 13:52:36";90.91;9
"2023-11-23 13:53:21";90.91;9
"2023-11-23 13:54:06";91;9
"2023-11-23 13:54:51";91;9
"2023-11-23 13:55:36";91;9
"2023-11-23 13:56:21";91;9
"2023-11-23 13:57:06";91;9
"2023-11-23 13:57:51";91;9
"2023-11-23 13:58:36";91.04;9
"2023-11-23 13:59:21";91;9
"2023-11-23 14:00:06";91.65;9
"2023-11-23 14:00:51";91.95;9
"2023-11-23 14:01:36";92;9
"2023-11-23 14:02:21";92.16;9
"2023-11-23 14:03:06";92.73;10
"2023-11-23 14:03:51";87.51;0
"2023-11-23 14:04:36";96.73;12
"2023-11-23 14:05:21";96.30;12
"2023-11-23 14:06:06";96.12;12
"2023-11-23 14:06:51";98.30;13
"2023-11-23 14:07:36";100.95;16
"2023-11-23 14:08:21";100.12;15
"2023-11-23 14:09:06";107.38;22
"2023-11-23 14:09:51";101.22;16
"2023-11-23 14:10:36";95.69;12
"2023-11-23 14:11:21";93.77;10
"2023-11-23 14:12:06";94.12;11
"2023-11-23 14:12:51";94.95;11
"2023-11-23 14:13:36";95.48;11
"2023-11-23 14:14:21";94.65;11
"2023-11-23 14:15:06";96;12
"2023-11-23 14:15:51";94.83;11
"2023-11-23 14:16:36";94.22;11
"2023-11-23 14:17:21";94.65;11
"2023-11-23 14:18:06";96.34;12
"2023-11-23 14:18:51";95.34;11
"2023-11-23 14:19:36";96.65;12
"2023-11-23 14:20:21";95.22;11
"2023-11-23 14:21:06";94.83;11
"2023-11-23 14:21:51";95.34;11
"2023-11-23 14:22:36";97.91;13
"2023-11-23 14:23:21";96.12;12
"2023-11-23 14:24:06";96;12
"2023-11-23 14:24:51";92.77;10
"2023-11-23 14:25:36";94.48;11
"2023-11-23 14:26:21";97.12;13
"2023-11-23 14:27:06";94.51;11
"2023-11-23 14:27:51";100.48;15
"2023-11-23 14:28:36";102.65;17
"2023-11-23 14:29:21";97.26;13
"2023-11-23 14:30:06";102.83;17
"2023-11-23 14:30:51";105.34;20
"2023-11-23 14:31:36";108.69;24
"2023-11-23 14:32:21";105.56;20
"2023-11-23 14:33:06";107.12;22
"2023-11-23 14:33:51";104.48;19
"2023-11-23 14:34:36";107.87;23
"2023-11-23 14:35:21";108.04;23
"2023-11-23 14:36:06";109.95;25
"2023-11-23 14:36:51";112.08;28
"2023-11-23 14:37:36";109.77;25
"2023-11-23 14:38:21";105.77;20
"2023-11-23 14:39:06";104;18
"2023-11-23 14:39:51";98.22;13
"2023-11-23 14:40:36";98;13
"2023-11-23 14:41:21";99.65;14
"2023-11-23 14:42:06";99.61;14
"2023-11-23 14:42:51";98.87;14
"2023-11-23 14:43:36";99.69;15
"2023-11-23 14:44:21";99.38;14
"2023-11-23 14:45:05";98.16;13
"2023-11-23 14:45:50";99.38;14
"2023-11-23 14:46:35";98.61;14
"2023-11-23 14:47:20";98.56;14
"2023-11-23 14:48:05";98.51;14
"2023-11-23 14:48:50";98.91;14
"2023-11-23 14:49:35";106.34;21
"2023-11-23 14:50:20";89.51;8
"2023-11-23 14:51:05";87.87;0
"2023-11-23 14:51:50";88.43;7
"2023-11-23 14:52:35";88.65;7
"2023-11-23 14:53:20";88;0
"2023-11-23 14:54:05";88;0
"2023-11-23 14:54:50";88;0
"2023-11-23 14:55:35";88;0
"2023-11-23 14:56:20";87.95;0
"2023-11-23 14:57:05";87.91;0
"2023-11-23 14:57:50";88;0
"2023-11-23 14:58:35";88;0
"2023-11-23 14:59:20";87.95;0
"2023-11-23 15:00:05";87.87;0
"2023-11-23 15:00:50";87.83;0
"2023-11-23 15:01:35";87.56;0
"2023-11-23 15:02:20";87.61;0
"2023-11-23 15:03:05";87.38;0
"2023-11-23 15:03:50";87.77;0
"2023-11-23 15:04:35";87.65;0
"2023-11-23 15:05:20";87.43;0
"2023-11-23 15:06:05";87.69;0
"2023-11-23 15:06:50";87.83;0
"2023-11-23 15:07:35";87.87;0
"2023-11-23 15:08:20";87.51;0
"2023-11-23 15:09:05";87.73;0
"2023-11-23 15:09:50";87.61;0
"2023-11-23 15:10:35";87.43;0
"2023-11-23 15:11:20";87.69;0
"2023-11-23 15:12:05";87.91;0
"2023-11-23 15:12:50";87.87;0
"2023-11-23 15:13:35";87.95;0
"2023-11-23 15:14:20";87.87;0
"2023-11-23 15:15:05";87.77;0
"2023-11-23 15:15:50";87.30;0
"2023-11-23 15:16:35";87.34;0
"2023-11-23 15:17:20";87.43;0
"2023-11-23 15:18:05";88;0
"2023-11-23 15:18:50";87;0
"2023-11-23 15:19:35";88.08;7
"2023-11-23 15:20:20";85.77;0
"2023-11-23 15:21:05";87;0
"2023-11-23 15:21:50";87;0
"2023-11-23 15:22:35";88;0
"2023-11-23 15:23:20";88;0
"2023-11-23 15:24:05";88;0
"2023-11-23 15:24:50";89.26;8
"2023-11-23 15:25:35";88.08;7
"2023-11-23 15:26:20";85.48;0
"2023-11-23 15:27:05";90;8
"2023-11-23 15:27:50";90;8
"2023-11-23 15:28:35";87.95;0
"2023-11-23 15:29:20";86;0
"2023-11-23 15:30:05";90.77;9
"2023-11-23 15:30:50";88.34;7
"2023-11-23 15:31:35";88;0
"2023-11-23 15:32:20";88;0
"2023-11-23 15:33:05";91.48;9
"2023-11-23 15:33:50";88.30;7
"2023-11-23 15:34:35";87.77;0
"2023-11-23 15:35:20";87.38;0
"2023-11-23 15:36:05";88.30;7
"2023-11-23 15:36:50";87.16;0
"2023-11-23 15:37:35";91.56;9
"2023-11-23 15:38:20";88.26;7
"2023-11-23 15:39:05";88.22;7
"2023-11-23 15:39:50";88.87;8
"2023-11-23 15:40:35";87.56;0
"2023-11-23 15:41:20";86.69;0
"2023-11-23 15:42:05";88;0
"2023-11-23 15:42:50";88.22;7
"2023-11-23 15:43:35";87.38;0
"2023-11-23 15:44:20";89;8
"2023-11-23 15:45:05";88.87;8
"2023-11-23 15:45:50";90;8
"2023-11-23 15:46:35";88.51;7
"2023-11-23 15:47:20";87.91;0
"2023-11-23 15:48:05";90.22;8
"2023-11-23 15:48:50";87.04;0
"2023-11-23 15:49:35";89.12;8
"2023-11-23 15:50:20";89.73;8
"2023-11-23 15:51:05";89.12;8
"2023-11-23 15:51:50";91.73;9
"2023-11-23 15:52:35";92.26;9
"2023-11-23 15:53:20";89.83;8
"2023-11-23 15:54:05";89;8
"2023-11-23 15:54:50";89.08;8
"2023-11-23 15:55:35";86.95;0
"2023-11-23 15:56:20";89;8
"2023-11-23 15:57:05";90.22;8
"2023-11-23 15:57:50";88.91;8
"2023-11-23 15:58:35";87.22;0
"2023-11-23 15:59:20";88.56;7
"2023-11-23 16:00:05";89.95;8
"2023-11-23 16:00:50";88;0
"2023-11-23 16:01:35";89.43;8
"2023-11-23 16:02:20";89.26;8
"2023-11-23 16:03:05";81.83;0
"2023-11-23 16:03:50";90.65;8
"2023-11-23 16:04:35";90.04;8
"2023-11-23 16:05:20";90.95;9
"2023-11-23 16:06:05";87.34;0
"2023-11-23 16:06:50";86.51;0
"2023-11-23 16:07:35";88.26;7
"2023-11-23 16:08:20";77.73;0
"2023-11-23 16:09:05";91.30;9
"2023-11-23 16:09:50";94.43;11
"2023-11-23 16:10:34";90.83;9
