"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-11 14:27:28";52;106.47
"2024-05-11 14:27:57";48.24;90.01
"2024-05-11 14:28:27";43.09;70
"2024-05-11 14:28:57";43.06;69.87
"2024-05-11 14:29:27";43.38;71.05
"2024-05-11 14:29:57";44.49;75.18
"2024-05-11 14:30:27";45.88;80.54
"2024-05-11 14:30:57";46;80.95
"2024-05-11 14:31:27";46.04;81.11
"2024-05-11 14:31:57";46.68;83.70
"2024-05-11 14:32:27";46.75;83.93
"2024-05-11 14:32:57";46.86;84.41
"2024-05-11 14:33:27";47;84.93
"2024-05-11 14:33:57";46.99;84.91
"2024-05-11 14:34:27";47;84.93
"2024-05-11 14:34:57";47;84.93
"2024-05-11 14:35:27";47;84.93
"2024-05-11 14:35:57";46.99;84.91
"2024-05-11 14:36:28";47;84.93
"2024-05-11 14:36:58";47;84.93
"2024-05-11 14:37:28";47;84.93
"2024-05-11 14:37:58";47;84.93
"2024-05-11 14:38:28";47;84.93
"2024-05-11 14:38:58";47;84.93
"2024-05-11 14:39:28";47.04;85.11
"2024-05-11 14:39:58";47.08;85.25
"2024-05-11 14:40:28";47.08;85.25
"2024-05-11 14:40:58";47.33;86.27
"2024-05-11 14:41:28";47.59;87.34
"2024-05-11 14:41:58";47.88;88.51
"2024-05-11 14:42:28";47.93;88.79
"2024-05-11 14:42:58";47.99;88.98
"2024-05-11 14:43:28";47.99;88.98
"2024-05-11 14:43:58";48;89.01
"2024-05-11 14:44:28";48;89.01
"2024-05-11 14:44:58";48;89.01
"2024-05-11 14:45:28";48;89.01
"2024-05-11 14:45:58";48;89.01
"2024-05-11 14:46:28";48;89.01
"2024-05-11 14:46:58";48;89.01
"2024-05-11 14:47:28";48;89.01
"2024-05-11 14:47:58";48;89.01
"2024-05-11 14:48:28";48;89.01
"2024-05-11 14:48:58";48;89.01
"2024-05-11 14:49:28";48;89.01
"2024-05-11 14:49:58";48;89.01
"2024-05-11 14:50:28";48;89.01
"2024-05-11 14:50:58";48;89.01
"2024-05-11 14:51:28";48;89.01
"2024-05-11 14:51:58";48;89.01
"2024-05-11 14:52:29";48;89.04
"2024-05-11 14:52:59";48.02;89.12
"2024-05-11 14:53:29";48.06;89.26
"2024-05-11 14:53:59";48.16;89.73
"2024-05-11 14:54:29";48.29;90.22
"2024-05-11 14:54:59";48.61;91.58
"2024-05-11 14:55:29";48.90;92.83
"2024-05-11 14:55:59";48.97;93.12
"2024-05-11 14:56:29";49;93.20
"2024-05-11 14:56:59";49;93.20
"2024-05-11 14:57:29";48.97;93.12
"2024-05-11 14:57:59";49;93.20
"2024-05-11 14:58:29";49;93.20
"2024-05-11 14:58:59";49;93.20
"2024-05-11 14:59:29";49;93.20
"2024-05-11 14:59:59";49;93.20
"2024-05-11 15:00:29";49;93.20
"2024-05-11 15:00:59";49;93.20
"2024-05-11 15:01:29";49;93.20
"2024-05-11 15:01:59";49;93.20
"2024-05-11 15:02:29";49.02;93.33
"2024-05-11 15:02:59";49.11;93.70
"2024-05-11 15:03:29";49.40;94.97
"2024-05-11 15:03:59";49.72;96.33
"2024-05-11 15:04:29";49.86;96.95
"2024-05-11 15:04:59";49.77;96.52
"2024-05-11 15:05:29";49.88;97.04
"2024-05-11 15:05:59";49.97;97.40
"2024-05-11 15:06:29";50;97.51
"2024-05-11 15:06:59";50;97.51
"2024-05-11 15:07:29";50;97.51
"2024-05-11 15:07:59";50;97.51
"2024-05-11 15:08:29";50;97.51
"2024-05-11 15:09:00";50;97.51
"2024-05-11 15:09:30";50;97.51
"2024-05-11 15:10:00";50;97.51
"2024-05-11 15:10:30";50;97.51
"2024-05-11 15:11:00";50;97.51
"2024-05-11 15:11:30";50;97.51
"2024-05-11 15:12:00";50;97.51
"2024-05-11 15:12:30";50;97.51
"2024-05-11 15:13:00";50;97.51
"2024-05-11 15:13:30";50;97.51
"2024-05-11 15:14:00";50;97.51
"2024-05-11 15:14:30";50;97.51
"2024-05-11 15:15:00";50;97.56
"2024-05-11 15:15:30";50.04;97.70
"2024-05-11 15:16:00";50.16;98.25
"2024-05-11 15:16:30";50.22;98.48
"2024-05-11 15:17:00";50.33;98.98
"2024-05-11 15:17:30";50.33;98.95
"2024-05-11 15:18:00";50.43;99.47
"2024-05-11 15:18:30";50.18;98.31
"2024-05-11 15:19:00";50;97.51
"2024-05-11 15:19:30";50;97.51
