"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-11 14:10:47";44;16.36
"2024-05-11 14:11:17";30.90;7.50
"2024-05-11 14:11:47";20.18;0
"2024-05-11 14:12:17";18;0
"2024-05-11 14:12:47";17.95;0
"2024-05-11 14:13:17";17.12;0"2024-05-11 14:13:47";17;0
"2024-05-11 14:14:17";17;0
"2024-05-11 14:14:47";17.03;0
"2024-05-11 14:15:18";17;0
"2024-05-11 14:15:48";17;0
"2024-05-11 14:16:18";17;0
"2024-05-11 14:16:48";17;0
"2024-05-11 14:17:18";17;0
"2024-05-11 14:17:48";17;0
"2024-05-11 14:18:18";17;0
"2024-05-11 14:18:48";17;0
"2024-05-11 14:19:18";17;0
"2024-05-11 14:19:48";17;0
"2024-05-11 14:20:18";17;0
"2024-05-11 14:20:49";17;0
"2024-05-11 14:21:19";17;0
"2024-05-11 14:21:49";17;0
