"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-11 13:48:59";26;27.77
"2024-05-11 13:49:29";22.70;20.65
"2024-05-11 13:49:59";20.42;16.40
"2024-05-11 13:50:29";19.68;15.14
"2024-05-11 13:50:59";19.18;14.32
"2024-05-11 13:51:29";19.02;14.07
"2024-05-11 13:51:59";18.78;13.68
"2024-05-11 13:52:29";18.72;13.61
"2024-05-11 13:52:59";18.63;13.47
"2024-05-11 13:53:29";18.56;13.35
"2024-05-11 13:53:59";18.43;13.14
"2024-05-11 13:54:29";18.38;13.09
"2024-05-11 13:54:59";18.42;13.13
"2024-05-11 13:55:29";18.37;13.06
"2024-05-11 13:55:59";18.37;13.06
"2024-05-11 13:56:29";18.40;13.10
"2024-05-11 13:56:59";18.28;12.90
"2024-05-11 13:57:29";18.30;12.96
"2024-05-11 13:57:59";18.34;13
"2024-05-11 13:58:29";18.35;13.02
"2024-05-11 13:58:59";18.29;12.93
"2024-05-11 13:59:29";18.32;12.98
"2024-05-11 13:59:59";18.37;13.03
"2024-05-11 14:00:29";18.29;12.93
"2024-05-11 14:01:00";18.30;12.96
"2024-05-11 14:01:30";18.43;13.14
"2024-05-11 14:02:00";20.52;16.59
"2024-05-11 14:02:30";20.54;16.62
"2024-05-11 14:03:00";20.56;16.67
"2024-05-11 14:03:30";20.45;16.47
"2024-05-11 14:04:00";20.65;16.84
"2024-05-11 14:04:30";20.71;16.95
"2024-05-11 14:05:00";18.97;14
"2024-05-11 14:05:30";19.18;14.32
"2024-05-11 14:06:00";19.18;14.32
"2024-05-11 14:06:30";20.72;16.95
"2024-05-11 14:07:00";20.94;17.34
"2024-05-11 14:07:30";21.20;17.81
"2024-05-11 14:08:00";21.14;17.71
