"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-18 17:27:42";501;619.84
"2024-05-18 17:28:12";408.19;282.98
"2024-05-18 17:28:42";283.60;88.05
"2024-05-18 17:29:12";219.16;42.59
"2024-05-18 17:29:42";191.47;29.72
"2024-05-18 17:30:12";176.72;24.14
"2024-05-18 17:30:42";165.97;20.56
"2024-05-18 17:31:12";158.64;18.35
"2024-05-18 17:31:42";153.52;16.89
"2024-05-18 17:32:12";150.36;16.04
"2024-05-18 17:32:42";150.61;16.11
"2024-05-18 17:33:12";147.80;15.36
"2024-05-18 17:33:42";139.63;13.35
"2024-05-18 17:34:12";133.86;12.03
"2024-05-18 17:34:42";131.69;11.56
"2024-05-18 17:35:12";130.52;11.31
"2024-05-18 17:35:42";130;11.21
"2024-05-18 17:36:12";130;11.21
"2024-05-18 17:36:42";129.67;11.14
"2024-05-18 17:37:12";130.13;11.23
"2024-05-18 17:37:42";129.41;11.09
"2024-05-18 17:38:12";129.16;11.02
"2024-05-18 17:38:42";129.83;11.18
"2024-05-18 17:39:12";130;11.21
"2024-05-18 17:39:42";130.44;11.30
"2024-05-18 17:40:12";131.77;11.59
"2024-05-18 17:40:42";135.52;12.40
"2024-05-18 17:41:12";138.58;13.10
"2024-05-18 17:41:42";140.67;13.60
"2024-05-18 17:42:12";141;13.68
