"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-18 18:10:22";109.16;7.36
"2024-05-18 18:10:52";109.02;7.34
"2024-05-18 18:11:22";109;7.32
"2024-05-18 18:11:52";109;7.32
"2024-05-18 18:12:22";109;7.32
"2024-05-18 18:12:52";109;7.32
"2024-05-18 18:13:22";109;7.32
"2024-05-18 18:13:52";109;7.32
"2024-05-18 18:14:22";109;7.32
"2024-05-18 18:14:52";109;7.32
"2024-05-18 18:15:22";109;7.32
"2024-05-18 18:15:52";109;7.32
"2024-05-18 18:16:22";109;7.32
"2024-05-18 18:16:52";109;7.32
"2024-05-18 18:17:22";109;7.32
"2024-05-18 18:17:52";109;7.32
"2024-05-18 18:18:22";109;7.32
"2024-05-18 18:18:52";109;7.32
"2024-05-18 18:19:22";109;7.32
"2024-05-18 18:19:52";109;7.32
"2024-05-18 18:20:22";109;7.32
"2024-05-18 18:20:52";108.95;7.32
"2024-05-18 18:21:22";108.91;7.32
"2024-05-18 18:21:52";108.79;7.30
"2024-05-18 18:22:22";108.66;7.28
"2024-05-18 18:22:52";108.51;7.25
"2024-05-18 18:23:22";108.44;7.23
"2024-05-18 18:23:52";108.36;7.23
"2024-05-18 18:24:22";108.26;7.21
"2024-05-18 18:24:52";108.16;7.19
"2024-05-18 18:25:22";108.04;7.17
"2024-05-18 18:25:52";108.12;7.19
"2024-05-18 18:26:23";108.06;7.17
"2024-05-18 18:26:53";108.01;7.17
"2024-05-18 18:27:23";108.01;7.17
"2024-05-18 18:27:53";108.01;7.17
"2024-05-18 18:28:23";108;7.17
"2024-05-18 18:28:53";108;7.17
"2024-05-18 18:29:23";108;7.17
"2024-05-18 18:29:53";108;7.17
"2024-05-18 18:30:23";108;7.17
"2024-05-18 18:30:53";108;7.17
"2024-05-18 18:31:23";108;7.17
"2024-05-18 18:31:53";108;7.17
"2024-05-18 18:32:23";108;7.17
"2024-05-18 18:32:53";108;7.17
"2024-05-18 18:33:23";108;7.17
"2024-05-18 18:33:53";108;7.17
"2024-05-18 18:34:23";108;7.17
"2024-05-18 18:34:53";108;7.17
"2024-05-18 18:35:23";108;7.17
"2024-05-18 18:35:53";108;7.17
"2024-05-18 18:36:23";108;7.17
"2024-05-18 18:36:53";108;7.17
"2024-05-18 18:37:23";108;7.17
"2024-05-18 18:37:53";108;7.17
"2024-05-18 18:38:23";108;7.17
"2024-05-18 18:38:53";108;7.17
"2024-05-18 18:39:23";108;7.17
"2024-05-18 18:39:53";108;7.17
"2024-05-18 18:40:23";108;7.17
"2024-05-18 18:40:53";108;7.17
"2024-05-18 18:41:23";108;7.17
"2024-05-18 18:41:53";108;7.17
"2024-05-18 18:42:23";108;7.17
"2024-05-18 18:42:54";108;7.17
"2024-05-18 18:43:24";108;7.17
"2024-05-18 18:43:54";108;7.17
"2024-05-18 18:44:24";108;7.17
"2024-05-18 18:44:54";108;7.17
"2024-05-18 18:45:24";108;7.17
"2024-05-18 18:45:54";108;7.17
"2024-05-18 18:46:24";108;7.17
"2024-05-18 18:46:54";108;7.17
"2024-05-18 18:47:24";108;7.17
"2024-05-18 18:47:54";108;7.17
"2024-05-18 18:48:24";108;7.17
"2024-05-18 18:48:54";108;7.17
"2024-05-18 18:49:24";108;7.17
"2024-05-18 18:49:54";108;7.17
"2024-05-18 18:50:24";108;7.17
"2024-05-18 18:50:54";108;7.17
"2024-05-18 18:51:24";108;7.17
"2024-05-18 18:51:54";108;7.17
"2024-05-18 18:52:24";108;7.17
"2024-05-18 18:52:54";108;7.17
"2024-05-18 18:53:24";107.98;7.17
"2024-05-18 18:53:54";108;7.17
"2024-05-18 18:54:24";108;7.17
"2024-05-18 18:54:54";108;7.17
"2024-05-18 18:55:24";108;7.17
"2024-05-18 18:55:54";108;7.17
"2024-05-18 18:56:24";108;7.17
"2024-05-18 18:56:54";108;7.17
"2024-05-18 18:57:24";108;7.17
"2024-05-18 18:57:54";108;7.17
"2024-05-18 18:58:24";108;7.17
"2024-05-18 18:58:54";108;7.17
