"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-18 17:27:57";147.66;249.64
"2024-05-18 17:28:27";86.18;68.70
"2024-05-18 17:28:57";47.15;17.46
"2024-05-18 17:29:28";36.06;9.63
"2024-05-18 17:29:58";30.53;6.67
"2024-05-18 17:30:28";26.94;5.07
"2024-05-18 17:30:58";24.28;0
"2024-05-18 17:31:28";22.45;0
"2024-05-18 17:31:58";21.18;0
"2024-05-18 17:32:28";20.04;0
"2024-05-18 17:32:58";19.23;0
"2024-05-18 17:33:28";18.57;0
"2024-05-18 17:33:58";17.98;0
"2024-05-18 17:34:28";17.18;0
"2024-05-18 17:34:58";17;0
"2024-05-18 17:35:28";16.54;0
"2024-05-18 17:35:58";16;0
"2024-05-18 17:36:28";16;0
"2024-05-18 17:36:58";15.98;0
"2024-05-18 17:37:28";15.59;0
"2024-05-18 17:37:59";15.09;0
"2024-05-18 17:38:29";15;0
"2024-05-18 17:38:59";15;0
"2024-05-18 17:39:29";14.98;0
"2024-05-18 17:39:59";14.97;0
"2024-05-18 17:40:29";14.94;0
"2024-05-18 17:40:59";14.85;0
"2024-05-18 17:41:29";14.68;0
"2024-05-18 17:41:59";14.18;0
