"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-18 17:43:22";41;6.96
"2024-05-18 17:43:52";40.52;6.79
"2024-05-18 17:44:22";40.11;6.63
"2024-05-18 17:44:52";40.02;6.59
"2024-05-18 17:45:22";40;6.59
"2024-05-18 17:45:52";40;6.59
"2024-05-18 17:46:22";40;6.59
"2024-05-18 17:46:53";40;6.59
"2024-05-18 17:47:23";39.99;6.59
"2024-05-18 17:47:53";40;6.59
"2024-05-18 17:48:23";39.99;6.59
"2024-05-18 17:48:53";39.97;6.59
"2024-05-18 17:49:23";39.93;6.57
"2024-05-18 17:49:53";39.86;6.53
"2024-05-18 17:50:23";39.74;6.50
"2024-05-18 17:50:53";39.58;6.44
"2024-05-18 17:51:23";39.52;6.42
"2024-05-18 17:51:53";39.40;6.38
"2024-05-18 17:52:23";39.31;6.34
"2024-05-18 17:52:53";39.18;6.30
"2024-05-18 17:53:23";39.13;6.28
"2024-05-18 17:53:53";39.09;6.26
"2024-05-18 17:54:23";39.06;6.26
"2024-05-18 17:54:53";39.02;6.23
"2024-05-18 17:55:23";39.02;6.25
"2024-05-18 17:55:53";39;6.23
"2024-05-18 17:56:23";39;6.23
"2024-05-18 17:56:53";39;6.23
"2024-05-18 17:57:23";39;6.23
"2024-05-18 17:57:53";39;6.23
"2024-05-18 17:58:23";39;6.23
"2024-05-18 17:58:53";39;6.23
"2024-05-18 17:59:23";39;6.23
"2024-05-18 17:59:53";39;6.23
"2024-05-18 18:00:23";39;6.23
"2024-05-18 18:00:53";39;6.23
"2024-05-18 18:01:23";39;6.23
"2024-05-18 18:01:53";39;6.23
"2024-05-18 18:02:23";38.99;6.23
"2024-05-18 18:02:53";38.99;6.23
"2024-05-18 18:03:23";38.97;6.23
"2024-05-18 18:03:53";38.97;6.23
"2024-05-18 18:04:23";38.97;6.23
"2024-05-18 18:04:53";38.95;6.21
"2024-05-18 18:05:23";38.95;6.21
"2024-05-18 18:05:53";38.91;6.21
"2024-05-18 18:06:23";38.91;6.21
"2024-05-18 18:06:54";38.84;6.17
"2024-05-18 18:07:24";38.77;6.15
"2024-05-18 18:07:54";38.81;6.17
"2024-05-18 18:08:24";38.74;6.15
"2024-05-18 18:08:54";38.77;6.15
"2024-05-18 18:09:24";38.74;6.15
"2024-05-18 18:09:54";38.68;6.13
"2024-05-18 18:10:24";38.63;6.11
"2024-05-18 18:10:54";38.63;6.11
"2024-05-18 18:11:24";38.61;6.09
"2024-05-18 18:11:54";38.56;6.09
"2024-05-18 18:12:24";38.56;6.07
"2024-05-18 18:12:54";38.47;6.05
"2024-05-18 18:13:24";38.43;6.03
"2024-05-18 18:13:54";38.38;6.01
"2024-05-18 18:14:24";38.33;6
"2024-05-18 18:14:54";38.34;6.01
"2024-05-18 18:15:24";38.24;5.96
"2024-05-18 18:15:54";38.27;5.98
"2024-05-18 18:16:24";38.16;5.94
"2024-05-18 18:16:54";38.18;5.94
"2024-05-18 18:17:24";38.16;5.94
"2024-05-18 18:17:54";38.09;5.92
"2024-05-18 18:18:24";38.13;5.92
"2024-05-18 18:18:54";38.08;5.92
"2024-05-18 18:19:24";38.11;5.92
"2024-05-18 18:19:54";38.09;5.92
"2024-05-18 18:20:24";38.08;5.92
"2024-05-18 18:20:54";38.06;5.90
"2024-05-18 18:21:24";38.02;5.90
"2024-05-18 18:21:54";38.04;5.90
"2024-05-18 18:22:24";38.06;5.90
"2024-05-18 18:22:54";38.02;5.90
"2024-05-18 18:23:24";38;5.88
"2024-05-18 18:23:54";38;5.88
"2024-05-18 18:24:24";38;5.88
"2024-05-18 18:24:54";38;5.88
"2024-05-18 18:25:24";38;5.88
"2024-05-18 18:25:54";38;5.88
"2024-05-18 18:26:24";38;5.88
"2024-05-18 18:26:54";38;5.88
"2024-05-18 18:27:25";38.02;5.88
"2024-05-18 18:27:55";38;5.88
"2024-05-18 18:28:25";38;5.88
"2024-05-18 18:28:55";38;5.88
"2024-05-18 18:29:25";38;5.88
"2024-05-18 18:29:55";38;5.88
"2024-05-18 18:30:25";38;5.88
"2024-05-18 18:30:55";38;5.88
"2024-05-18 18:31:25";38;5.88
"2024-05-18 18:31:55";38;5.88
"2024-05-18 18:32:25";38;5.88
"2024-05-18 18:32:55";38;5.88
"2024-05-18 18:33:25";38;5.88
"2024-05-18 18:33:55";38;5.88
"2024-05-18 18:34:25";38;5.88
"2024-05-18 18:34:55";38;5.88
"2024-05-18 18:35:25";38;5.88
"2024-05-18 18:35:55";38;5.88
"2024-05-18 18:36:25";38;5.88
"2024-05-18 18:36:55";38;5.88
"2024-05-18 18:37:25";38;5.88
"2024-05-18 18:37:55";38;5.88
"2024-05-18 18:38:25";38;5.88
"2024-05-18 18:38:55";38;5.88
"2024-05-18 18:39:25";38;5.88
"2024-05-18 18:39:55";38;5.88
"2024-05-18 18:40:25";38;5.88
"2024-05-18 18:40:55";37.99;5.88
"2024-05-18 18:41:25";38;5.88
"2024-05-18 18:41:55";38;5.88
"2024-05-18 18:42:25";38;5.88
"2024-05-18 18:42:55";38;5.88
"2024-05-18 18:43:25";38;5.88
"2024-05-18 18:43:55";38;5.88
"2024-05-18 18:44:25";38;5.88
"2024-05-18 18:44:55";38;5.88
"2024-05-18 18:45:25";38;5.88
"2024-05-18 18:45:55";38;5.88
"2024-05-18 18:46:25";38;5.88
"2024-05-18 18:46:55";38;5.88
"2024-05-18 18:47:26";38;5.88
"2024-05-18 18:47:56";38;5.88
"2024-05-18 18:48:26";37.99;5.88
"2024-05-18 18:48:56";37.99;5.88
"2024-05-18 18:49:26";37.99;5.88
"2024-05-18 18:49:56";37.99;5.88
"2024-05-18 18:50:26";38;5.88
"2024-05-18 18:50:56";37.99;5.88
"2024-05-18 18:51:26";37.97;5.88
"2024-05-18 18:51:56";37.99;5.88
"2024-05-18 18:52:26";37.95;5.88
"2024-05-18 18:52:56";38;5.88
"2024-05-18 18:53:26";37.97;5.88
"2024-05-18 18:53:56";37.99;5.88
"2024-05-18 18:54:26";37.99;5.88
"2024-05-18 18:54:56";37.97;5.88
"2024-05-18 18:55:26";37.99;5.88
"2024-05-18 18:55:56";37.99;5.88
"2024-05-18 18:56:26";37.99;5.88
"2024-05-18 18:56:56";37.99;5.88
"2024-05-18 18:57:26";37.97;5.88
"2024-05-18 18:57:56";37.99;5.88
"2024-05-18 18:58:26";37.95;5.88
"2024-05-18 18:58:56";37.95;5.88
"2024-05-18 18:59:26";37.97;5.88
"2024-05-18 18:59:56";37.97;5.88
"2024-05-18 19:00:26";37.97;5.88
"2024-05-18 19:00:56";37.97;5.88
"2024-05-18 19:01:26";37.99;5.88
"2024-05-18 19:01:56";37.99;5.88
"2024-05-18 19:02:26";37.97;5.88
"2024-05-18 19:02:56";37.97;5.88
"2024-05-18 19:03:26";37.95;5.86
"2024-05-18 19:03:56";37.97;5.88
"2024-05-18 19:04:26";37.97;5.88
"2024-05-18 19:04:56";37.97;5.88
"2024-05-18 19:05:26";37.95;5.86
"2024-05-18 19:05:56";37.95;5.86
"2024-05-18 19:06:26";37.97;5.88
"2024-05-18 19:06:56";37.93;5.86
"2024-05-18 19:07:26";37.93;5.86
"2024-05-18 19:07:57";37.93;5.86
"2024-05-18 19:08:27";37.88;5.84
"2024-05-18 19:08:57";37.97;5.88
"2024-05-18 19:09:27";37.90;5.86
"2024-05-18 19:09:57";37.90;5.86
"2024-05-18 19:10:27";37.88;5.84
"2024-05-18 19:10:57";37.91;5.86
"2024-05-18 19:11:27";37.97;5.88
"2024-05-18 19:11:57";37.91;5.86
"2024-05-18 19:12:27";37.88;5.84
"2024-05-18 19:12:57";37.88;5.84
"2024-05-18 19:13:27";37.83;5.82
"2024-05-18 19:13:57";37.88;5.84
"2024-05-18 19:14:27";37.91;5.86
"2024-05-18 19:14:57";37.88;5.84
"2024-05-18 19:15:27";37.90;5.84
"2024-05-18 19:15:57";37.93;5.86
"2024-05-18 19:16:27";37.86;5.84
"2024-05-18 19:16:57";37.91;5.86
"2024-05-18 19:17:27";37.84;5.84
"2024-05-18 19:17:57";37.90;5.84
"2024-05-18 19:18:27";37.77;5.80
"2024-05-18 19:18:57";37.84;5.84
"2024-05-18 19:19:27";37.88;5.84
"2024-05-18 19:19:57";37.86;5.84
"2024-05-18 19:20:27";37.91;5.86
"2024-05-18 19:20:57";37.83;5.82
"2024-05-18 19:21:27";37.81;5.82
"2024-05-18 19:21:57";37.81;5.82
"2024-05-18 19:22:27";37.84;5.82
"2024-05-18 19:22:57";37.86;5.84
"2024-05-18 19:23:27";37.81;5.82
"2024-05-18 19:23:57";37.77;5.80
"2024-05-18 19:24:27";37.79;5.82
"2024-05-18 19:24:57";37.77;5.80
"2024-05-18 19:25:27";37.81;5.82
"2024-05-18 19:25:57";37.84;5.84
"2024-05-18 19:26:27";37.74;5.80
"2024-05-18 19:26:57";37.81;5.82
"2024-05-18 19:27:27";37.79;5.82
"2024-05-18 19:27:58";37.75;5.80
"2024-05-18 19:28:28";37.84;5.82
"2024-05-18 19:28:58";37.79;5.82
"2024-05-18 19:29:28";37.77;5.80
"2024-05-18 19:29:58";37.70;5.79
"2024-05-18 19:30:28";37.77;5.80
"2024-05-18 19:30:58";37.77;5.80
"2024-05-18 19:31:28";37.77;5.80
"2024-05-18 19:31:58";37.70;5.79
"2024-05-18 19:32:28";37.68;5.78
"2024-05-18 19:32:58";37.75;5.80
"2024-05-18 19:33:28";37.68;5.78
"2024-05-18 19:33:58";37.70;5.79
"2024-05-18 19:34:28";37.77;5.80
"2024-05-18 19:34:58";37.75;5.80
"2024-05-18 19:35:28";37.75;5.80
"2024-05-18 19:35:58";37.72;5.79
"2024-05-18 19:36:28";37.74;5.80
"2024-05-18 19:36:58";37.72;5.80
"2024-05-18 19:37:28";37.66;5.78
"2024-05-18 19:37:58";37.72;5.80
"2024-05-18 19:38:28";37.61;5.76
"2024-05-18 19:38:58";37.72;5.80
"2024-05-18 19:39:28";37.63;5.76
"2024-05-18 19:39:58";37.56;5.73
"2024-05-18 19:40:28";37.68;5.78
"2024-05-18 19:40:58";37.59;5.75
"2024-05-18 19:41:28";37.66;5.78
"2024-05-18 19:41:58";37.63;5.76
"2024-05-18 19:42:28";37.61;5.76
"2024-05-18 19:42:58";37.61;5.76
"2024-05-18 19:43:28";37.61;5.75
"2024-05-18 19:43:58";37.59;5.75
"2024-05-18 19:44:28";37.65;5.77
"2024-05-18 19:44:58";37.52;5.73
"2024-05-18 19:45:28";37.54;5.73
"2024-05-18 19:45:58";37.54;5.73
"2024-05-18 19:46:28";37.50;5.71
"2024-05-18 19:46:58";37.56;5.73
"2024-05-18 19:47:28";37.52;5.71
"2024-05-18 19:47:59";37.52;5.71
"2024-05-18 19:48:29";37.52;5.73
"2024-05-18 19:48:59";37.54;5.73
"2024-05-18 19:49:29";37.56;5.73
"2024-05-18 19:49:59";37.49;5.71
"2024-05-18 19:50:29";37.43;5.69
"2024-05-18 19:50:59";37.56;5.73
"2024-05-18 19:51:29";37.47;5.71
"2024-05-18 19:51:59";37.56;5.73
"2024-05-18 19:52:29";37.47;5.71
"2024-05-18 19:52:59";37.56;5.73
"2024-05-18 19:53:29";37.52;5.73
"2024-05-18 19:53:59";37.49;5.71
"2024-05-18 19:54:29";37.50;5.71
"2024-05-18 19:54:59";37.54;5.73
"2024-05-18 19:55:29";37.47;5.71
"2024-05-18 19:55:59";37.54;5.73
"2024-05-18 19:56:29";37.45;5.69
"2024-05-18 19:56:59";37.49;5.71
"2024-05-18 19:57:29";37.43;5.69
"2024-05-18 19:57:59";37.43;5.69
"2024-05-18 19:58:29";37.40;5.69
"2024-05-18 19:58:59";37.41;5.69
"2024-05-18 19:59:29";37.49;5.71
"2024-05-18 19:59:59";37.47;5.71
"2024-05-18 20:00:29";37.47;5.71
"2024-05-18 20:00:59";37.47;5.71
"2024-05-18 20:01:29";37.40;5.69
"2024-05-18 20:01:59";37.40;5.69
"2024-05-18 20:02:29";37.47;5.71
"2024-05-18 20:02:59";37.50;5.71
"2024-05-18 20:03:29";37.54;5.73
"2024-05-18 20:03:59";37.43;5.69
"2024-05-18 20:04:29";37.47;5.71
"2024-05-18 20:04:59";37.38;5.67
"2024-05-18 20:05:29";37.54;5.73
"2024-05-18 20:05:59";37.45;5.69
"2024-05-18 20:06:29";37.52;5.73
"2024-05-18 20:06:59";37.36;5.67
"2024-05-18 20:07:29";37.41;5.69
"2024-05-18 20:07:59";37.40;5.69
"2024-05-18 20:08:30";37.47;5.71
"2024-05-18 20:09:00";37.34;5.65
"2024-05-18 20:09:30";37.43;5.69
"2024-05-18 20:10:00";37.38;5.67
"2024-05-18 20:10:30";37.45;5.69
"2024-05-18 20:11:00";37.45;5.69
"2024-05-18 20:11:30";37.38;5.67
"2024-05-18 20:12:00";37.38;5.67
"2024-05-18 20:12:30";37.40;5.69
"2024-05-18 20:13:00";37.29;5.65
"2024-05-18 20:13:30";37.31;5.65
"2024-05-18 20:14:00";37.27;5.63
"2024-05-18 20:14:30";37.27;5.63
"2024-05-18 20:15:00";37.29;5.65
"2024-05-18 20:15:30";37.29;5.65
"2024-05-18 20:16:00";37.31;5.65
"2024-05-18 20:16:30";37.25;5.63
"2024-05-18 20:17:00";37.20;5.61
"2024-05-18 20:17:30";37.31;5.65
"2024-05-18 20:18:00";37.22;5.63
"2024-05-18 20:18:30";37.22;5.61
"2024-05-18 20:19:00";37.22;5.63
"2024-05-18 20:19:30";37.18;5.61
"2024-05-18 20:20:00";37.31;5.65
"2024-05-18 20:20:30";37.27;5.63
"2024-05-18 20:21:00";37.22;5.61
"2024-05-18 20:21:30";37.31;5.65
"2024-05-18 20:22:00";37.24;5.63
