"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-29 20:19:59";14;0
"2024-05-29 20:20:29";14;0
"2024-05-29 20:20:59";13.93;0
"2024-05-29 20:21:29";13.72;0
"2024-05-29 20:21:59";13.27;0
"2024-05-29 20:22:29";13.02;0
"2024-05-29 20:22:59";13;0
"2024-05-29 20:23:29";13;0
"2024-05-29 20:23:59";13;0
"2024-05-29 20:24:29";13;0
"2024-05-29 20:24:59";13;0
"2024-05-29 20:25:29";13;0
"2024-05-29 20:25:59";13;0
"2024-05-29 20:26:30";13;0
"2024-05-29 20:27:00";13;0
"2024-05-29 20:27:30";12.98;0
"2024-05-29 20:28:00";12.98;0
"2024-05-29 20:28:30";12.97;0
"2024-05-29 20:29:00";12.93;0
"2024-05-29 20:29:30";12.93;0
"2024-05-29 20:30:00";12.84;0
"2024-05-29 20:30:30";12.81;0
"2024-05-29 20:31:00";12.73;0
"2024-05-29 20:31:30";12.65;0
"2024-05-29 20:32:00";12.57;0
"2024-05-29 20:32:30";12.47;0
"2024-05-29 20:33:00";12.43;0
"2024-05-29 20:33:30";12.27;0
"2024-05-29 20:34:00";12.27;0
"2024-05-29 20:34:30";12.21;0
"2024-05-29 20:35:01";12.21;0
"2024-05-29 20:35:31";12.10;0
"2024-05-29 20:36:01";12.09;0
"2024-05-29 20:36:31";12.06;0
"2024-05-29 20:37:01";12.02;0
"2024-05-29 20:37:31";12.02;0
"2024-05-29 20:38:01";12.01;0
"2024-05-29 20:38:31";12.01;0
"2024-05-29 20:39:01";12.01;0
"2024-05-29 20:39:31";12.01;0
"2024-05-29 20:40:01";12.01;0
"2024-05-29 20:40:31";12;0
"2024-05-29 20:41:01";12.01;0
"2024-05-29 20:41:31";12;0
"2024-05-29 20:42:01";12;0
"2024-05-29 20:42:31";12;0
"2024-05-29 20:43:01";12;0
"2024-05-29 20:43:32";12;0
"2024-05-29 20:44:02";12;0
"2024-05-29 20:44:32";12;0
"2024-05-29 20:45:02";12;0
"2024-05-29 20:45:32";12;0
"2024-05-29 20:46:02";12;0
"2024-05-29 20:46:32";12;0
"2024-05-29 20:47:02";12;0
"2024-05-29 20:47:32";12;0
"2024-05-29 20:48:02";12;0
"2024-05-29 20:48:32";12;0
"2024-05-29 20:49:02";12;0
"2024-05-29 20:49:32";12;0
"2024-05-29 20:50:02";12;0
"2024-05-29 20:50:32";12;0
"2024-05-29 20:51:02";12;0
"2024-05-29 20:51:32";12;0
"2024-05-29 20:52:03";12;0
"2024-05-29 20:52:33";12;0
"2024-05-29 20:53:03";12;0
"2024-05-29 20:53:33";12;0
"2024-05-29 20:54:03";12;0
"2024-05-29 20:54:33";12;0
"2024-05-29 20:55:03";12;0
"2024-05-29 20:55:33";12;0
"2024-05-29 20:56:03";12;0
"2024-05-29 20:56:33";12;0
"2024-05-29 20:57:03";12;0
"2024-05-29 20:57:33";12;0
"2024-05-29 20:58:03";12;0
"2024-05-29 20:58:33";12;0
"2024-05-29 20:59:03";12;0
"2024-05-29 20:59:33";12;0
"2024-05-29 21:00:03";12;0
"2024-05-29 21:00:34";12;0
"2024-05-29 21:01:04";12;0
"2024-05-29 21:01:34";12;0
"2024-05-29 21:02:04";12;0
"2024-05-29 21:02:34";12;0
"2024-05-29 21:03:04";12;0
"2024-05-29 21:03:34";12;0
"2024-05-29 21:04:04";12;0
"2024-05-29 21:04:34";12;0
"2024-05-29 21:05:04";12;0
"2024-05-29 21:05:34";12;0
"2024-05-29 21:06:04";12;0
"2024-05-29 21:06:34";12;0
"2024-05-29 21:07:04";12;0
"2024-05-29 21:07:34";12;0
"2024-05-29 21:08:04";12;0
"2024-05-29 21:08:34";12;0
"2024-05-29 21:09:04";12;0
"2024-05-29 21:09:35";12;0
"2024-05-29 21:10:05";12;0
"2024-05-29 21:10:35";12;0
"2024-05-29 21:11:05";12;0
"2024-05-29 21:11:35";12;0
"2024-05-29 21:12:05";12;0
"2024-05-29 21:12:35";12;0
"2024-05-29 21:13:05";12;0
"2024-05-29 21:13:35";12;0
"2024-05-29 21:14:05";12;0
"2024-05-29 21:14:35";12;0
"2024-05-29 21:15:05";12;0
"2024-05-29 21:15:35";12;0
"2024-05-29 21:16:05";12;0
"2024-05-29 21:16:35";12;0
"2024-05-29 21:17:05";12;0
"2024-05-29 21:17:35";12;0
"2024-05-29 21:18:06";12;0
"2024-05-29 21:18:36";12;0
"2024-05-29 21:19:06";12;0
"2024-05-29 21:19:36";12;0
"2024-05-29 21:20:06";11.98;0
"2024-05-29 21:20:36";12;0
"2024-05-29 21:21:06";12;0
"2024-05-29 21:21:36";12;0
"2024-05-29 21:22:06";12;0
"2024-05-29 21:22:36";12;0
"2024-05-29 21:23:06";12;0
"2024-05-29 21:23:36";12;0
"2024-05-29 21:24:06";12;0
"2024-05-29 21:24:36";12;0
"2024-05-29 21:25:06";11.98;0
"2024-05-29 21:25:36";12;0
"2024-05-29 21:26:06";12;0
"2024-05-29 21:26:37";12;0
"2024-05-29 21:27:07";12;0
"2024-05-29 21:27:37";12;0
"2024-05-29 21:28:07";12;0
"2024-05-29 21:28:37";12;0
"2024-05-29 21:29:07";12;0
"2024-05-29 21:29:37";12;0
"2024-05-29 21:30:07";12;0
"2024-05-29 21:30:37";12;0
"2024-05-29 21:31:07";12;0
"2024-05-29 21:31:37";11.98;0
"2024-05-29 21:32:07";12;0
"2024-05-29 21:32:37";12;0
"2024-05-29 21:33:07";12;0
"2024-05-29 21:33:37";12;0
"2024-05-29 21:34:07";12;0
"2024-05-29 21:34:37";12;0
"2024-05-29 21:35:08";12;0
"2024-05-29 21:35:38";12;0
"2024-05-29 21:36:08";12;0
"2024-05-29 21:36:38";12;0
"2024-05-29 21:37:08";11.98;0
"2024-05-29 21:37:38";12;0
"2024-05-29 21:38:08";12;0
"2024-05-29 21:38:38";12;0
"2024-05-29 21:39:08";12;0
"2024-05-29 21:39:38";12;0
"2024-05-29 21:40:08";12;0
"2024-05-29 21:40:38";11.98;0
"2024-05-29 21:41:08";12;0
"2024-05-29 21:41:38";11.98;0
"2024-05-29 21:42:08";12;0
"2024-05-29 21:42:38";12;0
"2024-05-29 21:43:08";12;0
"2024-05-29 21:43:39";11.98;0
"2024-05-29 21:44:09";11.98;0
"2024-05-29 21:44:39";11.98;0
"2024-05-29 21:45:09";12;0
"2024-05-29 21:45:39";11.98;0
