"date Y-m-d m:s";"gas adc";"LPG PPM"
"2024-05-29 21:02:35";123.33;9.85
"2024-05-29 21:03:05";121.29;9.47
"2024-05-29 21:03:35";119.48;9.14
"2024-05-29 21:04:05";119;9.05
"2024-05-29 21:04:35";119;9.05
"2024-05-29 21:05:05";119;9.05
"2024-05-29 21:05:35";118.65;8.97
"2024-05-29 21:06:05";118;8.86
"2024-05-29 21:06:35";117.63;8.80
"2024-05-29 21:07:05";117.01;8.68
"2024-05-29 21:07:35";116.98;8.68
"2024-05-29 21:08:05";117.95;8.85
"2024-05-29 21:08:35";117.55;8.79
"2024-05-29 21:09:05";117.55;8.79
"2024-05-29 21:09:35";117;8.68
"2024-05-29 21:10:05";116.48;8.59
"2024-05-29 21:10:35";115.91;8.48
"2024-05-29 21:11:05";115.56;8.43
"2024-05-29 21:11:35";114.91;8.31
"2024-05-29 21:12:05";113.98;8.15
"2024-05-29 21:12:35";114;8.15
"2024-05-29 21:13:05";114.08;8.18
"2024-05-29 21:13:35";114.11;8.18
"2024-05-29 21:14:05";114.43;8.23
"2024-05-29 21:14:35";114.01;8.15
"2024-05-29 21:15:05";114;8.15
"2024-05-29 21:15:35";113.52;8.07
"2024-05-29 21:16:05";113.13;8.02
"2024-05-29 21:16:35";112.02;7.82
"2024-05-29 21:17:06";110.94;7.65
"2024-05-29 21:17:36";111;7.65
"2024-05-29 21:18:06";110.98;7.65
"2024-05-29 21:18:36";110.94;7.65
"2024-05-29 21:19:06";111;7.65
"2024-05-29 21:19:36";111;7.65
"2024-05-29 21:20:06";111;7.65
"2024-05-29 21:20:36";111.19;7.69
"2024-05-29 21:21:06";111.97;7.82
"2024-05-29 21:21:36";112.12;7.84
"2024-05-29 21:22:06";115.26;8.38
"2024-05-29 21:22:36";115.01;8.34
"2024-05-29 21:23:06";115.23;8.38
"2024-05-29 21:23:36";115.02;8.34
"2024-05-29 21:24:06";115;8.32
"2024-05-29 21:24:36";114.98;8.32
"2024-05-29 21:25:06";114.72;8.28
"2024-05-29 21:25:36";114.59;8.27
"2024-05-29 21:26:06";115;8.32
"2024-05-29 21:26:36";115;8.32
"2024-05-29 21:27:06";115.12;8.35
