"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-14 11:21:56";68;21.69
"2025-06-14 11:22:26";67.80;21.54
"2025-06-14 11:22:56";67;20.96
"2025-06-14 11:23:26";66.98;20.96
"2025-06-14 11:23:56";66.91;20.92
"2025-06-14 11:24:26";66.76;20.79
"2025-06-14 11:24:56";66.98;20.96
"2025-06-14 11:25:26";67.01;20.98
"2025-06-14 11:25:56";67.05;21.01
"2025-06-14 11:26:26";67;20.96
"2025-06-14 11:26:56";67;20.96
"2025-06-14 11:27:26";67.04;21.01
"2025-06-14 11:27:56";67.18;21.10
"2025-06-14 11:28:26";67.12;21.05
"2025-06-14 11:28:56";66.91;20.92
"2025-06-14 11:29:26";66.91;20.92
"2025-06-14 11:29:56";66.37;20.53
"2025-06-14 11:30:26";66.93;20.93
"2025-06-14 11:30:56";67.68;21.45
"2025-06-14 11:31:27";67.91;21.62
"2025-06-14 11:31:57";69.91;23.12
"2025-06-14 11:32:27";71.26;24.13
"2025-06-14 11:32:57";69.56;22.85
"2025-06-14 11:33:27";69.01;22.43
"2025-06-14 11:33:57";68.80;22.28
"2025-06-14 11:34:27";68.83;22.29
"2025-06-14 11:34:57";69.45;22.77
"2025-06-14 11:35:27";69.26;22.62
"2025-06-14 11:35:57";70.08;23.23
"2025-06-14 11:36:27";69.29;22.63
"2025-06-14 11:36:57";69.12;22.51
"2025-06-14 11:37:27";69.02;22.45
"2025-06-14 11:37:57";69.43;22.75
"2025-06-14 11:38:27";69.48;22.78
"2025-06-14 11:38:57";69.62;22.88
"2025-06-14 11:39:27";70.15;23.29
"2025-06-14 11:39:57";71.61;24.40
"2025-06-14 11:40:27";71.52;24.35
"2025-06-14 11:40:57";72.29;24.95
"2025-06-14 11:41:27";70.66;23.69
"2025-06-14 11:41:57";71.05;23.97
"2025-06-14 11:42:27";71.11;24.03
"2025-06-14 11:42:57";69.30;22.65
"2025-06-14 11:43:27";69.48;22.78
"2025-06-14 11:43:57";69.08;22.50
"2025-06-14 11:44:27";70.08;23.23
"2025-06-14 11:44:57";68.95;22.38
"2025-06-14 11:45:27";73.86;26.20
"2025-06-14 11:45:57";70.25;23.37
"2025-06-14 11:46:27";72.41;25.04
"2025-06-14 11:46:57";73.08;25.57
"2025-06-14 11:47:27";75.05;27.18
"2025-06-14 11:47:57";69.19;22.56
"2025-06-14 11:48:27";66;20.27
"2025-06-14 11:48:57";65.25;19.75
"2025-06-14 11:49:27";65;19.57
"2025-06-14 11:49:57";65.23;19.73
"2025-06-14 11:50:27";64.66;19.35
"2025-06-14 11:50:57";65.08;19.63
"2025-06-14 11:51:28";64.98;19.56
"2025-06-14 11:51:58";70.37;23.45
"2025-06-14 11:52:28";66.22;20.42
"2025-06-14 11:52:58";66.61;20.70
"2025-06-14 11:53:28";68.01;21.70
"2025-06-14 11:53:58";70.01;23.19
"2025-06-14 11:54:28";65.83;20.15
"2025-06-14 11:54:58";59.95;16.29
"2025-06-14 11:55:28";60;16.32
"2025-06-14 11:55:58";60.11;16.39
"2025-06-14 11:56:28";59.22;15.85
"2025-06-14 11:56:58";59.43;15.97
"2025-06-14 11:57:28";58.72;15.55
"2025-06-14 11:57:58";58.02;15.14
"2025-06-14 11:58:28";56.61;14.31
"2025-06-14 11:58:58";56;13.97
"2025-06-14 11:59:28";55.99;13.97
"2025-06-14 11:59:58";55.99;13.97
"2025-06-14 12:00:28";55.97;13.96
"2025-06-14 12:00:58";55.93;13.93
"2025-06-14 12:01:28";55.97;13.96
"2025-06-14 12:01:58";55.97;13.96
