"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-14 11:22:21";97;5.86
"2025-06-14 11:22:51";96.29;5.77
"2025-06-14 11:23:21";95.86;5.71
"2025-06-14 11:23:51";95.12;5.61
"2025-06-14 11:24:21";94.80;5.57
"2025-06-14 11:24:51";94.16;5.48
"2025-06-14 11:25:21";93.65;5.40
"2025-06-14 11:25:51";93.15;5.34
"2025-06-14 11:26:21";92.97;5.32
"2025-06-14 11:26:51";92.70;5.28
"2025-06-14 11:27:21";92.31;5.23
"2025-06-14 11:27:51";92.08;5.19
"2025-06-14 11:28:21";91.93;5.17
"2025-06-14 11:28:51";91.76;5.15
"2025-06-14 11:29:21";91.51;5.11
"2025-06-14 11:29:51";91.13;5.07
"2025-06-14 11:30:22";91.01;5.05
"2025-06-14 11:30:52";90.84;5.03
"2025-06-14 11:31:22";90.63;5.01
"2025-06-14 11:31:52";90.36;4.98
"2025-06-14 11:32:22";90.12;4.94
"2025-06-14 11:32:52";90.02;4.92
"2025-06-14 11:33:22";89.95;4.92
"2025-06-14 11:33:52";89.70;4.88
"2025-06-14 11:34:22";89.52;4.86
"2025-06-14 11:34:52";89.25;4.82
"2025-06-14 11:35:22";89.18;4.82
"2025-06-14 11:35:52";89.04;4.80
"2025-06-14 11:36:22";88.98;4.80
"2025-06-14 11:36:52";88.91;4.79
"2025-06-14 11:37:22";88.70;4.77
"2025-06-14 11:37:52";88.43;4.73
"2025-06-14 11:38:23";88.30;4.71
"2025-06-14 11:38:53";88.11;4.69
"2025-06-14 11:39:23";88.06;4.69
"2025-06-14 11:39:53";88.01;4.67
"2025-06-14 11:40:23";87.98;4.67
"2025-06-14 11:40:53";87.87;4.65
"2025-06-14 11:41:23";87.79;4.65
"2025-06-14 11:41:53";87.63;4.63
"2025-06-14 11:42:23";87.52;4.61
"2025-06-14 11:42:53";87.48;4.61
"2025-06-14 11:43:23";87.38;4.59
"2025-06-14 11:43:53";87.30;4.59
"2025-06-14 11:44:23";87.12;4.57
"2025-06-14 11:44:53";87.06;4.55
"2025-06-14 11:45:23";87.02;4.55
"2025-06-14 11:45:53";87.01;4.55
"2025-06-14 11:46:23";86.98;4.55
"2025-06-14 11:46:54";86.97;4.55
"2025-06-14 11:47:24";86.94;4.55
"2025-06-14 11:47:54";86.83;4.53
"2025-06-14 11:48:24";86.72;4.52
"2025-06-14 11:48:54";86.69;4.52
"2025-06-14 11:49:24";86.61;4.51
"2025-06-14 11:49:54";86.44;4.48
"2025-06-14 11:50:24";86.40;4.48
"2025-06-14 11:50:54";86.29;4.46
"2025-06-14 11:51:24";86.12;4.44
"2025-06-14 11:51:54";86.12;4.44
"2025-06-14 11:52:24";86.04;4.44
"2025-06-14 11:52:54";86.04;4.44
"2025-06-14 11:53:24";86.01;4.44
"2025-06-14 11:53:54";85.94;4.42
"2025-06-14 11:54:24";85.94;4.42
"2025-06-14 11:54:54";85.84;4.42
"2025-06-14 11:55:25";85.86;4.42
"2025-06-14 11:55:55";85.79;4.40
"2025-06-14 11:56:25";85.72;4.40
"2025-06-14 11:56:55";85.62;4.38
"2025-06-14 11:57:25";85.52;4.38
"2025-06-14 11:57:55";85.50;4.36
"2025-06-14 11:58:25";85.45;4.36
"2025-06-14 11:58:55";85.40;4.36
"2025-06-14 11:59:25";85.43;4.36
"2025-06-14 11:59:55";85.33;4.36
"2025-06-14 12:00:25";85.33;4.36
"2025-06-14 12:00:55";85.27;4.34
"2025-06-14 12:01:25";85.20;4.34
"2025-06-14 12:01:55";85.23;4.34
"2025-06-14 12:02:25";85.23;4.34
"2025-06-14 12:02:55";85.11;4.32
"2025-06-14 12:03:26";85.08;4.32
"2025-06-14 12:03:56";85.05;4.32
"2025-06-14 12:04:26";85.04;4.32
"2025-06-14 12:04:56";85.01;4.32
"2025-06-14 12:05:26";85;0
"2025-06-14 12:05:56";84.98;0
"2025-06-14 12:06:26";84.98;0
"2025-06-14 12:06:56";84.98;0
"2025-06-14 12:07:26";84.94;0
"2025-06-14 12:07:56";84.93;0
"2025-06-14 12:08:26";84.87;0
"2025-06-14 12:08:56";84.83;0
"2025-06-14 12:09:26";84.81;0
"2025-06-14 12:09:56";84.80;0
"2025-06-14 12:10:26";84.69;0
"2025-06-14 12:10:56";84.66;0
"2025-06-14 12:11:26";84.68;0
"2025-06-14 12:11:57";84.68;0
"2025-06-14 12:12:27";84.62;0
"2025-06-14 12:12:57";84.63;0
"2025-06-14 12:13:27";84.66;0
"2025-06-14 12:13:57";84.58;0
"2025-06-14 12:14:27";84.54;0
"2025-06-14 12:14:57";84.51;0
"2025-06-14 12:15:27";84.41;0
"2025-06-14 12:15:57";84.41;0
"2025-06-14 12:16:27";84.51;0
"2025-06-14 12:16:57";84.45;0
"2025-06-14 12:17:27";84.37;0
"2025-06-14 12:17:57";84.34;0
"2025-06-14 12:18:27";84.29;0
"2025-06-14 12:18:57";84.33;0
"2025-06-14 12:19:27";84.30;0
"2025-06-14 12:19:57";84.18;0
"2025-06-14 12:20:28";84.20;0
"2025-06-14 12:20:58";84.20;0
"2025-06-14 12:21:28";84.22;0
"2025-06-14 12:21:58";84.16;0
"2025-06-14 12:22:28";84.13;0
"2025-06-14 12:22:58";84.11;0
"2025-06-14 12:23:28";84.16;0
"2025-06-14 12:23:58";84.12;0
"2025-06-14 12:24:28";84.12;0
"2025-06-14 12:24:58";84.08;0
"2025-06-14 12:25:28";84.05;0
"2025-06-14 12:25:58";84.05;0
"2025-06-14 12:26:28";84.05;0
"2025-06-14 12:26:58";84.05;0
"2025-06-14 12:27:28";84.01;0
"2025-06-14 12:27:58";84.01;0
"2025-06-14 12:28:28";84.01;0
"2025-06-14 12:28:59";84.02;0
"2025-06-14 12:29:29";84.01;0
"2025-06-14 12:29:59";84.05;0
"2025-06-14 12:30:29";84.01;0
"2025-06-14 12:30:59";84.01;0
"2025-06-14 12:31:29";84.01;0
"2025-06-14 12:31:59";83.98;0
"2025-06-14 12:32:29";84;0
"2025-06-14 12:32:59";83.98;0
"2025-06-14 12:33:29";83.98;0
"2025-06-14 12:33:59";83.97;0
"2025-06-14 12:34:29";83.95;0
"2025-06-14 12:34:59";83.95;0
"2025-06-14 12:35:29";83.98;0
"2025-06-14 12:35:59";83.97;0
"2025-06-14 12:36:29";83.98;0
"2025-06-14 12:36:59";83.95;0
"2025-06-14 12:37:30";83.91;0
"2025-06-14 12:38:00";83.94;0
"2025-06-14 12:38:30";83.98;0
"2025-06-14 12:39:00";83.94;0
"2025-06-14 12:39:30";83.97;0
"2025-06-14 12:40:00";83.94;0
"2025-06-14 12:40:30";83.95;0
"2025-06-14 12:41:00";83.93;0
"2025-06-14 12:41:30";83.94;0
"2025-06-14 12:42:00";83.88;0
"2025-06-14 12:42:30";83.87;0
"2025-06-14 12:43:00";83.86;0
"2025-06-14 12:43:30";83.90;0
"2025-06-14 12:44:00";83.88;0
"2025-06-14 12:44:30";83.88;0
"2025-06-14 12:45:00";83.88;0
"2025-06-14 12:45:30";83.79;0
"2025-06-14 12:46:01";83.87;0
"2025-06-14 12:46:31";83.83;0
"2025-06-14 12:47:01";83.79;0
"2025-06-14 12:47:31";83.80;0
"2025-06-14 12:48:01";83.80;0
"2025-06-14 12:48:31";83.80;0
"2025-06-14 12:49:01";83.80;0
"2025-06-14 12:49:31";83.80;0
"2025-06-14 12:50:01";83.81;0
"2025-06-14 12:50:31";83.83;0
"2025-06-14 12:51:01";83.80;0
"2025-06-14 12:51:31";83.76;0
"2025-06-14 12:52:01";83.73;0
"2025-06-14 12:52:31";83.76;0
"2025-06-14 12:53:01";83.75;0
"2025-06-14 12:53:31";83.76;0
"2025-06-14 12:54:01";83.76;0
"2025-06-14 12:54:32";83.66;0
"2025-06-14 12:55:02";83.68;0
"2025-06-14 12:55:32";83.56;0
"2025-06-14 12:56:02";83.68;0
"2025-06-14 12:56:32";83.56;0
"2025-06-14 12:57:02";83.69;0
"2025-06-14 12:57:32";83.62;0
"2025-06-14 12:58:02";83.51;0
"2025-06-14 12:58:32";83.52;0
"2025-06-14 12:59:02";83.45;0
"2025-06-14 12:59:32";83.58;0
"2025-06-14 13:00:02";83.51;0
"2025-06-14 13:00:32";83.45;0
"2025-06-14 13:01:02";83.41;0
"2025-06-14 13:01:32";83.44;0
"2025-06-14 13:02:02";83.44;0
"2025-06-14 13:02:32";83.40;0
"2025-06-14 13:03:03";83.48;0
"2025-06-14 13:03:33";83.45;0
"2025-06-14 13:04:03";83.47;0
"2025-06-14 13:04:33";83.41;0
"2025-06-14 13:05:03";83.44;0
"2025-06-14 13:05:33";83.41;0
"2025-06-14 13:06:03";83.38;0
"2025-06-14 13:06:33";83.45;0
"2025-06-14 13:07:03";83.50;0
"2025-06-14 13:07:33";83.45;0
"2025-06-14 13:08:03";83.41;0
"2025-06-14 13:08:33";83.38;0
"2025-06-14 13:09:03";83.33;0
"2025-06-14 13:09:33";83.37;0
"2025-06-14 13:10:03";83.37;0
"2025-06-14 13:10:33";83.31;0
"2025-06-14 13:11:03";83.37;0
"2025-06-14 13:11:34";83.30;0
"2025-06-14 13:12:04";83.27;0
"2025-06-14 13:12:34";83.26;0
"2025-06-14 13:13:04";83.29;0
"2025-06-14 13:13:34";83.26;0
"2025-06-14 13:14:04";83.27;0
"2025-06-14 13:14:34";83.33;0
"2025-06-14 13:15:04";83.38;0
"2025-06-14 13:15:34";83.26;0
"2025-06-14 13:16:04";83.26;0
"2025-06-14 13:16:34";83.22;0
"2025-06-14 13:17:04";83.30;0
"2025-06-14 13:17:34";83.33;0
"2025-06-14 13:18:04";83.33;0
"2025-06-14 13:18:34";83.26;0
"2025-06-14 13:19:04";83.29;0
"2025-06-14 13:19:34";83.23;0
"2025-06-14 13:20:05";83.20;0
"2025-06-14 13:20:35";83.19;0
"2025-06-14 13:21:05";83.16;0
"2025-06-14 13:21:35";83.16;0
"2025-06-14 13:22:05";83.12;0
"2025-06-14 13:22:35";83.08;0
"2025-06-14 13:23:05";83.16;0
"2025-06-14 13:23:35";83.20;0
"2025-06-14 13:24:05";83.16;0
"2025-06-14 13:24:35";83.18;0
"2025-06-14 13:25:05";83.19;0
"2025-06-14 13:25:35";83.19;0
"2025-06-14 13:26:05";83.18;0
"2025-06-14 13:26:35";83.12;0
"2025-06-14 13:27:05";83.11;0
"2025-06-14 13:27:35";83.11;0
"2025-06-14 13:28:05";83.06;0
"2025-06-14 13:28:36";83.08;0
"2025-06-14 13:29:06";83.18;0
"2025-06-14 13:29:36";83.16;0
"2025-06-14 13:30:06";83.08;0
"2025-06-14 13:30:36";83.08;0
"2025-06-14 13:31:06";83.12;0
"2025-06-14 13:31:36";83.13;0
"2025-06-14 13:32:06";83.16;0
"2025-06-14 13:32:36";83.11;0
"2025-06-14 13:33:06";83.08;0
"2025-06-14 13:33:36";83.18;0
"2025-06-14 13:34:06";83.05;0
"2025-06-14 13:34:36";83.05;0
"2025-06-14 13:35:06";83.08;0
"2025-06-14 13:35:36";83.04;0
"2025-06-14 13:36:06";83.09;0
"2025-06-14 13:36:36";83.08;0
"2025-06-14 13:37:07";83.01;0
"2025-06-14 13:37:37";82.98;0
"2025-06-14 13:38:07";83.01;0
"2025-06-14 13:38:37";83.02;0
"2025-06-14 13:39:07";83.01;0
"2025-06-14 13:39:37";83.01;0
"2025-06-14 13:40:07";83.01;0
"2025-06-14 13:40:37";83;0
"2025-06-14 13:41:07";83.01;0
"2025-06-14 13:41:37";83.01;0
"2025-06-14 13:42:07";82.98;0
"2025-06-14 13:42:37";82.98;0
"2025-06-14 13:43:07";83.01;0
"2025-06-14 13:43:37";83.01;0
"2025-06-14 13:44:07";82.98;0
"2025-06-14 13:44:37";82.98;0
"2025-06-14 13:45:07";82.98;0
"2025-06-14 13:45:38";83.01;0
"2025-06-14 13:46:08";82.98;0
"2025-06-14 13:46:38";83.01;0
"2025-06-14 13:47:08";82.97;0
"2025-06-14 13:47:38";82.98;0
"2025-06-14 13:48:08";82.97;0
"2025-06-14 13:48:38";82.94;0
"2025-06-14 13:49:08";82.97;0
"2025-06-14 13:49:38";82.98;0
"2025-06-14 13:50:08";82.98;0
"2025-06-14 13:50:38";82.98;0
"2025-06-14 13:51:08";82.93;0
"2025-06-14 13:51:38";82.98;0
"2025-06-14 13:52:08";82.94;0
"2025-06-14 13:52:38";82.97;0
"2025-06-14 13:53:08";82.97;0
"2025-06-14 13:53:38";82.98;0
"2025-06-14 13:54:09";82.98;0
"2025-06-14 13:54:39";82.97;0
"2025-06-14 13:55:09";82.95;0
"2025-06-14 13:55:39";82.97;0
"2025-06-14 13:56:09";82.94;0
"2025-06-14 13:56:39";82.94;0
"2025-06-14 13:57:09";82.91;0
"2025-06-14 13:57:39";82.94;0
"2025-06-14 13:58:09";82.94;0
"2025-06-14 13:58:39";82.91;0
"2025-06-14 13:59:09";82.91;0
"2025-06-14 13:59:39";82.93;0
"2025-06-14 14:00:09";82.86;0
"2025-06-14 14:00:39";82.91;0
"2025-06-14 14:01:09";82.87;0
"2025-06-14 14:01:39";82.83;0
"2025-06-14 14:02:09";82.88;0
"2025-06-14 14:02:40";82.88;0
"2025-06-14 14:03:10";82.93;0
"2025-06-14 14:03:40";82.87;0
"2025-06-14 14:04:10";82.86;0
"2025-06-14 14:04:40";82.87;0
"2025-06-14 14:05:10";82.86;0
"2025-06-14 14:05:40";82.91;0
"2025-06-14 14:06:10";82.83;0
"2025-06-14 14:06:40";82.81;0
"2025-06-14 14:07:10";82.87;0
"2025-06-14 14:07:40";82.76;0
"2025-06-14 14:08:10";82.81;0
"2025-06-14 14:08:40";82.86;0
"2025-06-14 14:09:10";82.84;0
"2025-06-14 14:09:40";82.81;0
"2025-06-14 14:10:10";82.77;0
"2025-06-14 14:10:40";82.77;0
"2025-06-14 14:11:11";82.81;0
"2025-06-14 14:11:41";82.75;0
"2025-06-14 14:12:11";82.76;0
"2025-06-14 14:12:41";82.69;0
"2025-06-14 14:13:11";82.72;0
"2025-06-14 14:13:41";82.75;0
"2025-06-14 14:14:11";82.76;0
"2025-06-14 14:14:41";82.76;0
"2025-06-14 14:15:11";82.79;0
"2025-06-14 14:15:41";82.73;0
"2025-06-14 14:16:11";82.75;0
"2025-06-14 14:16:41";82.69;0
"2025-06-14 14:17:11";82.70;0
"2025-06-14 14:17:41";82.70;0
"2025-06-14 14:18:11";82.69;0
"2025-06-14 14:18:41";82.69;0
"2025-06-14 14:19:11";82.66;0
"2025-06-14 14:19:42";82.69;0
"2025-06-14 14:20:12";82.58;0
"2025-06-14 14:20:42";82.54;0
"2025-06-14 14:21:12";82.58;0
"2025-06-14 14:21:42";82.54;0
