"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-16 08:50:25";203.50;25.20
"2025-06-16 08:50:55";207.27;26.45
"2025-06-16 08:51:25";211.38;27.88
"2025-06-16 08:51:55";207.86;26.65
"2025-06-16 08:52:25";206.41;26.17
"2025-06-16 08:52:55";207.53;26.55
"2025-06-16 08:53:25";209;27.05
"2025-06-16 08:53:55";208.41;26.86
"2025-06-16 08:54:25";206.02;26.04
"2025-06-16 08:54:55";204.83;25.63
"2025-06-16 08:55:25";199.67;23.96
"2025-06-16 08:55:55";201.83;24.65
"2025-06-16 08:56:25";206.72;26.28
"2025-06-16 08:56:55";201.30;24.47
"2025-06-16 08:57:25";199.58;23.94
"2025-06-16 08:57:55";198.44;23.57
"2025-06-16 08:58:25";202.32;24.81
"2025-06-16 08:58:55";201.86;24.67
"2025-06-16 08:59:25";201.89;24.68
"2025-06-16 08:59:55";200.11;24.10
"2025-06-16 09:00:25";201.71;24.62
"2025-06-16 09:00:55";204.86;25.64
"2025-06-16 09:01:25";209.47;27.21
"2025-06-16 09:01:55";213.08;28.50
"2025-06-16 09:02:25";212.38;28.25
"2025-06-16 09:02:56";210.08;27.44
"2025-06-16 09:03:26";210;27.39
"2025-06-16 09:03:56";209.58;27.26
"2025-06-16 09:04:26";209.27;27.14
"2025-06-16 09:04:56";210.63;27.62
"2025-06-16 09:05:26";209.39;27.20
"2025-06-16 09:05:56";208.02;26.71
"2025-06-16 09:06:26";208.53;26.89
"2025-06-16 09:06:56";208.28;26.80
"2025-06-16 09:07:26";208.96;27.04
"2025-06-16 09:07:56";209.17;27.12
"2025-06-16 09:08:26";209.71;27.29
"2025-06-16 09:08:56";209;27.05
"2025-06-16 09:09:26";209;27.05
"2025-06-16 09:09:56";206.27;26.12
"2025-06-16 09:10:26";209.71;27.29
"2025-06-16 09:10:56";210.05;27.42
"2025-06-16 09:11:26";209.38;27.19
"2025-06-16 09:11:56";207.03;26.37
"2025-06-16 09:12:26";206.39;26.17
"2025-06-16 09:12:56";207.64;26.59
"2025-06-16 09:13:26";208.30;26.81
"2025-06-16 09:13:56";208.97;27.04
"2025-06-16 09:14:26";207.60;26.57
"2025-06-16 09:14:56";208.17;26.77
"2025-06-16 09:15:26";208.10;26.75
"2025-06-16 09:15:56";207.19;26.44
"2025-06-16 09:16:26";207.75;26.62
"2025-06-16 09:16:56";208.03;26.72
"2025-06-16 09:17:26";208.77;26.97
"2025-06-16 09:17:56";209.03;27.06
"2025-06-16 09:18:26";208.94;27.04
"2025-06-16 09:18:56";209;27.05
"2025-06-16 09:19:27";208.66;26.94
"2025-06-16 09:19:57";208.05;26.72
"2025-06-16 09:20:27";208.97;27.04
"2025-06-16 09:20:57";208.72;26.95
"2025-06-16 09:21:27";209;27.05
"2025-06-16 09:21:57";208.85;27
"2025-06-16 09:22:27";207.94;26.69
"2025-06-16 09:22:57";207.77;26.62
"2025-06-16 09:23:27";207.63;26.59
"2025-06-16 09:23:57";206.22;26.11
"2025-06-16 09:24:27";206.63;26.25
"2025-06-16 09:24:57";206.38;26.17
"2025-06-16 09:25:27";205.82;25.96
"2025-06-16 09:25:57";206.58;26.22
"2025-06-16 09:26:27";208;26.70
"2025-06-16 09:26:57";207.55;26.55
"2025-06-16 09:27:27";207.46;26.53
"2025-06-16 09:27:57";207.72;26.62
"2025-06-16 09:28:27";207.78;26.63
"2025-06-16 09:28:57";207.52;26.54
"2025-06-16 09:29:27";207;26.37
"2025-06-16 09:29:57";207.17;26.43
"2025-06-16 09:30:27";206.77;26.29
"2025-06-16 09:30:57";205.99;26.03
"2025-06-16 09:31:27";205.50;25.87
"2025-06-16 09:31:57";206;26.03
"2025-06-16 09:32:27";206.57;26.22
"2025-06-16 09:32:57";206;26.03
"2025-06-16 09:33:27";206;26.03
"2025-06-16 09:33:57";206.50;26.20
"2025-06-16 09:34:27";206.16;26.09
"2025-06-16 09:34:57";206;26.03
"2025-06-16 09:35:28";206;26.03
"2025-06-16 09:35:58";206.36;26.15
"2025-06-16 09:36:28";207.02;26.37
"2025-06-16 09:36:58";207.33;26.47
"2025-06-16 09:37:28";205.77;25.95
"2025-06-16 09:37:58";205.67;25.92
"2025-06-16 09:38:28";205.22;25.77
"2025-06-16 09:38:58";206.11;26.06
"2025-06-16 09:39:28";205.24;25.78
"2025-06-16 09:39:58";205.24;25.78
"2025-06-16 09:40:28";205.75;25.95
"2025-06-16 09:40:58";205;25.70
"2025-06-16 09:41:28";205;25.70
"2025-06-16 09:41:58";205;25.70
"2025-06-16 09:42:28";204.61;25.56
"2025-06-16 09:42:58";204.69;25.59
"2025-06-16 09:43:28";204.80;25.62
"2025-06-16 09:43:58";204.83;25.64
"2025-06-16 09:44:28";204;25.37
"2025-06-16 09:44:58";203.52;25.20
"2025-06-16 09:45:28";203;25.04
"2025-06-16 09:45:58";203.08;25.05
"2025-06-16 09:46:28";202.71;24.94
"2025-06-16 09:46:58";202.96;25.02
"2025-06-16 09:47:28";201.88;24.67
"2025-06-16 09:47:58";201.80;24.64
"2025-06-16 09:48:28";202;24.70
"2025-06-16 09:48:58";202.17;24.77
"2025-06-16 09:49:28";202.02;24.71
"2025-06-16 09:49:58";202;24.70
"2025-06-16 09:50:28";202;24.70
"2025-06-16 09:50:58";202;24.70
"2025-06-16 09:51:28";202;24.70
"2025-06-16 09:51:59";202;24.70
"2025-06-16 09:52:29";202;24.70
"2025-06-16 09:52:59";202.44;24.85
"2025-06-16 09:53:29";202.05;24.72
"2025-06-16 09:53:59";202;24.70
"2025-06-16 09:54:29";202;24.70
"2025-06-16 09:54:59";201.99;24.70
"2025-06-16 09:55:29";201.08;24.42
"2025-06-16 09:55:59";201;24.38
"2025-06-16 09:56:29";201;24.38
"2025-06-16 09:56:59";201.60;24.57
"2025-06-16 09:57:29";202.83;24.97
"2025-06-16 09:57:59";204.02;25.37
