"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-15 19:15:48";192.66;267.86
"2025-06-15 19:16:18";161.33;169.72
"2025-06-15 19:16:48";127.12;94.06
"2025-06-15 19:17:18";108.04;63.63
"2025-06-15 19:17:48";95.51;47.56
"2025-06-15 19:18:18";86.95;38.20
"2025-06-15 19:18:48";81.12;32.52
"2025-06-15 19:19:18";77.19;29.01
"2025-06-15 19:19:48";74.36;26.61
"2025-06-15 19:20:18";72.30;24.95
"2025-06-15 19:20:48";70.76;23.76
"2025-06-15 19:21:18";69.43;22.75
"2025-06-15 19:21:48";68.48;22.04
"2025-06-15 19:22:18";67.86;21.59
"2025-06-15 19:22:48";67.06;21.02
"2025-06-15 19:23:18";66.98;20.96
"2025-06-15 19:23:48";66.91;20.90
"2025-06-15 19:24:18";66.23;20.44
"2025-06-15 19:24:48";66;20.27
"2025-06-15 19:25:18";66;20.27
"2025-06-15 19:25:48";65.98;20.26
"2025-06-15 19:26:18";65.97;20.23
"2025-06-15 19:26:48";65.77;20.12
"2025-06-15 19:27:18";65.94;20.22
"2025-06-15 19:27:48";65.98;20.25
"2025-06-15 19:28:18";65.98;20.26
"2025-06-15 19:28:48";66;20.27
"2025-06-15 19:29:18";66;20.27
"2025-06-15 19:29:48";66;20.27
"2025-06-15 19:30:18";66;20.27
"2025-06-15 19:30:48";66;20.27
"2025-06-15 19:31:18";66;20.27
"2025-06-15 19:31:48";66;20.27
"2025-06-15 19:32:18";66;20.27
"2025-06-15 19:32:48";66.37;20.52
"2025-06-15 19:33:19";66.16;20.37
"2025-06-15 19:33:49";66.30;20.48
"2025-06-15 19:34:19";66.83;20.86
"2025-06-15 19:34:49";66.66;20.72
"2025-06-15 19:35:19";66.91;20.90
"2025-06-15 19:35:49";67;20.96
"2025-06-15 19:36:19";67;20.96
"2025-06-15 19:36:49";67;20.96
"2025-06-15 19:37:19";67;20.96
"2025-06-15 19:37:49";67.01;20.98
"2025-06-15 19:38:19";67;20.96
"2025-06-15 19:38:49";67.08;21.04
"2025-06-15 19:39:19";67.34;21.21
"2025-06-15 19:39:49";67.94;21.64
"2025-06-15 19:40:19";68;21.69
"2025-06-15 19:40:49";68;21.69
"2025-06-15 19:41:19";68;21.69
"2025-06-15 19:41:49";68;21.69
"2025-06-15 19:42:19";68;21.69
"2025-06-15 19:42:49";68;21.69
"2025-06-15 19:43:19";68;21.69
"2025-06-15 19:43:49";68;21.69
"2025-06-15 19:44:19";68.01;21.70
"2025-06-15 19:44:49";68.37;21.95
"2025-06-15 19:45:19";68.98;22.42
"2025-06-15 19:45:49";69;22.43
"2025-06-15 19:46:19";69;22.43
"2025-06-15 19:46:49";69;22.43
"2025-06-15 19:47:19";69;22.43
"2025-06-15 19:47:49";69;22.43
"2025-06-15 19:48:19";69.02;22.45
"2025-06-15 19:48:49";69.18;22.55
"2025-06-15 19:49:19";69.12;22.52
"2025-06-15 19:49:49";69.43;22.75
"2025-06-15 19:50:19";69.83;23.04
"2025-06-15 19:50:49";69.97;23.15
"2025-06-15 19:51:19";69.98;23.17
"2025-06-15 19:51:49";69.98;23.17
"2025-06-15 19:52:19";70;23.18
"2025-06-15 19:52:49";70;23.18
"2025-06-15 19:53:20";70;23.18
"2025-06-15 19:53:50";70;23.18
"2025-06-15 19:54:20";70.01;23.18
"2025-06-15 19:54:50";70.20;23.34
"2025-06-15 19:55:20";70.52;23.57
"2025-06-15 19:55:50";70.80;23.79
"2025-06-15 19:56:20";70.87;23.85
"2025-06-15 19:56:50";70.93;23.88
"2025-06-15 19:57:20";71;23.94
"2025-06-15 19:57:50";71;23.94
"2025-06-15 19:58:20";71;23.94
"2025-06-15 19:58:50";71;23.94
"2025-06-15 19:59:20";71;23.94
"2025-06-15 19:59:50";71.01;23.95
"2025-06-15 20:00:20";71.01;23.95
"2025-06-15 20:00:50";71;23.94
