"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-15 19:15:50";208.50;39.31
"2025-06-15 19:16:20";173.91;24.46
"2025-06-15 19:16:50";144.36;15.31
"2025-06-15 19:17:20";132.52;12.39
"2025-06-15 19:17:50";125.62;10.89
"2025-06-15 19:18:20";121;9.93
"2025-06-15 19:18:50";116.56;9.09
"2025-06-15 19:19:20";113.73;8.56
"2025-06-15 19:19:51";111.38;8.14
"2025-06-15 19:20:21";109.12;7.76
"2025-06-15 19:20:51";107.23;7.44
"2025-06-15 19:21:21";105.58;7.17
"2025-06-15 19:21:51";104.33;6.98
"2025-06-15 19:22:21";103.52;6.84
"2025-06-15 19:22:51";102.73;6.73
"2025-06-15 19:23:21";101.97;6.61
"2025-06-15 19:23:51";101.30;6.51
"2025-06-15 19:24:21";100.87;6.44
"2025-06-15 19:24:51";100.11;6.32
"2025-06-15 19:25:21";99.97;6.30
"2025-06-15 19:25:51";99.56;6.25
"2025-06-15 19:26:21";99.13;6.17
"2025-06-15 19:26:51";99.01;6.17
"2025-06-15 19:27:21";99;6.15
"2025-06-15 19:27:51";98.93;6.15
"2025-06-15 19:28:22";98.76;6.13
"2025-06-15 19:28:52";98.52;6.09
"2025-06-15 19:29:22";98.37;6.07
"2025-06-15 19:29:52";98.11;6.03
"2025-06-15 19:30:22";98;6.01
"2025-06-15 19:30:52";98.01;6.01
"2025-06-15 19:31:22";98;6.01
"2025-06-15 19:31:52";97.98;6.01
"2025-06-15 19:32:22";97.98;6.01
"2025-06-15 19:32:52";97.98;6.01
"2025-06-15 19:33:22";97.98;6.01
"2025-06-15 19:33:52";97.98;6.01
"2025-06-15 19:34:22";98;6.01
"2025-06-15 19:34:52";97.98;6.01
"2025-06-15 19:35:22";98;6.01
"2025-06-15 19:35:52";97.98;6.01
"2025-06-15 19:36:23";98;6.01
"2025-06-15 19:36:53";98;6.01
"2025-06-15 19:37:23";98;6.01
"2025-06-15 19:37:53";98.04;6.01
"2025-06-15 19:38:23";98.05;6.01
"2025-06-15 19:38:53";98.12;6.03
"2025-06-15 19:39:23";98.19;6.05
"2025-06-15 19:39:53";98.27;6.05
"2025-06-15 19:40:23";98.25;6.05
"2025-06-15 19:40:53";98.27;6.05
"2025-06-15 19:41:23";98.31;6.05
"2025-06-15 19:41:53";98.43;6.07
"2025-06-15 19:42:23";98.47;6.09
"2025-06-15 19:42:53";98.48;6.09
"2025-06-15 19:43:23";98.48;6.09
"2025-06-15 19:43:53";98.61;6.11
"2025-06-15 19:44:24";98.62;6.11
"2025-06-15 19:44:54";98.62;6.11
"2025-06-15 19:45:24";98.77;6.13
"2025-06-15 19:45:54";98.93;6.15
"2025-06-15 19:46:24";98.94;6.15
"2025-06-15 19:46:54";98.97;6.15
"2025-06-15 19:47:24";98.98;6.15
"2025-06-15 19:47:54";98.98;6.15
"2025-06-15 19:48:24";99;6.15
"2025-06-15 19:48:54";99;6.15
"2025-06-15 19:49:24";99;6.15
"2025-06-15 19:49:54";99;6.15
"2025-06-15 19:50:24";99.01;6.15
"2025-06-15 19:50:54";99.02;6.17
"2025-06-15 19:51:24";99.09;6.17
"2025-06-15 19:51:54";99.19;6.19
"2025-06-15 19:52:25";99.36;6.21
"2025-06-15 19:52:55";99.45;6.23
"2025-06-15 19:53:25";99.51;6.23
"2025-06-15 19:53:55";99.66;6.26
"2025-06-15 19:54:25";99.87;6.28
"2025-06-15 19:54:55";99.90;6.30
"2025-06-15 19:55:25";99.91;6.30
"2025-06-15 19:55:55";99.95;6.30
"2025-06-15 19:56:25";99.98;6.30
"2025-06-15 19:56:55";99.98;6.30
"2025-06-15 19:57:25";100;6.30
"2025-06-15 19:57:55";100;6.30
"2025-06-15 19:58:25";100;6.30
"2025-06-15 19:58:55";100.02;6.30
"2025-06-15 19:59:25";100.05;6.32
"2025-06-15 19:59:55";100.16;6.32
"2025-06-15 20:00:26";100.26;6.34
"2025-06-15 20:00:56";100.41;6.36
"2025-06-15 20:01:26";100.68;6.40
"2025-06-15 20:01:56";100.98;6.46
"2025-06-15 20:02:26";101.01;6.46
"2025-06-15 20:02:56";101.05;6.46
"2025-06-15 20:03:26";101.16;6.48
"2025-06-15 20:03:56";101.29;6.50
"2025-06-15 20:04:26";101.55;6.53
"2025-06-15 20:04:56";101.44;6.53
"2025-06-15 20:05:26";101.44;6.53
"2025-06-15 20:05:56";101.73;6.57
"2025-06-15 20:06:26";101.87;6.59
"2025-06-15 20:06:56";101.94;6.59
"2025-06-15 20:07:26";101.97;6.61
"2025-06-15 20:07:56";101.98;6.61
"2025-06-15 20:08:27";102;6.61
"2025-06-15 20:08:57";102.01;6.61
"2025-06-15 20:09:27";102.01;6.61
"2025-06-15 20:09:57";102.04;6.61
"2025-06-15 20:10:27";102.18;6.63
"2025-06-15 20:10:57";102.33;6.65
"2025-06-15 20:11:27";102.41;6.67
"2025-06-15 20:11:57";102.66;6.71
"2025-06-15 20:12:27";102.73;6.73
"2025-06-15 20:12:57";102.76;6.73
"2025-06-15 20:13:27";102.72;6.71
"2025-06-15 20:13:57";102.76;6.73
"2025-06-15 20:14:27";102.80;6.73
"2025-06-15 20:14:57";102.91;6.75
"2025-06-15 20:15:27";102.93;6.76
"2025-06-15 20:15:57";102.97;6.76
"2025-06-15 20:16:28";103;6.77
"2025-06-15 20:16:58";102.98;6.77
"2025-06-15 20:17:28";103;6.77
"2025-06-15 20:17:58";103;6.77
"2025-06-15 20:18:28";103;6.77
"2025-06-15 20:18:58";103;6.77
"2025-06-15 20:19:28";103.01;6.77
"2025-06-15 20:19:58";103.06;6.78
"2025-06-15 20:20:28";103.05;6.78
"2025-06-15 20:20:58";103.16;6.79
"2025-06-15 20:21:28";103.22;6.80
"2025-06-15 20:21:58";103.58;6.86
"2025-06-15 20:22:28";103.62;6.86
"2025-06-15 20:22:58";103.73;6.88
"2025-06-15 20:23:28";103.80;6.88
"2025-06-15 20:23:58";103.87;6.90
"2025-06-15 20:24:29";103.93;6.90
"2025-06-15 20:24:59";103.88;6.90
"2025-06-15 20:25:29";103.87;6.90
"2025-06-15 20:25:59";103.91;6.90
"2025-06-15 20:26:29";103.95;6.92
"2025-06-15 20:26:59";103.94;6.92
"2025-06-15 20:27:29";103.98;6.92
"2025-06-15 20:27:59";104;6.92
"2025-06-15 20:28:29";104;6.92
"2025-06-15 20:28:59";104;6.92
"2025-06-15 20:29:29";104;6.92
"2025-06-15 20:29:59";104;6.92
"2025-06-15 20:30:29";104.01;6.92
"2025-06-15 20:30:59";104.01;6.92
"2025-06-15 20:31:29";104.02;6.92
"2025-06-15 20:31:59";104.09;6.94
"2025-06-15 20:32:30";104.16;6.94
"2025-06-15 20:33:00";104.44;6.98
"2025-06-15 20:33:30";104.75;7.03
"2025-06-15 20:34:00";104.97;7.07
"2025-06-15 20:34:30";105;7.07
"2025-06-15 20:35:00";105;7.07
"2025-06-15 20:35:30";104.98;7.07
"2025-06-15 20:36:00";104.97;7.07
"2025-06-15 20:36:30";104.98;7.07
"2025-06-15 20:37:00";104.98;7.07
"2025-06-15 20:37:30";105;7.07
"2025-06-15 20:38:00";104.98;7.07
"2025-06-15 20:38:30";104.97;7.07
"2025-06-15 20:39:00";104.97;7.07
"2025-06-15 20:39:30";105;7.07
"2025-06-15 20:40:00";105;7.07
"2025-06-15 20:40:31";104.91;7.07
"2025-06-15 20:41:01";104.84;7.05
"2025-06-15 20:41:31";104.88;7.05
"2025-06-15 20:42:01";104.83;7.05
"2025-06-15 20:42:31";104.70;7.03
"2025-06-15 20:43:01";104.77;7.05
"2025-06-15 20:43:31";104.79;7.05
"2025-06-15 20:44:01";104.88;7.07
"2025-06-15 20:44:31";104.97;7.07
"2025-06-15 20:45:01";104.98;7.07
"2025-06-15 20:45:31";105;7.07
"2025-06-15 20:46:01";105;7.07
"2025-06-15 20:46:31";105.01;7.07
"2025-06-15 20:47:01";105.01;7.07
"2025-06-15 20:47:31";105.01;7.09
"2025-06-15 20:48:01";105.08;7.09
"2025-06-15 20:48:32";105.30;7.13
"2025-06-15 20:49:02";105.33;7.13
"2025-06-15 20:49:32";105.48;7.15
"2025-06-15 20:50:02";105.66;7.19
"2025-06-15 20:50:32";105.83;7.21
"2025-06-15 20:51:02";105.81;7.21
"2025-06-15 20:51:32";105.81;7.21
"2025-06-15 20:52:02";105.73;7.19
"2025-06-15 20:52:32";105.76;7.19
"2025-06-15 20:53:02";105.81;7.21
"2025-06-15 20:53:32";105.83;7.21
"2025-06-15 20:54:02";105.91;7.23
"2025-06-15 20:54:32";105.98;7.23
"2025-06-15 20:55:02";106;7.23
"2025-06-15 20:55:32";106.01;7.23
"2025-06-15 20:56:02";106;7.23
"2025-06-15 20:56:33";106.01;7.23
"2025-06-15 20:57:03";106.02;7.25
"2025-06-15 20:57:33";106.33;7.30
"2025-06-15 20:58:03";106.84;7.38
"2025-06-15 20:58:33";107.01;7.40
"2025-06-15 20:59:03";107.04;7.40
"2025-06-15 20:59:33";107;7.40
"2025-06-15 21:00:03";107;7.40
"2025-06-15 21:00:33";106.97;7.40
"2025-06-15 21:01:03";106.68;7.34
"2025-06-15 21:01:33";106.94;7.40
"2025-06-15 21:02:03";106.98;7.40
"2025-06-15 21:02:33";107;7.40
"2025-06-15 21:03:03";107.01;7.40
"2025-06-15 21:03:33";107.01;7.40
"2025-06-15 21:04:03";107.26;7.44
"2025-06-15 21:04:34";107.23;7.44
"2025-06-15 21:05:04";107.40;7.46
"2025-06-15 21:05:34";107.87;7.55
"2025-06-15 21:06:04";108;7.57
"2025-06-15 21:06:34";108;7.57
"2025-06-15 21:07:04";108.01;7.57
"2025-06-15 21:07:34";108.12;7.59
"2025-06-15 21:08:04";108.16;7.59
"2025-06-15 21:08:34";108.20;7.61
"2025-06-15 21:09:04";108.36;7.63
"2025-06-15 21:09:34";108.41;7.63
"2025-06-15 21:10:04";108.47;7.65
"2025-06-15 21:10:34";108.30;7.61
"2025-06-15 21:11:04";108.19;7.59
"2025-06-15 21:11:34";108.76;7.69
"2025-06-15 21:12:04";108.86;7.71
"2025-06-15 21:12:35";108.56;7.67
"2025-06-15 21:13:05";108.38;7.63
"2025-06-15 21:13:35";108.23;7.61
"2025-06-15 21:14:05";108.80;7.71
"2025-06-15 21:14:35";108.33;7.63
"2025-06-15 21:15:05";108.01;7.57
"2025-06-15 21:15:35";108;7.57
"2025-06-15 21:16:05";108.01;7.57
"2025-06-15 21:16:35";108;7.57
"2025-06-15 21:17:05";108;7.57
"2025-06-15 21:17:35";108.38;7.63
"2025-06-15 21:18:05";108.86;7.71
"2025-06-15 21:18:35";108.33;7.63
"2025-06-15 21:19:05";108.26;7.61
"2025-06-15 21:19:35";108.58;7.67
"2025-06-15 21:20:05";108.86;7.71
"2025-06-15 21:20:36";108.87;7.71
"2025-06-15 21:21:06";108.97;7.73
"2025-06-15 21:21:36";109.12;7.76
"2025-06-15 21:22:06";109.97;7.90
"2025-06-15 21:22:36";110.73;8.03
"2025-06-15 21:23:06";110.83;8.05
"2025-06-15 21:23:36";111.41;8.14
"2025-06-15 21:24:06";110.80;8.05
"2025-06-15 21:24:36";110.95;8.07
"2025-06-15 21:25:06";110.12;7.92
"2025-06-15 21:25:36";109.98;7.90
"2025-06-15 21:26:06";109.91;7.90
"2025-06-15 21:26:36";109.98;7.90
"2025-06-15 21:27:06";109.98;7.90
"2025-06-15 21:27:36";109.87;7.88
"2025-06-15 21:28:06";109.83;7.88
"2025-06-15 21:28:37";109.63;7.84
"2025-06-15 21:29:07";109.98;7.90
"2025-06-15 21:29:37";110;7.90
"2025-06-15 21:30:07";109.94;7.90
"2025-06-15 21:30:37";109.98;7.90
"2025-06-15 21:31:07";110.02;7.92
"2025-06-15 21:31:37";110.20;7.94
"2025-06-15 21:32:07";110.70;8.02
"2025-06-15 21:32:37";111.08;8.10
"2025-06-15 21:33:07";111.19;8.11
"2025-06-15 21:33:37";110.97;8.07
"2025-06-15 21:34:07";110.75;8.03
"2025-06-15 21:34:37";110.98;8.07
"2025-06-15 21:35:07";111.01;8.07
"2025-06-15 21:35:37";111.52;8.18
"2025-06-15 21:36:07";111.08;8.10
"2025-06-15 21:36:38";112.18;8.28
"2025-06-15 21:37:08";112.80;8.39
"2025-06-15 21:37:38";114.04;8.61
"2025-06-15 21:38:08";112.51;8.35
"2025-06-15 21:38:38";110.98;8.07
"2025-06-15 21:39:08";111.44;8.15
"2025-06-15 21:39:38";113.87;8.59
"2025-06-15 21:40:08";113.51;8.52
"2025-06-15 21:40:38";112.91;8.42
"2025-06-15 21:41:08";111.04;8.09
"2025-06-15 21:41:38";111.76;8.21
"2025-06-15 21:42:08";109.11;7.76
"2025-06-15 21:42:38";108.45;7.65
"2025-06-15 21:43:08";108.05;7.57
"2025-06-15 21:43:38";108.01;7.57
"2025-06-15 21:44:08";108.08;7.59
"2025-06-15 21:44:39";108.41;7.63
"2025-06-15 21:45:09";108.95;7.73
"2025-06-15 21:45:39";109.84;7.88
"2025-06-15 21:46:09";111.01;8.07
"2025-06-15 21:46:39";108.94;7.73
"2025-06-15 21:47:09";108.04;7.57
"2025-06-15 21:47:39";107.93;7.55
"2025-06-15 21:48:09";107.59;7.51
"2025-06-15 21:48:39";107.41;7.48
"2025-06-15 21:49:09";107.33;7.46
"2025-06-15 21:49:39";107.33;7.46
"2025-06-15 21:50:09";107.62;7.51
"2025-06-15 21:50:39";107.73;7.53
"2025-06-15 21:51:09";107.86;7.55
"2025-06-15 21:51:39";107.93;7.55
"2025-06-15 21:52:09";108;7.57
"2025-06-15 21:52:40";108;7.57
"2025-06-15 21:53:10";108.02;7.57
"2025-06-15 21:53:40";108.54;7.65
"2025-06-15 21:54:10";109.01;7.73
"2025-06-15 21:54:40";110.16;7.94
"2025-06-15 21:55:10";111.05;8.09
"2025-06-15 21:55:40";109.13;7.76
"2025-06-15 21:56:10";109;7.73
"2025-06-15 21:56:40";109.01;7.73
"2025-06-15 21:57:10";109.01;7.73
"2025-06-15 21:57:40";109;7.73
"2025-06-15 21:58:10";109.11;7.76
"2025-06-15 21:58:40";109.68;7.86
"2025-06-15 21:59:10";109.77;7.86
"2025-06-15 21:59:40";110.05;7.92
"2025-06-15 22:00:10";112.23;8.30
"2025-06-15 22:00:41";110.31;7.96
"2025-06-15 22:01:11";108.06;7.57
"2025-06-15 22:01:41";107.69;7.52
"2025-06-15 22:02:11";107.08;7.42
"2025-06-15 22:02:41";107.01;7.40
"2025-06-15 22:03:11";107;7.40
"2025-06-15 22:03:41";106.98;7.40
"2025-06-15 22:04:11";106.98;7.40
"2025-06-15 22:04:41";106.98;7.40
"2025-06-15 22:05:11";107;7.40
"2025-06-15 22:05:41";107.01;7.40
"2025-06-15 22:06:11";107.01;7.40
"2025-06-15 22:06:41";107.02;7.40
"2025-06-15 22:07:11";107.16;7.42
"2025-06-15 22:07:41";107.19;7.44
"2025-06-15 22:08:11";107.20;7.44
"2025-06-15 22:08:42";107.33;7.46
"2025-06-15 22:09:12";107.54;7.50
"2025-06-15 22:09:42";107.72;7.53
"2025-06-15 22:10:12";107.87;7.55
"2025-06-15 22:10:42";107.98;7.57
"2025-06-15 22:11:12";108.01;7.57
"2025-06-15 22:11:42";108.31;7.63
"2025-06-15 22:12:12";108.90;7.71
"2025-06-15 22:12:42";109.15;7.77
"2025-06-15 22:13:12";109.81;7.88
"2025-06-15 22:13:42";112.19;8.28
"2025-06-15 22:14:12";109.45;7.82
