"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-14 11:19:05";234;36.77
"2025-06-14 11:19:35";233.99;36.77
"2025-06-14 11:20:05";232.27;36.02
"2025-06-14 11:20:35";230.25;35.16
"2025-06-14 11:21:05";228.39;34.40
"2025-06-14 11:21:35";226.53;33.63
"2025-06-14 11:22:05";221.97;31.82
"2025-06-14 11:22:35";221.03;31.45
"2025-06-14 11:23:05";220;31.06
"2025-06-14 11:23:35";222.52;32.04
"2025-06-14 11:24:05";222.11;31.87
"2025-06-14 11:24:35";221.33;31.57
"2025-06-14 11:25:05";221.44;31.62
"2025-06-14 11:25:35";223.50;32.43
"2025-06-14 11:26:05";222.24;31.93
