"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-26 20:01:01";373.17;245.25
"2025-06-26 20:01:31";315.67;143.44
"2025-06-26 20:02:01";252.58;74.43
"2025-06-26 20:02:31";219.94;50.75
"2025-06-26 20:03:01";210.97;45.36
"2025-06-26 20:03:31";194.38;36.50
"2025-06-26 20:04:01";185.22;32.18
"2025-06-26 20:04:31";178.47;29.22
"2025-06-26 20:05:01";173.86;27.32
"2025-06-26 20:05:31";169.63;25.65
"2025-06-26 20:06:01";165.02;23.93
"2025-06-26 20:06:31";162.42;22.98
"2025-06-26 20:07:01";161.97;22.82
"2025-06-26 20:07:31";159.21;21.85
"2025-06-26 20:08:01";155.07;20.45
"2025-06-26 20:08:32";154.22;20.18
"2025-06-26 20:09:02";155.28;20.53
"2025-06-26 20:09:32";155.16;20.47
"2025-06-26 20:10:02";154.25;20.19
"2025-06-26 20:10:32";153.99;20.10
"2025-06-26 20:11:02";152.83;19.71
