"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-16 10:55:18";274;57.45
"2025-06-16 10:55:48";248.41;43.41
"2025-06-16 10:56:18";219.80;30.98
"2025-06-16 10:56:48";204.16;25.42
"2025-06-16 10:57:18";193.11;21.95
"2025-06-16 10:57:48";184.55;19.50
"2025-06-16 10:58:18";177.61;17.65
"2025-06-16 10:58:48";171.88;16.23
"2025-06-16 10:59:18";166.94;15.06
"2025-06-16 10:59:48";162.53;14.07
"2025-06-16 11:00:18";158.83;13.27
"2025-06-16 11:00:48";155.27;12.55
"2025-06-16 11:01:18";152.13;11.93
"2025-06-16 11:01:48";149.22;11.36
"2025-06-16 11:02:18";146.61;10.88
"2025-06-16 11:02:48";144.21;10.43
"2025-06-16 11:03:18";141.97;10.03
"2025-06-16 11:03:48";139.91;9.68
"2025-06-16 11:04:18";137.91;9.35
"2025-06-16 11:04:48";136.13;9.05
"2025-06-16 11:05:18";134.49;8.79
"2025-06-16 11:05:48";132.78;8.52
"2025-06-16 11:06:18";131.38;8.30
"2025-06-16 11:06:48";129.80;8.06
"2025-06-16 11:07:18";128.47;7.86
"2025-06-16 11:07:48";127.52;7.71
"2025-06-16 11:08:18";125.98;7.48
"2025-06-16 11:08:48";124.93;7.34
"2025-06-16 11:09:18";123.94;7.19
"2025-06-16 11:09:48";122.88;7.05
"2025-06-16 11:10:19";121.97;6.92
"2025-06-16 11:10:49";121.01;6.80
"2025-06-16 11:11:19";120.16;6.69
"2025-06-16 11:11:49";119.33;6.57
"2025-06-16 11:12:19";118.52;6.46
"2025-06-16 11:12:49";117.83;6.38
"2025-06-16 11:13:19";117;6.26
"2025-06-16 11:13:49";116.08;6.15
"2025-06-16 11:14:19";115.50;6.07
"2025-06-16 11:14:49";114.97;6.01
"2025-06-16 11:15:19";114.05;5.90
"2025-06-16 11:15:49";113.65;5.84
"2025-06-16 11:16:19";113;5.77
"2025-06-16 11:16:49";112.26;5.67
"2025-06-16 11:17:19";111.98;5.65
"2025-06-16 11:17:49";111.22;5.55
"2025-06-16 11:18:19";111;5.53
"2025-06-16 11:18:49";110.23;5.44
"2025-06-16 11:19:19";110;5.40
"2025-06-16 11:19:49";109.37;5.34
"2025-06-16 11:20:19";109;5.28
"2025-06-16 11:20:49";108.77;5.26
"2025-06-16 11:21:19";108.01;5.17
"2025-06-16 11:21:49";108;5.17
"2025-06-16 11:22:19";107.86;5.15
"2025-06-16 11:22:49";107.01;5.07
"2025-06-16 11:23:19";107;5.05
"2025-06-16 11:23:49";106.81;5.03
"2025-06-16 11:24:19";106.04;4.96
"2025-06-16 11:24:49";106;4.94
"2025-06-16 11:25:19";106;4.94
"2025-06-16 11:25:49";105.41;4.88
"2025-06-16 11:26:19";105;4.84
"2025-06-16 11:26:50";105;4.84
"2025-06-16 11:27:20";104.73;4.80
"2025-06-16 11:27:50";104.01;4.73
"2025-06-16 11:28:20";105.73;4.92
"2025-06-16 11:28:50";113.51;5.82
"2025-06-16 11:29:20";122.26;6.96
"2025-06-16 11:29:50";128.16;7.82
"2025-06-16 11:30:20";129.22;7.96
"2025-06-16 11:30:50";131.16;8.27
"2025-06-16 11:31:20";130;8.09
"2025-06-16 11:31:50";123.88;7.19
"2025-06-16 11:32:20";127.47;7.71
"2025-06-16 11:32:50";130.13;8.10
"2025-06-16 11:33:20";130.92;8.22
"2025-06-16 11:33:50";129.61;8.02
"2025-06-16 11:34:20";128.52;7.86
"2025-06-16 11:34:50";130.05;8.10
"2025-06-16 11:35:20";133.55;8.64
"2025-06-16 11:35:50";133.72;8.67
"2025-06-16 11:36:20";131.38;8.30
"2025-06-16 11:36:50";133.36;8.60
"2025-06-16 11:37:20";133.21;8.59
"2025-06-16 11:37:50";131.32;8.28
"2025-06-16 11:38:20";130.55;8.18
"2025-06-16 11:38:50";127.43;7.71
"2025-06-16 11:39:20";125.12;7.36
"2025-06-16 11:39:50";123.29;7.11
"2025-06-16 11:40:20";123.91;7.19
"2025-06-16 11:40:50";123.98;7.21
"2025-06-16 11:41:20";122.88;7.05
"2025-06-16 11:41:50";120.22;6.69
"2025-06-16 11:42:20";118.30;6.44
"2025-06-16 11:42:50";117.93;6.38
"2025-06-16 11:43:21";117.30;6.30
"2025-06-16 11:43:51";117;6.26
"2025-06-16 11:44:21";116.94;6.26
"2025-06-16 11:44:51";116.13;6.15
"2025-06-16 11:45:21";117.41;6.32
"2025-06-16 11:45:51";118.97;6.53
"2025-06-16 11:46:21";119.97;6.65
"2025-06-16 11:46:51";119.86;6.63
"2025-06-16 11:47:21";118.58;6.46
"2025-06-16 11:47:51";117.37;6.32
"2025-06-16 11:48:21";116.94;6.26
"2025-06-16 11:48:51";117.66;6.36
"2025-06-16 11:49:21";117.34;6.30
"2025-06-16 11:49:51";116.06;6.15
"2025-06-16 11:50:21";115.13;6.03
"2025-06-16 11:50:51";115.98;6.13
"2025-06-16 11:51:21";117.06;6.28
"2025-06-16 11:51:51";116.31;6.17
"2025-06-16 11:52:21";115.13;6.03
"2025-06-16 11:52:51";113.95;5.88
"2025-06-16 11:53:21";113.73;5.86
"2025-06-16 11:53:51";113.26;5.80
"2025-06-16 11:54:21";112.20;5.67
"2025-06-16 11:54:51";111.36;5.57
"2025-06-16 11:55:21";111.41;5.57
"2025-06-16 11:55:51";112.01;5.65
"2025-06-16 11:56:21";111.70;5.61
"2025-06-16 11:56:51";111.06;5.53
"2025-06-16 11:57:21";111.95;5.63
"2025-06-16 11:57:51";112.54;5.71
"2025-06-16 11:58:21";112;5.65
"2025-06-16 11:58:51";112;5.65
"2025-06-16 11:59:21";112;5.65
"2025-06-16 11:59:52";112;5.65
"2025-06-16 12:00:22";112;5.65
"2025-06-16 12:00:52";112.30;5.67
"2025-06-16 12:01:22";112.80;5.73
"2025-06-16 12:01:52";112.98;5.77
"2025-06-16 12:02:22";112.54;5.71
"2025-06-16 12:02:52";112;5.65
"2025-06-16 12:03:22";112;5.65
"2025-06-16 12:03:52";112.11;5.65
"2025-06-16 12:04:22";112.98;5.77
"2025-06-16 12:04:52";112.97;5.76
"2025-06-16 12:05:22";112.04;5.65
"2025-06-16 12:05:52";111.88;5.63
"2025-06-16 12:06:22";111.05;5.53
"2025-06-16 12:06:52";111;5.53
"2025-06-16 12:07:22";111.02;5.53
"2025-06-16 12:07:52";110.56;5.48
"2025-06-16 12:08:22";110.15;5.42
"2025-06-16 12:08:52";110;5.40
"2025-06-16 12:09:22";110;5.40
"2025-06-16 12:09:52";109.22;5.32
"2025-06-16 12:10:22";108.12;5.19
"2025-06-16 12:10:52";108;5.17
"2025-06-16 12:11:22";108;5.17
"2025-06-16 12:11:52";99.55;0
"2025-06-16 12:12:22";99.23;0
"2025-06-16 12:12:52";98.43;0
"2025-06-16 12:13:22";97.83;0
"2025-06-16 12:13:52";97;0
"2025-06-16 12:14:22";97;0
"2025-06-16 12:14:52";97;0
"2025-06-16 12:15:22";97;0
"2025-06-16 12:15:52";97;0
"2025-06-16 12:16:23";96.19;0
"2025-06-16 12:16:53";96.94;0
"2025-06-16 12:17:23";97;0
"2025-06-16 12:17:53";97;0
"2025-06-16 12:18:23";97;0
"2025-06-16 12:18:53";96.97;0
"2025-06-16 12:19:23";96.94;0
"2025-06-16 12:19:53";96.33;0
"2025-06-16 12:20:23";95.98;0
"2025-06-16 12:20:53";95.12;0
"2025-06-16 12:21:23";95;0
"2025-06-16 12:21:53";94.48;0
"2025-06-16 12:22:23";94;0
"2025-06-16 12:22:53";93.56;0
"2025-06-16 12:23:23";93;0
"2025-06-16 12:23:53";92.98;0
"2025-06-16 12:24:23";92.48;0
"2025-06-16 12:24:53";92;0
"2025-06-16 12:25:23";91.50;0
"2025-06-16 12:25:53";91;0
"2025-06-16 12:26:23";90.95;0
"2025-06-16 12:26:53";90.08;0
"2025-06-16 12:27:23";90;0
"2025-06-16 12:27:53";89.94;0
"2025-06-16 12:28:23";89.12;0
"2025-06-16 12:28:53";89;0
"2025-06-16 12:29:23";88.77;0
"2025-06-16 12:29:53";88.80;0
"2025-06-16 12:30:23";88.98;0
"2025-06-16 12:30:53";89;0
"2025-06-16 12:31:23";89;0
"2025-06-16 12:31:53";89;0
"2025-06-16 12:32:24";89;0
"2025-06-16 12:32:54";88.95;0
"2025-06-16 12:33:24";88.45;0
"2025-06-16 12:33:54";88.01;0
"2025-06-16 12:34:24";88;0
"2025-06-16 12:34:54";87.97;0
"2025-06-16 12:35:24";87.36;0
"2025-06-16 12:35:54";87;0
"2025-06-16 12:36:24";87;0
"2025-06-16 12:36:54";87;0
"2025-06-16 12:37:24";86.98;0
"2025-06-16 12:37:54";86.76;0
"2025-06-16 12:38:24";86.48;0
"2025-06-16 12:38:54";86.15;0
"2025-06-16 12:39:24";86.02;0
"2025-06-16 12:39:54";86.01;0
