"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-26 20:10:17";55.50;0
"2025-06-26 20:10:47";58.16;0
"2025-06-26 20:11:17";58.11;0
"2025-06-26 20:11:47";56.08;0
"2025-06-26 20:12:17";54.72;0
"2025-06-26 20:12:47";53.49;0
"2025-06-26 20:13:17";52.38;0
"2025-06-26 20:13:47";51.90;0
"2025-06-26 20:14:17";51.25;0
"2025-06-26 20:14:47";50.59;0
"2025-06-26 20:15:17";50.31;0
"2025-06-26 20:15:47";49.41;0
"2025-06-26 20:16:17";48.88;0
"2025-06-26 20:16:47";48.59;0
"2025-06-26 20:17:17";48.34;0
"2025-06-26 20:17:47";48.13;0
"2025-06-26 20:18:17";47.93;0
"2025-06-26 20:18:47";47.68;0
"2025-06-26 20:19:17";47.59;0
"2025-06-26 20:19:47";47.63;0
"2025-06-26 20:20:17";47.25;0
"2025-06-26 20:20:47";47.18;0
"2025-06-26 20:21:17";47.04;0
"2025-06-26 20:21:47";47.04;0
"2025-06-26 20:22:17";46.86;0
"2025-06-26 20:22:47";46.81;0
"2025-06-26 20:23:17";46.79;0
"2025-06-26 20:23:47";46.75;0
"2025-06-26 20:24:18";46.50;0
"2025-06-26 20:24:48";46.49;0
"2025-06-26 20:25:18";46.40;0
"2025-06-26 20:25:48";46.36;0
"2025-06-26 20:26:18";46.22;0
"2025-06-26 20:26:48";45.93;0
"2025-06-26 20:27:18";46;0
"2025-06-26 20:27:48";45.81;0
"2025-06-26 20:28:18";45.72;0
"2025-06-26 20:28:48";45.54;0
"2025-06-26 20:29:18";45.74;0
"2025-06-26 20:29:48";45.49;0
"2025-06-26 20:30:18";45.36;0
"2025-06-26 20:30:48";45.66;0
"2025-06-26 20:31:18";45.43;0
"2025-06-26 20:31:48";45.43;0
"2025-06-26 20:32:18";45;0
"2025-06-26 20:32:48";44.95;0
"2025-06-26 20:33:18";45;0
"2025-06-26 20:33:48";44.79;0
"2025-06-26 20:34:18";44.68;0
"2025-06-26 20:34:48";44.79;0
"2025-06-26 20:35:18";44.68;0
"2025-06-26 20:35:48";44.50;0
"2025-06-26 20:36:18";44.56;0
"2025-06-26 20:36:48";44.47;0
"2025-06-26 20:37:18";44.52;0
"2025-06-26 20:37:48";44.34;0
"2025-06-26 20:38:18";44.18;0
"2025-06-26 20:38:48";44.29;0
"2025-06-26 20:39:18";44.31;0
"2025-06-26 20:39:48";44.31;0
"2025-06-26 20:40:18";44.25;0
"2025-06-26 20:40:49";44.15;0
"2025-06-26 20:41:19";43.99;0
"2025-06-26 20:41:49";44.04;0
"2025-06-26 20:42:19";43.95;0
"2025-06-26 20:42:49";43.95;0
"2025-06-26 20:43:19";44.13;0
"2025-06-26 20:43:49";43.91;0
"2025-06-26 20:44:19";44.04;0
"2025-06-26 20:44:49";43.97;0
"2025-06-26 20:45:19";43.93;0
"2025-06-26 20:45:49";43.93;0
"2025-06-26 20:46:19";43.81;0
"2025-06-26 20:46:49";43.81;0
"2025-06-26 20:47:19";43.72;0
"2025-06-26 20:47:49";43.72;0
"2025-06-26 20:48:19";43.68;0
"2025-06-26 20:48:49";43.74;0
"2025-06-26 20:49:19";43.72;0
"2025-06-26 20:49:49";43.61;0
"2025-06-26 20:50:19";43.63;0
