"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-26 20:00:10";518.16;6337.12
"2025-06-26 20:00:40";448.42;3537.98
"2025-06-26 20:01:10";346.58;1445.31
"2025-06-26 20:01:40";287.82;815.32
"2025-06-26 20:02:10";255.50;577.40
"2025-06-26 20:02:40";227.69;418.85
"2025-06-26 20:03:10";202.69;306.19
"2025-06-26 20:03:40";181.77;230.16
"2025-06-26 20:04:10";170.27;194.63
"2025-06-26 20:04:40";161.33;169.72
"2025-06-26 20:05:10";153.91;150.74
"2025-06-26 20:05:40";147.72;136.08
"2025-06-26 20:06:10";142.07;123.51
"2025-06-26 20:06:40";136.89;112.75
"2025-06-26 20:07:10";132.88;104.81
"2025-06-26 20:07:40";127.23;94.29
"2025-06-26 20:08:10";120.83;83.20
"2025-06-26 20:08:40";119.43;80.90
"2025-06-26 20:09:10";116.12;75.62
"2025-06-26 20:09:40";110.95;67.81
