"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-26 20:02:22";353.32;183.17
"2025-06-26 20:02:51";293.26;102.65
"2025-06-26 20:03:22";228.97;50.65
"2025-06-26 20:03:52";199.63;35.02
"2025-06-26 20:04:22";181.89;27.45
"2025-06-26 20:04:52";191.02;31.19
"2025-06-26 20:05:22";179.97;26.71
"2025-06-26 20:05:52";161.83;20.37
"2025-06-26 20:06:22";179.02;26.36
"2025-06-26 20:06:52";140.53;14.31
"2025-06-26 20:07:22";128.49;11.50
"2025-06-26 20:07:52";122.05;10.14
"2025-06-26 20:08:22";108.72;7.69
"2025-06-26 20:08:52";122.29;10.19
"2025-06-26 20:09:22";120.06;9.76
"2025-06-26 20:09:52";122.52;10.25
"2025-06-26 20:10:22";120.29;9.80
"2025-06-26 20:10:52";113.87;8.59
