"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-28 13:27:03";86.66;4.51
"2025-06-28 13:27:33";85.52;4.38
"2025-06-28 13:28:03";84.62;0
"2025-06-28 13:28:33";84.90;0
"2025-06-28 13:29:03";85.19;4.34
"2025-06-28 13:29:33";84.58;0
"2025-06-28 13:30:03";83.88;0
"2025-06-28 13:30:33";83.58;0
"2025-06-28 13:31:03";83.26;0
"2025-06-28 13:31:33";82.98;0
"2025-06-28 13:32:03";82.80;0
"2025-06-28 13:32:33";82.58;0
"2025-06-28 13:33:03";82.44;0
"2025-06-28 13:33:33";82.30;0
"2025-06-28 13:34:03";81.98;0
"2025-06-28 13:34:33";81.98;0
"2025-06-28 13:35:04";81.88;0
"2025-06-28 13:35:34";81.47;0
"2025-06-28 13:36:04";81.37;0
"2025-06-28 13:36:34";81.22;0
"2025-06-28 13:37:04";81.01;0
"2025-06-28 13:37:34";80.90;0
"2025-06-28 13:38:04";80.95;0
"2025-06-28 13:38:34";80.91;0
"2025-06-28 13:39:04";80.87;0
"2025-06-28 13:39:34";80.94;0
"2025-06-28 13:40:04";80.91;0
"2025-06-28 13:40:34";80.91;0
"2025-06-28 13:41:04";80.87;0
"2025-06-28 13:41:34";80.72;0
"2025-06-28 13:42:04";80.52;0
"2025-06-28 13:42:34";80.27;0
"2025-06-28 13:43:04";80.04;0
"2025-06-28 13:43:35";79.94;0
"2025-06-28 13:44:05";79.76;0
"2025-06-28 13:44:35";79.65;0
"2025-06-28 13:45:05";79.45;0
"2025-06-28 13:45:35";79.23;0
"2025-06-28 13:46:05";79.01;0
"2025-06-28 13:46:35";78.94;0
"2025-06-28 13:47:05";78.90;0
"2025-06-28 13:47:35";78.69;0
"2025-06-28 13:48:05";78.41;0
"2025-06-28 13:48:35";78.38;0
"2025-06-28 13:49:05";78.29;0
"2025-06-28 13:49:35";78.26;0
"2025-06-28 13:50:05";78.25;0
"2025-06-28 13:50:35";78.16;0
"2025-06-28 13:51:05";78.05;0
"2025-06-28 13:51:35";77.93;0
"2025-06-28 13:52:06";77.84;0
"2025-06-28 13:52:36";77.66;0
"2025-06-28 13:53:06";77.41;0
"2025-06-28 13:53:36";77.37;0
"2025-06-28 13:54:06";77.48;0
"2025-06-28 13:54:36";77.30;0
"2025-06-28 13:55:06";77.15;0
"2025-06-28 13:55:36";77.08;0
"2025-06-28 13:56:06";77.05;0
"2025-06-28 13:56:36";76.95;0
"2025-06-28 13:57:06";76.87;0
"2025-06-28 13:57:36";76.81;0
"2025-06-28 13:58:06";76.76;0
"2025-06-28 13:58:36";76.62;0
"2025-06-28 13:59:06";76.63;0
"2025-06-28 13:59:36";76.56;0
"2025-06-28 14:00:06";76.45;0
"2025-06-28 14:00:37";76.23;0
"2025-06-28 14:01:07";76.16;0
"2025-06-28 14:01:37";76.11;0
"2025-06-28 14:02:07";76.08;0
"2025-06-28 14:02:37";76.01;0
"2025-06-28 14:03:07";76.01;0
"2025-06-28 14:03:37";75.91;0
"2025-06-28 14:04:07";75.83;0
"2025-06-28 14:04:37";75.86;0
"2025-06-28 14:05:07";75.58;0
"2025-06-28 14:05:37";75.63;0
"2025-06-28 14:06:07";75.62;0
"2025-06-28 14:06:37";75.54;0
"2025-06-28 14:07:07";75.44;0
"2025-06-28 14:07:37";75.26;0
"2025-06-28 14:08:07";75.11;0
"2025-06-28 14:08:37";74.98;0
"2025-06-28 14:09:08";74.97;0
"2025-06-28 14:09:38";74.93;0
"2025-06-28 14:10:08";74.91;0
"2025-06-28 14:10:38";74.83;0
"2025-06-28 14:11:08";74.73;0
"2025-06-28 14:11:38";74.62;0
"2025-06-28 14:12:08";74.48;0
"2025-06-28 14:12:38";74.38;0
"2025-06-28 14:13:08";74.41;0
"2025-06-28 14:13:38";74.29;0
"2025-06-28 14:14:08";74.29;0
"2025-06-28 14:14:38";74.19;0
"2025-06-28 14:15:08";74.12;0
"2025-06-28 14:15:38";74.04;0
"2025-06-28 14:16:08";74.01;0
"2025-06-28 14:16:38";73.98;0
"2025-06-28 14:17:08";74.02;0
"2025-06-28 14:17:38";73.97;0
"2025-06-28 14:18:09";73.91;0
"2025-06-28 14:18:39";73.83;0
"2025-06-28 14:19:09";73.77;0
"2025-06-28 14:19:39";73.76;0
"2025-06-28 14:20:09";73.62;0
"2025-06-28 14:20:39";73.58;0
"2025-06-28 14:21:09";73.44;0
"2025-06-28 14:21:39";73.37;0
"2025-06-28 14:22:09";73.30;0
"2025-06-28 14:22:39";73.22;0
"2025-06-28 14:23:09";73.18;0
"2025-06-28 14:23:39";73.12;0
"2025-06-28 14:24:09";73.12;0
"2025-06-28 14:24:39";73.02;0
"2025-06-28 14:25:09";73.01;0
"2025-06-28 14:25:39";72.94;0
"2025-06-28 14:26:09";72.90;0
"2025-06-28 14:26:40";72.87;0
"2025-06-28 14:27:10";72.79;0
"2025-06-28 14:27:40";72.63;0
"2025-06-28 14:28:10";72.66;0
"2025-06-28 14:28:40";72.62;0
"2025-06-28 14:29:10";72.54;0
"2025-06-28 14:29:40";72.58;0
"2025-06-28 14:30:10";72.48;0
"2025-06-28 14:30:40";72.47;0
"2025-06-28 14:31:10";72.33;0
"2025-06-28 14:31:40";72.23;0
"2025-06-28 14:32:10";72.30;0
"2025-06-28 14:32:40";72.25;0
"2025-06-28 14:33:10";72.16;0
"2025-06-28 14:33:40";72.19;0
"2025-06-28 14:34:10";72.13;0
"2025-06-28 14:34:40";72.12;0
"2025-06-28 14:35:11";72.22;0
"2025-06-28 14:35:41";72.08;0
"2025-06-28 14:36:11";72.06;0
"2025-06-28 14:36:41";72.01;0
"2025-06-28 14:37:11";71.98;0
"2025-06-28 14:37:41";71.97;0
"2025-06-28 14:38:11";71.94;0
"2025-06-28 14:38:41";71.80;0
"2025-06-28 14:39:11";71.79;0
"2025-06-28 14:39:41";71.76;0
"2025-06-28 14:40:11";71.73;0
"2025-06-28 14:40:41";71.76;0
"2025-06-28 14:41:11";71.62;0
"2025-06-28 14:41:41";71.70;0
"2025-06-28 14:42:11";71.52;0
"2025-06-28 14:42:41";71.59;0
"2025-06-28 14:43:11";71.54;0
"2025-06-28 14:43:42";71.43;0
"2025-06-28 14:44:12";71.41;0
"2025-06-28 14:44:42";71.31;0
"2025-06-28 14:45:12";71.37;0
"2025-06-28 14:45:42";71.26;0
"2025-06-28 14:46:12";71.27;0
"2025-06-28 14:46:42";71.22;0
"2025-06-28 14:47:12";71.19;0
"2025-06-28 14:47:42";71.18;0
"2025-06-28 14:48:12";71.15;0
"2025-06-28 14:48:42";71.08;0
"2025-06-28 14:49:12";71.06;0
"2025-06-28 14:49:42";71.02;0
"2025-06-28 14:50:12";70.98;0
"2025-06-28 14:50:42";70.98;0
"2025-06-28 14:51:12";70.98;0
"2025-06-28 14:51:42";70.97;0
"2025-06-28 14:52:13";70.95;0
"2025-06-28 14:52:43";70.95;0
"2025-06-28 14:53:13";70.95;0
"2025-06-28 14:53:43";70.94;0
"2025-06-28 14:54:13";70.87;0
"2025-06-28 14:54:43";70.91;0
"2025-06-28 14:55:13";70.87;0
"2025-06-28 14:55:43";70.81;0
"2025-06-28 14:56:13";70.81;0
"2025-06-28 14:56:43";70.76;0
"2025-06-28 14:57:13";70.79;0
"2025-06-28 14:57:43";70.73;0
"2025-06-28 14:58:13";70.72;0
"2025-06-28 14:58:43";70.73;0
"2025-06-28 14:59:13";70.69;0
"2025-06-28 14:59:43";70.63;0
"2025-06-28 15:00:13";70.63;0
