"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-28 12:35:54";118;16.72
"2025-06-28 12:36:24";110.68;14.35
"2025-06-28 12:36:54";98.27;10.82
"2025-06-28 12:37:24";89.51;8.69
"2025-06-28 12:37:55";85.51;7.82
"2025-06-28 12:38:25";83.33;7.36
"2025-06-28 12:38:55";80.98;6.90
"2025-06-28 12:39:25";78.76;6.46
"2025-06-28 12:39:55";77.87;6.30
"2025-06-28 12:40:25";76.12;5.98
"2025-06-28 12:40:55";75.23;5.82
"2025-06-28 12:41:25";74.12;5.61
"2025-06-28 12:41:55";73.30;5.48
"2025-06-28 12:42:25";72.98;5.42
"2025-06-28 12:42:55";72.20;5.30
"2025-06-28 12:43:25";72.56;5.36
"2025-06-28 12:43:55";71.20;5.13
"2025-06-28 12:44:25";70.51;5.01
"2025-06-28 12:44:55";70;4.92
"2025-06-28 12:45:25";69.26;4.82
"2025-06-28 12:45:55";69;4.77
"2025-06-28 12:46:25";69;4.77
"2025-06-28 12:46:55";68.51;4.69
"2025-06-28 12:47:25";68;4.61
"2025-06-28 12:47:55";67.37;4.52
"2025-06-28 12:48:25";67;4.46
"2025-06-28 12:48:55";66.66;4.40
"2025-06-28 12:49:25";66;0
"2025-06-28 12:49:55";66;0
"2025-06-28 12:50:25";66;0
"2025-06-28 12:50:55";65.18;0
"2025-06-28 12:51:25";65.09;0
"2025-06-28 12:51:55";65;0
"2025-06-28 12:52:25";64.91;0
"2025-06-28 12:52:56";64.52;0
"2025-06-28 12:53:26";64.06;0
"2025-06-28 12:53:56";64;0
"2025-06-28 12:54:26";64;0
"2025-06-28 12:54:56";63.54;0
"2025-06-28 12:55:26";63;0
"2025-06-28 12:55:56";62.99;0
"2025-06-28 12:56:26";63.02;0
"2025-06-28 12:56:56";62.70;0
"2025-06-28 12:57:26";62;0
"2025-06-28 12:57:56";61.99;0
"2025-06-28 12:58:26";61.97;0
"2025-06-28 12:58:56";61.88;0
"2025-06-28 12:59:26";61.06;0
"2025-06-28 12:59:56";61;0
"2025-06-28 13:00:26";61;0
"2025-06-28 13:00:56";61;0
"2025-06-28 13:01:26";60.43;0
"2025-06-28 13:01:56";60;0
"2025-06-28 13:02:26";60;0
"2025-06-28 13:02:56";59.97;0
"2025-06-28 13:03:26";59.20;0
"2025-06-28 13:03:56";59;0
"2025-06-28 13:04:26";59;0
"2025-06-28 13:04:56";58.95;0
"2025-06-28 13:05:26";58.47;0
"2025-06-28 13:05:56";58.11;0
"2025-06-28 13:06:26";58.04;0
"2025-06-28 13:06:56";58;0
"2025-06-28 13:07:26";58;0
"2025-06-28 13:07:56";58;0
"2025-06-28 13:08:27";57.97;0
"2025-06-28 13:08:57";57.50;0
"2025-06-28 13:09:27";57.40;0
"2025-06-28 13:09:57";57.02;0
"2025-06-28 13:10:27";57;0
"2025-06-28 13:10:57";56.99;0
"2025-06-28 13:11:27";56.88;0
"2025-06-28 13:11:57";56.50;0
"2025-06-28 13:12:27";56.08;0
"2025-06-28 13:12:57";56;0
"2025-06-28 13:13:27";56;0
"2025-06-28 13:13:57";56;0
"2025-06-28 13:14:27";55.91;0
"2025-06-28 13:14:57";55.29;0
"2025-06-28 13:15:27";55;0
"2025-06-28 13:15:57";55;0
"2025-06-28 13:16:27";55;0
"2025-06-28 13:16:57";54.97;0
"2025-06-28 13:17:27";54.20;0
"2025-06-28 13:17:57";54;0
"2025-06-28 13:18:27";54;0
"2025-06-28 13:18:57";54;0
"2025-06-28 13:19:27";54;0
"2025-06-28 13:19:57";53.99;0
"2025-06-28 13:20:27";53.77;0
"2025-06-28 13:20:57";53.08;0
