"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-28 15:15:43";60.16;0
"2025-06-28 15:16:13";60.40;0
"2025-06-28 15:16:43";60.29;0
"2025-06-28 15:17:13";60.11;0
"2025-06-28 15:17:43";60.08;0
"2025-06-28 15:18:13";59.84;0
"2025-06-28 15:18:43";59.83;0
"2025-06-28 15:19:13";59.70;0
"2025-06-28 15:19:43";59.77;0
"2025-06-28 15:20:13";59.58;0
"2025-06-28 15:20:43";59.50;0
"2025-06-28 15:21:13";59.38;0
"2025-06-28 15:21:43";59.29;0
"2025-06-28 15:22:13";59.18;0
"2025-06-28 15:22:43";59.16;0
"2025-06-28 15:23:13";59.02;0
"2025-06-28 15:23:43";59;0
"2025-06-28 15:24:13";58.90;0
"2025-06-28 15:24:44";58.72;0
"2025-06-28 15:25:14";58.56;0
"2025-06-28 15:25:44";58.56;0
"2025-06-28 15:26:14";58.36;0
"2025-06-28 15:26:44";58.34;0
"2025-06-28 15:27:14";58.31;0
"2025-06-28 15:27:44";58;0
"2025-06-28 15:28:14";57.93;0
"2025-06-28 15:28:44";57.95;0
"2025-06-28 15:29:14";57.68;0
"2025-06-28 15:29:44";57.68;0
"2025-06-28 15:30:14";57.68;0
"2025-06-28 15:30:44";57.81;0
"2025-06-28 15:31:14";57.61;0
"2025-06-28 15:31:44";57.56;0
"2025-06-28 15:32:14";58;0
"2025-06-28 15:32:44";57.45;0
"2025-06-28 15:33:14";57.31;0
"2025-06-28 15:33:44";57.59;0
"2025-06-28 15:34:14";57.33;0
"2025-06-28 15:34:44";57.27;0
"2025-06-28 15:35:14";56.84;0
"2025-06-28 15:35:44";57.08;0
"2025-06-28 15:36:14";57.06;0
"2025-06-28 15:36:44";57.24;0
"2025-06-28 15:37:14";57.11;0
"2025-06-28 15:37:44";57.06;0
"2025-06-28 15:38:14";57.02;0
"2025-06-28 15:38:44";56.84;0
"2025-06-28 15:39:14";57.02;0
"2025-06-28 15:39:44";56.74;0
"2025-06-28 15:40:14";57.13;0
"2025-06-28 15:40:44";56.59;0
"2025-06-28 15:41:15";56.63;0
"2025-06-28 15:41:45";56.91;0
"2025-06-28 15:42:15";56.97;0
"2025-06-28 15:42:45";56.84;0
"2025-06-28 15:43:15";56.81;0
"2025-06-28 15:43:45";56.90;0
"2025-06-28 15:44:15";56.61;0
"2025-06-28 15:44:45";57.02;0
"2025-06-28 15:45:15";56.91;0
"2025-06-28 15:45:45";56.70;0
"2025-06-28 15:46:15";56.84;0
"2025-06-28 15:46:45";56.61;0
"2025-06-28 15:47:15";56.65;0
"2025-06-28 15:47:45";56.61;0
"2025-06-28 15:48:15";56.52;0
"2025-06-28 15:48:45";56.59;0
"2025-06-28 15:49:15";56.81;0
"2025-06-28 15:49:45";56.88;0
"2025-06-28 15:50:15";56.79;0
"2025-06-28 15:50:45";56.70;0
"2025-06-28 15:51:15";56.75;0
"2025-06-28 15:51:45";56.68;0
"2025-06-28 15:52:15";56.66;0
"2025-06-28 15:52:45";56.54;0
"2025-06-28 15:53:15";56.52;0
"2025-06-28 15:53:45";56.40;0
"2025-06-28 15:54:15";56.68;0
"2025-06-28 15:54:45";56.77;0
"2025-06-28 15:55:15";56.38;0
"2025-06-28 15:55:45";56.79;0
"2025-06-28 15:56:15";56.15;0
"2025-06-28 15:56:45";56.47;0
"2025-06-28 15:57:15";56.54;0
"2025-06-28 15:57:45";56.52;0
"2025-06-28 15:58:16";56.27;0
"2025-06-28 15:58:46";56.54;0
"2025-06-28 15:59:16";56.47;0
"2025-06-28 15:59:46";56.40;0
"2025-06-28 16:00:16";56.43;0
"2025-06-28 16:00:46";56.43;0
"2025-06-28 16:01:16";56.36;0
"2025-06-28 16:01:46";56.40;0
"2025-06-28 16:02:16";56.25;0
"2025-06-28 16:02:46";56.31;0
"2025-06-28 16:03:16";56.50;0
"2025-06-28 16:03:46";56.38;0
"2025-06-28 16:04:16";56.36;0
"2025-06-28 16:04:46";56.22;0
"2025-06-28 16:05:16";56.15;0
"2025-06-28 16:05:46";56.38;0
"2025-06-28 16:06:16";56.31;0
"2025-06-28 16:06:46";56.22;0
"2025-06-28 16:07:16";56.20;0
"2025-06-28 16:07:46";56.63;0
"2025-06-28 16:08:16";56.20;0
"2025-06-28 16:08:46";56.04;0
"2025-06-28 16:09:16";56.41;0
"2025-06-28 16:09:46";56.40;0
"2025-06-28 16:10:16";56.02;0
"2025-06-28 16:10:46";56.16;0
"2025-06-28 16:11:16";56.11;0
"2025-06-28 16:11:46";56.15;0
"2025-06-28 16:12:16";56.22;0
"2025-06-28 16:12:46";56.38;0
"2025-06-28 16:13:16";56.34;0
"2025-06-28 16:13:46";56.29;0
"2025-06-28 16:14:16";56.15;0
"2025-06-28 16:14:47";56.08;0
"2025-06-28 16:15:17";56.13;0
"2025-06-28 16:15:47";56.16;0
"2025-06-28 16:16:17";56.20;0
"2025-06-28 16:16:47";56.31;0
"2025-06-28 16:17:17";56.29;0
"2025-06-28 16:17:47";56.11;0
"2025-06-28 16:18:17";56.24;0
"2025-06-28 16:18:47";56.09;0
"2025-06-28 16:19:17";55.97;0
"2025-06-28 16:19:47";56.34;0
"2025-06-28 16:20:17";56.09;0
"2025-06-28 16:20:47";56.16;0
"2025-06-28 16:21:17";55.99;0
"2025-06-28 16:21:47";56.22;0
"2025-06-28 16:22:17";56.15;0
"2025-06-28 16:22:47";56.24;0
"2025-06-28 16:23:17";55.97;0
"2025-06-28 16:23:47";55.93;0
"2025-06-28 16:24:17";56.22;0
"2025-06-28 16:24:47";56.15;0
"2025-06-28 16:25:17";55.99;0
"2025-06-28 16:25:47";56.06;0
"2025-06-28 16:26:17";56.18;0
"2025-06-28 16:26:47";56.04;0
"2025-06-28 16:27:17";55.93;0
"2025-06-28 16:27:47";56.06;0
"2025-06-28 16:28:17";55.97;0
"2025-06-28 16:28:47";55.86;0
"2025-06-28 16:29:17";55.81;0
"2025-06-28 16:29:47";55.99;0
"2025-06-28 16:30:17";55.84;0
"2025-06-28 16:30:47";55.79;0
"2025-06-28 16:31:18";55.74;0
"2025-06-28 16:31:48";55.93;0
"2025-06-28 16:32:18";55.95;0
"2025-06-28 16:32:48";56.09;0
"2025-06-28 16:33:18";55.97;0
"2025-06-28 16:33:48";56.13;0
"2025-06-28 16:34:18";55.91;0
"2025-06-28 16:34:48";56.06;0
"2025-06-28 16:35:18";55.93;0
"2025-06-28 16:35:48";56.16;0
"2025-06-28 16:36:18";55.84;0
"2025-06-28 16:36:48";55.81;0
"2025-06-28 16:37:18";56.09;0
"2025-06-28 16:37:48";55.84;0
"2025-06-28 16:38:18";56.09;0
"2025-06-28 16:38:48";55.97;0
"2025-06-28 16:39:18";56.11;0
"2025-06-28 16:39:48";56.25;0
"2025-06-28 16:40:18";55.81;0
"2025-06-28 16:40:48";56.02;0
"2025-06-28 16:41:18";55.97;0
"2025-06-28 16:41:48";55.79;0
"2025-06-28 16:42:18";55.90;0
"2025-06-28 16:42:48";55.91;0
"2025-06-28 16:43:18";55.90;0
"2025-06-28 16:43:48";55.99;0
"2025-06-28 16:44:18";55.81;0
"2025-06-28 16:44:48";56.06;0
"2025-06-28 16:45:18";56.04;0
"2025-06-28 16:45:48";55.72;0
"2025-06-28 16:46:18";56;0
"2025-06-28 16:46:48";55.97;0
"2025-06-28 16:47:18";56;0
"2025-06-28 16:47:49";55.91;0
"2025-06-28 16:48:19";55.81;0
"2025-06-28 16:48:49";55.61;0
"2025-06-28 16:49:19";56.08;0
"2025-06-28 16:49:49";55.93;0
"2025-06-28 16:50:19";55.74;0
"2025-06-28 16:50:49";55.88;0
"2025-06-28 16:51:19";55.93;0
"2025-06-28 16:51:49";55.58;0
"2025-06-28 16:52:19";55.86;0
"2025-06-28 16:52:49";55.93;0
"2025-06-28 16:53:19";55.77;0
"2025-06-28 16:53:49";55.88;0
"2025-06-28 16:54:19";55.90;0
"2025-06-28 16:54:49";55.72;0
"2025-06-28 16:55:19";55.88;0
"2025-06-28 16:55:49";55.74;0
"2025-06-28 16:56:19";55.81;0
"2025-06-28 16:56:49";55.93;0
"2025-06-28 16:57:19";55.49;0
"2025-06-28 16:57:49";55.86;0
"2025-06-28 16:58:19";55.66;0
"2025-06-28 16:58:49";55.66;0
"2025-06-28 16:59:19";55.83;0
"2025-06-28 16:59:49";55.81;0
"2025-06-28 17:00:19";55.79;0
"2025-06-28 17:00:49";55.63;0
"2025-06-28 17:01:19";55.97;0
"2025-06-28 17:01:49";55.61;0
"2025-06-28 17:02:19";55.83;0
"2025-06-28 17:02:49";55.66;0
"2025-06-28 17:03:19";55.74;0
"2025-06-28 17:03:49";55.84;0
"2025-06-28 17:04:19";55.84;0
"2025-06-28 17:04:50";55.84;0
"2025-06-28 17:05:20";55.83;0
"2025-06-28 17:05:50";55.90;0
"2025-06-28 17:06:20";55.84;0
"2025-06-28 17:06:50";55.97;0
"2025-06-28 17:07:20";55.68;0
"2025-06-28 17:07:50";55.72;0
"2025-06-28 17:08:20";55.93;0
"2025-06-28 17:08:50";55.74;0
"2025-06-28 17:09:20";55.52;0
"2025-06-28 17:09:50";55.83;0
"2025-06-28 17:10:20";55.88;0
"2025-06-28 17:10:50";55.77;0
"2025-06-28 17:11:20";55.74;0
"2025-06-28 17:11:50";55.77;0
"2025-06-28 17:12:20";55.81;0
"2025-06-28 17:12:50";55.66;0
"2025-06-28 17:13:20";55.61;0
"2025-06-28 17:13:50";55.56;0
"2025-06-28 17:14:20";55.72;0
"2025-06-28 17:14:50";55.68;0
"2025-06-28 17:15:20";55.77;0
"2025-06-28 17:15:50";55.72;0
"2025-06-28 17:16:20";55.56;0
"2025-06-28 17:16:50";55.56;0
"2025-06-28 17:17:20";55.52;0
"2025-06-28 17:17:50";55.70;0
"2025-06-28 17:18:20";55.66;0
"2025-06-28 17:18:50";55.68;0
"2025-06-28 17:19:20";55.70;0
"2025-06-28 17:19:50";55.45;0
"2025-06-28 17:20:20";55.52;0
"2025-06-28 17:20:50";55.54;0
"2025-06-28 17:21:21";55.45;0
"2025-06-28 17:21:51";55.68;0
"2025-06-28 17:22:21";55.61;0
"2025-06-28 17:22:51";55.66;0
"2025-06-28 17:23:21";55.47;0
"2025-06-28 17:23:51";55.75;0
"2025-06-28 17:24:21";55.52;0
"2025-06-28 17:24:51";55.66;0
"2025-06-28 17:25:21";55.52;0
"2025-06-28 17:25:51";55.59;0
"2025-06-28 17:26:21";55.66;0
"2025-06-28 17:26:51";55.65;0
"2025-06-28 17:27:21";55.84;0
"2025-06-28 17:27:51";55.41;0
"2025-06-28 17:28:21";55.68;0
"2025-06-28 17:28:51";55.54;0
"2025-06-28 17:29:21";55.43;0
"2025-06-28 17:29:51";55.65;0
"2025-06-28 17:30:21";55.61;0
"2025-06-28 17:30:51";55.86;0
"2025-06-28 17:31:21";55.56;0
"2025-06-28 17:31:51";55.41;0
"2025-06-28 17:32:21";55.52;0
"2025-06-28 17:32:51";55.61;0
"2025-06-28 17:33:21";55.61;0
"2025-06-28 17:33:51";55.68;0
"2025-06-28 17:34:21";55.54;0
"2025-06-28 17:34:51";55.61;0
"2025-06-28 17:35:21";55.59;0
"2025-06-28 17:35:51";55.68;0
"2025-06-28 17:36:21";55.61;0
"2025-06-28 17:36:51";55.65;0
"2025-06-28 17:37:21";55.52;0
"2025-06-28 17:37:52";55.29;0
"2025-06-28 17:38:22";55.65;0
"2025-06-28 17:38:52";55.47;0
"2025-06-28 17:39:22";55.61;0
"2025-06-28 17:39:52";55.72;0
"2025-06-28 17:40:22";55.72;0
"2025-06-28 17:40:52";55.63;0
"2025-06-28 17:41:22";55.59;0
"2025-06-28 17:41:52";55.59;0
"2025-06-28 17:42:22";55.54;0
"2025-06-28 17:42:52";55.50;0
"2025-06-28 17:43:22";55.59;0
"2025-06-28 17:43:52";55.47;0
"2025-06-28 17:44:22";55.56;0
"2025-06-28 17:44:52";55.61;0
"2025-06-28 17:45:22";55.61;0
"2025-06-28 17:45:52";55.43;0
"2025-06-28 17:46:22";55.52;0
"2025-06-28 17:46:52";55.29;0
"2025-06-28 17:47:22";55.56;0
"2025-06-28 17:47:52";55.45;0
"2025-06-28 17:48:22";55.38;0
"2025-06-28 17:48:52";55.63;0
"2025-06-28 17:49:22";55.56;0
"2025-06-28 17:49:52";55.59;0
"2025-06-28 17:50:22";55.68;0
"2025-06-28 17:50:52";55.59;0
"2025-06-28 17:51:22";55.47;0
"2025-06-28 17:51:52";55.59;0
"2025-06-28 17:52:22";55.40;0
"2025-06-28 17:52:52";55.52;0
"2025-06-28 17:53:22";55.54;0
"2025-06-28 17:53:52";55.56;0
"2025-06-28 17:54:23";55.49;0
"2025-06-28 17:54:53";55.47;0
"2025-06-28 17:55:23";55.43;0
"2025-06-28 17:55:53";55.49;0
"2025-06-28 17:56:23";55.59;0
"2025-06-28 17:56:53";55.47;0
"2025-06-28 17:57:23";55.24;0
"2025-06-28 17:57:53";55.63;0
"2025-06-28 17:58:23";55.61;0
"2025-06-28 17:58:53";55.59;0
"2025-06-28 17:59:23";55.27;0
"2025-06-28 17:59:53";55.43;0
"2025-06-28 18:00:23";55.43;0
"2025-06-28 18:00:53";55.38;0
"2025-06-28 18:01:23";55.49;0
"2025-06-28 18:01:53";55.54;0
"2025-06-28 18:02:23";55.38;0
"2025-06-28 18:02:53";55.63;0
"2025-06-28 18:03:23";55.18;0
"2025-06-28 18:03:53";55.66;0
"2025-06-28 18:04:23";55.54;0
"2025-06-28 18:04:53";55.49;0
"2025-06-28 18:05:23";55.36;0
"2025-06-28 18:05:53";55.36;0
"2025-06-28 18:06:23";55.41;0
"2025-06-28 18:06:53";55.34;0
"2025-06-28 18:07:23";55.33;0
"2025-06-28 18:07:53";55.38;0
"2025-06-28 18:08:23";55.41;0
"2025-06-28 18:08:53";55.36;0
"2025-06-28 18:09:23";55.40;0
"2025-06-28 18:09:53";55.43;0
"2025-06-28 18:10:23";55.45;0
"2025-06-28 18:10:53";55.45;0
"2025-06-28 18:11:24";55.41;0
"2025-06-28 18:11:54";55.29;0
"2025-06-28 18:12:24";55.27;0
"2025-06-28 18:12:54";55.41;0
"2025-06-28 18:13:24";55.25;0
"2025-06-28 18:13:54";55.54;0
"2025-06-28 18:14:24";55.36;0
"2025-06-28 18:14:54";55.20;0
"2025-06-28 18:15:24";55.52;0
"2025-06-28 18:15:54";55.38;0
"2025-06-28 18:16:24";55.20;0
"2025-06-28 18:16:54";55.40;0
"2025-06-28 18:17:24";55.43;0
"2025-06-28 18:17:54";55.36;0
"2025-06-28 18:18:24";55.36;0
"2025-06-28 18:18:54";55.31;0
"2025-06-28 18:19:24";55.52;0
"2025-06-28 18:19:54";55.41;0
"2025-06-28 18:20:24";55.33;0
"2025-06-28 18:20:54";55.33;0
"2025-06-28 18:21:24";55.38;0
"2025-06-28 18:21:54";55.33;0
"2025-06-28 18:22:24";55.22;0
"2025-06-28 18:22:54";55.31;0
"2025-06-28 18:23:24";55.40;0
"2025-06-28 18:23:54";55.36;0
"2025-06-28 18:24:24";55.40;0
"2025-06-28 18:24:54";55.25;0
"2025-06-28 18:25:24";55.43;0
"2025-06-28 18:25:54";55.45;0
"2025-06-28 18:26:24";55.25;0
"2025-06-28 18:26:54";55.20;0
"2025-06-28 18:27:24";55.43;0
"2025-06-28 18:27:55";55.33;0
"2025-06-28 18:28:25";55.25;0
"2025-06-28 18:28:55";55.20;0
"2025-06-28 18:29:25";55.47;0
"2025-06-28 18:29:55";55.31;0
"2025-06-28 18:30:25";55.34;0
"2025-06-28 18:30:55";55.29;0
"2025-06-28 18:31:25";55.24;0
"2025-06-28 18:31:55";55.31;0
"2025-06-28 18:32:25";55.33;0
"2025-06-28 18:32:55";55.36;0
"2025-06-28 18:33:25";55.25;0
"2025-06-28 18:33:55";55.45;0
"2025-06-28 18:34:25";55.25;0
"2025-06-28 18:34:55";55.25;0
"2025-06-28 18:35:25";55.34;0
"2025-06-28 18:35:55";55.16;0
"2025-06-28 18:36:25";55.38;0
"2025-06-28 18:36:55";55.38;0
"2025-06-28 18:37:25";55.36;0
"2025-06-28 18:37:55";55.31;0
"2025-06-28 18:38:25";55.34;0
"2025-06-28 18:38:55";55.15;0
"2025-06-28 18:39:25";55.43;0
"2025-06-28 18:39:55";55.20;0
"2025-06-28 18:40:25";55.16;0
"2025-06-28 18:40:55";55.13;0
"2025-06-28 18:41:25";55.33;0
"2025-06-28 18:41:55";55.27;0
"2025-06-28 18:42:25";55.13;0
"2025-06-28 18:42:55";55.38;0
"2025-06-28 18:43:25";55.22;0
"2025-06-28 18:43:55";55.11;0
"2025-06-28 18:44:26";55.34;0
"2025-06-28 18:44:56";55.36;0
"2025-06-28 18:45:26";55.16;0
"2025-06-28 18:45:56";55.20;0
"2025-06-28 18:46:26";55.06;0
"2025-06-28 18:46:56";55.40;0
"2025-06-28 18:47:26";55.06;0
"2025-06-28 18:47:56";55.25;0
"2025-06-28 18:48:26";55.15;0
"2025-06-28 18:48:56";55.24;0
"2025-06-28 18:49:26";55.20;0
"2025-06-28 18:49:56";55.18;0
"2025-06-28 18:50:26";55.18;0
"2025-06-28 18:50:56";55.29;0
"2025-06-28 18:51:26";55.08;0
"2025-06-28 18:51:56";55.20;0
"2025-06-28 18:52:26";55.09;0
"2025-06-28 18:52:56";55.08;0
"2025-06-28 18:53:26";55.11;0
"2025-06-28 18:53:56";55.15;0
"2025-06-28 18:54:26";55.25;0
"2025-06-28 18:54:56";55.31;0
"2025-06-28 18:55:26";55.25;0
"2025-06-28 18:55:56";55.20;0
"2025-06-28 18:56:26";55.08;0
"2025-06-28 18:56:56";55.25;0
"2025-06-28 18:57:26";55.16;0
"2025-06-28 18:57:56";55.08;0
"2025-06-28 18:58:26";55.11;0
"2025-06-28 18:58:56";55.11;0
"2025-06-28 18:59:26";55.29;0
"2025-06-28 18:59:56";55.22;0
"2025-06-28 19:00:26";55.15;0
"2025-06-28 19:00:57";55.09;0
"2025-06-28 19:01:27";55.15;0
"2025-06-28 19:01:57";55.11;0
"2025-06-28 19:02:27";55.15;0
"2025-06-28 19:02:57";55.16;0
"2025-06-28 19:03:27";55.08;0
"2025-06-28 19:03:57";55.18;0
"2025-06-28 19:04:27";55.06;0
"2025-06-28 19:04:57";55.09;0
"2025-06-28 19:05:27";55.09;0
"2025-06-28 19:05:57";55.16;0
"2025-06-28 19:06:27";55.04;0
"2025-06-28 19:06:57";55.09;0
"2025-06-28 19:07:27";55;0
"2025-06-28 19:07:57";55.13;0
"2025-06-28 19:08:27";55.16;0
"2025-06-28 19:08:57";55.09;0
"2025-06-28 19:09:27";55.18;0
"2025-06-28 19:09:57";55.22;0
"2025-06-28 19:10:27";54.97;0
"2025-06-28 19:10:57";55.08;0
"2025-06-28 19:11:27";55.04;0
"2025-06-28 19:11:57";55;0
"2025-06-28 19:12:27";55;0
"2025-06-28 19:12:57";55.02;0
"2025-06-28 19:13:27";55;0
"2025-06-28 19:13:57";55;0
"2025-06-28 19:14:27";55.06;0
"2025-06-28 19:14:57";55.04;0
"2025-06-28 19:15:27";55.04;0
"2025-06-28 19:15:57";55.09;0
"2025-06-28 19:16:27";55.06;0
"2025-06-28 19:16:57";55.11;0
"2025-06-28 19:17:27";55.15;0
"2025-06-28 19:17:58";55.13;0
"2025-06-28 19:18:28";54.99;0
"2025-06-28 19:18:58";55.18;0
"2025-06-28 19:19:28";55.06;0
"2025-06-28 19:19:58";55.02;0
"2025-06-28 19:20:28";55.11;0
"2025-06-28 19:20:58";55.06;0
"2025-06-28 19:21:28";54.97;0
"2025-06-28 19:21:58";54.97;0
"2025-06-28 19:22:28";55.06;0
"2025-06-28 19:22:58";55.11;0
"2025-06-28 19:23:28";55;0
"2025-06-28 19:23:58";54.99;0
"2025-06-28 19:24:28";55.13;0
"2025-06-28 19:24:58";55.02;0
"2025-06-28 19:25:28";55.06;0
"2025-06-28 19:25:58";55.04;0
"2025-06-28 19:26:28";54.90;0
"2025-06-28 19:26:58";55.11;0
"2025-06-28 19:27:28";55.09;0
"2025-06-28 19:27:58";55;0
"2025-06-28 19:28:28";55.08;0
"2025-06-28 19:28:58";54.97;0
"2025-06-28 19:29:28";55.11;0
"2025-06-28 19:29:58";55.06;0
"2025-06-28 19:30:28";54.97;0
"2025-06-28 19:30:58";54.95;0
"2025-06-28 19:31:28";55.06;0
"2025-06-28 19:31:58";55;0
"2025-06-28 19:32:28";54.95;0
"2025-06-28 19:32:58";55;0
"2025-06-28 19:33:28";55.06;0
"2025-06-28 19:33:58";54.86;0
"2025-06-28 19:34:29";54.99;0
"2025-06-28 19:34:59";55.08;0
"2025-06-28 19:35:29";55;0
"2025-06-28 19:35:59";54.99;0
"2025-06-28 19:36:29";55.06;0
"2025-06-28 19:36:59";54.97;0
"2025-06-28 19:37:29";54.93;0
"2025-06-28 19:37:59";54.93;0
"2025-06-28 19:38:29";54.81;0
"2025-06-28 19:38:59";54.93;0
"2025-06-28 19:39:29";55.02;0
