"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-28 12:29:51";47;9.43
"2025-06-28 12:30:21";47;9.43
"2025-06-28 12:30:51";47;9.43
"2025-06-28 12:31:21";47;9.43
"2025-06-28 12:31:51";47;9.43
"2025-06-28 12:32:21";47;9.43
"2025-06-28 12:32:51";47;9.43
"2025-06-28 12:33:21";47;9.43
"2025-06-28 12:33:51";47;9.43
"2025-06-28 12:34:21";47;9.43
"2025-06-28 12:34:51";47;9.43
"2025-06-28 12:35:21";47;9.43
"2025-06-28 12:35:51";47;9.43
"2025-06-28 12:36:21";47;9.43
"2025-06-28 12:36:51";47;9.43
"2025-06-28 12:37:21";47;9.43
"2025-06-28 12:37:51";47;9.43
"2025-06-28 12:38:21";47;9.43
"2025-06-28 12:38:51";47;9.43
"2025-06-28 12:39:21";47;9.43
"2025-06-28 12:39:51";47;9.43
"2025-06-28 12:40:21";47;9.43
"2025-06-28 12:40:51";47;9.43
"2025-06-28 12:41:21";47;9.43
"2025-06-28 12:41:51";47;9.43
"2025-06-28 12:42:21";47;9.43
"2025-06-28 12:42:51";47;9.43
"2025-06-28 12:43:21";47;9.43
"2025-06-28 12:43:51";47;9.43
"2025-06-28 12:44:21";47;9.43
"2025-06-28 12:44:51";47;9.43
"2025-06-28 12:45:21";47;9.43
"2025-06-28 12:45:51";47;9.43
"2025-06-28 12:46:21";47;9.43
"2025-06-28 12:46:51";47;9.43
"2025-06-28 12:47:21";46.99;9.43
"2025-06-28 12:47:52";47;9.43
"2025-06-28 12:48:22";47;9.43
"2025-06-28 12:48:52";47;9.43
"2025-06-28 12:49:22";47;9.43
"2025-06-28 12:49:52";47;9.43
"2025-06-28 12:50:22";47;9.43
"2025-06-28 12:50:52";47;9.43
"2025-06-28 12:51:22";46.97;9.43
"2025-06-28 12:51:52";46.97;9.43
"2025-06-28 12:52:22";46.99;9.43
"2025-06-28 12:52:52";47;9.43
"2025-06-28 12:53:22";46.99;9.43
"2025-06-28 12:53:52";47;9.43
"2025-06-28 12:54:22";46.99;9.43
"2025-06-28 12:54:52";46.99;9.43
"2025-06-28 12:55:22";46.97;9.43
"2025-06-28 12:55:52";46.97;9.43
"2025-06-28 12:56:22";46.97;9.42
"2025-06-28 12:56:52";46.97;9.43
"2025-06-28 12:57:22";46.93;9.40
"2025-06-28 12:57:52";46.90;9.39
"2025-06-28 12:58:22";46.97;9.42
"2025-06-28 12:58:52";46.91;9.39
"2025-06-28 12:59:22";46.93;9.40
"2025-06-28 12:59:52";46.81;9.35
"2025-06-28 13:00:22";46.72;9.31
"2025-06-28 13:00:52";46.77;9.32
"2025-06-28 13:01:22";46.77;9.34
"2025-06-28 13:01:52";46.61;9.27
"2025-06-28 13:02:22";46.61;9.27
"2025-06-28 13:02:52";46.58;9.25
"2025-06-28 13:03:22";46.56;9.23
"2025-06-28 13:03:52";46.43;9.18
"2025-06-28 13:04:22";46.29;9.13
"2025-06-28 13:04:52";46.31;9.14
"2025-06-28 13:05:22";46.36;9.15
"2025-06-28 13:05:52";46.29;9.11
"2025-06-28 13:06:22";46.31;9.14
"2025-06-28 13:06:52";46.18;9.07
"2025-06-28 13:07:22";46.22;9.09
"2025-06-28 13:07:53";46.15;9.06
"2025-06-28 13:08:23";46.20;9.09
"2025-06-28 13:08:53";46.11;9.05
"2025-06-28 13:09:23";46.18;9.06
"2025-06-28 13:09:53";46.11;9.05
"2025-06-28 13:10:23";46.13;9.06
"2025-06-28 13:10:53";46.09;9.03
"2025-06-28 13:11:23";46.11;9.05
"2025-06-28 13:11:53";46.08;9.02
"2025-06-28 13:12:23";46.02;9.01
"2025-06-28 13:12:53";46.04;9.02
"2025-06-28 13:13:23";46.04;9.01
"2025-06-28 13:13:53";46.06;9.02
"2025-06-28 13:14:23";46.02;9.01
"2025-06-28 13:14:53";46.02;9.01
"2025-06-28 13:15:23";46.02;9.01
"2025-06-28 13:15:53";46;9
"2025-06-28 13:16:23";46.02;9
"2025-06-28 13:16:53";46;9
"2025-06-28 13:17:23";46;9
"2025-06-28 13:17:53";46;9
"2025-06-28 13:18:23";46.02;9
"2025-06-28 13:18:53";46;9
"2025-06-28 13:19:23";46;9
"2025-06-28 13:19:53";46;9
"2025-06-28 13:20:23";46;9
"2025-06-28 13:20:53";46;9
"2025-06-28 13:21:23";46;9
"2025-06-28 13:21:53";46;9
"2025-06-28 13:22:23";46;9
"2025-06-28 13:22:53";46;9
"2025-06-28 13:23:23";46;9
"2025-06-28 13:23:53";46;9
"2025-06-28 13:24:23";46;9
"2025-06-28 13:24:53";46;9
"2025-06-28 13:25:23";46;9
"2025-06-28 13:25:53";46;9
"2025-06-28 13:26:23";46;9
"2025-06-28 13:26:53";46;9
"2025-06-28 13:27:23";46;9
"2025-06-28 13:27:53";46;9
"2025-06-28 13:28:24";46;9
"2025-06-28 13:28:54";46;9
"2025-06-28 13:29:24";46;9
"2025-06-28 13:29:54";46;9
"2025-06-28 13:30:24";46;9
"2025-06-28 13:30:54";46;9
"2025-06-28 13:31:24";46;9
"2025-06-28 13:31:54";46;9
"2025-06-28 13:32:24";46;9
"2025-06-28 13:32:54";46;9
"2025-06-28 13:33:24";46;9
"2025-06-28 13:33:54";46;9
"2025-06-28 13:34:24";46;9
"2025-06-28 13:34:54";46;9
"2025-06-28 13:35:24";46;9
"2025-06-28 13:35:54";46;9
"2025-06-28 13:36:24";46;9
"2025-06-28 13:36:54";46;9
"2025-06-28 13:37:24";46;9
"2025-06-28 13:37:54";46;9
"2025-06-28 13:38:24";46;9
"2025-06-28 13:38:54";46;9
"2025-06-28 13:39:24";46;9
"2025-06-28 13:39:54";46;9
"2025-06-28 13:40:24";46;9
"2025-06-28 13:40:54";46;9
"2025-06-28 13:41:24";46;9
"2025-06-28 13:41:54";46;9
"2025-06-28 13:42:24";46;9
"2025-06-28 13:42:54";46;9
"2025-06-28 13:43:24";46;9
"2025-06-28 13:43:54";46;9
"2025-06-28 13:44:24";46;9
"2025-06-28 13:44:54";46;9
"2025-06-28 13:45:24";46;9
"2025-06-28 13:45:54";46;9
"2025-06-28 13:46:24";46;9
"2025-06-28 13:46:54";46;9
"2025-06-28 13:47:24";46;9
"2025-06-28 13:47:54";46;9
"2025-06-28 13:48:25";46;9
"2025-06-28 13:48:55";46;9
"2025-06-28 13:49:25";46;9
"2025-06-28 13:49:55";46;9
"2025-06-28 13:50:25";46;9
"2025-06-28 13:50:55";46;9
"2025-06-28 13:51:25";46;9
"2025-06-28 13:51:55";46;9
"2025-06-28 13:52:25";46;9
"2025-06-28 13:52:55";46;9
"2025-06-28 13:53:25";46;9
"2025-06-28 13:53:55";46;9
"2025-06-28 13:54:25";46;9
"2025-06-28 13:54:55";46;9
"2025-06-28 13:55:25";46;9
"2025-06-28 13:55:55";46;9
"2025-06-28 13:56:25";46;9
"2025-06-28 13:56:55";46;9
"2025-06-28 13:57:25";46;9
"2025-06-28 13:57:55";46;9
"2025-06-28 13:58:25";46;9
"2025-06-28 13:58:55";46;9
"2025-06-28 13:59:25";46;9
"2025-06-28 13:59:55";46;9
"2025-06-28 14:00:25";46;9
"2025-06-28 14:00:55";46;9
"2025-06-28 14:01:25";46;9
"2025-06-28 14:01:55";46;9
"2025-06-28 14:02:25";46;9
"2025-06-28 14:02:55";46;9
"2025-06-28 14:03:25";46;9
"2025-06-28 14:03:55";46;9
"2025-06-28 14:04:25";46;9
"2025-06-28 14:04:55";46;9
"2025-06-28 14:05:25";46;9
"2025-06-28 14:05:55";46;9
"2025-06-28 14:06:25";46;9
"2025-06-28 14:06:55";46;9
"2025-06-28 14:07:25";46;9
"2025-06-28 14:07:55";46;9
"2025-06-28 14:08:25";46;9
"2025-06-28 14:08:56";46;9
"2025-06-28 14:09:26";46;9
"2025-06-28 14:09:56";46;9
"2025-06-28 14:10:26";46;9
"2025-06-28 14:10:56";46;9
"2025-06-28 14:11:26";46;9
"2025-06-28 14:11:56";46;9
"2025-06-28 14:12:26";46;9
"2025-06-28 14:12:56";46;9
"2025-06-28 14:13:26";46;9
"2025-06-28 14:13:56";46;9
"2025-06-28 14:14:26";46;9
"2025-06-28 14:14:56";46;9
"2025-06-28 14:15:26";46;9
"2025-06-28 14:15:56";46;9
"2025-06-28 14:16:26";46;9
"2025-06-28 14:16:56";46;9
"2025-06-28 14:17:26";46;9
"2025-06-28 14:17:56";46;9
"2025-06-28 14:18:26";46;9
"2025-06-28 14:18:56";46;9
"2025-06-28 14:19:26";46;9
"2025-06-28 14:19:56";46;9
"2025-06-28 14:20:26";46;9
