"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-28 11:46:52";25.32;26.23
"2025-06-28 11:47:22";25.03;25.55
"2025-06-28 11:47:52";25;25.50
"2025-06-28 11:48:22";25;25.50
"2025-06-28 11:48:52";25;25.50
"2025-06-28 11:49:23";25;25.50
"2025-06-28 11:49:53";25;25.50
"2025-06-28 11:50:23";25;25.50
"2025-06-28 11:50:53";25;25.50
"2025-06-28 11:51:23";25;25.50
"2025-06-28 11:51:53";25;25.50
"2025-06-28 11:52:23";25;25.50
"2025-06-28 11:52:53";25;25.50
"2025-06-28 11:53:23";25;25.50
"2025-06-28 11:53:53";25;25.50
"2025-06-28 11:54:23";25;25.50
"2025-06-28 11:54:53";25;25.50
"2025-06-28 11:55:23";25;25.50
"2025-06-28 11:55:53";25.01;25.51
"2025-06-28 11:56:23";25.02;25.53
"2025-06-28 11:56:53";25.06;25.65
"2025-06-28 11:57:23";25.05;25.62
"2025-06-28 11:57:53";25.19;25.93
"2025-06-28 11:58:23";25.30;26.18
"2025-06-28 11:58:53";25.40;26.40
"2025-06-28 11:59:23";25.47;26.57
"2025-06-28 11:59:53";25.59;26.84
"2025-06-28 12:00:23";25.63;26.95
"2025-06-28 12:00:53";25.75;27.19
"2025-06-28 12:01:23";25.86;27.44
"2025-06-28 12:01:53";25.87;27.50
"2025-06-28 12:02:23";25.92;27.57
"2025-06-28 12:02:53";25.95;27.68
"2025-06-28 12:03:23";25.96;27.70
"2025-06-28 12:03:53";25.95;27.67
"2025-06-28 12:04:24";25.95;27.65
"2025-06-28 12:04:54";25.97;27.71
"2025-06-28 12:05:24";25.96;27.70
"2025-06-28 12:05:54";25.97;27.71
"2025-06-28 12:06:24";25.96;27.70
"2025-06-28 12:06:54";25.98;27.75
"2025-06-28 12:07:24";25.98;27.75
"2025-06-28 12:07:54";25.98;27.75
"2025-06-28 12:08:24";25.97;27.71
"2025-06-28 12:08:54";26.04;27.87
"2025-06-28 12:09:24";26.09;27.97
"2025-06-28 12:09:54";26.07;27.96
