"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-28 12:22:07";179.66;29.73
"2025-06-28 12:22:37";182.66;31.04
"2025-06-28 12:23:07";181.14;30.37
"2025-06-28 12:23:37";180.67;30.18
"2025-06-28 12:24:07";179.69;29.76
"2025-06-28 12:24:37";176.08;28.23
"2025-06-28 12:25:07";173.47;27.18
"2025-06-28 12:25:37";172.13;26.63
"2025-06-28 12:26:07";171.92;26.55
"2025-06-28 12:26:37";173.19;27.05
"2025-06-28 12:27:07";173.80;27.30
"2025-06-28 12:27:37";172.77;26.89
"2025-06-28 12:28:07";173.69;27.26
"2025-06-28 12:28:37";175.53;28.01
"2025-06-28 12:29:07";175.86;28.13
"2025-06-28 12:29:37";174.83;27.72
"2025-06-28 12:30:08";176.33;28.35
"2025-06-28 12:30:38";177.19;28.70
"2025-06-28 12:31:08";175.85;28.13
"2025-06-28 12:31:38";175.21;27.87
"2025-06-28 12:32:08";173.17;27.05
"2025-06-28 12:32:38";173.58;27.21
"2025-06-28 12:33:08";174.25;27.48
"2025-06-28 12:33:38";173.14;27.04
"2025-06-28 12:34:08";172.27;26.70
"2025-06-28 12:34:38";172;26.59
"2025-06-28 12:35:08";172;26.59
"2025-06-28 12:35:38";172.11;26.63
"2025-06-28 12:36:08";170.55;26.02
"2025-06-28 12:36:38";168.36;25.18
"2025-06-28 12:37:08";168.05;25.05
"2025-06-28 12:37:38";167.50;24.85
"2025-06-28 12:38:08";167.99;25.04
"2025-06-28 12:38:38";167.99;25.04
"2025-06-28 12:39:08";168;25.04
"2025-06-28 12:39:38";168.10;25.07
"2025-06-28 12:40:08";169.33;25.54
"2025-06-28 12:40:38";169.41;25.57
"2025-06-28 12:41:08";169.11;25.46
"2025-06-28 12:41:38";168.96;25.39
"2025-06-28 12:42:08";168.99;25.42
"2025-06-28 12:42:38";169.03;25.44
"2025-06-28 12:43:08";169;25.42
"2025-06-28 12:43:38";168.97;25.40
"2025-06-28 12:44:08";168.83;25.36
"2025-06-28 12:44:38";167.36;24.79
"2025-06-28 12:45:08";168.58;25.27
"2025-06-28 12:45:38";169;25.42
