"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-06-28 14:45:50";39;0
"2025-06-28 14:46:20";37.84;0
"2025-06-28 14:46:50";35.68;0
"2025-06-28 14:47:20";34.27;0
"2025-06-28 14:47:50";33.27;0
"2025-06-28 14:48:20";32.79;0
"2025-06-28 14:48:50";32;0
"2025-06-28 14:49:20";32;0
"2025-06-28 14:49:50";31.25;0
"2025-06-28 14:50:20";30.69;0
"2025-06-28 14:50:50";30.02;0
"2025-06-28 14:51:20";30;0
"2025-06-28 14:51:50";29.95;0
"2025-06-28 14:52:20";29.56;0
"2025-06-28 14:52:50";29.02;0
"2025-06-28 14:53:20";29;0
"2025-06-28 14:53:50";29;0
"2025-06-28 14:54:20";28.90;0
"2025-06-28 14:54:50";28.52;0
"2025-06-28 14:55:20";28.15;0
"2025-06-28 14:55:50";28;0
"2025-06-28 14:56:20";28;0
"2025-06-28 14:56:50";28;0
"2025-06-28 14:57:20";28;0
"2025-06-28 14:57:50";27.98;0
"2025-06-28 14:58:20";28;0
"2025-06-28 14:58:50";27.98;0
"2025-06-28 14:59:20";27.96;0
"2025-06-28 14:59:50";27.76;0
"2025-06-28 15:00:20";27.68;0
"2025-06-28 15:00:50";27.17;0
"2025-06-28 15:01:21";27.07;0
"2025-06-28 15:01:51";27.01;0
"2025-06-28 15:02:21";27;0
"2025-06-28 15:02:51";27;0
"2025-06-28 15:03:21";27;0
"2025-06-28 15:03:51";27;0
"2025-06-28 15:04:21";27;0
"2025-06-28 15:04:51";27;0
"2025-06-28 15:05:21";27;0
"2025-06-28 15:05:51";27;0
"2025-06-28 15:06:21";26.96;0
"2025-06-28 15:06:51";26.93;0
"2025-06-28 15:07:21";26.80;0
"2025-06-28 15:07:51";26.87;0
"2025-06-28 15:08:21";26.79;0
"2025-06-28 15:08:51";26.86;0
"2025-06-28 15:09:21";26.78;0
"2025-06-28 15:09:51";26.67;0
"2025-06-28 15:10:21";26.68;0
"2025-06-28 15:10:51";26.62;0
"2025-06-28 15:11:21";26.40;0
"2025-06-28 15:11:51";26.36;0
"2025-06-28 15:12:21";26.40;0
"2025-06-28 15:12:51";26.54;0
"2025-06-28 15:13:21";26.53;0
"2025-06-28 15:13:51";26.48;0
"2025-06-28 15:14:21";26.59;0
"2025-06-28 15:14:51";26.48;0
"2025-06-28 15:15:21";26.37;0
"2025-06-28 15:15:51";26.44;0
"2025-06-28 15:16:21";26.34;0
"2025-06-28 15:16:51";26.40;0
"2025-06-28 15:17:21";26.29;0
"2025-06-28 15:17:52";26.35;0
"2025-06-28 15:18:22";26.40;0
"2025-06-28 15:18:52";26.34;0
"2025-06-28 15:19:22";26.48;0
"2025-06-28 15:19:52";26.20;0
"2025-06-28 15:20:22";26.46;0
"2025-06-28 15:20:52";26.57;0
"2025-06-28 15:21:22";26.63;0
"2025-06-28 15:21:52";26.73;0
"2025-06-28 15:22:22";26.84;0
"2025-06-28 15:22:52";26.92;0
"2025-06-28 15:23:22";26.98;0
"2025-06-28 15:23:52";27;0
"2025-06-28 15:24:22";27;0
"2025-06-28 15:24:52";27;0
"2025-06-28 15:25:22";27;0
"2025-06-28 15:25:52";27;0
"2025-06-28 15:26:22";27;0
"2025-06-28 15:26:52";27;0
"2025-06-28 15:27:22";27;0
"2025-06-28 15:27:52";27;0
"2025-06-28 15:28:22";27.02;0
"2025-06-28 15:28:52";27.12;0
"2025-06-28 15:29:22";27.29;0
"2025-06-28 15:29:52";27.51;0
"2025-06-28 15:30:22";27.80;0
"2025-06-28 15:30:52";27.89;0
"2025-06-28 15:31:22";27.98;0
"2025-06-28 15:31:52";28;0
"2025-06-28 15:32:22";27.98;0
"2025-06-28 15:32:52";28;0
"2025-06-28 15:33:22";28;0
"2025-06-28 15:33:52";28;0
"2025-06-28 15:34:22";28;0
"2025-06-28 15:34:53";28.05;0
"2025-06-28 15:35:23";28.23;0
