"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-09-06 11:12:29";91;42.47
"2025-09-06 11:12:58";91;42.47
"2025-09-06 11:13:28";90.44;41.86
"2025-09-06 11:13:59";90.31;41.72
"2025-09-06 11:14:29";89.94;41.31
"2025-09-06 11:14:59";89.41;40.75
"2025-09-06 11:15:29";89.01;40.34
"2025-09-06 11:15:59";89;40.31
"2025-09-06 11:16:29";89;40.31
"2025-09-06 11:16:59";88.86;40.18
"2025-09-06 11:17:29";88.19;39.47
"2025-09-06 11:17:59";88;39.27
"2025-09-06 11:18:29";88;39.27
"2025-09-06 11:18:59";88;39.27
"2025-09-06 11:19:29";88.01;39.27
"2025-09-06 11:19:59";88;39.27
"2025-09-06 11:20:29";88;39.27
"2025-09-06 11:20:59";87.68;38.93
"2025-09-06 11:21:29";87;38.25
"2025-09-06 11:21:59";86.98;38.22
"2025-09-06 11:22:29";86.08;37.31
"2025-09-06 11:22:59";86;37.22
"2025-09-06 11:23:29";86.08;37.31
"2025-09-06 11:23:59";86.68;37.91
"2025-09-06 11:24:29";86.11;37.34
"2025-09-06 11:24:59";86;37.22
"2025-09-06 11:25:29";86;37.22
"2025-09-06 11:25:59";85.83;37.06
"2025-09-06 11:26:29";85.29;36.52
"2025-09-06 11:26:59";85;36.22
"2025-09-06 11:27:29";85;36.22
"2025-09-06 11:27:59";85;36.22
"2025-09-06 11:28:29";85;36.22
"2025-09-06 11:28:59";84.93;36.15
"2025-09-06 11:29:29";84.76;36
"2025-09-06 11:29:59";84.23;35.49
"2025-09-06 11:30:29";84.06;35.31
"2025-09-06 11:30:59";84.05;35.29
"2025-09-06 11:31:29";84.01;35.25
"2025-09-06 11:31:59";84;35.25
"2025-09-06 11:32:29";84.01;35.25
"2025-09-06 11:32:59";84;35.25
"2025-09-06 11:33:29";84;35.25
"2025-09-06 11:34:00";84;35.25
"2025-09-06 11:34:30";84;35.25
"2025-09-06 11:35:00";84;35.25
"2025-09-06 11:35:30";84;35.25
"2025-09-06 11:36:00";84;35.25
"2025-09-06 11:36:30";84;35.25
"2025-09-06 11:37:00";84;35.25
"2025-09-06 11:37:30";83.94;35.20
"2025-09-06 11:38:00";83.48;34.75
"2025-09-06 11:38:30";83.02;34.31
"2025-09-06 11:39:00";83;34.29
"2025-09-06 11:39:30";83.01;34.29
"2025-09-06 11:40:00";83;34.29
"2025-09-06 11:40:30";83;34.29
"2025-09-06 11:41:00";83;34.29
"2025-09-06 11:41:30";83;34.29
"2025-09-06 11:42:00";83;34.29
"2025-09-06 11:42:30";83;34.29
"2025-09-06 11:43:00";83;34.29
"2025-09-06 11:43:30";83;34.29
"2025-09-06 11:44:00";83;34.29
"2025-09-06 11:44:30";83;34.29
"2025-09-06 11:45:00";83;34.29
"2025-09-06 11:45:30";82.98;34.27
"2025-09-06 11:46:00";83;34.29
"2025-09-06 11:46:30";82.95;34.25
"2025-09-06 11:47:00";82.98;34.27
"2025-09-06 11:47:30";82.86;34.15
"2025-09-06 11:48:00";82.58;33.90
"2025-09-06 11:48:30";82.26;33.58
"2025-09-06 11:49:00";82.01;33.36
"2025-09-06 11:49:30";82;33.34
"2025-09-06 11:50:00";82;33.34
"2025-09-06 11:50:30";82.01;33.36
"2025-09-06 11:51:00";82;33.34
"2025-09-06 11:51:30";82;33.34
"2025-09-06 11:52:00";82;33.34
"2025-09-06 11:52:30";82;33.34
"2025-09-06 11:53:00";82;33.34
"2025-09-06 11:53:30";82;33.34
"2025-09-06 11:54:01";82;33.34
"2025-09-06 11:54:31";82;33.34
"2025-09-06 11:55:01";82;33.34
"2025-09-06 11:55:31";82;33.34
"2025-09-06 11:56:01";81.98;33.33
"2025-09-06 11:56:31";81.91;33.25
"2025-09-06 11:57:01";81.73;33.08
"2025-09-06 11:57:31";81.26;32.63
"2025-09-06 11:58:01";81.04;32.45
"2025-09-06 11:58:31";81.01;32.41
"2025-09-06 11:59:01";81.01;32.41
"2025-09-06 11:59:31";81.04;32.43
"2025-09-06 12:00:01";81;32.40
"2025-09-06 12:00:31";81.01;32.40
"2025-09-06 12:01:01";81;32.40
"2025-09-06 12:01:31";81;32.40
"2025-09-06 12:02:01";80.62;32.06
"2025-09-06 12:02:31";80;31.48
"2025-09-06 12:03:01";80;31.48
"2025-09-06 12:03:31";80;31.48
"2025-09-06 12:04:01";80;31.48
"2025-09-06 12:04:31";80;31.48
"2025-09-06 12:05:01";80;31.48
"2025-09-06 12:05:31";80;31.48
"2025-09-06 12:06:01";80;31.48
"2025-09-06 12:06:31";80;31.48
"2025-09-06 12:07:01";80;31.48
"2025-09-06 12:07:31";80;31.48
"2025-09-06 12:08:01";80;31.48
"2025-09-06 12:08:31";80;31.48
"2025-09-06 12:09:01";80;31.48
"2025-09-06 12:09:31";80;31.48
"2025-09-06 12:10:01";80;31.48
"2025-09-06 12:10:31";80;31.48
"2025-09-06 12:11:01";80;31.48
"2025-09-06 12:11:31";80;31.48
"2025-09-06 12:12:01";80;31.48
"2025-09-06 12:12:31";80;31.48
"2025-09-06 12:13:01";80;31.48
"2025-09-06 12:13:31";80;31.48
"2025-09-06 12:14:01";80;31.48
