"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-09-06 11:14:16";120.50;11.01
"2025-09-06 11:14:46";120.16;10.93
"2025-09-06 11:15:16";116.87;10.22
"2025-09-06 11:15:46";114.68;9.77
"2025-09-06 11:16:16";114.93;9.81
"2025-09-06 11:16:46";115.98;10.03
"2025-09-06 11:17:16";116.22;10.09
"2025-09-06 11:17:46";114.37;9.71
"2025-09-06 11:18:16";113.76;9.57
"2025-09-06 11:18:46";113.30;9.48
"2025-09-06 11:19:16";113.18;9.47
"2025-09-06 11:19:46";113.02;9.43
"2025-09-06 11:20:16";113.86;9.60
"2025-09-06 11:20:46";113.47;9.52
"2025-09-06 11:21:16";113.16;9.46
"2025-09-06 11:21:46";112.81;9.39
"2025-09-06 11:22:16";112.51;9.32
"2025-09-06 11:22:46";112.23;9.27
"2025-09-06 11:23:16";112.19;9.27
"2025-09-06 11:23:46";112.06;9.25
"2025-09-06 11:24:16";112.05;9.23
"2025-09-06 11:24:47";111.90;9.21
"2025-09-06 11:25:17";111.63;9.15
"2025-09-06 11:25:47";111.37;9.10
"2025-09-06 11:26:17";110.98;9.03
"2025-09-06 11:26:47";110.95;9.02
"2025-09-06 11:27:17";110.80;9
"2025-09-06 11:27:47";110.63;8.97
"2025-09-06 11:28:17";110.38;8.92
"2025-09-06 11:28:47";110.16;8.88
"2025-09-06 11:29:17";110.13;8.86
"2025-09-06 11:29:47";109.91;8.82
"2025-09-06 11:30:17";109.87;8.81
"2025-09-06 11:30:47";109.62;8.77
"2025-09-06 11:31:17";109.26;8.69
"2025-09-06 11:31:47";108.98;8.64
"2025-09-06 11:32:17";109.09;8.67
"2025-09-06 11:32:47";108.98;8.64
"2025-09-06 11:33:17";108.91;8.64
"2025-09-06 11:33:47";108.97;8.64
"2025-09-06 11:34:17";109;8.64
"2025-09-06 11:34:47";109.01;8.65
"2025-09-06 11:35:17";108.73;8.60
"2025-09-06 11:35:47";108.73;8.60
"2025-09-06 11:36:17";108.56;8.56
"2025-09-06 11:36:47";108.47;8.55
"2025-09-06 11:37:17";108.37;8.52
"2025-09-06 11:37:47";108.06;8.47
"2025-09-06 11:38:17";107.81;8.43
"2025-09-06 11:38:47";107.05;8.28
"2025-09-06 11:39:17";106.62;8.21
"2025-09-06 11:39:47";106.27;8.14
"2025-09-06 11:40:17";105.83;8.06
"2025-09-06 11:40:48";106.33;8.15
"2025-09-06 11:41:18";105.97;8.09
"2025-09-06 11:41:48";105.73;8.05
"2025-09-06 11:42:18";106.13;8.11
"2025-09-06 11:42:48";104.65;7.86
"2025-09-06 11:43:18";106.41;8.17
"2025-09-06 11:43:48";106.52;8.19
"2025-09-06 11:44:18";106.58;8.21
"2025-09-06 11:44:48";106.40;8.17
"2025-09-06 11:45:18";106.37;8.17
"2025-09-06 11:45:48";106.04;8.10
"2025-09-06 11:46:18";105.62;8.02
"2025-09-06 11:46:48";104.33;7.80
"2025-09-06 11:47:18";104.26;7.79
"2025-09-06 11:47:48";104.66;7.86
"2025-09-06 11:48:18";105.04;7.92
"2025-09-06 11:48:48";104.70;7.86
"2025-09-06 11:49:18";104.33;7.80
"2025-09-06 11:49:48";104.47;7.82
"2025-09-06 11:50:18";104.20;7.78
"2025-09-06 11:50:48";104.19;7.77
"2025-09-06 11:51:18";104.37;7.80
"2025-09-06 11:51:48";103.87;7.71
"2025-09-06 11:52:18";103.79;7.69
"2025-09-06 11:52:48";103.93;7.73
"2025-09-06 11:53:18";103.73;7.69
"2025-09-06 11:53:48";103.66;7.67
"2025-09-06 11:54:18";103.31;7.61
"2025-09-06 11:54:48";103.41;7.63
"2025-09-06 11:55:18";103.11;7.57
"2025-09-06 11:55:48";103.15;7.59
"2025-09-06 11:56:18";103.01;7.57
"2025-09-06 11:56:48";102.80;7.53
"2025-09-06 11:57:19";102.81;7.53
"2025-09-06 11:57:49";102.83;7.53
"2025-09-06 11:58:19";102.77;7.53
"2025-09-06 11:58:49";102.83;7.53
"2025-09-06 11:59:19";102.51;7.48
"2025-09-06 11:59:49";102.51;7.48
"2025-09-06 12:00:19";102.48;7.48
"2025-09-06 12:00:49";102.30;7.44
"2025-09-06 12:01:19";102.36;7.46
"2025-09-06 12:01:49";102.38;7.46
"2025-09-06 12:02:19";102.51;7.48
"2025-09-06 12:02:49";102.31;7.44
"2025-09-06 12:03:19";102.23;7.44
"2025-09-06 12:03:49";102.25;7.44
"2025-09-06 12:04:19";102.58;7.48
"2025-09-06 12:04:49";101.76;7.34
"2025-09-06 12:05:19";101.62;7.32
"2025-09-06 12:05:49";101.94;7.38
"2025-09-06 12:06:19";101.54;7.32
"2025-09-06 12:06:49";102.31;7.44
"2025-09-06 12:07:19";102.22;7.42
"2025-09-06 12:07:49";101.91;7.38
"2025-09-06 12:08:19";101.87;7.36
"2025-09-06 12:08:49";101.26;7.26
"2025-09-06 12:09:19";101.20;7.26
"2025-09-06 12:09:49";101.54;7.30
"2025-09-06 12:10:19";101.04;7.23
"2025-09-06 12:10:49";101.05;7.23
"2025-09-06 12:11:19";101.12;7.25
"2025-09-06 12:11:49";101.22;7.26
"2025-09-06 12:12:19";100.83;7.19
"2025-09-06 12:12:49";100.91;7.21
"2025-09-06 12:13:19";100.83;7.19
"2025-09-06 12:13:50";100.65;7.15
"2025-09-06 12:14:20";100.62;7.15
"2025-09-06 12:14:50";100.72;7.17
"2025-09-06 12:15:20";100.91;7.21
"2025-09-06 12:15:50";100.58;7.15
"2025-09-06 12:16:20";100.68;7.17
"2025-09-06 12:16:50";100.58;7.15
"2025-09-06 12:17:20";100.51;7.13
"2025-09-06 12:17:50";101.19;7.26
"2025-09-06 12:18:20";100.45;7.13
"2025-09-06 12:18:50";100.44;7.13
"2025-09-06 12:19:20";100.51;7.13
"2025-09-06 12:19:50";100.37;7.11
"2025-09-06 12:20:20";100.95;7.21
"2025-09-06 12:20:50";101.87;7.36
"2025-09-06 12:21:20";101.58;7.32
"2025-09-06 12:21:50";101.44;7.30
"2025-09-06 12:22:20";100.83;7.19
"2025-09-06 12:22:50";100.41;7.13
"2025-09-06 12:23:20";100.54;7.15
"2025-09-06 12:23:50";100.58;7.15
"2025-09-06 12:24:20";100.41;7.13
"2025-09-06 12:24:50";100.41;7.11
"2025-09-06 12:25:20";100.12;7.07
"2025-09-06 12:25:50";100.68;7.17
"2025-09-06 12:26:20";101.08;7.23
"2025-09-06 12:26:50";100.37;7.11
"2025-09-06 12:27:20";99.88;7.03
"2025-09-06 12:27:50";100.54;7.15
"2025-09-06 12:28:20";100.45;7.13
"2025-09-06 12:28:50";100.06;7.07
"2025-09-06 12:29:20";101.63;7.32
"2025-09-06 12:29:50";102.61;7.50
"2025-09-06 12:30:21";102.79;7.53
"2025-09-06 12:30:51";102.51;7.48
"2025-09-06 12:31:21";102.48;7.48
"2025-09-06 12:31:51";102.36;7.44
"2025-09-06 12:32:21";102.30;7.44
"2025-09-06 12:32:51";102.41;7.46
"2025-09-06 12:33:21";102.16;7.42
"2025-09-06 12:33:51";102.08;7.40
"2025-09-06 12:34:21";101.73;7.34
"2025-09-06 12:34:51";101.65;7.32
"2025-09-06 12:35:21";101.58;7.32
"2025-09-06 12:35:51";101.51;7.30
"2025-09-06 12:36:21";101.62;7.32
"2025-09-06 12:36:51";101.37;7.28
"2025-09-06 12:37:21";101.33;7.28
"2025-09-06 12:37:51";101.16;7.25
"2025-09-06 12:38:21";101.08;7.23
"2025-09-06 12:38:51";101.12;7.23
"2025-09-06 12:39:21";100.73;7.17
"2025-09-06 12:39:51";100.62;7.15
"2025-09-06 12:40:21";100.58;7.15
"2025-09-06 12:40:51";100.31;7.11
"2025-09-06 12:41:21";99.63;7
"2025-09-06 12:41:51";98.83;6.86
"2025-09-06 12:42:21";98.88;6.86
"2025-09-06 12:42:51";99.04;6.90
"2025-09-06 12:43:21";98.58;6.82
"2025-09-06 12:43:51";98.16;6.75
"2025-09-06 12:44:21";98.58;6.82
"2025-09-06 12:44:51";100.05;7.05
"2025-09-06 12:45:21";100.38;7.11
"2025-09-06 12:45:51";99.70;7.01
"2025-09-06 12:46:21";98.27;6.77
"2025-09-06 12:46:52";99.76;7.01
"2025-09-06 12:47:22";99.88;7.03
"2025-09-06 12:47:52";99.80;7.01
"2025-09-06 12:48:22";99.01;6.88
"2025-09-06 12:48:52";98.63;6.82
"2025-09-06 12:49:22";98.44;6.80
"2025-09-06 12:49:52";97.98;6.71
"2025-09-06 12:50:22";99.44;6.96
"2025-09-06 12:50:52";100.63;7.15
"2025-09-06 12:51:22";101.16;7.25
"2025-09-06 12:51:52";101.01;7.23
"2025-09-06 12:52:22";101.30;7.26
"2025-09-06 12:52:52";101.22;7.26
"2025-09-06 12:53:22";101.12;7.25
"2025-09-06 12:53:52";101.04;7.23
"2025-09-06 12:54:22";101.19;7.26
"2025-09-06 12:54:52";100.98;7.21
"2025-09-06 12:55:22";101.04;7.23
"2025-09-06 12:55:52";100.88;7.19
"2025-09-06 12:56:22";100.87;7.19
"2025-09-06 12:56:52";100.95;7.21
"2025-09-06 12:57:22";100.90;7.21
"2025-09-06 12:57:52";100.83;7.19
"2025-09-06 12:58:22";100.62;7.15
"2025-09-06 12:58:52";100.58;7.15
"2025-09-06 12:59:22";100.62;7.15
"2025-09-06 12:59:52";100.56;7.15
"2025-09-06 13:00:22";100.55;7.15
"2025-09-06 13:00:52";100.44;7.13
"2025-09-06 13:01:22";100.45;7.13
"2025-09-06 13:01:52";100.45;7.13
"2025-09-06 13:02:22";100.43;7.13
"2025-09-06 13:02:52";100.41;7.13
"2025-09-06 13:03:23";100.38;7.11
"2025-09-06 13:03:53";100.33;7.11
"2025-09-06 13:04:23";100.37;7.11
"2025-09-06 13:04:53";100.26;7.09
"2025-09-06 13:05:23";100.29;7.09
"2025-09-06 13:05:53";100.27;7.09
"2025-09-06 13:06:23";100.26;7.09
"2025-09-06 13:06:53";100.20;7.09
"2025-09-06 13:07:23";100.16;7.07
"2025-09-06 13:07:53";100.19;7.09
"2025-09-06 13:08:23";100.04;7.05
"2025-09-06 13:08:53";100;7.05
"2025-09-06 13:09:23";99.87;7.03
"2025-09-06 13:09:53";99.58;6.98
"2025-09-06 13:10:23";99.27;6.94
"2025-09-06 13:10:53";98.93;6.88
"2025-09-06 13:11:23";98.91;6.88
"2025-09-06 13:11:53";98.81;6.86
"2025-09-06 13:12:23";98.77;6.84
"2025-09-06 13:12:53";98.51;6.80
"2025-09-06 13:13:23";98.37;6.79
"2025-09-06 13:13:53";98.19;6.76
"2025-09-06 13:14:23";96.80;6.53
"2025-09-06 13:14:53";97.55;6.65
"2025-09-06 13:15:23";98.58;6.82
"2025-09-06 13:15:53";98.63;6.82
"2025-09-06 13:16:23";98.94;6.88
"2025-09-06 13:16:53";98.86;6.86
"2025-09-06 13:17:23";98.81;6.86
"2025-09-06 13:17:53";98.95;6.88
"2025-09-06 13:18:23";98.83;6.86
"2025-09-06 13:18:53";98.90;6.86
"2025-09-06 13:19:23";98.68;6.84
"2025-09-06 13:19:54";98.76;6.84
"2025-09-06 13:20:24";98.65;6.82
"2025-09-06 13:20:54";98.68;6.84
"2025-09-06 13:21:24";98.65;6.82
"2025-09-06 13:21:54";98.61;6.82
"2025-09-06 13:22:24";98.69;6.84
"2025-09-06 13:22:54";98.56;6.82
"2025-09-06 13:23:24";98.66;6.82
"2025-09-06 13:23:54";98.62;6.82
"2025-09-06 13:24:24";98.58;6.82
"2025-09-06 13:24:54";98.56;6.82
"2025-09-06 13:25:24";98.59;6.82
"2025-09-06 13:25:54";98.61;6.82
"2025-09-06 13:26:24";98.55;6.82
"2025-09-06 13:26:54";98.51;6.80
"2025-09-06 13:27:24";98.45;6.80
"2025-09-06 13:27:54";98.25;6.77
"2025-09-06 13:28:24";98.12;6.75
"2025-09-06 13:28:54";98.01;6.73
"2025-09-06 13:29:24";97.91;6.71
"2025-09-06 13:29:54";98.13;6.75
"2025-09-06 13:30:24";97.77;6.69
"2025-09-06 13:30:54";97.69;6.67
"2025-09-06 13:31:24";97.58;6.65
"2025-09-06 13:31:54";97.51;6.65
"2025-09-06 13:32:24";97.22;6.59
"2025-09-06 13:32:54";97.13;6.59
"2025-09-06 13:33:24";96.94;6.55
"2025-09-06 13:33:54";95.91;6.40
"2025-09-06 13:34:24";95.72;6.36
"2025-09-06 13:34:54";96.26;6.44
"2025-09-06 13:35:24";95.98;6.40
"2025-09-06 13:35:55";95.26;6.30
"2025-09-06 13:36:25";95.62;6.34
"2025-09-06 13:36:55";95.95;6.40
"2025-09-06 13:37:25";95.93;6.40
"2025-09-06 13:37:55";96.12;6.42
"2025-09-06 13:38:25";96.30;6.46
"2025-09-06 13:38:55";96.45;6.48
"2025-09-06 13:39:25";96.12;6.42
"2025-09-06 13:39:55";96.62;6.51
"2025-09-06 13:40:25";97.54;6.65
"2025-09-06 13:40:55";98.73;6.84
"2025-09-06 13:41:25";98.69;6.84
"2025-09-06 13:41:55";98.73;6.84
"2025-09-06 13:42:25";98.83;6.86
"2025-09-06 13:42:55";98.75;6.84
"2025-09-06 13:43:25";98.94;6.88
"2025-09-06 13:43:55";98.91;6.88
"2025-09-06 13:44:25";98.98;6.88
"2025-09-06 13:44:55";98.98;6.88
"2025-09-06 13:45:25";98.88;6.86
"2025-09-06 13:45:55";98.84;6.86
"2025-09-06 13:46:25";98.98;6.88
"2025-09-06 13:46:55";98.95;6.88
