"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-09-06 11:25:57";89.50;0
"2025-09-06 11:26:27";82.51;0
"2025-09-06 11:26:57";72.37;0
"2025-09-06 11:27:27";64.69;0
"2025-09-06 11:27:57";60.29;0
"2025-09-06 11:28:27";56.70;0
"2025-09-06 11:28:58";53.93;0
"2025-09-06 11:29:28";51.25;0
"2025-09-06 11:29:58";49.20;0
"2025-09-06 11:30:28";47.56;0
"2025-09-06 11:30:58";46.16;0
"2025-09-06 11:31:28";44.84;0
"2025-09-06 11:31:58";43.75;0
"2025-09-06 11:32:28";42.99;0
"2025-09-06 11:32:58";42.52;0
"2025-09-06 11:33:28";41.97;0
"2025-09-06 11:33:58";41.45;0
"2025-09-06 11:34:29";40.84;0
"2025-09-06 11:34:59";40.34;0
"2025-09-06 11:35:29";39.86;0
"2025-09-06 11:35:59";39.36;0
"2025-09-06 11:36:29";38.88;0
"2025-09-06 11:36:59";38.54;0
"2025-09-06 11:37:29";38.11;0
"2025-09-06 11:37:59";37.83;0
"2025-09-06 11:38:29";37.66;0
"2025-09-06 11:38:59";37.31;0
"2025-09-06 11:39:29";37.04;0
"2025-09-06 11:40:00";36.84;0
"2025-09-06 11:40:30";36.81;0
"2025-09-06 11:41:00";36.65;0
"2025-09-06 11:41:30";36.36;0
"2025-09-06 11:42:00";36.20;0
"2025-09-06 11:42:30";35.99;0
"2025-09-06 11:43:00";35.86;0
"2025-09-06 11:43:30";35.75;0
"2025-09-06 11:44:00";35.70;0
"2025-09-06 11:44:30";35.61;0
"2025-09-06 11:45:01";35.52;0
"2025-09-06 11:45:31";35.31;0
"2025-09-06 11:46:01";35.18;0
"2025-09-06 11:46:31";35.09;0
"2025-09-06 11:47:01";34.93;0
"2025-09-06 11:47:31";34.86;0
"2025-09-06 11:48:01";34.84;0
"2025-09-06 11:48:31";34.83;0
"2025-09-06 11:49:01";34.75;0
"2025-09-06 11:49:31";34.75;0
"2025-09-06 11:50:01";34.68;0
"2025-09-06 11:50:32";34.70;0
"2025-09-06 11:51:02";34.65;0
"2025-09-06 11:51:32";34.68;0
"2025-09-06 11:52:02";34.61;0
"2025-09-06 11:52:32";34.59;0
"2025-09-06 11:53:02";34.50;0
"2025-09-06 11:53:32";34.45;0
"2025-09-06 11:54:02";34.38;0
"2025-09-06 11:54:32";34.38;0
