"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-09-06 11:23:54";31.67;0
"2025-09-06 11:24:24";31.48;0
"2025-09-06 11:24:54";31.40;0
"2025-09-06 11:25:24";30.96;0
"2025-09-06 11:25:54";30.55;0
"2025-09-06 11:26:24";30.06;0
"2025-09-06 11:26:54";29.96;0
"2025-09-06 11:27:25";29.87;0
"2025-09-06 11:27:55";29.98;0
"2025-09-06 11:28:25";30.01;0
"2025-09-06 11:28:55";30.05;0
"2025-09-06 11:29:25";30.29;0
"2025-09-06 11:29:55";30.36;0
"2025-09-06 11:30:25";30.54;0
"2025-09-06 11:30:55";31.18;0
"2025-09-06 11:31:25";31.40;0
"2025-09-06 11:31:55";31.61;0
"2025-09-06 11:32:25";31.19;0
"2025-09-06 11:32:55";30.86;0
"2025-09-06 11:33:25";30.05;0
"2025-09-06 11:33:55";30;0
"2025-09-06 11:34:25";29.90;0
"2025-09-06 11:34:55";29.67;0
"2025-09-06 11:35:25";29.48;0
"2025-09-06 11:35:55";29.07;0
"2025-09-06 11:36:25";29.18;0
"2025-09-06 11:36:55";28.98;0
"2025-09-06 11:37:25";28.97;0
"2025-09-06 11:37:55";28.98;0
"2025-09-06 11:38:25";28.87;0
"2025-09-06 11:38:55";28.93;0
"2025-09-06 11:39:25";28.90;0
"2025-09-06 11:39:55";28.23;0
"2025-09-06 11:40:25";27.19;0
"2025-09-06 11:40:55";27.97;0
"2025-09-06 11:41:25";28;0
"2025-09-06 11:41:55";28;0
"2025-09-06 11:42:25";28;0
"2025-09-06 11:42:55";27.98;0
"2025-09-06 11:43:25";27.95;0
"2025-09-06 11:43:56";27.92;0
"2025-09-06 11:44:26";27.69;0
"2025-09-06 11:44:56";27.46;0
"2025-09-06 11:45:26";27.61;0
"2025-09-06 11:45:56";27.93;0
"2025-09-06 11:46:26";27.93;0
"2025-09-06 11:46:56";27.88;0
"2025-09-06 11:47:26";27.78;0
"2025-09-06 11:47:56";27.79;0
"2025-09-06 11:48:26";27.77;0
"2025-09-06 11:48:56";27.81;0
"2025-09-06 11:49:26";27.68;0
"2025-09-06 11:49:56";27.45;0
"2025-09-06 11:50:26";27.32;0
"2025-09-06 11:50:56";27.11;0
"2025-09-06 11:51:26";27.03;0
"2025-09-06 11:51:56";27.02;0
"2025-09-06 11:52:26";27.03;0
"2025-09-06 11:52:56";27.05;0
"2025-09-06 11:53:26";27.04;0
"2025-09-06 11:53:56";27.07;0
"2025-09-06 11:54:26";27.12;0
"2025-09-06 11:54:56";27.04;0
"2025-09-06 11:55:26";27.02;0
"2025-09-06 11:55:56";27.02;0
"2025-09-06 11:56:26";27.01;0
"2025-09-06 11:56:56";27.04;0
"2025-09-06 11:57:26";27.03;0
"2025-09-06 11:57:56";27.05;0
"2025-09-06 11:58:26";27.06;0
"2025-09-06 11:58:56";27.09;0
"2025-09-06 11:59:26";27.07;0
"2025-09-06 11:59:56";27.04;0
"2025-09-06 12:00:27";27;0
"2025-09-06 12:00:57";27;0
"2025-09-06 12:01:27";27;0
"2025-09-06 12:01:57";27;0
"2025-09-06 12:02:27";27;0
"2025-09-06 12:02:57";27;0
"2025-09-06 12:03:27";27;0
"2025-09-06 12:03:57";27;0
"2025-09-06 12:04:27";26.98;0
"2025-09-06 12:04:57";27;0
"2025-09-06 12:05:27";26.98;0
"2025-09-06 12:05:57";27;0
"2025-09-06 12:06:27";26.98;0
"2025-09-06 12:06:57";26.98;0
"2025-09-06 12:07:27";26.98;0
"2025-09-06 12:07:57";27;0
"2025-09-06 12:08:27";26.98;0
"2025-09-06 12:08:57";26.97;0
"2025-09-06 12:09:27";26.97;0
"2025-09-06 12:09:57";26.96;0
"2025-09-06 12:10:27";26.98;0
"2025-09-06 12:10:57";26.94;0
"2025-09-06 12:11:27";26.95;0
"2025-09-06 12:11:57";26.95;0
"2025-09-06 12:12:27";26.95;0
"2025-09-06 12:12:57";26.95;0
"2025-09-06 12:13:27";26.95;0
"2025-09-06 12:13:57";26.92;0
"2025-09-06 12:14:27";26.93;0
"2025-09-06 12:14:57";26.95;0
"2025-09-06 12:15:27";26.95;0
"2025-09-06 12:15:57";26.95;0
"2025-09-06 12:16:27";26.94;0
"2025-09-06 12:16:57";26.94;0
"2025-09-06 12:17:28";26.94;0
"2025-09-06 12:17:58";26.92;0
"2025-09-06 12:18:28";26.92;0
"2025-09-06 12:18:58";26.93;0
"2025-09-06 12:19:28";26.90;0
"2025-09-06 12:19:58";26.87;0
"2025-09-06 12:20:28";26.81;0
"2025-09-06 12:20:58";26.81;0
"2025-09-06 12:21:28";26.80;0
"2025-09-06 12:21:58";26.80;0
"2025-09-06 12:22:28";26.71;0
"2025-09-06 12:22:58";26.77;0
"2025-09-06 12:23:28";26.76;0
"2025-09-06 12:23:58";26.73;0
"2025-09-06 12:24:28";26.70;0
"2025-09-06 12:24:58";26.65;0
"2025-09-06 12:25:28";26.62;0
"2025-09-06 12:25:58";26.61;0
"2025-09-06 12:26:28";26.65;0
"2025-09-06 12:26:58";26.55;0
"2025-09-06 12:27:28";26.54;0
"2025-09-06 12:27:58";26.56;0
"2025-09-06 12:28:28";26.54;0
"2025-09-06 12:28:58";26.52;0
"2025-09-06 12:29:28";26.47;0
"2025-09-06 12:29:58";26.43;0
"2025-09-06 12:30:28";26.40;0
"2025-09-06 12:30:58";26.37;0
"2025-09-06 12:31:28";26.37;0
"2025-09-06 12:31:58";26.46;0
"2025-09-06 12:32:28";26.44;0
"2025-09-06 12:32:58";26.36;0
"2025-09-06 12:33:28";26.29;0
"2025-09-06 12:33:59";26.27;0
"2025-09-06 12:34:29";26.30;0
"2025-09-06 12:34:59";26.27;0
"2025-09-06 12:35:29";26.25;0
"2025-09-06 12:35:59";26.29;0
"2025-09-06 12:36:29";26.28;0
"2025-09-06 12:36:59";26.32;0
"2025-09-06 12:37:29";26.27;0
"2025-09-06 12:37:59";26.31;0
"2025-09-06 12:38:29";26.28;0
"2025-09-06 12:38:59";26.23;0
"2025-09-06 12:39:29";26.31;0
"2025-09-06 12:39:59";26.31;0
"2025-09-06 12:40:29";26.27;0
"2025-09-06 12:40:59";26.23;0
"2025-09-06 12:41:29";26.26;0
"2025-09-06 12:41:59";26.23;0
"2025-09-06 12:42:29";26.29;0
"2025-09-06 12:42:59";26.27;0
"2025-09-06 12:43:29";26.28;0
"2025-09-06 12:43:59";26.31;0
"2025-09-06 12:44:29";26.26;0
"2025-09-06 12:44:59";26.30;0
"2025-09-06 12:45:29";26.29;0
"2025-09-06 12:45:59";26.20;0
"2025-09-06 12:46:29";26.20;0
"2025-09-06 12:46:59";26.25;0
"2025-09-06 12:47:29";26.21;0
"2025-09-06 12:47:59";26.19;0
"2025-09-06 12:48:29";26.19;0
"2025-09-06 12:48:59";26.17;0
"2025-09-06 12:49:29";26.14;0
"2025-09-06 12:49:59";26.19;0
"2025-09-06 12:50:30";26.11;0
"2025-09-06 12:51:00";26.12;0
"2025-09-06 12:51:30";26.11;0
"2025-09-06 12:52:00";26.07;0
"2025-09-06 12:52:30";26.06;0
"2025-09-06 12:53:00";26.09;0
"2025-09-06 12:53:30";26.09;0
"2025-09-06 12:54:00";26.13;0
"2025-09-06 12:54:30";26.07;0
"2025-09-06 12:55:00";26.11;0
"2025-09-06 12:55:30";26.11;0
"2025-09-06 12:56:00";26.06;0
"2025-09-06 12:56:30";26.07;0
"2025-09-06 12:57:00";26.05;0
"2025-09-06 12:57:30";26.12;0
"2025-09-06 12:58:00";26.09;0
"2025-09-06 12:58:30";26.06;0
"2025-09-06 12:59:00";26.04;0
"2025-09-06 12:59:30";26.04;0
"2025-09-06 13:00:00";26.04;0
"2025-09-06 13:00:30";26.04;0
"2025-09-06 13:01:00";26.04;0
"2025-09-06 13:01:30";26.03;0
"2025-09-06 13:02:00";26.02;0
"2025-09-06 13:02:30";26.04;0
"2025-09-06 13:03:00";26.04;0
"2025-09-06 13:03:30";26.02;0
"2025-09-06 13:04:00";26.02;0
"2025-09-06 13:04:30";26.03;0
"2025-09-06 13:05:00";26.03;0
"2025-09-06 13:05:30";26.03;0
"2025-09-06 13:06:00";26.02;0
"2025-09-06 13:06:30";26.04;0
"2025-09-06 13:07:01";26.01;0
"2025-09-06 13:07:31";26.05;0
"2025-09-06 13:08:01";26.04;0
"2025-09-06 13:08:31";26.02;0
"2025-09-06 13:09:01";26.03;0
"2025-09-06 13:09:31";26.03;0
"2025-09-06 13:10:01";26.02;0
"2025-09-06 13:10:31";26.03;0
"2025-09-06 13:11:01";26.02;0
"2025-09-06 13:11:31";26.01;0
"2025-09-06 13:12:01";26.04;0
"2025-09-06 13:12:31";26.03;0
"2025-09-06 13:13:01";26.03;0
"2025-09-06 13:13:31";26.03;0
"2025-09-06 13:14:01";26.02;0
"2025-09-06 13:14:31";26.02;0
"2025-09-06 13:15:01";26.01;0
"2025-09-06 13:15:31";26.02;0
"2025-09-06 13:16:01";26.02;0
"2025-09-06 13:16:31";26;0
"2025-09-06 13:17:01";26.01;0
"2025-09-06 13:17:31";26.01;0
"2025-09-06 13:18:01";26.01;0
"2025-09-06 13:18:31";26;0
"2025-09-06 13:19:01";26.01;0
"2025-09-06 13:19:31";26.02;0
"2025-09-06 13:20:01";26;0
"2025-09-06 13:20:31";26.01;0
"2025-09-06 13:21:01";26.02;0
"2025-09-06 13:21:31";26;0
"2025-09-06 13:22:01";26;0
"2025-09-06 13:22:31";26;0
"2025-09-06 13:23:01";26;0
"2025-09-06 13:23:32";26.01;0
"2025-09-06 13:24:02";26.01;0
"2025-09-06 13:24:32";26;0
"2025-09-06 13:25:02";26;0
"2025-09-06 13:25:32";26.02;0
"2025-09-06 13:26:02";26.01;0
"2025-09-06 13:26:32";26.01;0
"2025-09-06 13:27:02";26.01;0
"2025-09-06 13:27:32";26;0
"2025-09-06 13:28:02";26;0
