"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-09-06 11:25:50";10;5.40
"2025-09-06 11:26:20";9.90;5.30
"2025-09-06 11:26:50";9.18;4.52
"2025-09-06 11:27:20";9;0
"2025-09-06 11:27:50";9;0
"2025-09-06 11:28:20";9;0
"2025-09-06 11:28:50";9;0
"2025-09-06 11:29:20";8.98;0
"2025-09-06 11:29:50";8.92;0
"2025-09-06 11:30:20";8.85;0
"2025-09-06 11:30:50";8.72;0
"2025-09-06 11:31:20";8.72;0
"2025-09-06 11:31:50";8.47;0
"2025-09-06 11:32:20";8.19;0
"2025-09-06 11:32:50";8.09;0
"2025-09-06 11:33:20";8.02;0
"2025-09-06 11:33:50";8.01;0
"2025-09-06 11:34:20";8;0
"2025-09-06 11:34:51";8;0
"2025-09-06 11:35:21";8;0
"2025-09-06 11:35:51";8;0
"2025-09-06 11:36:21";8;0
"2025-09-06 11:36:51";8;0
"2025-09-06 11:37:21";8;0
"2025-09-06 11:37:51";8;0
"2025-09-06 11:38:21";8;0
"2025-09-06 11:38:51";8;0
"2025-09-06 11:39:21";8;0
"2025-09-06 11:39:51";8;0
"2025-09-06 11:40:21";8;0
"2025-09-06 11:40:51";8;0
"2025-09-06 11:41:21";8;0
"2025-09-06 11:41:51";7.98;0
"2025-09-06 11:42:21";8;0
"2025-09-06 11:42:51";7.98;0
"2025-09-06 11:43:21";7.98;0
"2025-09-06 11:43:51";7.96;0
"2025-09-06 11:44:21";7.98;0
"2025-09-06 11:44:51";7.94;0
"2025-09-06 11:45:21";7.92;0
"2025-09-06 11:45:51";7.86;0
"2025-09-06 11:46:21";7.86;0
"2025-09-06 11:46:51";7.90;0
"2025-09-06 11:47:21";7.82;0
"2025-09-06 11:47:51";7.82;0
"2025-09-06 11:48:21";7.78;0
"2025-09-06 11:48:51";7.79;0
"2025-09-06 11:49:21";7.73;0
"2025-09-06 11:49:52";7.76;0
"2025-09-06 11:50:22";7.63;0
"2025-09-06 11:50:52";7.65;0
"2025-09-06 11:51:22";7.59;0
"2025-09-06 11:51:52";7.59;0
"2025-09-06 11:52:22";7.53;0
"2025-09-06 11:52:52";7.46;0
"2025-09-06 11:53:22";7.51;0
"2025-09-06 11:53:52";7.48;0
"2025-09-06 11:54:22";7.44;0
"2025-09-06 11:54:52";7.46;0
"2025-09-06 11:55:22";7.42;0
"2025-09-06 11:55:52";7.36;0
"2025-09-06 11:56:22";7.42;0
"2025-09-06 11:56:52";7.26;0
"2025-09-06 11:57:22";7.28;0
"2025-09-06 11:57:52";7.28;0
"2025-09-06 11:58:22";7.30;0
"2025-09-06 11:58:52";7.21;0
"2025-09-06 11:59:22";7.23;0
"2025-09-06 11:59:52";7.19;0
"2025-09-06 12:00:22";7.25;0
"2025-09-06 12:00:52";7.19;0
"2025-09-06 12:01:22";7.23;0
"2025-09-06 12:01:52";7.11;0
"2025-09-06 12:02:22";7.13;0
"2025-09-06 12:02:52";7.13;0
"2025-09-06 12:03:22";7.11;0
"2025-09-06 12:03:52";7.09;0
"2025-09-06 12:04:22";7.07;0
"2025-09-06 12:04:53";7.07;0
"2025-09-06 12:05:23";7.07;0
"2025-09-06 12:05:53";7.05;0
"2025-09-06 12:06:23";7.05;0
"2025-09-06 12:06:53";7.03;0
"2025-09-06 12:07:23";7.05;0
"2025-09-06 12:07:53";7.05;0
"2025-09-06 12:08:23";7.05;0
"2025-09-06 12:08:53";7.05;0
"2025-09-06 12:09:23";7.01;0
"2025-09-06 12:09:53";7.01;0
"2025-09-06 12:10:23";7.01;0
"2025-09-06 12:10:53";7.01;0
"2025-09-06 12:11:23";7.03;0
"2025-09-06 12:11:53";7.03;0
"2025-09-06 12:12:23";7.01;0
"2025-09-06 12:12:53";7;0
"2025-09-06 12:13:23";7.01;0
"2025-09-06 12:13:53";7.01;0
"2025-09-06 12:14:23";7.01;0
"2025-09-06 12:14:53";7.01;0
"2025-09-06 12:15:23";7;0
"2025-09-06 12:15:53";7.01;0
"2025-09-06 12:16:23";7.01;0
"2025-09-06 12:16:53";7.01;0
"2025-09-06 12:17:23";7.01;0
"2025-09-06 12:17:53";7;0
"2025-09-06 12:18:23";7;0
"2025-09-06 12:18:53";7;0
"2025-09-06 12:19:23";7;0
"2025-09-06 12:19:53";7.01;0
"2025-09-06 12:20:24";7;0
"2025-09-06 12:20:54";7;0
"2025-09-06 12:21:24";7.01;0
"2025-09-06 12:21:54";7;0
"2025-09-06 12:22:24";7.01;0
"2025-09-06 12:22:54";7;0
"2025-09-06 12:23:24";7;0
"2025-09-06 12:23:54";7;0
"2025-09-06 12:24:24";7;0
"2025-09-06 12:24:54";7;0
"2025-09-06 12:25:24";7;0
"2025-09-06 12:25:54";7;0
"2025-09-06 12:26:24";7;0
"2025-09-06 12:26:54";7;0
"2025-09-06 12:27:24";7;0
"2025-09-06 12:27:54";7;0
"2025-09-06 12:28:24";7.01;0
"2025-09-06 12:28:54";7;0
"2025-09-06 12:29:24";7;0
"2025-09-06 12:29:54";7;0
"2025-09-06 12:30:24";7;0
"2025-09-06 12:30:54";7;0
"2025-09-06 12:31:24";7;0
"2025-09-06 12:31:54";7;0
"2025-09-06 12:32:24";7;0
"2025-09-06 12:32:54";7;0
