"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-11-15 16:06:35";48;6.46
"2025-11-15 16:07:05";46.81;6.11
"2025-11-15 16:07:35";46;5.88
"2025-11-15 16:08:05";45.99;5.88
"2025-11-15 16:08:35";45.68;5.79
"2025-11-15 16:09:05";45.02;5.61
"2025-11-15 16:09:35";45.02;5.61
"2025-11-15 16:10:05";45;5.59
"2025-11-15 16:10:35";44.99;5.59
"2025-11-15 16:11:05";44.99;5.59
"2025-11-15 16:11:35";44.86;5.55
"2025-11-15 16:12:05";44.95;5.59
"2025-11-15 16:12:35";44.97;5.59
"2025-11-15 16:13:05";44.95;5.59
"2025-11-15 16:13:35";44.90;5.57
"2025-11-15 16:14:05";44.24;5.40
"2025-11-15 16:14:35";44;5.32
"2025-11-15 16:15:05";44;5.32
"2025-11-15 16:15:35";43.52;5.21
"2025-11-15 16:16:05";42.99;5.05
"2025-11-15 16:16:35";42.97;5.05
"2025-11-15 16:17:05";42.38;4.90
"2025-11-15 16:17:35";42.70;4.98
"2025-11-15 16:18:05";42.93;5.05
"2025-11-15 16:18:35";42.68;4.98
"2025-11-15 16:19:05";42.50;4.94
"2025-11-15 16:19:36";42.56;4.94
"2025-11-15 16:20:06";42.52;4.94
"2025-11-15 16:20:36";42.38;4.90
"2025-11-15 16:21:06";42.77;5.01
"2025-11-15 16:21:36";42.97;5.05
"2025-11-15 16:22:06";43.27;5.13
"2025-11-15 16:22:36";43.93;5.30
"2025-11-15 16:23:06";44;5.32
"2025-11-15 16:23:36";44;5.32
"2025-11-15 16:24:06";44.47;5.46
"2025-11-15 16:24:36";44.72;5.53
"2025-11-15 16:25:06";44.22;5.38
"2025-11-15 16:25:36";44.11;5.36
"2025-11-15 16:26:06";44.68;5.52
"2025-11-15 16:26:36";44.93;5.57
"2025-11-15 16:27:06";44.41;5.44
"2025-11-15 16:27:36";44.06;5.34
"2025-11-15 16:28:06";44;5.32
"2025-11-15 16:28:36";44;5.32
"2025-11-15 16:29:06";44.15;5.36
"2025-11-15 16:29:36";44.47;5.46
"2025-11-15 16:30:06";44.27;5.40
"2025-11-15 16:30:36";44;5.32
"2025-11-15 16:31:06";44;5.32
"2025-11-15 16:31:36";44.79;5.55
"2025-11-15 16:32:06";45;5.59
"2025-11-15 16:32:36";45;5.59
"2025-11-15 16:33:06";45;5.59
"2025-11-15 16:33:36";44.99;5.59
"2025-11-15 16:34:06";44.95;5.59
"2025-11-15 16:34:36";44.72;5.53
"2025-11-15 16:35:06";44.29;5.40
"2025-11-15 16:35:36";44;5.32
"2025-11-15 16:36:06";44;5.32
"2025-11-15 16:36:37";44;5.32
"2025-11-15 16:37:07";44;5.32
"2025-11-15 16:37:37";43.77;5.26
"2025-11-15 16:38:07";43.06;5.07
"2025-11-15 16:38:37";43.40;5.17
"2025-11-15 16:39:07";43.99;5.32
"2025-11-15 16:39:37";44;5.32
"2025-11-15 16:40:07";44;5.32
"2025-11-15 16:40:37";44.38;5.44
"2025-11-15 16:41:07";45.06;5.61
"2025-11-15 16:41:37";45.97;5.88
"2025-11-15 16:42:07";46.33;5.98
"2025-11-15 16:42:37";46.99;6.17
"2025-11-15 16:43:07";47;6.17
"2025-11-15 16:43:37";47.43;6.30
"2025-11-15 16:44:07";47.93;6.44
"2025-11-15 16:44:37";48;6.46
"2025-11-15 16:45:07";47.99;6.46
"2025-11-15 16:45:37";47.97;6.46
"2025-11-15 16:46:07";47.18;6.23
"2025-11-15 16:46:37";46.65;6.07
"2025-11-15 16:47:07";46;5.88
"2025-11-15 16:47:37";46;5.88
"2025-11-15 16:48:07";46;5.88
"2025-11-15 16:48:37";46;5.88
"2025-11-15 16:49:07";46;5.88
"2025-11-15 16:49:37";46;5.88
"2025-11-15 16:50:07";46.36;5.98
"2025-11-15 16:50:37";46.11;5.92
"2025-11-15 16:51:07";45.72;5.80
"2025-11-15 16:51:37";45;5.59
"2025-11-15 16:52:07";44.56;5.48
"2025-11-15 16:52:37";44;5.32
"2025-11-15 16:53:08";44.13;5.36
"2025-11-15 16:53:38";44.93;5.57
"2025-11-15 16:54:08";45;5.59
"2025-11-15 16:54:38";45;5.59
"2025-11-15 16:55:08";45;5.59
"2025-11-15 16:55:38";45;5.59
"2025-11-15 16:56:08";45;5.61
"2025-11-15 16:56:38";45.13;5.63
"2025-11-15 16:57:08";45.15;5.65
"2025-11-15 16:57:38";45.77;5.82
"2025-11-15 16:58:08";45.75;5.82
"2025-11-15 16:58:38";45.02;5.61
"2025-11-15 16:59:08";45;5.59
"2025-11-15 16:59:38";44.63;5.51
"2025-11-15 17:00:08";44;5.32
"2025-11-15 17:00:38";44;5.32
"2025-11-15 17:01:08";44.29;5.40
