"date Y-m-d m:s";"gas adc";"LPG PPM" 
"2025-11-15 13:52:19";22.25;0
"2025-11-15 13:52:49";31.25;0
"2025-11-15 13:53:19";30.25;0
"2025-11-15 13:53:49";30;0
"2025-11-15 13:54:19";29.75;0
"2025-11-15 13:54:49";29.12;0
"2025-11-15 13:55:19";29;0
"2025-11-15 13:55:49";29;0
"2025-11-15 13:56:19";29;0
"2025-11-15 13:56:49";28.62;0
"2025-11-15 13:57:19";28.62;0
"2025-11-15 13:57:49";28.75;0
"2025-11-15 13:58:19";28.50;0
"2025-11-15 13:58:49";28.87;0
"2025-11-15 13:59:19";28.50;0
"2025-11-15 13:59:49";28.75;0
"2025-11-15 14:00:19";28.62;0
"2025-11-15 14:00:49";28.50;0
"2025-11-15 14:01:19";28.75;0
"2025-11-15 14:01:49";28.75;0
"2025-11-15 14:02:19";28.62;0
"2025-11-15 14:02:49";28.87;0
"2025-11-15 14:03:19";28.87;0
"2025-11-15 14:03:49";29;0
"2025-11-15 14:04:19";28.75;0
"2025-11-15 14:04:49";29;0
"2025-11-15 14:05:19";28.87;0
"2025-11-15 14:05:49";28.87;0
"2025-11-15 14:06:19";28.87;0
"2025-11-15 14:06:49";28.37;0
"2025-11-15 14:07:19";28.75;0
"2025-11-15 14:07:49";28.50;0
"2025-11-15 14:08:19";28.37;0
"2025-11-15 14:08:49";28.50;0
"2025-11-15 14:09:19";28.75;0
"2025-11-15 14:09:49";28.37;0
"2025-11-15 14:10:19";28.37;0
"2025-11-15 14:10:49";28.37;0
"2025-11-15 14:11:19";28.12;0
"2025-11-15 14:11:49";28.37;0
