"date Y-m-d m:s";"gas adc";"LPG PPM"
"2025-11-15 16:54:21";78;0
"2025-11-15 16:54:51";78.61;0
"2025-11-15 16:55:21";78.87;0
"2025-11-15 16:55:51";78.59;0
"2025-11-15 16:56:21";77.73;0
"2025-11-15 16:56:51";78.37;0
"2025-11-15 16:57:21";76.91;0
"2025-11-15 16:57:51";76.33;0
"2025-11-15 16:58:21";77.12;0
"2025-11-15 16:58:51";77.19;0
"2025-11-15 16:59:21";74.73;0
"2025-11-15 16:59:51";74.25;0
"2025-11-15 17:00:21";75.40;0
"2025-11-15 17:00:51";75.58;0
"2025-11-15 17:01:21";75.33;0
"2025-11-15 17:01:51";75.22;0
"2025-11-15 17:02:21";75.12;0
"2025-11-15 17:02:51";75.48;0
"2025-11-15 17:03:21";74.54;0
"2025-11-15 17:03:51";74.63;0
"2025-11-15 17:04:21";74.33;0
"2025-11-15 17:04:51";74.06;0
"2025-11-15 17:05:21";74.93;0
"2025-11-15 17:05:51";74.25;0
"2025-11-15 17:06:21";73.79;0
"2025-11-15 17:06:51";74.23;0
"2025-11-15 17:07:21";73.98;0
"2025-11-15 17:07:51";73.16;0
"2025-11-15 17:08:21";73.91;0
"2025-11-15 17:08:51";74.56;0
"2025-11-15 17:09:21";74.01;0
"2025-11-15 17:09:51";74.44;0
"2025-11-15 17:10:22";74.04;0
"2025-11-15 17:10:52";73.81;0
"2025-11-15 17:11:22";73.27;0
"2025-11-15 17:11:52";72.93;0
"2025-11-15 17:12:22";73.76;0
"2025-11-15 17:12:52";73.88;0
"2025-11-15 17:13:22";74.01;0
"2025-11-15 17:13:52";73.54;0
"2025-11-15 17:14:22";74.37;0
"2025-11-15 17:14:52";75.43;0
"2025-11-15 17:15:22";74.18;0
"2025-11-15 17:15:52";73.33;0
"2025-11-15 17:16:22";73.25;0
"2025-11-15 17:16:52";71.16;0
"2025-11-15 17:17:22";70.31;0
"2025-11-15 17:17:52";70.22;0
"2025-11-15 17:18:22";71.54;0
"2025-11-15 17:18:52";72.93;0
"2025-11-15 17:19:22";72.97;0
"2025-11-15 17:19:52";72.97;0
"2025-11-15 17:20:22";72.13;0
"2025-11-15 17:20:52";71.97;0
"2025-11-15 17:21:22";72;0
"2025-11-15 17:21:52";71.73;0
"2025-11-15 17:22:22";71;0
"2025-11-15 17:22:52";71.73;0
"2025-11-15 17:23:22";72;0
"2025-11-15 17:23:52";72.05;0
"2025-11-15 17:24:22";72.19;0
"2025-11-15 17:24:52";72.62;0
"2025-11-15 17:25:22";72.62;0
"2025-11-15 17:25:52";72.37;0
"2025-11-15 17:26:22";71.87;0
"2025-11-15 17:26:52";72.58;0
"2025-11-15 17:27:22";72.62;0
"2025-11-15 17:27:52";72.55;0
"2025-11-15 17:28:22";72.37;0
"2025-11-15 17:28:52";72.04;0
"2025-11-15 17:29:22";70.75;0
"2025-11-15 17:29:52";70.12;0
"2025-11-15 17:30:23";70;0
"2025-11-15 17:30:53";69.83;0
"2025-11-15 17:31:23";69.98;0
"2025-11-15 17:31:53";70.86;0
"2025-11-15 17:32:23";70.97;0
"2025-11-15 17:32:53";71.44;0
"2025-11-15 17:33:23";71.97;0
"2025-11-15 17:33:53";70.93;0
"2025-11-15 17:34:23";71.43;0
"2025-11-15 17:34:53";71.01;0
"2025-11-15 17:35:23";71.55;0
"2025-11-15 17:35:53";71.80;0
"2025-11-15 17:36:23";71.40;0
"2025-11-15 17:36:53";71.72;0
"2025-11-15 17:37:23";71.93;0
"2025-11-15 17:37:53";70.48;0
"2025-11-15 17:38:23";69.66;0
"2025-11-15 17:38:53";70.48;0
"2025-11-15 17:39:23";70.41;0
"2025-11-15 17:39:53";70.19;0
"2025-11-15 17:40:23";70.11;0
"2025-11-15 17:40:53";70.76;0
"2025-11-15 17:41:23";71.01;0
"2025-11-15 17:41:53";70.61;0
"2025-11-15 17:42:23";71.01;0
"2025-11-15 17:42:53";71.04;0
"2025-11-15 17:43:23";71.04;0
"2025-11-15 17:43:53";70.37;0
"2025-11-15 17:44:23";70.73;0
"2025-11-15 17:44:53";70.41;0
"2025-11-15 17:45:23";70.26;0
"2025-11-15 17:45:53";70.87;0
"2025-11-15 17:46:23";70.54;0
"2025-11-15 17:46:53";70.41;0
"2025-11-15 17:47:23";70.58;0
"2025-11-15 17:47:53";70.95;0
